##NAMES=Fersmanite
##RRUFFID=R070290
##IDEAL CHEMISTRY=Ca_4_(Na,Ca)_4_(Ti,Nb)_4_(Si_2_O_7_)_2_O_8_F_3_
##LOCALITY=Vein No. 1 of Labuntsov, 3rd left tributary of Vuonnemijok river, Eveslogchorr Mt, Khibiny Massif, Kola peninsula, Murmanskaja oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown crystals frozen in orthoclase, associated with red eudialyte and black arfvedsonite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070290
296.2254, 3511.992
296.7075, 3519.121
297.1896, 3520.031
297.6717, 3502.832
298.1538, 3476.627
298.6360, 3456.387
299.1181, 3440.973
299.6002, 3424.139
300.0823, 3411.150
300.5644, 3391.707
301.0465, 3342.270
301.5287, 3237.977
302.0108, 3124.609
302.4929, 3069.123
302.9750, 3059.965
303.4571, 3036.443
303.9392, 2951.311
304.4214, 2828.506
304.9035, 2692.385
305.3856, 2538.045
305.8677, 2395.926
306.3498, 2313.045
306.8319, 2273.379
307.3141, 2217.275
307.7962, 2095.307
308.2783, 1948.240
308.7604, 1812.928
309.2425, 1702.264
309.7246, 1600.643
310.2068, 1493.439
310.6889, 1386.445
311.1710, 1292.789
311.6531, 1239.131
312.1352, 1188.621
312.6173, 1110.789
313.0995, 991.3516
313.5816, 876.4609
314.0637, 796.3184
314.5458, 734.5195
315.0279, 659.1035
315.5100, 541.5293
315.9922, 419.4219
316.4743, 310.0820
316.9564, 214.2988
317.4385, 136.4355
317.9206, 84.26953
318.4027, 49.45117
318.8849, 20.30078
319.3670, 6.304688
319.8491, 13.63477
320.3312, 49.94922
320.8133, 106.8164
321.2954, 161.0000
321.7776, 215.7910
322.2597, 263.5488
322.7418, 296.0898
323.2239, 300.9883
323.7060, 301.8418
324.1881, 300.5352
324.6703, 296.2598
325.1524, 302.4004
325.6345, 333.3320
326.1166, 367.3516
326.5987, 387.6543
327.0808, 382.8770
327.5630, 377.6348
328.0451, 375.2754
328.5272, 375.5469
329.0093, 373.2988
329.4914, 366.2148
329.9735, 357.6855
330.4557, 350.6719
330.9378, 353.7773
331.4199, 342.6504
331.9020, 308.7617
332.3841, 258.1875
332.8662, 221.1270
333.3484, 202.6523
333.8305, 189.8828
334.3126, 176.6699
334.7947, 162.7676
335.2768, 147.9043
335.7589, 130.7402
336.2411, 113.2695
336.7232, 101.3926
337.2053, 95.74805
337.6874, 93.31250
338.1695, 96.84180
338.6516, 108.4180
339.1338, 101.9414
339.6159, 70.88086
340.0980, 30.82812
340.5801, 10.50586
341.0622, 12.56445
341.5443, 10.86914
342.0265, 6.636719
342.5086, 38.23242
342.9907, 69.75977
343.4728, 103.6406
343.9549, 128.1660
344.4370, 120.3496
344.9192, 84.33984
345.4013, 57.29297
345.8834, 53.42383
346.3655, 68.15234
346.8476, 92.98633
347.3297, 127.9805
347.8119, 169.7539
348.2940, 229.5547
348.7761, 295.8594
349.2582, 331.1738
349.7403, 308.5156
350.2225, 266.4883
350.7046, 256.2559
351.1867, 275.9512
351.6688, 313.5762
352.1509, 372.6602
352.6331, 440.7480
353.1152, 499.1270
353.5973, 542.4082
354.0794, 577.2891
354.5615, 603.1465
355.0436, 624.6680
355.5258, 655.1914
356.0079, 710.1016
356.4900, 771.2773
356.9721, 824.3809
357.4542, 867.7500
357.9363, 904.1875
358.4185, 918.6934
358.9006, 928.0664
359.3827, 962.2910
359.8648, 1061.617
360.3469, 1166.979
360.8290, 1247.422
361.3112, 1297.996
361.7933, 1341.555
362.2754, 1380.752
362.7575, 1418.432
363.2396, 1457.658
363.7217, 1489.217
364.2039, 1531.922
364.6860, 1591.363
365.1681, 1667.855
365.6502, 1753.518
366.1323, 1886.475
366.6144, 2005.109
367.0966, 2066.271
367.5787, 1989.736
368.0608, 1951.779
368.5429, 1976.430
369.0250, 2053.352
369.5071, 2127.998
369.9893, 2206.953
370.4714, 2274.533
370.9535, 2324.445
371.4356, 2358.746
371.9177, 2369.660
372.3998, 2346.346
372.8820, 2304.189
373.3641, 2277.021
373.8462, 2265.473
374.3283, 2269.750
374.8104, 2296.518
375.2925, 2348.805
375.7747, 2375.316
376.2568, 2371.111
376.7389, 2352.496
377.2210, 2339.975
377.7031, 2333.600
378.1852, 2328.314
378.6674, 2325.051
379.1495, 2320.352
379.6316, 2291.965
380.1137, 2236.859
380.5958, 2188.195
381.0779, 2192.426
381.5601, 2236.863
382.0422, 2255.953
382.5243, 2227.275
383.0064, 2176.328
383.4885, 2152.479
383.9706, 2149.906
384.4528, 2129.488
384.9349, 2042.191
385.4170, 1926.174
385.8991, 1845.889
386.3812, 1816.943
386.8633, 1802.127
387.3455, 1766.424
387.8276, 1718.480
388.3097, 1677.346
388.7918, 1653.693
389.2739, 1640.346
389.7560, 1639.773
390.2382, 1655.424
390.7203, 1654.812
391.2024, 1605.633
391.6845, 1534.297
392.1666, 1471.008
392.6487, 1422.812
393.1309, 1387.789
393.6130, 1374.777
394.0951, 1380.766
394.5772, 1373.352
395.0593, 1326.924
395.5414, 1274.629
396.0236, 1237.373
396.5057, 1231.766
396.9878, 1225.055
397.4699, 1220.805
397.9520, 1216.049
398.4341, 1198.438
398.9163, 1153.861
399.3984, 1108.414
399.8805, 1072.857
400.3626, 1052.090
400.8447, 1029.957
401.3268, 1007.469
401.8090, 982.2383
402.2911, 947.9434
402.7732, 898.2148
403.2553, 851.9277
403.7374, 814.3105
404.2195, 786.4141
404.7017, 774.6562
405.1838, 787.4082
405.6659, 795.1562
406.1480, 763.4941
406.6301, 691.4609
407.1122, 634.5879
407.5944, 604.7773
408.0765, 589.8574
408.5586, 562.7832
409.0407, 524.7812
409.5228, 491.1777
410.0049, 474.2812
410.4871, 470.1484
410.9692, 471.0352
411.4513, 479.2051
411.9334, 477.5488
412.4155, 430.9043
412.8976, 355.5605
413.3798, 300.4590
413.8619, 311.4141
414.3440, 339.8145
414.8261, 328.8164
415.3082, 278.6484
415.7903, 237.8828
416.2725, 241.4043
416.7546, 265.4375
417.2367, 282.0508
417.7188, 275.6074
418.2009, 266.3105
418.6830, 255.9902
419.1652, 246.3789
419.6473, 240.3184
420.1294, 239.2949
420.6115, 242.8887
421.0937, 249.7402
421.5758, 263.3477
422.0579, 277.4883
422.5400, 291.3066
423.0221, 305.9629
423.5042, 324.0234
423.9864, 344.5430
424.4685, 369.1035
424.9506, 400.4277
425.4327, 439.9102
425.9148, 454.6133
426.3969, 432.5605
426.8791, 403.9141
427.3612, 396.6855
427.8433, 420.7812
428.3254, 434.3613
428.8075, 427.8672
429.2896, 408.3594
429.7718, 402.3418
430.2539, 413.1250
430.7360, 419.9238
431.2181, 400.3301
431.7002, 357.9863
432.1823, 351.1582
432.6645, 388.6309
433.1466, 442.0918
433.6287, 471.3281
434.1108, 480.9707
434.5929, 494.4277
435.0750, 526.6953
435.5572, 566.2051
436.0393, 590.8027
436.5214, 601.1309
437.0035, 610.8262
437.4856, 629.3398
437.9677, 653.9766
438.4499, 681.2031
438.9320, 711.6016
439.4141, 741.9199
439.8962, 764.4844
440.3783, 784.4844
440.8604, 816.3945
441.3426, 889.6836
441.8247, 958.6387
442.3068, 990.8164
442.7889, 972.5840
443.2710, 966.5078
443.7531, 1001.844
444.2353, 1052.865
444.7174, 1092.008
445.1995, 1096.109
445.6816, 1108.533
446.1637, 1144.564
446.6458, 1200.244
447.1280, 1235.951
447.6101, 1231.064
448.0922, 1229.082
448.5743, 1255.180
449.0564, 1321.988
449.5385, 1386.707
450.0207, 1454.293
450.5028, 1513.598
450.9849, 1536.154
451.4670, 1513.305
451.9491, 1496.428
452.4312, 1511.988
452.9134, 1553.338
453.3955, 1564.873
453.8776, 1543.014
454.3597, 1516.361
454.8418, 1510.816
455.3239, 1523.789
455.8061, 1547.568
456.2882, 1590.920
456.7703, 1628.381
457.2524, 1610.447
457.7345, 1550.396
458.2166, 1502.375
458.6988, 1523.260
459.1809, 1560.775
459.6630, 1551.299
460.1451, 1482.100
460.6272, 1413.074
461.1093, 1394.914
461.5915, 1395.381
462.0736, 1374.342
462.5557, 1300.777
463.0378, 1221.100
463.5199, 1148.354
464.0020, 1083.072
464.4842, 1025.703
464.9663, 990.4082
465.4484, 953.4902
465.9305, 902.1953
466.4126, 829.4316
466.8947, 752.3711
467.3769, 663.2910
467.8590, 573.6836
468.3411, 504.7500
468.8232, 474.7969
469.3053, 428.2246
469.7874, 340.3184
470.2696, 214.5938
470.7517, 124.1270
471.2338, 85.84180
471.7159, 56.82422
472.1980, 21.64258
472.6801, 19.71094
473.1623, 94.81055
473.6444, 121.3730
474.1265, 163.6621
474.6086, 203.5645
475.0907, 214.6133
475.5728, 270.7637
476.0550, 277.1738
476.5371, 300.0742
477.0192, 311.9863
477.5013, 340.1758
477.9834, 360.1387
478.4655, 358.8574
478.9477, 398.6543
479.4298, 378.5195
479.9119, 360.1367
480.3940, 345.9902
480.8761, 349.9121
481.3582, 360.9375
481.8404, 347.7012
482.3225, 285.6172
482.8046, 208.3555
483.2867, 127.5957
483.7688, 41.52344
484.2509, 35.84375
484.7331, 86.14648
485.2152, 136.0430
485.6973, 213.1895
486.1794, 329.1387
486.6615, 452.9316
487.1436, 584.9824
487.6258, 722.5684
488.1079, 847.8281
488.5900, 949.8574
489.0721, 1066.797
489.5542, 1226.141
490.0363, 1429.688
490.5185, 1618.795
491.0006, 1785.488
491.4827, 1953.432
491.9648, 2151.676
492.4470, 2377.010
492.9291, 2609.738
493.4112, 2840.611
493.8933, 3071.545
494.3754, 3292.723
494.8575, 3509.051
495.3397, 3736.586
495.8218, 3999.199
496.3039, 4276.686
496.7860, 4545.408
497.2681, 4807.070
497.7502, 5056.906
498.2324, 5291.854
498.7145, 5515.479
499.1966, 5737.588
499.6787, 5952.375
500.1608, 6171.645
500.6429, 6409.748
501.1251, 6663.736
501.6072, 6886.174
502.0893, 7055.650
502.5714, 7212.414
503.0535, 7380.412
503.5356, 7589.135
504.0178, 7731.582
504.4999, 7773.398
504.9820, 7778.746
505.4641, 7854.328
505.9462, 8016.014
506.4283, 8165.150
506.9105, 8279.705
507.3926, 8357.590
507.8747, 8378.166
508.3568, 8338.850
508.8389, 8291.291
509.3210, 8278.730
509.8032, 8287.521
510.2853, 8274.227
510.7674, 8226.922
511.2495, 8185.441
511.7316, 8212.025
512.2137, 8273.686
512.6959, 8302.834
513.1780, 8255.701
513.6601, 8180.234
514.1422, 8091.557
514.6243, 7994.984
515.1064, 7922.934
515.5886, 7912.303
516.0707, 7913.119
516.5528, 7894.133
517.0349, 7839.867
517.5170, 7789.959
517.9991, 7760.207
518.4813, 7732.260
518.9634, 7678.934
519.4455, 7564.775
519.9276, 7488.258
520.4097, 7485.562
520.8918, 7540.908
521.3740, 7549.416
521.8561, 7502.008
522.3382, 7437.748
522.8203, 7373.082
523.3024, 7309.555
523.7845, 7268.020
524.2667, 7250.570
524.7488, 7251.936
525.2309, 7288.412
525.7130, 7343.074
526.1951, 7352.523
526.6772, 7252.711
527.1594, 7137.680
527.6415, 7137.451
528.1236, 7227.080
528.6057, 7297.547
529.0878, 7262.762
529.5699, 7199.760
530.0521, 7171.523
530.5342, 7196.709
531.0163, 7197.352
531.4984, 7129.418
531.9805, 7036.777
532.4626, 6967.195
532.9448, 6944.479
533.4269, 6926.160
533.9090, 6921.457
534.3911, 6921.230
534.8732, 6891.424
535.3553, 6817.172
535.8375, 6738.584
536.3196, 6675.193
536.8017, 6624.961
537.2838, 6572.605
537.7659, 6517.936
538.2480, 6460.564
538.7302, 6401.127
539.2123, 6337.994
539.6944, 6263.723
540.1765, 6173.104
540.6586, 6085.709
541.1407, 6027.457
541.6229, 5992.973
542.1050, 5964.160
542.5871, 5937.354
543.0692, 5907.072
543.5513, 5867.229
544.0334, 5817.783
544.5156, 5766.186
544.9977, 5712.889
545.4798, 5660.623
545.9619, 5612.348
546.4440, 5575.492
546.9261, 5532.387
547.4083, 5482.588
547.8904, 5424.289
548.3725, 5353.625
548.8546, 5255.279
549.3367, 5169.402
549.8188, 5109.330
550.3010, 5072.463
550.7831, 5028.500
551.2652, 4976.381
551.7473, 4920.543
552.2294, 4862.020
552.7115, 4801.475
553.1937, 4750.883
553.6758, 4714.131
554.1579, 4675.078
554.6400, 4601.045
555.1221, 4506.920
555.6042, 4438.184
556.0864, 4436.545
556.5685, 4440.508
557.0506, 4385.664
557.5327, 4284.598
558.0148, 4184.463
558.4969, 4099.004
558.9791, 4028.283
559.4612, 3976.480
559.9433, 3948.180
560.4254, 3917.477
560.9075, 3875.424
561.3896, 3831.479
561.8718, 3794.340
562.3539, 3775.527
562.8360, 3742.824
563.3181, 3687.414
563.8002, 3620.066
564.2823, 3565.131
564.7645, 3523.855
565.2466, 3491.652
565.7287, 3471.775
566.2108, 3460.061
566.6929, 3432.910
567.1750, 3389.752
567.6572, 3347.342
568.1393, 3326.613
568.6214, 3316.066
569.1035, 3291.621
569.5856, 3246.736
570.0677, 3198.520
570.5499, 3155.119
571.0320, 3118.596
571.5141, 3091.908
571.9962, 3078.760
572.4783, 3072.986
572.9604, 3092.652
573.4426, 3125.344
573.9247, 3108.402
574.4068, 2952.811
574.8889, 2818.637
575.3710, 2779.168
575.8531, 2861.529
576.3353, 2898.123
576.8174, 2873.676
577.2995, 2825.744
577.7816, 2783.861
578.2637, 2745.381
578.7458, 2731.506
579.2280, 2751.793
579.7101, 2784.205
580.1922, 2785.455
580.6743, 2761.602
581.1564, 2744.119
581.6385, 2769.881
582.1207, 2798.738
582.6028, 2767.674
583.0849, 2682.902
583.5670, 2596.078
584.0491, 2528.326
584.5313, 2480.779
585.0134, 2458.584
585.4955, 2468.740
585.9776, 2476.512
586.4597, 2481.264
586.9418, 2478.916
587.4240, 2467.443
587.9061, 2431.857
588.3882, 2397.680
588.8703, 2369.232
589.3524, 2341.992
589.8345, 2296.555
590.3167, 2227.543
590.7988, 2177.555
591.2809, 2175.447
591.7630, 2206.141
592.2451, 2203.109
592.7272, 2164.164
593.2094, 2122.340
593.6915, 2112.863
594.1736, 2122.090
594.6557, 2122.479
595.1378, 2109.906
595.6199, 2085.207
596.1021, 2043.113
596.5842, 1988.734
597.0663, 1930.486
597.5485, 1853.443
598.0306, 1796.895
598.5127, 1785.617
598.9948, 1808.543
599.4769, 1817.604
599.9590, 1814.812
600.4412, 1791.527
600.9233, 1735.387
601.4054, 1641.680
601.8875, 1591.648
602.3696, 1602.031
602.8517, 1615.918
603.3339, 1572.795
603.8160, 1478.887
604.2981, 1427.689
604.7802, 1437.719
605.2623, 1465.084
605.7444, 1456.314
606.2266, 1419.566
606.7087, 1377.383
607.1908, 1333.318
607.6729, 1291.104
608.1550, 1252.223
608.6371, 1217.217
609.1193, 1186.248
609.6014, 1167.256
610.0835, 1145.824
610.5656, 1113.877
611.0477, 1069.041
611.5298, 1028.488
612.0120, 996.2188
612.4941, 965.3789
612.9762, 929.6191
613.4583, 883.1484
613.9404, 855.5391
614.4225, 854.2363
614.9047, 861.3242
615.3868, 851.6367
615.8689, 825.8125
616.3510, 793.0703
616.8331, 750.9941
617.3152, 710.1270
617.7974, 698.7715
618.2795, 706.1895
618.7616, 689.9727
619.2437, 588.0117
619.7258, 482.6387
620.2079, 443.0625
620.6901, 472.6074
621.1722, 498.2344
621.6543, 498.6621
622.1364, 484.0410
622.6185, 461.1035
623.1006, 433.3945
623.5828, 388.2422
624.0649, 307.7441
624.5470, 226.1914
625.0291, 192.1855
625.5112, 218.2539
625.9933, 221.4316
626.4755, 178.2051
626.9576, 116.0371
627.4397, 95.91992
627.9218, 112.9180
628.4039, 129.3516
628.8860, 129.4355
629.3682, 116.6777
629.8503, 89.52344
630.3324, 50.50000
630.8145, 18.67773
631.2966, 17.06250
631.7787, 18.84180
632.2609, 2.013672
632.7430, 43.47461
633.2251, 78.80664
633.7072, 83.80273
634.1893, 82.99414
634.6714, 99.16797
635.1536, 151.3125
635.6357, 176.9160
636.1178, 163.5879
636.5999, 129.7070
637.0820, 104.9961
637.5641, 89.43164
638.0463, 86.60547
638.5284, 101.9434
639.0105, 127.0586
639.4926, 154.0273
639.9747, 179.7305
640.4568, 185.4277
640.9390, 133.1270
641.4211, 73.25000
641.9032, 61.35938
642.3853, 101.2383
642.8674, 128.5488
643.3495, 88.46289
643.8317, 46.34570
644.3138, 52.36914
644.7959, 168.0215
645.2780, 221.3926
645.7601, 185.3320
646.2422, 110.9531
646.7244, 48.69727
647.2065, 6.970703
647.6886, 12.85352
648.1707, 56.81836
648.6528, 154.3008
649.1349, 184.0039
649.6171, 152.0957
650.0992, 104.0215
650.5813, 41.36133
651.0634, 13.73242
651.5455, 25.22852
652.0276, 0.4746090
652.5098, 21.12500
652.9919, 28.93945
653.4740, 19.08398
653.9561, 16.50586
654.4382, 84.11523
