##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=Mn^2+^SiO_3_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
332.0327, 51.34662
332.5148, 51.94455
332.9969, 52.77869
333.4790, 54.05121
333.9611, 54.88400
334.4432, 54.99951
334.9254, 54.83395
335.4075, 55.19467
335.8896, 56.48792
336.3717, 57.51138
336.8538, 57.91962
337.3359, 57.70993
337.8180, 57.00415
338.3001, 55.79807
338.7823, 54.12003
339.2644, 51.81104
339.7465, 48.59601
340.2286, 45.92987
340.7107, 44.34445
341.1928, 43.61172
341.6750, 42.27258
342.1571, 40.19910
342.6392, 38.13547
343.1213, 36.73438
343.6034, 35.92566
344.0855, 34.84622
344.5677, 33.24002
345.0498, 31.42282
345.5319, 30.25949
346.0140, 29.79584
346.4961, 29.32648
346.9782, 28.27130
347.4604, 26.78195
347.9425, 25.63074
348.4246, 24.91409
348.9067, 24.44095
349.3888, 24.14322
349.8709, 23.94260
350.3531, 23.38583
350.8352, 21.94965
351.3173, 20.08722
351.7994, 18.64905
352.2815, 17.68304
352.7636, 16.87814
353.2458, 15.91525
353.7279, 14.88788
354.2100, 14.00543
354.6921, 13.56888
355.1742, 13.15927
355.6563, 12.21848
356.1385, 10.79749
356.6206, 9.438690
357.1027, 8.253418
357.5848, 7.432281
358.0669, 7.236877
358.5490, 8.044373
359.0312, 9.023621
359.5133, 9.807404
359.9954, 10.36731
360.4775, 10.64069
360.9596, 10.58179
361.4417, 10.23135
361.9239, 9.495575
362.4060, 8.098907
362.8881, 7.088776
363.3702, 7.186340
363.8523, 7.853455
364.3344, 8.265564
364.8166, 8.360107
365.2987, 8.013336
365.7808, 6.893158
366.2629, 4.824768
366.7450, 3.436127
367.2271, 3.463959
367.7093, 4.049591
368.1914, 4.438904
368.6735, 4.708984
369.1556, 4.627808
369.6377, 3.952240
370.1198, 2.776642
370.6020, 1.923340
371.0841, 1.501160
371.5662, 1.300873
372.0483, 1.243988
372.5304, 1.585022
373.0125, 1.570343
373.4947, 0.9799800
373.9768, 9.2743002E-02
374.4589, 0.3755490
374.9410, 0.1567380
375.4231, 9.1582999E-02
375.9052, 0.6569820
376.3874, 2.025482
376.8695, 2.577911
377.3516, 2.042389
377.8337, 1.147125
378.3158, 0.8058470
378.7979, 1.091553
379.2801, 1.377869
379.7622, 1.618256
380.2443, 1.722748
380.7264, 1.158661
381.2085, 0.1319890
381.6906, 1.661041
382.1728, 3.173920
382.6549, 4.640289
383.1370, 5.659821
383.6191, 6.004608
384.1012, 6.153778
384.5833, 7.158081
385.0655, 8.880920
385.5476, 10.27313
386.0297, 10.26776
386.5118, 9.664978
386.9939, 10.11438
387.4760, 11.91577
387.9582, 13.83212
388.4403, 14.55609
388.9224, 14.46243
389.4045, 14.46411
389.8866, 15.74506
390.3687, 16.73798
390.8509, 15.48914
391.3330, 12.23328
391.8151, 9.595673
392.2972, 10.07172
392.7793, 11.50204
393.2614, 11.76157
393.7436, 9.523254
394.2257, 7.145782
394.7078, 5.527008
395.1899, 4.511505
395.6720, 3.691132
396.1541, 3.024719
396.6363, 2.467377
397.1184, 1.981415
397.6005, 1.524841
398.0826, 1.271271
398.5647, 1.588287
399.0468, 2.006805
399.5290, 1.959717
400.0111, 0.4859310
400.4932, 0.4556580
400.9753, 0.5261840
401.4574, 0.2770690
401.9395, 1.598541
402.4217, 4.121094
402.9038, 6.466278
403.3859, 7.560455
403.8680, 6.520935
404.3501, 6.364563
404.8322, 7.561890
405.3144, 9.628143
405.7965, 11.21057
406.2786, 12.17764
406.7607, 13.14505
407.2428, 14.26938
407.7249, 15.54929
408.2071, 17.54474
408.6892, 20.48917
409.1713, 23.56842
409.6534, 25.63586
410.1355, 26.74753
410.6176, 27.69043
411.0998, 28.61844
411.5819, 29.60233
412.0640, 30.80185
412.5461, 32.20276
413.0282, 33.81976
413.5103, 35.93970
413.9925, 38.21826
414.4746, 39.86768
414.9567, 40.63995
415.4388, 41.32034
415.9209, 42.73984
416.4030, 44.63803
416.8852, 46.45038
417.3673, 47.92224
417.8494, 49.12289
418.3315, 50.13608
418.8136, 50.95917
419.2957, 51.58673
419.7779, 52.01892
420.2600, 52.28961
420.7421, 52.33813
421.2242, 52.69974
421.7063, 52.44391
422.1884, 50.96930
422.6706, 48.57431
423.1527, 46.30768
423.6348, 44.94223
424.1169, 43.35092
424.5990, 40.95148
425.0811, 37.30728
425.5633, 33.77982
426.0454, 30.28287
426.5275, 26.99469
427.0096, 24.11862
427.4917, 21.84555
427.9738, 19.70908
428.4560, 17.51172
428.9381, 15.26645
429.4202, 13.78485
429.9023, 13.49158
430.3844, 13.20496
430.8665, 11.83792
431.3487, 9.069641
431.8308, 7.018951
432.3129, 5.823059
432.7950, 5.535858
433.2771, 6.737762
433.7592, 9.459167
434.2414, 11.29233
434.7235, 10.80679
435.2056, 8.604645
435.6877, 6.655273
436.1698, 4.895569
436.6519, 3.651001
437.1341, 3.658783
437.6162, 4.497742
438.0983, 5.125732
438.5804, 5.408325
439.0625, 5.297363
439.5446, 4.273804
440.0268, 2.584351
440.5089, 1.266510
440.9910, 1.147461
441.4731, 1.549957
441.9552, 1.999847
442.4373, 2.497192
442.9195, 2.667114
443.4016, 2.117310
443.8837, 1.198853
444.3658, 0.3379820
444.8479, 0.7178040
445.3300, 1.314697
445.8122, 1.017609
446.2943, 5.7158999E-02
446.7764, 0.9353640
447.2585, 1.324860
447.7406, 1.595795
448.2227, 1.953430
448.7049, 2.585358
449.1870, 2.929291
449.6691, 2.904175
450.1512, 2.626312
450.6333, 2.173676
451.1154, 1.197144
451.5976, 0.8319700
452.0797, 1.620880
452.5618, 3.446289
453.0439, 4.469177
453.5260, 4.526581
454.0081, 4.192078
454.4903, 3.786560
454.9724, 3.309662
455.4545, 3.076172
455.9366, 3.180847
456.4187, 3.442719
456.9008, 3.394623
457.3830, 3.107056
457.8651, 3.076294
458.3472, 4.069092
458.8293, 5.369720
459.3114, 5.538605
459.7935, 4.559479
460.2757, 3.363983
460.7578, 2.359894
461.2399, 1.682343
461.7220, 1.617645
462.2041, 2.705597
462.6862, 3.644043
463.1684, 3.266846
463.6505, 2.078857
464.1326, 1.246613
464.6147, 1.812775
465.0968, 2.396820
465.5789, 1.987488
466.0611, 0.2702940
466.5432, 0.5122680
467.0253, 1.103973
467.5074, 3.277344
467.9895, 4.460052
468.4716, 3.859436
468.9538, 3.180206
469.4359, 2.381317
469.9180, 1.584351
470.4001, 1.261902
470.8822, 1.849518
471.3643, 2.124512
471.8465, 1.312531
472.3286, 0.8058780
472.8107, 1.542633
473.2928, 0.7235110
473.7749, 1.104584
474.2570, 4.073395
474.7392, 8.083923
475.2213, 9.690613
475.7034, 7.528625
476.1855, 3.378174
476.6676, 0.3786010
477.1497, 1.469543
477.6319, 2.144440
478.1140, 0.6833190
478.5961, 1.637573
479.0782, 2.514740
479.5603, 1.708008
480.0424, 0.6541750
480.5246, 0.4744260
481.0067, 0.7886050
481.4888, 1.054138
481.9709, 0.9717410
482.4530, 0.9449770
482.9352, 1.312958
483.4173, 1.931091
483.8994, 2.338562
484.3815, 1.996826
484.8636, 1.724121
485.3457, 2.033051
485.8279, 3.241241
486.3100, 3.970795
486.7921, 3.511475
487.2742, 2.851013
487.7563, 2.878265
488.2384, 4.028564
488.7206, 5.136719
489.2027, 6.177338
489.6848, 7.077301
490.1669, 7.410522
490.6490, 6.909271
491.1311, 6.653839
491.6133, 7.309998
492.0954, 8.853760
492.5775, 9.891541
493.0596, 10.29529
493.5417, 10.72940
494.0238, 12.30441
494.5060, 14.67365
494.9881, 16.06274
495.4702, 15.62741
495.9523, 14.62119
496.4344, 14.83127
496.9165, 16.01257
497.3987, 17.24402
497.8808, 18.30750
498.3629, 19.01093
498.8450, 19.12756
499.3271, 18.63934
499.8092, 17.88287
500.2914, 16.33142
500.7735, 14.93103
501.2556, 14.57654
501.7377, 16.58380
502.2198, 18.30212
502.7019, 19.01605
503.1841, 19.00171
503.6662, 19.05298
504.1483, 19.06653
504.6304, 19.39600
505.1125, 20.21265
505.5946, 21.56451
506.0768, 22.84100
506.5589, 24.16553
507.0410, 25.21979
507.5231, 25.69604
508.0052, 25.52368
508.4873, 25.22375
508.9695, 24.78851
509.4516, 24.32745
509.9337, 24.02081
510.4158, 23.85974
510.8979, 23.82587
511.3800, 23.82971
511.8622, 23.97260
512.3443, 24.93250
512.8264, 26.60754
513.3085, 27.46863
513.7906, 25.58911
514.2728, 22.48090
514.7549, 20.17462
515.2370, 19.25836
515.7191, 18.51508
516.2012, 17.40192
516.6833, 15.93671
517.1655, 14.13599
517.6476, 11.17273
518.1297, 8.713440
518.6118, 7.667358
519.0939, 7.886841
519.5760, 7.637207
520.0582, 5.850403
520.5403, 4.336609
521.0224, 4.027710
521.5045, 5.734619
521.9866, 6.166077
522.4688, 4.784119
522.9509, 2.726868
523.4330, 1.309448
523.9151, 0.5495610
524.3972, 0.2184450
524.8793, 0.4166260
525.3615, 0.9726560
525.8436, 1.663940
526.3257, 2.487915
526.8078, 3.064941
527.2899, 2.973022
527.7720, 2.521667
528.2542, 2.521667
528.7363, 3.030640
529.2184, 3.396423
529.7005, 3.041626
530.1826, 2.152466
530.6647, 0.9694210
531.1469, 0.7812500
531.6290, 1.989929
532.1111, 1.913025
532.5932, 0.8975830
533.0753, 0.3320310
533.5574, 2.288818
534.0396, 3.715210
534.5217, 3.962158
535.0038, 2.844238
535.4859, 2.025513
535.9680, 1.765930
536.4501, 1.813354
536.9323, 1.997742
537.4144, 2.342346
537.8965, 2.826904
538.3786, 3.429688
538.8607, 4.163879
539.3428, 5.105713
539.8250, 6.360596
540.3071, 7.337341
540.7892, 7.771057
541.2713, 7.830872
541.7534, 7.833740
542.2355, 7.782837
542.7177, 7.724182
543.1998, 7.724426
543.6819, 7.784973
544.1640, 7.719727
544.6461, 7.457275
545.1282, 7.647583
545.6104, 9.492920
546.0925, 11.77673
546.5746, 13.07391
547.0567, 12.34375
547.5388, 11.60620
548.0209, 11.45380
548.5031, 11.85358
548.9852, 12.50464
549.4673, 13.97217
549.9494, 15.08984
550.4315, 15.27448
550.9136, 14.53455
551.3958, 14.86597
551.8779, 17.06561
552.3600, 19.12323
552.8421, 19.47577
553.3242, 17.93652
553.8063, 17.35651
554.2885, 17.97937
554.7706, 19.23676
555.2527, 20.54340
555.7348, 21.87000
556.2169, 23.03772
556.6990, 23.97968
557.1812, 24.71497
557.6633, 25.29272
558.1454, 25.68677
558.6275, 25.80255
559.1096, 25.49316
559.5917, 24.93280
560.0739, 24.22601
560.5560, 23.38800
561.0381, 22.46082
561.5202, 21.20441
562.0023, 20.02460
562.4844, 19.24371
562.9666, 19.46521
563.4487, 19.23157
563.9308, 18.15405
564.4129, 16.74719
564.8950, 15.71924
565.3771, 15.13373
565.8593, 14.61987
566.3414, 13.89862
566.8235, 13.21301
567.3056, 14.03522
567.7877, 16.58777
568.2698, 18.87927
568.7520, 19.44049
569.2341, 18.73804
569.7162, 18.86517
570.1983, 19.95093
570.6804, 20.65137
571.1625, 19.00470
571.6447, 16.29773
572.1268, 14.68793
572.6089, 15.10248
573.0910, 15.84137
573.5731, 16.19257
574.0552, 16.07336
574.5374, 15.37036
575.0195, 12.76666
575.5016, 10.84924
575.9837, 11.16895
576.4658, 13.46100
576.9479, 14.14783
577.4301, 11.94928
577.9122, 9.548767
578.3943, 8.099426
578.8764, 7.780273
579.3585, 7.419250
579.8406, 6.920288
580.3228, 6.590393
580.8049, 6.806091
581.2870, 7.533081
581.7691, 8.490234
582.2512, 9.838867
582.7333, 10.85223
583.2155, 10.01941
583.6975, 7.846436
584.1796, 5.968262
584.6617, 5.136902
585.1439, 4.918274
585.6260, 5.247314
586.1081, 5.964478
586.5902, 6.290527
587.0723, 5.456909
587.5544, 4.431396
588.0366, 3.712830
588.5187, 3.323486
589.0008, 3.333008
589.4829, 4.522949
589.9650, 5.653259
590.4471, 5.709106
590.9293, 3.968506
591.4114, 2.813171
591.8935, 2.564819
592.3756, 2.782959
592.8577, 2.728638
593.3398, 2.389709
593.8220, 1.837524
594.3041, 0.9133910
594.7862, 7.5499997E-02
595.2683, 0.1737670
595.7504, 0.4702150
596.2325, 0.8490600
596.7147, 1.5137000E-02
597.1968, 1.304504
597.6789, 2.100159
598.1610, 2.330566
598.6431, 2.289063
599.1252, 1.784485
599.6074, 1.293335
600.0895, 1.250305
600.5716, 2.289307
601.0537, 2.788330
601.5358, 2.023254
602.0179, 0.7825320
602.5001, 0.1265260
602.9822, 0.5406490
603.4643, 0.5294190
603.9464, 0.4989010
604.4285, 1.979065
604.9106, 1.739197
605.3928, 0.5026250
605.8749, 2.082947
606.3570, 1.125916
606.8391, 1.461426
607.3212, 2.821289
607.8033, 2.963135
608.2855, 2.427490
608.7676, 0.6823730
609.2497, 1.107849
609.7318, 1.156982
610.2139, 1.199829
610.6960, 3.331787
611.1782, 3.582947
611.6603, 2.951050
612.1424, 2.515686
612.6245, 2.958435
613.1066, 3.059753
613.5887, 2.275330
614.0709, 1.132446
614.5530, 0.8017580
615.0351, 1.797363
615.5172, 2.415161
615.9993, 1.896790
616.4814, 0.6421510
616.9636, 1.288147
617.4457, 4.052002
617.9278, 6.229126
618.4099, 5.425293
618.8920, 2.754089
619.3741, 1.388184
619.8563, 1.458557
620.3384, 1.712891
620.8205, 0.9439090
621.3026, 0.1588130
621.7847, 0.8113400
622.2668, 0.8876340
622.7490, 0.3768920
623.2311, 1.683594
623.7132, 4.010132
624.1953, 4.960876
624.6774, 2.414124
625.1595, 0.7570800
625.6417, 0.9067990
626.1238, 2.230896
626.6059, 2.926758
627.0880, 2.817017
627.5701, 2.656067
628.0522, 2.598328
628.5344, 2.717102
629.0165, 3.627319
629.4986, 5.356567
629.9807, 6.746216
630.4628, 6.700439
630.9449, 5.826111
631.4271, 5.057861
631.9092, 4.436096
632.3913, 4.544006
632.8734, 6.558105
633.3555, 9.127258
633.8376, 10.88843
634.3198, 11.15851
634.8019, 11.27496
635.2840, 11.22345
635.7661, 11.30841
636.2482, 12.02295
636.7303, 13.98303
637.2125, 15.52008
637.6946, 16.19269
638.1767, 16.39893
638.6588, 17.45007
639.1409, 19.54108
639.6230, 21.22729
640.1052, 21.76605
640.5873, 21.60730
641.0694, 21.81299
641.5515, 22.42603
642.0336, 23.72559
642.5157, 26.37366
642.9979, 29.59637
643.4800, 32.31171
643.9621, 34.44476
644.4442, 36.96680
644.9263, 40.56879
645.4084, 44.69244
645.8906, 48.85675
646.3727, 52.91046
646.8548, 57.10071
647.3369, 60.89203
647.8190, 65.13916
648.3011, 70.94177
648.7833, 78.95605
649.2654, 86.26923
649.7475, 92.06067
650.2296, 97.51166
650.7117, 105.5588
651.1938, 116.0971
651.6760, 126.7593
652.1581, 136.0705
652.6402, 145.4937
653.1223, 158.0621
653.6044, 172.9773
654.0865, 187.5602
654.5687, 199.3225
655.0508, 210.6773
655.5329, 223.3848
656.0150, 237.5759
656.4971, 252.3063
656.9792, 266.9259
657.4614, 282.4755
657.9435, 299.6757
658.4256, 319.2294
658.9077, 337.7708
659.3898, 355.5224
659.8719, 372.0837
660.3541, 386.2234
660.8362, 397.9171
661.3183, 411.5665
661.8004, 428.1107
662.2825, 445.1017
662.7646, 458.9601
663.2468, 470.6503
663.7289, 482.7246
664.2110, 497.4714
664.6931, 511.6221
665.1752, 522.1289
665.6573, 530.1482
666.1395, 538.7046
666.6216, 551.8016
667.1037, 562.3202
667.5858, 567.7021
668.0679, 568.5688
668.5500, 567.9055
669.0322, 566.7825
669.5143, 561.9639
669.9964, 551.6906
670.4785, 536.1439
670.9606, 518.2980
671.4427, 498.0470
671.9249, 475.5576
672.4070, 449.0093
672.8891, 420.3986
