##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
399.1940, 18.82523
399.6761, 20.01698
400.1582, 20.60082
400.6403, 21.08897
401.1224, 22.02615
401.6046, 23.39342
402.0867, 24.75407
402.5688, 25.92913
403.0509, 27.10532
403.5330, 28.57111
404.0151, 30.33637
404.4973, 31.94524
404.9794, 33.02551
405.4615, 33.86861
405.9436, 34.96829
406.4257, 36.37994
406.9078, 38.01206
407.3900, 39.90373
407.8721, 41.97376
408.3542, 43.83222
408.8363, 45.21874
409.3184, 46.59144
409.8005, 48.26935
410.2827, 50.18163
410.7648, 52.05591
411.2469, 53.76846
411.7290, 55.38026
412.2111, 57.02449
412.6932, 58.73250
413.1754, 60.39093
413.6575, 62.04603
414.1396, 63.60891
414.6217, 64.99197
415.1038, 66.16786
415.5859, 67.17740
416.0681, 68.09407
416.5502, 68.94511
417.0323, 69.39577
417.5144, 69.29103
417.9965, 69.01675
418.4786, 68.69676
418.9608, 68.32128
419.4429, 67.84742
419.9250, 67.25691
420.4071, 66.57777
420.8892, 65.86121
421.3713, 64.97804
421.8535, 64.21074
422.3356, 63.81780
422.8177, 63.39103
423.2998, 62.54531
423.7819, 61.26775
424.2640, 59.88715
424.7462, 58.71712
425.2283, 57.75458
425.7104, 57.00926
426.1925, 56.60798
426.6746, 56.30375
427.1567, 56.21987
427.6389, 56.14850
428.1210, 55.75299
428.6031, 54.83931
429.0852, 53.62193
429.5673, 52.51282
430.0494, 51.49188
430.5316, 50.67732
431.0137, 50.23566
431.4958, 49.91491
431.9779, 49.59332
432.4600, 49.27136
432.9421, 49.01180
433.4243, 48.91612
433.9064, 48.84224
434.3885, 48.41135
434.8706, 47.50119
435.3527, 46.51985
435.8348, 45.63258
436.3170, 44.88956
436.7991, 44.39877
437.2812, 44.28253
437.7633, 44.26505
438.2454, 44.13893
438.7275, 43.89612
439.2097, 43.54988
439.6918, 43.05102
440.1739, 42.52274
440.6560, 42.17839
441.1381, 42.04970
441.6202, 42.00653
442.1024, 41.99203
442.5845, 41.95291
443.0666, 41.88280
443.5487, 41.83272
444.0308, 41.84791
444.5129, 41.89004
444.9951, 41.93868
445.4772, 42.17048
445.9593, 42.97089
446.4414, 43.54653
446.9235, 43.60534
447.4056, 43.32917
447.8878, 42.91701
448.3699, 42.42539
448.8520, 41.89813
449.3341, 41.40336
449.8162, 40.92883
450.2983, 40.48988
450.7805, 40.34019
451.2626, 40.07918
451.7447, 39.37083
452.2268, 38.30260
452.7089, 37.20804
453.1910, 36.34335
453.6732, 35.66024
454.1553, 34.87207
454.6374, 33.93229
455.1195, 32.84521
455.6016, 31.82529
456.0837, 30.58897
456.5659, 28.71932
457.0480, 26.19360
457.5301, 23.67780
458.0122, 21.89391
458.4943, 20.82368
458.9764, 19.78637
459.4586, 18.81846
459.9407, 17.79564
460.4228, 16.59591
460.9049, 15.31638
461.3870, 14.13513
461.8691, 13.14240
462.3513, 12.22689
462.8334, 11.18725
463.3155, 10.03829
463.7976, 9.195099
464.2797, 8.949036
464.7618, 8.883732
465.2440, 8.406334
465.7261, 7.516884
466.2082, 6.754005
466.6903, 6.401848
467.1724, 6.213295
467.6545, 5.880707
468.1367, 5.429455
468.6188, 5.001801
469.1009, 4.658653
469.5830, 4.367802
470.0651, 4.031166
470.5472, 3.605354
471.0294, 3.208805
471.5115, 2.735634
471.9936, 2.382259
472.4757, 2.480366
472.9578, 3.063713
473.4399, 3.686081
473.9221, 3.792290
474.4042, 3.263348
474.8863, 2.941143
475.3684, 2.878307
475.8505, 2.918678
476.3326, 3.176735
476.8148, 3.470284
477.2969, 3.409790
477.7790, 2.811409
478.2611, 2.048634
478.7432, 1.961479
479.2253, 2.887665
479.7075, 3.453186
480.1896, 3.156464
480.6717, 2.742134
481.1538, 2.616123
481.6359, 2.771900
482.1180, 2.979702
482.6002, 3.087967
483.0823, 3.122921
483.5644, 3.181381
484.0465, 3.303551
484.5286, 3.350037
485.0107, 3.150696
485.4929, 2.928452
485.9750, 2.967251
486.4571, 3.350700
486.9392, 3.635139
487.4213, 3.435684
487.9034, 2.963081
488.3856, 2.777721
488.8677, 3.022846
489.3498, 3.107613
489.8319, 2.349319
490.3140, 0.8571320
490.7961, 7.8410998E-02
491.2783, 0.4988290
491.7604, 1.103035
492.2425, 1.626335
492.7246, 1.974037
493.2067, 1.912029
493.6888, 1.358768
494.1710, 0.6269570
494.6531, 0.1937220
495.1352, 0.1128920
495.6173, 0.1925090
496.0994, 0.5823550
496.5815, 0.9630360
497.0637, 1.307648
497.5458, 1.510822
498.0279, 1.321968
498.5100, 0.5578040
498.9921, 0.4649770
499.4742, 0.8951950
499.9564, 0.4175000
500.4385, 0.1460190
500.9206, 0.5907360
501.4027, 1.007332
501.8848, 0.8332180
502.3669, 0.1392100
502.8491, 0.5096660
503.3312, 0.7486270
503.8133, 0.6581990
504.2954, 0.3803370
504.7775, 0.1495090
505.2596, 0.5588490
505.7418, 0.6746180
506.2239, 0.5578880
506.7060, 0.2272150
507.1881, 0.4253430
507.6702, 0.8273620
508.1523, 0.4560240
508.6345, 0.2749100
509.1166, 0.6350290
509.5987, 0.5160680
510.0808, 0.3466030
510.5629, 0.5184860
511.0450, 0.9762990
511.5272, 1.082382
512.0093, 0.5500680
512.4914, 5.7415001E-02
512.9735, 0.1299510
513.4556, 0.1934280
513.9377, 0.4179530
514.4199, 0.8626290
514.9020, 1.312592
515.3841, 1.481022
515.8662, 1.322342
516.3483, 1.195438
516.8304, 1.129047
517.3126, 1.065323
517.7947, 0.9718820
518.2768, 0.8762860
518.7589, 0.8364520
519.2410, 0.8794210
519.7231, 0.9210130
520.2053, 0.8200110
