##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
388.9224, 116.4801
389.4045, 117.7286
389.8866, 118.4758
390.3687, 119.3009
390.8509, 121.1392
391.3330, 122.3567
391.8151, 121.3091
392.2972, 118.4511
392.7793, 115.7347
393.2614, 114.7860
393.7436, 113.9147
394.2257, 111.8217
394.7078, 107.9285
395.1899, 103.7406
395.6720, 99.71021
396.1541, 95.73767
396.6363, 91.65570
397.1184, 86.96915
397.6005, 82.55823
398.0826, 78.70755
398.5647, 75.44043
399.0468, 72.37671
399.5290, 69.93781
400.0111, 67.48807
400.4932, 64.48682
400.9753, 60.15182
401.4574, 56.32578
401.9395, 53.53131
402.4217, 51.53619
402.9038, 48.83267
403.3859, 44.97107
403.8680, 40.91165
404.3501, 36.99411
404.8322, 32.96524
405.3144, 30.23834
405.7965, 29.33774
406.2786, 29.20670
406.7607, 27.89075
407.2428, 25.23090
407.7249, 22.53955
408.2071, 20.18527
408.6892, 18.16071
409.1713, 16.63831
409.6534, 15.70108
410.1355, 14.73755
410.6176, 12.61746
411.0998, 9.755005
411.5819, 8.708496
412.0640, 10.51117
412.5461, 13.26596
413.0282, 13.75519
413.5103, 12.35150
413.9925, 10.95099
414.4746, 11.12039
414.9567, 11.83466
415.4388, 11.33472
415.9209, 9.367584
416.4030, 7.219513
416.8852, 5.799042
417.3673, 4.933136
417.8494, 4.327942
418.3315, 3.931183
418.8136, 3.704468
419.2957, 3.691650
419.7779, 3.864136
420.2600, 4.018982
420.7421, 4.356506
421.2242, 4.467590
421.7063, 4.008423
422.1884, 2.611023
422.6706, 1.228607
423.1527, 0.1872860
423.6348, 1.409180
424.1169, 2.023895
424.5990, 1.259216
425.0811, 0.5742800
425.5633, 0.6046140
426.0454, 1.569458
426.5275, 1.732758
427.0096, 0.5316470
427.4917, 1.016449
427.9738, 2.109741
428.4560, 2.696136
428.9381, 2.889465
429.4202, 2.520172
429.9023, 1.798615
430.3844, 1.445374
430.8665, 1.539673
431.3487, 1.785583
431.8308, 2.136047
432.3129, 2.613434
432.7950, 2.799347
433.2771, 2.735413
433.7592, 2.252991
434.2414, 0.6054080
434.7235, 2.034149
435.2056, 3.496063
435.6877, 2.527679
436.1698, 0.3463440
436.6519, 0.3665470
437.1341, 0.3194580
437.6162, 1.123047
438.0983, 1.122101
438.5804, 0.5964050
439.0625, 5.0322998E-02
439.5446, 0.8396300
440.0268, 1.444763
440.5089, 1.230103
440.9910, 0.6247560
441.4731, 0.5076600
441.9552, 1.997833
442.4373, 3.527466
442.9195, 4.046234
443.4016, 3.534607
443.8837, 2.815704
444.3658, 1.782104
444.8479, 0.9180300
445.3300, 0.6355290
445.8122, 1.786713
446.2943, 2.497894
446.7764, 2.202332
447.2585, 1.232788
447.7406, 0.4407650
448.2227, 0.3392330
448.7049, 0.7028200
449.1870, 0.3528440
449.6691, 0.9324950
450.1512, 1.576141
450.6333, 1.338135
451.1154, 0.7222900
451.5976, 0.1859740
452.0797, 0.2258910
452.5618, 0.6835330
453.0439, 1.253540
453.5260, 1.856445
454.0081, 2.349457
454.4903, 2.765686
454.9724, 2.849213
455.4545, 2.277435
455.9366, 1.170044
456.4187, 0.3533630
456.9008, 0.1157230
457.3830, 0.4202270
457.8651, 0.9027710
458.3472, 1.411346
458.8293, 1.373779
459.3114, 0.1558840
459.7935, 1.242279
460.2757, 1.515198
460.7578, 0.8121640
461.2399, 0.1033330
461.7220, 1.258575
462.2041, 2.131073
462.6862, 1.941925
463.1684, 0.2494510
463.6505, 0.9753720
464.1326, 5.8380000E-02
464.6147, 1.736328
465.0968, 2.785736
465.5789, 1.659271
466.0611, 0.6688840
466.5432, 0.8294680
467.0253, 1.996338
467.5074, 2.377502
467.9895, 0.8618770
468.4716, 0.7513730
468.9538, 1.635345
469.4359, 1.658020
469.9180, 1.191040
470.4001, 9.0392999E-02
470.8822, 1.638062
471.3643, 2.638977
471.8465, 2.989899
472.3286, 3.053406
472.8107, 2.782593
473.2928, 2.285889
473.7749, 2.342407
474.2570, 3.088623
474.7392, 3.654877
475.2213, 2.980621
475.7034, 1.356201
476.1855, 0.9478450
476.6676, 2.203918
477.1497, 3.954559
477.6319, 4.584412
478.1140, 4.379456
478.5961, 4.251007
479.0782, 4.673187
479.5603, 5.333191
480.0424, 5.934662
480.5246, 6.473572
481.0067, 6.865509
481.4888, 6.824707
481.9709, 6.732819
482.4530, 6.987823
482.9352, 7.710846
483.4173, 8.567932
483.8994, 9.840759
484.3815, 11.06894
484.8636, 11.54703
485.3457, 10.50775
485.8279, 9.224121
486.3100, 7.769806
486.7921, 6.165771
487.2742, 5.371582
487.7563, 5.799591
488.2384, 6.620178
488.7206, 7.489105
489.2027, 8.739960
489.6848, 9.062866
490.1669, 8.067169
490.6490, 6.550385
491.1311, 5.684143
491.6133, 5.493683
492.0954, 5.875214
492.5775, 6.953339
493.0596, 8.419373
493.5417, 9.056610
494.0238, 8.925262
494.5060, 8.402985
494.9881, 7.297791
495.4702, 6.002106
495.9523, 5.688416
496.4344, 6.677551
496.9165, 8.018768
497.3987, 8.923523
497.8808, 9.444366
498.3629, 9.702759
498.8450, 9.231659
499.3271, 8.952942
499.8092, 9.833557
500.2914, 11.61526
500.7735, 12.81210
501.2556, 12.05521
501.7377, 11.15674
502.2198, 11.32965
502.7019, 13.40057
503.1841, 14.75546
503.6662, 14.34009
504.1483, 13.35486
504.6304, 13.22308
505.1125, 14.65643
505.5946, 15.78644
506.0768, 16.25204
506.5589, 16.16956
507.0410, 16.05713
507.5231, 15.86230
508.0052, 15.80664
508.4873, 16.04395
508.9695, 16.57178
509.4516, 17.20743
509.9337, 17.94846
510.4158, 18.70602
510.8979, 19.33731
511.3800, 19.88226
511.8622, 20.52771
512.3443, 21.39355
512.8264, 22.30902
513.3085, 23.23572
513.7906, 24.12064
514.2728, 24.64062
514.7549, 23.94580
515.2370, 23.19846
515.7191, 23.51529
516.2012, 25.02957
516.6833, 26.69678
517.1655, 28.17422
517.6476, 29.45309
518.1297, 30.65631
518.6118, 31.99216
519.0939, 33.15207
519.5760, 33.63492
520.0582, 33.87659
520.5403, 34.96442
521.0224, 37.78534
521.5045, 40.11722
521.9866, 41.24380
522.4688, 41.12308
522.9509, 41.85675
523.4330, 43.53815
523.9151, 45.84711
524.3972, 48.85156
524.8793, 52.56366
525.3615, 55.34427
525.8436, 56.78165
526.3257, 57.99875
526.8078, 60.94830
527.2899, 65.32816
527.7720, 69.46863
528.2542, 72.65836
528.7363, 75.22232
529.2184, 77.25671
529.7005, 78.94577
530.1826, 81.38947
530.6647, 85.74976
531.1469, 90.85764
531.6290, 95.73514
532.1111, 100.1150
532.5932, 104.8049
533.0753, 110.0901
533.5574, 115.8780
534.0396, 121.9831
534.5217, 127.8956
535.0038, 134.7610
535.4859, 142.9958
535.9680, 152.3419
536.4501, 162.0544
536.9323, 171.5854
537.4144, 182.3849
537.8965, 194.9904
538.3786, 209.3636
538.8607, 224.6691
539.3428, 240.8753
539.8250, 257.7121
540.3071, 274.3577
540.7892, 290.8073
541.2713, 309.5074
541.7534, 331.0250
542.2355, 353.9671
542.7177, 376.2615
543.1998, 398.4332
543.6819, 421.5797
544.1640, 445.0366
544.6461, 470.2049
545.1282, 498.6253
545.6104, 530.0804
546.0925, 563.7929
546.5746, 600.4835
547.0567, 638.3791
547.5388, 676.5543
548.0209, 714.5290
548.5031, 753.7286
548.9852, 796.0679
549.4673, 839.2994
549.9494, 881.2369
550.4315, 923.9081
550.9136, 962.2631
551.3958, 996.9645
551.8779, 1026.807
552.3600, 1048.374
552.8421, 1062.573
553.3242, 1065.935
553.8063, 1056.778
554.2885, 1035.424
554.7706, 1003.582
555.2527, 961.0141
555.7348, 910.6197
556.2169, 851.4304
556.6990, 786.7148
557.1812, 722.7738
557.6633, 660.1284
558.1454, 600.4935
558.6275, 545.0405
559.1096, 493.9347
559.5917, 446.2455
560.0739, 401.4741
560.5560, 361.0771
561.0381, 326.4708
561.5202, 297.3264
562.0023, 270.8452
562.4844, 246.6838
562.9666, 224.5222
563.4487, 204.4537
563.9308, 186.5208
564.4129, 170.3540
564.8950, 155.8641
565.3771, 143.2479
565.8593, 132.9615
566.3414, 125.6617
566.8235, 117.6581
567.3056, 108.1343
567.7877, 98.30600
568.2698, 90.22818
568.7520, 83.78586
569.2341, 78.19189
569.7162, 73.26160
570.1983, 68.92093
570.6804, 65.05350
571.1625, 61.57040
571.6447, 58.04739
572.1268, 53.69537
572.6089, 49.57727
573.0910, 47.13776
573.5731, 46.80347
574.0552, 45.72043
574.5374, 41.67728
575.0195, 36.75900
575.5016, 32.95776
575.9837, 31.43436
576.4658, 29.99905
576.9479, 28.47702
577.4301, 26.96509
577.9122, 25.45593
578.3943, 23.61835
578.8764, 22.38681
579.3585, 22.28500
579.8406, 23.09283
580.3228, 23.30850
580.8049, 22.95093
581.2870, 21.89597
581.7691, 19.44980
582.2512, 16.13812
582.7333, 14.25079
583.2155, 14.02722
583.6976, 14.12213
584.1797, 13.12286
584.6617, 11.61264
585.1439, 10.58109
585.6260, 10.53433
586.1081, 10.60461
586.5902, 10.55225
587.0723, 10.20380
587.5544, 9.245483
588.0366, 6.217712
588.5187, 3.936035
589.0008, 3.625549
589.4829, 5.200043
589.9650, 6.433228
590.4471, 7.513885
590.9293, 7.982269
591.4114, 7.411774
591.8935, 5.558777
592.3756, 4.417419
592.8577, 4.103912
593.3398, 4.179932
593.8220, 4.264099
594.3041, 4.353302
594.7862, 4.416443
595.2683, 4.462250
595.7504, 4.453888
596.2325, 4.316437
596.7147, 4.081879
597.1968, 3.843414
597.6789, 3.631226
598.1610, 3.444214
598.6431, 3.402374
599.1252, 3.419281
599.6074, 3.150055
600.0895, 2.230042
600.5716, 1.199890
601.0537, 0.2168880
601.5358, 0.7845150
602.0179, 1.234680
602.5001, 0.6934510
602.9822, 3.5399999E-02
603.4643, 8.7890001E-03
603.9464, 0.9253540
604.4285, 1.147766
604.9106, 0.3410340
605.3928, 0.7492980
605.8749, 0.8179320
606.3570, 4.0100001E-02
606.8391, 0.5414120
607.3212, 0.1499630
607.8033, 0.6116640
608.2855, 0.9579160
608.7676, 0.9743040
609.2497, 1.024841
609.7318, 1.126892
610.2139, 1.485260
610.6960, 2.710938
611.1782, 4.748535
611.6603, 5.671875
612.1424, 3.246429
612.6245, 0.6364750
613.1066, 1.6174000E-02
613.5887, 3.134338
614.0709, 4.473633
614.5530, 3.100372
615.0351, 0.8032230
615.5172, 0.6634520
615.9993, 1.266754
616.4814, 1.105988
616.9636, 0.1087950
617.4457, 1.625488
617.9278, 1.982758
618.4099, 1.254517
618.8920, 0.2175290
619.3741, 1.273163
619.8563, 2.568329
620.3384, 2.462952
620.8205, 1.177216
621.3026, 0.1997070
621.7847, 1.639160
622.2668, 2.500275
622.7490, 1.860321
623.2311, 0.5477290
623.7132, 2.076965
624.1953, 1.267700
624.6774, 0.1539920
625.1595, 1.007721
625.6417, 1.182068
626.1238, 0.9565120
626.6059, 0.1959230
627.0880, 0.8000180
627.5701, 1.832581
628.0522, 2.999451
628.5344, 3.160400
629.0165, 1.742004
629.4986, 0.3086240
629.9807, 0.9831540
630.4628, 0.5322570
630.9449, 0.3004760
631.4271, 1.715759
631.9092, 3.191193
632.3913, 2.430176
632.8734, 0.1604000
633.3555, 1.941254
633.8376, 0.7194210
634.3198, 1.009338
634.8019, 1.615204
635.2840, 0.6286010
635.7661, 0.1850280
636.2482, 1.018738
636.7303, 2.032104
637.2125, 2.463196
637.6946, 2.081970
638.1767, 1.786743
638.6588, 1.621277
639.1409, 1.538086
639.6230, 1.461121
640.1052, 1.396729
640.5873, 1.472626
641.0694, 1.790924
641.5515, 2.115509
642.0336, 2.024872
642.5157, 1.650330
642.9979, 1.361969
643.4800, 1.275238
643.9621, 1.394241
644.4442, 1.833908
644.9263, 2.531448
645.4084, 3.128632
645.8906, 3.302399
