##NAMES=Berthierine
##RRUFFID=R110177
##IDEAL CHEMISTRY=(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_
##LOCALITY=DeMix quarry, Mont St-Hilaire, Quebec
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Hexagonal prisms, with gray transparent terminations. We sample the terminations.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110177
374.6060, 254.1797
375.0881, 256.0193
375.5703, 258.3697
376.0524, 259.6627
376.5345, 259.6220
377.0166, 259.1260
377.4987, 258.4032
377.9808, 257.2665
378.4630, 255.2159
378.9451, 252.0348
379.4272, 248.4459
379.9093, 246.3054
380.3914, 247.6484
380.8735, 246.9196
381.3557, 243.1833
381.8378, 238.2111
382.3199, 232.5240
382.8020, 226.3730
383.2841, 220.7314
383.7662, 217.1446
384.2484, 216.1902
384.7305, 214.1632
385.2126, 210.3565
385.6947, 206.2032
386.1768, 201.7531
386.6589, 197.2919
387.1411, 193.3627
387.6232, 190.4228
388.1053, 187.8324
388.5874, 183.2157
389.0695, 174.7140
389.5516, 167.4847
390.0338, 163.1035
390.5159, 160.4202
390.9980, 158.7413
391.4801, 157.6740
391.9622, 156.2083
392.4443, 152.8332
392.9265, 147.3270
393.4086, 142.1312
393.8907, 137.0395
394.3728, 132.9144
394.8549, 131.2747
395.3370, 131.3126
395.8192, 130.0670
396.3013, 124.6364
396.7834, 116.4911
397.2655, 110.6612
397.7476, 107.8140
398.2297, 105.5892
398.7119, 102.9882
399.1940, 100.1810
399.6761, 97.44135
400.1582, 94.97101
400.6403, 92.27332
401.1224, 88.26740
401.6046, 83.06927
402.0867, 79.51648
402.5688, 79.35876
403.0509, 80.21405
403.5330, 79.40973
404.0151, 76.96442
404.4973, 73.52289
404.9794, 68.10962
405.4615, 62.23383
405.9436, 59.08459
406.4257, 59.38110
406.9078, 59.68121
407.3900, 56.92737
407.8721, 51.68726
408.3542, 47.17389
408.8363, 43.88574
409.3184, 41.14685
409.8005, 38.58521
410.2827, 36.24316
410.7648, 34.35657
411.2469, 33.07404
411.7290, 32.21735
412.2111, 31.45868
412.6932, 30.93451
413.1754, 30.16614
413.6575, 28.85693
414.1396, 27.37775
414.6217, 26.10199
415.1038, 25.09540
415.5859, 24.16217
416.0681, 23.03137
416.5502, 21.61926
417.0323, 21.07898
417.5144, 21.94434
417.9965, 22.96600
418.4786, 23.77551
418.9608, 24.35614
419.4429, 24.76965
419.9250, 25.06622
420.4071, 25.27014
420.8892, 25.35162
421.3713, 25.20490
421.8535, 24.68872
422.3356, 23.30103
422.8177, 22.14929
423.2998, 22.21796
423.7819, 23.54932
424.2640, 25.39087
424.7462, 26.98181
425.2283, 28.30377
425.7104, 29.78979
426.1925, 31.69867
426.6746, 33.48322
427.1567, 34.68646
427.6389, 35.82294
428.1210, 37.73834
428.6031, 40.85083
429.0852, 44.06622
429.5673, 45.43567
430.0494, 44.45898
430.5316, 44.09229
431.0137, 45.28583
431.4958, 46.63989
431.9779, 47.28113
432.4600, 47.34521
432.9421, 47.96417
433.4243, 50.45642
433.9064, 54.16461
434.3885, 56.47443
434.8706, 56.82031
435.3527, 56.63666
435.8348, 56.33081
436.3170, 56.17334
436.7991, 56.74689
437.2812, 58.59680
437.7633, 60.83710
438.2454, 62.30621
438.7275, 62.92371
439.2097, 63.87952
439.6918, 65.80499
440.1739, 67.80457
440.6560, 68.33899
441.1381, 67.32874
441.6202, 66.56354
442.1024, 66.44604
442.5845, 66.71045
443.0666, 67.55890
443.5487, 68.99121
444.0308, 70.80524
444.5129, 73.10297
444.9951, 75.51978
445.4772, 75.52588
445.9593, 71.46771
446.4414, 67.36090
446.9235, 63.98553
447.4056, 61.45294
447.8878, 60.16803
448.3699, 60.23376
448.8520, 60.69006
449.3341, 59.96393
449.8162, 57.25543
450.2983, 55.67114
450.7805, 56.56506
451.2626, 57.17053
451.7447, 55.78235
452.2268, 52.84601
452.7089, 49.77277
453.1910, 47.48413
453.6732, 45.86676
454.1553, 44.54852
454.6374, 44.01318
455.1195, 42.91602
455.6016, 40.27600
456.0837, 37.55634
456.5659, 36.30359
457.0480, 36.65424
457.5301, 37.11633
458.0122, 35.89075
458.4943, 33.01489
458.9764, 31.03815
459.4586, 30.96844
459.9407, 30.38123
460.4228, 27.28290
460.9049, 22.99048
461.3870, 19.94037
461.8691, 19.37622
462.3513, 19.74152
462.8334, 19.00549
463.3155, 17.23273
463.7976, 16.23718
464.2797, 17.07001
464.7618, 18.33398
465.2440, 18.15723
465.7261, 16.53192
466.2082, 14.95636
466.6903, 13.70471
467.1724, 12.89008
467.6545, 13.00122
468.1367, 13.98096
468.6188, 14.47943
469.1009, 13.47937
469.5830, 11.30157
470.0651, 9.517822
470.5472, 7.795471
471.0294, 6.830078
471.5115, 7.510559
471.9936, 8.755310
472.4757, 9.200867
472.9578, 8.493347
473.4399, 7.101868
473.9221, 5.495544
474.4042, 3.568604
474.8863, 2.128540
475.3684, 1.459900
475.8505, 0.8800660
476.3326, 0.2308960
476.8148, 0.5188600
477.2969, 1.591980
477.7790, 3.120728
478.2611, 4.447205
478.7432, 3.796631
479.2253, 3.2226998E-02
479.7075, 2.437317
480.1896, 1.878235
480.6717, 0.6213380
481.1538, 0.2701420
481.6359, 0.6513060
482.1180, 0.9384160
482.6002, 1.346436
483.0823, 1.756409
483.5644, 2.104858
484.0465, 2.309021
484.5286, 2.723938
485.0107, 4.282043
485.4929, 5.722290
485.9750, 5.084595
486.4571, 1.625854
486.9392, 1.092651
487.4213, 0.2196040
487.9034, 3.648071
488.3856, 4.535767
488.8677, 1.883667
489.3498, 0.9695430
489.8319, 0.9759520
490.3140, 1.647522
490.7961, 3.100647
491.2783, 3.046021
491.7604, 2.119629
492.2425, 0.1434330
492.7246, 2.827942
493.2067, 4.201782
493.6888, 3.646118
494.1710, 1.946838
494.6531, 0.2340700
495.1352, 2.043762
495.6173, 2.190369
496.0994, 1.721436
496.5815, 5.693848
497.0637, 8.250427
497.5458, 9.214417
498.0279, 8.267212
498.5100, 5.012329
498.9921, 0.7788700
499.4742, 0.8156740
499.9564, 1.689758
500.4385, 3.248718
500.9206, 1.864563
501.4027, 0.3329470
501.8848, 0.3551030
502.3669, 1.949768
502.8491, 4.086548
503.3312, 6.438416
503.8133, 8.710022
504.2954, 10.15192
504.7775, 10.76221
505.2596, 10.78156
505.7418, 9.717651
506.2239, 8.446777
506.7060, 8.357544
507.1881, 9.854065
507.6702, 11.18335
508.1523, 11.15759
508.6345, 10.57928
509.1166, 10.84412
509.5987, 12.16321
510.0808, 13.31323
510.5629, 13.09094
511.0450, 11.61285
511.5272, 10.98560
512.0093, 11.30237
512.4914, 12.41022
512.9735, 15.33167
513.4556, 18.56171
513.9377, 20.13593
514.4199, 19.60455
514.9020, 18.02509
515.3841, 16.57214
515.8662, 14.93146
516.3483, 14.81494
516.8304, 18.97156
517.3126, 21.90906
517.7947, 21.48279
518.2768, 19.05475
518.7589, 16.52545
519.2410, 14.48395
519.7231, 13.12769
520.2053, 13.12262
520.6874, 14.67065
