##NAMES=Pyrophanite
##RRUFFID=R070211
##IDEAL CHEMISTRY=Mn^2+^TiO_3_
##LOCALITY=Harstigen Mine, Pajsberg, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Red-brown platy crystals with deep red internal hints, associated with barite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070211
334.5971, 3662.527
335.0792, 3633.631
335.5613, 3577.005
336.0434, 3487.039
336.5255, 3378.136
337.0077, 3250.199
337.4898, 3109.220
337.9719, 2966.342
338.4540, 2830.122
338.9361, 2700.386
339.4182, 2573.958
339.9004, 2440.014
340.3825, 2328.615
340.8646, 2247.491
341.3467, 2190.610
341.8288, 2151.129
342.3109, 2126.610
342.7931, 2116.752
343.2752, 2123.841
343.7573, 2149.876
344.2394, 2178.693
344.7215, 2202.892
345.2036, 2232.179
345.6858, 2276.189
346.1679, 2335.101
346.6500, 2396.338
347.1321, 2443.042
347.6142, 2486.010
348.0963, 2559.073
348.5785, 2670.923
349.0606, 2793.008
349.5427, 2904.989
350.0248, 3009.748
350.5069, 3115.544
350.9890, 3222.201
351.4712, 3334.972
351.9533, 3452.972
352.4354, 3577.604
352.9175, 3722.011
353.3996, 3892.769
353.8817, 4087.018
354.3639, 4301.315
354.8460, 4536.995
355.3281, 4780.977
355.8102, 5038.064
356.2923, 5298.988
356.7744, 5556.617
357.2566, 5808.472
357.7387, 6039.436
358.2208, 6238.338
358.7029, 6414.466
359.1850, 6494.570
359.6671, 6486.919
360.1493, 6393.191
360.6314, 6201.804
361.1135, 5924.564
361.5956, 5575.823
362.0777, 5157.325
362.5598, 4689.754
363.0420, 4245.530
363.5241, 3834.783
364.0062, 3433.253
364.4883, 3008.925
364.9704, 2609.025
365.4525, 2278.705
365.9347, 2026.193
366.4168, 1813.231
366.8989, 1597.418
367.3810, 1374.748
367.8631, 1190.140
368.3452, 1060.797
368.8274, 953.2266
369.3095, 847.6575
369.7916, 747.8855
370.2737, 665.4146
370.7558, 613.5840
371.2379, 575.4258
371.7201, 519.9668
372.2022, 444.7788
372.6843, 376.6028
