##NAMES=Kuksite
##RRUFFID=R110039
##IDEAL CHEMISTRY=Pb_3_Zn_3_Te^6+^O_6_(PO_4_)_2_
##LOCALITY=Blue Bell claims, Baker, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Brent Thorne
##DESCRIPTION=Pale-green short-primatic hexagonal crystals, associated with colorless elongated tabular hemimorphite and yellow to brown-yellow andradite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110039
304.5520, 1.623260
305.0341, 1.470612
305.5162, 1.581512
305.9984, 2.402802
306.4805, 3.879303
306.9626, 5.671692
307.4447, 7.809113
307.9268, 10.03656
308.4089, 12.00568
308.8911, 13.65362
309.3732, 14.98547
309.8553, 15.70453
310.3374, 16.03033
310.8195, 16.72180
311.3016, 18.53098
311.7838, 20.72299
312.2659, 22.57910
312.7480, 23.68951
313.2301, 25.07715
313.7122, 27.63058
314.1943, 30.92587
314.6765, 34.02234
315.1586, 36.52914
315.6407, 38.68790
316.1228, 40.52768
316.6049, 41.90701
317.0870, 43.65759
317.5692, 46.48502
318.0513, 49.77170
318.5334, 52.63348
319.0155, 54.38464
319.4976, 56.13358
319.9797, 58.49326
320.4619, 61.51767
320.9440, 64.25983
321.4261, 66.30798
321.9082, 67.95633
322.3903, 69.47314
322.8724, 71.00662
323.3546, 72.33072
323.8367, 73.51443
324.3188, 74.56519
324.8009, 75.08295
325.2830, 74.43668
325.7651, 73.55212
326.2473, 73.02805
326.7294, 73.67532
327.2115, 73.81888
327.6936, 73.20810
328.1757, 71.94626
328.6578, 70.49768
329.1400, 68.74094
329.6221, 66.93018
330.1042, 65.14529
330.5863, 63.19595
331.0684, 61.64172
331.5505, 60.86829
332.0327, 60.42340
332.5148, 59.26624
332.9969, 56.74164
333.4790, 54.33542
333.9611, 52.54752
334.4432, 51.54480
334.9254, 50.44373
335.4075, 49.20181
335.8896, 47.88531
336.3717, 46.58060
336.8538, 45.28040
337.3359, 44.02972
337.8180, 42.78149
338.3001, 41.54800
338.7823, 40.83511
339.2644, 40.87897
339.7465, 41.01428
340.2286, 40.50592
340.7107, 39.22498
341.1928, 38.15555
341.6750, 37.55490
342.1571, 37.30453
342.6392, 36.96411
343.1213, 36.50858
343.6034, 36.09818
344.0855, 35.88644
344.5677, 35.86646
345.0498, 35.73639
345.5319, 35.39969
346.0140, 35.04242
346.4961, 35.17496
346.9782, 35.77017
347.4604, 36.12561
347.9425, 35.51788
348.4246, 34.29471
348.9067, 33.83145
349.3888, 34.29102
349.8709, 35.05795
350.3531, 35.44766
350.8352, 35.52301
351.3173, 35.52261
351.7994, 35.63443
352.2815, 35.69885
352.7636, 35.38245
353.2458, 34.68866
353.7279, 33.95581
354.2100, 33.38733
354.6921, 32.97067
355.1742, 32.70004
355.6563, 33.02817
356.1385, 33.02808
356.6206, 31.39883
357.1027, 28.48376
357.5848, 25.93692
358.0669, 25.05106
358.5490, 24.84479
359.0312, 24.42441
359.5133, 23.53577
359.9954, 22.63217
360.4775, 22.00455
360.9596, 21.50452
361.4417, 20.83932
361.9239, 19.85648
362.4060, 18.70251
362.8881, 17.38876
363.3702, 15.86319
363.8523, 14.50272
364.3344, 13.49200
364.8166, 12.68845
365.2987, 11.91522
365.7808, 11.41550
366.2629, 10.68222
366.7450, 9.330780
367.2271, 7.368317
367.7093, 5.986542
368.1914, 5.817810
368.6735, 5.954865
369.1556, 5.804443
369.6377, 4.890076
370.1198, 4.258148
370.6020, 4.161316
371.0841, 4.400787
371.5662, 4.246216
372.0483, 3.428772
372.5304, 2.540527
373.0125, 1.838745
373.4947, 1.447998
373.9768, 0.8473210
374.4589, 0.2070310
374.9410, 1.284271
375.4231, 1.543884
375.9052, 0.5643310
376.3874, 4.1687001E-02
376.8695, 0.3913570
377.3516, 1.824524
377.8337, 2.534912
378.3158, 2.402283
378.7979, 1.895813
379.2801, 1.401611
379.7622, 0.9068300
380.2443, 0.5131530
380.7264, 0.1979370
381.2085, 2.4323000E-02
381.6906, 0.2787780
382.1728, 0.9739990
382.6549, 1.595978
383.1370, 1.776947
383.6191, 1.595856
384.1012, 1.331268
384.5833, 1.009064
385.0655, 0.6344910
385.5476, 0.2185360
386.0297, 0.2410580
386.5118, 0.7375490
386.9939, 1.405487
387.4760, 2.060913
387.9582, 2.419891
388.4403, 2.482056
388.9224, 2.420319
389.4045, 2.253235
389.8866, 2.087738
390.3687, 2.085083
390.8509, 2.449799
391.3330, 2.839661
391.8151, 2.896332
392.2972, 2.736633
392.7793, 2.826599
393.2614, 3.534515
393.7436, 4.488403
394.2257, 5.497101
394.7078, 6.651459
395.1899, 7.520691
395.6720, 7.698517
396.1541, 7.532898
396.6363, 7.585571
397.1184, 8.261047
397.6005, 8.921204
398.0826, 9.211426
398.5647, 9.014771
399.0468, 9.325470
399.5290, 11.00415
400.0111, 12.79709
400.4932, 13.68445
400.9753, 12.62198
401.4574, 12.05905
401.9395, 12.35754
402.4217, 13.35336
402.9038, 14.28259
403.3859, 15.14056
403.8680, 15.94177
404.3501, 16.63486
404.8322, 17.06778
405.3144, 17.99915
405.7965, 19.72391
406.2786, 21.58096
406.7607, 22.34570
407.2428, 21.79074
407.7249, 21.38953
408.2071, 21.70364
408.6892, 22.60248
409.1713, 23.22079
409.6534, 23.51578
410.1355, 23.78580
410.6176, 24.31570
411.0998, 25.06921
411.5819, 25.84662
412.0640, 26.64081
412.5461, 27.38583
413.0282, 27.86957
413.5103, 28.15805
413.9925, 28.65271
414.4746, 29.91995
414.9567, 31.44089
415.4388, 32.30286
415.9209, 32.38574
416.4030, 32.35074
416.8852, 32.72879
417.3673, 33.37106
417.8494, 34.03421
418.3315, 34.67761
418.8136, 35.28113
419.2957, 35.78705
419.7779, 36.22214
420.2600, 36.77756
420.7421, 37.75372
421.2242, 38.76016
421.7063, 39.45615
422.1884, 39.56140
422.6706, 39.81311
423.1527, 40.32474
423.6348, 41.11551
424.1169, 42.21500
424.5990, 44.14133
425.0811, 45.88788
425.5633, 47.06723
426.0454, 47.57483
426.5275, 48.26096
427.0096, 49.24561
427.4917, 50.30420
427.9738, 51.27664
428.4560, 52.14932
428.9381, 52.93866
429.4202, 53.60794
429.9023, 54.16635
430.3844, 54.73099
430.8665, 55.36786
431.3487, 55.82632
431.8308, 55.85489
432.3129, 55.38513
432.7950, 55.20779
433.2771, 55.44281
433.7592, 55.92505
434.2414, 56.46030
434.7235, 56.95755
435.2056, 56.98846
435.6877, 56.30484
436.1698, 55.33337
436.6519, 54.92871
437.1341, 55.06665
437.6162, 55.25357
438.0983, 55.21881
438.5804, 54.96002
439.0625, 54.40259
439.5446, 53.42075
440.0268, 52.39108
440.5089, 51.67642
440.9910, 51.20999
441.4731, 50.82635
441.9552, 50.72037
442.4373, 50.45523
442.9195, 49.55713
443.4016, 48.04080
443.8837, 46.82773
444.3658, 46.57410
444.8479, 46.60400
445.3300, 46.38434
445.8122, 45.71497
446.2943, 44.87299
446.7764, 43.61841
447.2585, 42.20459
447.7406, 41.28903
448.2227, 41.50208
448.7049, 41.64752
449.1870, 41.37473
449.6691, 40.62518
450.1512, 39.79193
450.6333, 38.75095
451.1154, 37.78510
451.5976, 37.21158
452.0797, 37.17862
452.5618, 37.08539
453.0439, 36.90799
453.5260, 36.58701
454.0081, 35.73026
454.4903, 34.20096
454.9724, 33.03369
455.4545, 33.01080
455.9366, 33.95132
456.4187, 34.62646
456.9008, 34.99567
457.3830, 35.05753
457.8651, 34.52139
458.3472, 33.61273
458.8293, 33.12381
459.3114, 33.57193
459.7935, 34.27911
460.2757, 34.33585
460.7578, 33.85028
461.2399, 33.39676
461.7220, 33.51257
462.2041, 33.72769
462.6862, 33.49982
463.1684, 32.61612
463.6505, 31.92365
464.1326, 32.14932
464.6147, 32.74689
465.0968, 33.01312
465.5789, 32.75769
466.0611, 32.12949
466.5432, 30.94681
467.0253, 29.29364
467.5074, 27.97556
467.9895, 27.22461
468.4716, 26.72491
468.9538, 26.37415
469.4359, 26.39114
469.9180, 26.07007
470.4001, 25.27658
470.8822, 24.22595
471.3643, 23.20490
471.8465, 22.16660
472.3286, 21.28763
472.8107, 20.67841
473.2928, 20.27185
473.7749, 19.62634
474.2570, 18.71246
474.7392, 17.71014
475.2213, 16.73938
475.7034, 15.79462
476.1855, 14.87735
476.6676, 14.02698
477.1497, 13.07709
477.6319, 11.67477
478.1140, 9.967804
478.5961, 8.450012
479.0782, 7.475525
479.5603, 6.719360
480.0424, 5.793762
480.5246, 4.719604
481.0067, 3.700897
481.4888, 2.852173
481.9709, 2.118469
482.4530, 1.443909
482.9352, 0.7808230
483.4173, 0.2598270
483.8994, 5.5877998E-02
484.3815, 6.8660001E-03
484.8636, 0.1933900
485.3457, 0.8849790
485.8279, 1.380646
486.3100, 1.350311
486.7921, 0.7900390
487.2742, 0.5586850
487.7563, 0.8193050
488.2384, 1.227692
488.7206, 1.601013
489.2027, 1.929626
489.6848, 2.250977
490.1669, 2.643585
490.6490, 2.935272
491.1311, 2.826050
491.6133, 2.277679
492.0954, 1.602325
492.5775, 0.8802190
493.0596, 0.1096190
493.5417, 0.9052730
494.0238, 2.167877
494.5060, 3.013306
494.9881, 2.527466
495.4702, 1.254639
495.9523, 0.5904540
496.4344, 0.7825930
496.9165, 1.270752
497.3987, 1.402130
497.8808, 1.437134
498.3629, 1.866547
498.8450, 3.441711
499.3271, 5.019592
499.8092, 5.854034
500.2914, 6.030945
500.7735, 5.971588
501.2556, 5.455902
501.7377, 5.054474
502.2198, 5.171387
502.7019, 6.143372
503.1841, 6.889526
503.6662, 7.003296
504.1483, 6.945618
504.6304, 7.277374
505.1125, 8.477020
505.5946, 9.259583
506.0768, 9.213837
506.5589, 8.574799
507.0410, 8.542480
507.5231, 9.216522
508.0052, 10.20084
508.4873, 11.35776
508.9695, 12.67206
509.4516, 14.11221
509.9337, 15.76846
510.4158, 17.15414
510.8979, 17.35513
511.3800, 16.68738
511.8622, 16.62299
512.3443, 17.78424
512.8264, 19.38666
513.3085, 20.35632
513.7906, 20.86432
514.2728, 21.52090
514.7549, 22.78366
515.2370, 24.27545
515.7191, 25.62573
516.2012, 26.79904
516.6833, 28.18619
517.1655, 30.38159
517.6476, 32.67035
518.1297, 34.43512
518.6118, 34.97781
519.0939, 35.70685
519.5760, 36.94614
520.0582, 38.51025
520.5403, 39.96680
521.0224, 41.05270
521.5045, 42.38281
521.9866, 44.24420
