##NAMES=Quenselite
##RRUFFID=R100036
##IDEAL CHEMISTRY=PbMn^3+^O_2_(OH)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Tabular to rectangular blocky, black with a hint of red highlights
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100036
294.9097, 33.35104
295.3918, 33.19215
295.8739, 32.89958
296.3560, 31.66068
296.8381, 30.21913
297.3203, 30.49210
297.8024, 32.59901
298.2845, 35.51871
298.7666, 39.13483
299.2487, 42.84654
299.7308, 44.93996
300.2130, 43.02043
300.6951, 39.64252
301.1772, 38.95049
301.6593, 40.99157
302.1414, 44.40343
302.6235, 48.97382
303.1057, 54.04483
303.5878, 58.09162
304.0699, 59.99934
304.5520, 61.04665
305.0341, 62.70219
305.5162, 64.97677
305.9984, 67.45827
306.4805, 69.41329
306.9626, 71.49141
307.4447, 74.65001
307.9268, 79.76173
308.4089, 85.26208
308.8911, 89.59186
309.3732, 93.05503
309.8553, 96.90706
310.3374, 101.7900
310.8195, 107.4767
311.3016, 113.8315
311.7838, 121.1925
312.2659, 128.4045
312.7480, 134.3852
313.2301, 139.5281
313.7122, 144.9322
314.1943, 151.8301
314.6765, 158.7694
315.1586, 164.9076
315.6407, 170.2549
316.1228, 174.2991
316.6049, 176.4887
317.0870, 177.2147
317.5692, 177.1039
318.0513, 176.7742
318.5334, 175.3511
319.0155, 172.3099
319.4976, 167.4754
319.9797, 161.7758
320.4619, 155.3636
320.9440, 148.2594
321.4261, 140.5807
321.9082, 131.5751
322.3903, 122.6773
322.8724, 114.3905
323.3546, 106.7442
323.8367, 99.09251
324.3188, 90.64915
324.8009, 82.48940
325.2830, 75.52921
325.7651, 71.02220
326.2473, 66.37463
326.7294, 61.04836
327.2115, 55.16124
327.6936, 49.64172
328.1757, 44.54248
328.6578, 39.88643
329.1400, 35.66014
329.6221, 31.52103
330.1042, 28.36755
