##NAMES=Normandite
##RRUFFID=R120066
##IDEAL CHEMISTRY=NaCa(Mn,Fe)(Ti,Nb,Zr)(Si_2_O_7_)OF
##LOCALITY=Partomchorr Mt., Khibiny Massif, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Radiating aggregate of brown bladed crystals, twinned around (001)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120066
302.7706, 167.9203
303.2527, 170.2571
303.7349, 172.2633
304.2170, 173.9499
304.6991, 175.4077
305.1812, 176.4647
305.6633, 176.9054
306.1454, 176.6599
306.6276, 175.8954
307.1097, 174.7103
307.5918, 173.1155
308.0739, 171.1738
308.5560, 168.8855
309.0381, 166.2636
309.5203, 163.5350
310.0024, 160.7390
310.4845, 157.2957
310.9666, 152.6449
311.4487, 146.9537
311.9308, 141.0771
312.4130, 135.2390
312.8951, 129.1870
313.3772, 122.6386
313.8593, 115.6596
314.3414, 108.9066
314.8235, 102.7177
315.3057, 96.98108
315.7878, 91.40903
316.2699, 86.18027
316.7520, 80.69470
317.2341, 74.15173
317.7162, 67.05261
318.1984, 60.45471
318.6805, 55.00198
319.1626, 50.18002
319.6447, 45.11331
320.1268, 39.69302
320.6089, 34.59534
321.0911, 30.24008
321.5732, 26.42429
322.0553, 22.96185
322.5374, 19.84787
323.0195, 16.98624
323.5016, 14.43835
323.9838, 12.18723
324.4659, 9.704651
324.9480, 6.472076
325.4301, 3.153046
325.9122, 0.5925900
326.3943, 1.119934
326.8765, 2.487183
327.3586, 3.891296
327.8407, 5.288055
328.3228, 6.344086
328.8049, 6.880051
329.2870, 7.180450
329.7692, 7.443680
330.2513, 7.681488
330.7334, 8.138107
331.2155, 9.255386
331.6976, 10.64362
332.1797, 11.38098
332.6619, 11.30684
333.1440, 10.76129
333.6261, 9.804657
334.1082, 8.577682
334.5903, 7.389450
335.0724, 6.525208
335.5546, 5.653152
336.0367, 4.232498
336.5188, 2.205597
337.0009, 0.2510990
337.4830, 1.097046
337.9651, 2.165741
338.4473, 3.566147
338.9294, 5.451569
339.4115, 7.541885
339.8936, 9.657730
340.3757, 11.80095
340.8578, 13.92491
341.3400, 15.95389
341.8221, 18.03404
342.3042, 20.32710
342.7863, 22.81210
343.2684, 25.59024
343.7505, 28.90794
344.2327, 32.54930
344.7148, 35.96008
345.1969, 38.96152
345.6790, 41.87759
346.1611, 45.01122
346.6432, 48.33804
347.1254, 51.96855
347.6075, 56.09001
348.0896, 60.45050
348.5717, 64.63837
349.0538, 68.62308
349.5359, 72.74641
350.0181, 77.30412
350.5002, 82.25046
350.9823, 87.26331
351.4644, 92.61154
351.9465, 97.75439
352.4286, 102.0565
352.9108, 105.7222
353.3929, 109.8752
353.8750, 115.2081
354.3571, 121.1924
354.8392, 126.4892
355.3214, 130.8514
355.8035, 135.1929
356.2856, 140.1196
356.7677, 145.1808
357.2498, 149.5079
357.7319, 152.8147
358.2141, 155.5730
358.6962, 158.3457
359.1783, 161.0846
359.6604, 164.1460
360.1425, 168.2074
360.6246, 172.2339
361.1068, 175.3063
361.5889, 177.3436
362.0710, 178.6121
362.5531, 179.2532
363.0352, 179.2517
363.5173, 179.1287
363.9995, 179.1283
364.4816, 178.7675
364.9637, 177.6072
365.4458, 175.8992
365.9279, 174.3478
366.4100, 173.3858
366.8922, 172.6832
367.3743, 171.1702
367.8564, 168.0309
368.3385, 165.2743
368.8206, 163.3277
369.3027, 161.7850
369.7849, 160.2551
370.2670, 158.6304
370.7491, 156.9440
371.2312, 155.2616
371.7133, 153.6846
372.1954, 151.7288
372.6776, 149.1225
373.1597, 146.3685
373.6418, 143.5872
374.1239, 140.9175
374.6060, 138.6651
375.0881, 137.0864
375.5703, 136.1555
376.0524, 134.9892
376.5345, 133.4315
377.0166, 131.8215
377.4987, 129.9057
377.9808, 128.0701
378.4630, 126.9928
378.9451, 126.9973
379.4272, 127.5068
379.9093, 127.0960
380.3914, 124.8672
380.8735, 123.1880
381.3557, 122.3307
381.8378, 121.8464
382.3199, 121.4584
382.8020, 121.0932
383.2841, 120.7539
383.7662, 120.4073
384.2484, 119.9843
384.7305, 119.7192
385.2126, 120.1871
385.6947, 120.2454
386.1768, 119.2503
386.6589, 117.6331
387.1411, 116.2174
387.6232, 115.5008
388.1053, 115.3154
388.5874, 115.1056
389.0695, 115.0482
389.5516, 114.4670
390.0338, 112.7717
390.5159, 110.8994
390.9980, 109.7336
391.4801, 109.5323
391.9622, 109.8223
392.4443, 110.0752
392.9265, 110.2765
