##NAMES=Ktenasite
##RRUFFID=R090002
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Radial aggregates of bluish green tabular crystals associated with serpierite, R060475
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090002
476.2190, 121.0627
476.7011, 125.4675
477.1833, 125.6422
477.6654, 123.2413
478.1475, 122.7631
478.6296, 128.0176
479.1117, 134.8286
479.5938, 138.6049
480.0760, 139.5920
480.5581, 140.3243
481.0402, 142.8013
481.5223, 145.9251
482.0044, 148.8940
482.4865, 151.5828
482.9687, 153.6685
483.4508, 154.8436
483.9329, 155.2855
484.4150, 155.3203
484.8971, 155.0292
485.3792, 154.4419
485.8614, 153.8867
486.3435, 153.1444
486.8256, 150.5554
487.3077, 145.1918
487.7898, 139.4039
488.2719, 134.4968
488.7541, 131.1198
489.2362, 126.6584
489.7183, 120.3481
490.2004, 113.6832
490.6825, 109.1680
491.1646, 107.0201
491.6468, 105.1239
492.1289, 103.2604
492.6110, 101.0012
493.0931, 96.25964
493.5752, 89.05737
494.0573, 82.35712
494.5395, 78.67395
495.0216, 76.93890
495.5037, 74.63928
495.9858, 71.33362
496.4679, 68.09961
496.9500, 66.62482
497.4322, 65.94043
497.9143, 64.41077
498.3964, 60.68646
498.8785, 56.51843
499.3606, 52.22821
499.8427, 48.10461
500.3249, 45.74139
500.8070, 47.70276
501.2891, 49.98938
501.7712, 50.43158
502.2533, 48.29761
502.7354, 45.71814
503.2176, 42.15631
503.6997, 38.59009
504.1818, 36.00726
504.6639, 34.63354
505.1460, 33.84491
505.6281, 33.76733
506.1103, 34.16516
506.5924, 34.27484
507.0745, 34.20959
507.5566, 33.43176
508.0387, 30.78925
508.5208, 26.50128
509.0030, 25.88367
509.4851, 29.59131
509.9672, 33.29071
510.4493, 31.39062
510.9314, 25.49011
511.4135, 21.14197
511.8957, 20.42834
512.3778, 20.74042
512.8599, 18.96533
513.3420, 15.71057
513.8242, 12.74811
514.3063, 10.95569
514.7884, 9.806702
515.2705, 8.988770
515.7526, 8.483215
516.2347, 8.134338
516.7169, 8.465393
517.1990, 8.577148
517.6811, 7.762695
518.1632, 5.040039
518.6453, 2.545654
519.1274, 0.2640990
519.6096, 1.633728
520.0917, 2.774414
520.5738, 2.999817
521.0559, 2.691040
521.5380, 1.549316
522.0201, 0.3010250
522.5023, 0.3551030
522.9844, 1.995605
523.4665, 4.410767
523.9486, 4.867615
524.4307, 3.498291
524.9128, 3.096741
525.3950, 3.994995
525.8771, 5.486328
526.3592, 7.089783
526.8413, 8.589539
527.3234, 9.218994
527.8055, 8.289673
528.2877, 6.740540
528.7698, 5.310303
529.2519, 4.105469
529.7340, 3.520752
530.2161, 4.051270
530.6982, 5.105225
531.1804, 6.477783
531.6625, 8.269653
532.1446, 9.392578
532.6267, 9.169128
533.1088, 8.243835
533.5909, 7.212158
534.0731, 5.688354
534.5552, 4.612061
535.0373, 4.128662
