##NAMES=Montroydite
##RRUFFID=R140877
##IDEAL CHEMISTRY=HgO
##LOCALITY=Terlingua, Texas, USA
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Red crystals with good cleavage, associated with yellow terlinguaite (R130878).
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140877
390.1419, 6.886780
390.6240, 7.574463
391.1061, 6.182678
391.5883, 3.953949
392.0704, 2.214264
392.5525, 1.562775
393.0346, 1.165405
393.5167, 0.6530760
393.9988, 8.1207000E-02
394.4810, 0.3804930
394.9631, 0.5320430
395.4452, 0.6478270
395.9273, 0.9164730
396.4094, 1.482117
396.8915, 1.830688
397.3737, 1.735046
397.8558, 1.426697
398.3379, 1.183472
398.8200, 1.115784
399.3021, 1.016632
399.7842, 0.8380130
400.2664, 0.5893250
400.7485, 0.4480290
401.2306, 0.4560850
401.7127, 0.5332030
402.1948, 0.6555180
402.6769, 0.9542850
403.1591, 0.9762270
403.6412, 0.4674380
404.1233, 0.2254330
404.6054, 0.1020810
405.0875, 1.213593
405.5696, 2.225861
406.0518, 2.044678
406.5339, 0.6052860
407.0160, 0.3740230
407.4981, 1.679443
407.9802, 3.254150
408.4623, 3.499451
408.9445, 2.437195
409.4266, 1.448700
409.9087, 0.8752140
410.3908, 0.6044620
410.8729, 0.4754030
411.3550, 0.4765320
411.8372, 0.4027710
412.3193, 0.1125490
412.8014, 0.7973330
413.2835, 0.9264530
413.7656, 0.3009640
414.2477, 0.4558110
414.7299, 0.7416690
415.2120, 0.6422420
415.6941, 0.3636780
416.1762, 0.1736760
416.6583, 0.7180790
417.1404, 1.011932
417.6226, 1.057465
418.1047, 1.066345
418.5868, 1.232361
419.0689, 1.384552
419.5510, 1.356506
420.0331, 0.9321590
420.5153, 0.5482790
420.9974, 0.3103640
421.4795, 0.2312930
421.9616, 0.3507080
422.4437, 1.183411
422.9258, 1.799561
423.4080, 1.678314
423.8901, 0.4725650
424.3722, 0.2975770
424.8543, 0.2201840
425.3364, 0.2225650
425.8185, 0.5783690
426.3007, 0.9274900
426.7828, 1.086334
427.2649, 0.9832760
427.7470, 0.6551820
428.2291, 0.2604980
428.7112, 0.3093870
429.1934, 0.7594600
429.6755, 0.9267270
430.1576, 0.7839970
430.6397, 0.4414670
431.1218, 0.2468570
431.6039, 0.8853450
432.0861, 0.6654660
432.5682, 0.4887390
433.0503, 1.340485
433.5324, 1.356110
434.0145, 0.7619020
434.4966, 0.2915340
434.9788, 5.8623999E-02
435.4609, 0.2674560
435.9430, 0.1919860
436.4251, 3.8879000E-02
436.9072, 3.1525001E-02
437.3893, 0.3685000
437.8715, 0.8250120
438.3536, 0.8803710
438.8357, 0.6686100
439.3178, 0.5544740
439.7999, 0.6484680
440.2820, 0.9707640
440.7642, 1.663269
441.2463, 2.734650
441.7284, 3.623047
442.2105, 4.091583
442.6926, 4.207092
443.1747, 4.020966
443.6569, 3.269836
444.1390, 2.547058
444.6211, 1.982025
445.1032, 1.577454
445.5853, 1.350647
446.0674, 1.650208
446.5496, 1.823822
447.0317, 1.543396
447.5138, 0.5518190
447.9959, 2.1759000E-02
448.4780, 6.1889999E-02
448.9601, 0.4065250
449.4423, 0.6224370
449.9244, 0.5807500
450.4065, 0.7185970
450.8886, 1.219788
451.3707, 1.938812
451.8528, 2.245514
452.3350, 2.021912
452.8171, 1.724731
453.2992, 1.528473
453.7813, 1.421753
454.2634, 1.676605
454.7455, 2.418762
455.2277, 3.165405
455.7098, 3.094818
456.1919, 2.342438
456.6740, 1.929504
457.1561, 2.308899
457.6382, 3.132477
458.1204, 3.926331
458.6025, 4.668457
459.0846, 5.136353
459.5667, 5.012634
460.0488, 4.602844
460.5309, 4.269409
461.0131, 4.060852
461.4952, 4.046600
461.9773, 4.394287
462.4594, 4.904144
462.9415, 5.270935
463.4236, 5.460022
463.9058, 5.464813
464.3879, 5.129456
464.8700, 4.471313
465.3521, 4.088867
465.8342, 4.488129
466.3163, 4.975159
466.7985, 5.197876
467.2806, 4.949463
467.7627, 4.690399
468.2448, 4.243530
468.7269, 3.842957
469.2090, 3.865021
469.6912, 4.667542
470.1733, 5.270782
470.6554, 5.431732
471.1375, 5.174377
471.6196, 4.678741
472.1017, 3.800079
472.5839, 2.996124
473.0660, 2.625214
473.5481, 2.697723
474.0302, 2.809479
474.5123, 2.924530
474.9944, 3.023834
475.4766, 3.140900
475.9587, 3.253448
476.4408, 3.187683
476.9229, 2.721344
477.4050, 2.132843
477.8871, 1.907562
478.3693, 2.019745
478.8514, 2.201996
479.3335, 2.254578
479.8156, 2.294739
480.2977, 2.433197
480.7798, 2.657776
481.2620, 3.039642
481.7441, 4.026001
482.2262, 5.057587
482.7083, 5.399170
483.1904, 3.760345
483.6725, 2.406250
484.1547, 2.434998
484.6368, 3.731171
485.1189, 4.597198
485.6010, 4.454865
486.0831, 4.063721
486.5652, 3.778656
487.0474, 3.630707
487.5295, 3.563446
488.0116, 3.629181
488.4937, 3.777008
488.9758, 3.961792
489.4579, 4.199219
489.9401, 4.342163
490.4222, 4.323273
490.9043, 4.145294
491.3864, 3.776276
491.8685, 3.219330
492.3506, 2.754639
492.8328, 2.573914
493.3149, 2.635712
493.7970, 2.889709
494.2791, 3.396240
494.7612, 3.745331
495.2433, 3.290558
495.7255, 2.320313
496.2076, 1.559631
496.6897, 1.383423
497.1718, 1.417816
497.6539, 1.261078
498.1360, 1.004364
498.6182, 0.9808350
499.1003, 1.582092
499.5824, 2.303925
500.0645, 2.810913
500.5466, 3.082123
501.0287, 3.109650
501.5109, 2.644287
501.9930, 2.035736
502.4751, 1.627960
502.9572, 1.465912
503.4393, 1.512512
503.9214, 1.923859
504.4036, 2.553619
504.8857, 2.885254
505.3678, 2.659943
505.8499, 2.534698
506.3320, 2.953491
506.8141, 4.011627
507.2963, 4.323822
507.7784, 3.687866
508.2605, 2.837006
508.7426, 2.602203
509.2247, 2.936401
509.7068, 3.033295
510.1890, 2.644104
510.6711, 2.100037
511.1532, 2.015137
511.6353, 2.302338
512.1174, 2.535583
512.5995, 2.254944
513.0817, 1.933868
513.5638, 2.341400
514.0459, 3.431366
514.5280, 4.230530
515.0101, 3.924561
515.4922, 3.174744
515.9744, 2.548035
516.4565, 2.069305
516.9386, 1.909607
517.4207, 2.426392
517.9028, 3.240112
518.3849, 3.728973
518.8671, 3.365173
519.3492, 3.133728
519.8313, 3.392731
520.3134, 4.078705
520.7955, 4.305847
521.2776, 3.764252
521.7598, 3.212433
522.2419, 3.107758
522.7240, 3.555420
523.2061, 3.858124
523.6882, 3.969666
524.1703, 4.029785
524.6525, 4.276245
525.1346, 4.689728
525.6167, 4.927155
526.0988, 4.813232
526.5809, 4.569092
527.0630, 4.615326
527.5452, 4.912689
528.0273, 5.214264
528.5094, 5.460266
528.9915, 5.587402
529.4736, 5.368927
529.9557, 4.768585
530.4379, 4.489166
530.9200, 5.409821
531.4021, 6.639038
531.8842, 7.279755
532.3663, 6.674103
532.8484, 6.077332
533.3306, 5.719574
533.8127, 5.581787
534.2948, 5.622650
534.7769, 5.847961
535.2590, 6.277008
535.7411, 7.062286
536.2233, 8.175262
536.7054, 8.819183
537.1875, 8.703461
537.6696, 8.619293
538.1517, 9.297119
538.6339, 10.88458
539.1160, 11.33841
539.5981, 10.24615
540.0802, 8.887573
540.5623, 9.184570
541.0444, 10.84201
541.5266, 12.14404
542.0087, 12.35175
542.4908, 12.21021
542.9729, 12.74197
543.4550, 13.82608
543.9371, 14.96063
544.4193, 15.73727
544.9014, 16.52625
545.3835, 17.69070
545.8656, 19.28687
546.3477, 20.84573
546.8298, 21.71683
547.3120, 22.73331
547.7941, 24.58646
548.2762, 28.19650
548.7583, 31.48901
549.2404, 33.95004
549.7225, 36.14767
550.2047, 39.12415
550.6868, 43.52286
551.1689, 47.44226
551.6510, 50.15930
552.1331, 51.94284
552.6152, 54.47269
553.0974, 57.83450
553.5795, 61.52325
554.0616, 65.25272
554.5437, 69.04926
555.0258, 73.00568
555.5079, 77.15503
555.9901, 81.43124
556.4722, 85.69357
556.9543, 90.10669
557.4364, 94.93115
557.9185, 100.0034
558.4006, 105.9095
558.8828, 113.4579
559.3649, 122.2094
559.8470, 131.3358
560.3291, 140.1447
560.8112, 149.5406
561.2933, 161.0445
561.7755, 174.7047
562.2576, 185.3833
562.7397, 189.4571
563.2218, 192.5680
563.7039, 197.7710
564.1860, 207.1591
564.6682, 213.3492
565.1503, 216.4621
565.6324, 216.3191
566.1145, 212.6427
566.5966, 205.3642
567.0787, 194.7895
567.5609, 180.4099
568.0430, 163.5516
568.5251, 146.7920
569.0072, 130.0995
569.4893, 114.3725
569.9714, 99.51004
570.4536, 85.97955
570.9357, 74.46069
571.4178, 64.96680
571.8999, 56.83676
572.3820, 50.06772
572.8641, 44.31104
573.3463, 39.42526
573.8284, 35.49786
574.3105, 31.96899
574.7926, 28.61270
575.2747, 25.57709
575.7568, 23.07437
576.2390, 21.74698
576.7211, 20.04706
577.2032, 17.55792
577.6853, 14.58621
578.1674, 12.22574
578.6495, 10.52679
579.1317, 9.313263
579.6138, 8.722046
580.0959, 8.634766
580.5780, 7.906158
581.0601, 6.466522
581.5422, 5.181366
582.0244, 5.052399
582.5065, 5.624023
582.9886, 5.690857
583.4707, 5.030029
583.9528, 4.248962
584.4349, 3.593414
584.9171, 3.250061
585.3992, 3.508667
585.8813, 5.527985
586.3634, 7.016022
586.8455, 6.643799
587.3276, 4.977478
587.8098, 3.545105
588.2919, 2.473358
588.7740, 1.847504
589.2561, 1.845520
589.7382, 2.484406
590.2203, 2.760223
590.7025, 2.610748
591.1846, 2.174194
591.6667, 1.451080
592.1488, 0.4139400
592.6309, 0.4148250
593.1130, 1.010956
593.5952, 1.425537
594.0773, 1.817383
594.5594, 2.093323
595.0415, 1.842621
595.5236, 0.7268370
596.0057, 0.5281370
596.4879, 1.196991
596.9700, 1.372498
597.4521, 1.247345
597.9342, 0.4696350
598.4163, 0.1846310
598.8984, 9.4512999E-02
599.3806, 0.6026310
599.8627, 0.9540710
600.3448, 0.3326720
600.8269, 0.2590640
601.3090, 0.2848210
601.7911, 0.4486390
602.2733, 0.7262570
602.7554, 0.3734740
603.2375, 0.1135560
603.7196, 0.2274170
604.2017, 9.0636998E-02
604.6838, 0.1458130
605.1660, 0.2649540
605.6481, 0.6639400
606.1302, 5.1392000E-02
606.6123, 1.332886
607.0944, 2.335205
607.5765, 2.258301
608.0587, 1.870422
608.5408, 2.092163
609.0229, 2.789856
609.5050, 3.525085
609.9871, 4.030090
610.4692, 4.528015
610.9514, 5.254822
611.4335, 6.226196
611.9156, 6.710754
612.3977, 6.125061
612.8798, 5.405273
613.3619, 5.103455
613.8441, 5.532776
614.3262, 5.625488
614.8083, 5.243408
615.2904, 4.722839
615.7725, 4.525879
616.2546, 4.683594
616.7368, 4.639771
617.2189, 4.110535
617.7010, 3.663269
618.1831, 4.224670
618.6652, 5.723938
619.1473, 7.940369
619.6295, 12.74915
620.1116, 16.84363
620.5937, 15.82806
621.0758, 10.67316
621.5579, 6.134155
622.0400, 4.741638
622.5222, 4.503113
623.0043, 4.341797
623.4864, 4.116455
623.9685, 4.372498
624.4506, 5.836853
624.9327, 7.232849
625.4149, 7.676941
625.8970, 6.817688
626.3791, 5.965210
626.8612, 5.039978
627.3433, 4.338318
627.8254, 4.417297
628.3076, 5.228821
628.7897, 5.960938
629.2718, 6.418274
629.7539, 6.699219
630.2360, 6.960449
630.7181, 7.151550
631.2003, 7.124451
631.6824, 6.690857
632.1645, 6.101013
632.6466, 5.434143
633.1287, 4.737244
633.6108, 4.265259
634.0930, 4.099182
634.5751, 4.189148
635.0572, 4.688232
635.5393, 5.835449
636.0214, 6.089844
636.5035, 4.844727
636.9857, 3.446106
