##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(SO_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
542.0076, 13.43726
542.4897, 10.20728
542.9718, 3.251221
543.4539, 1.172607
543.9360, 8.916992
544.4182, 17.59106
544.9003, 20.51416
545.3824, 18.99756
545.8645, 16.00562
546.3466, 9.946777
546.8287, 5.124268
547.3109, 3.769287
547.7930, 6.024414
548.2751, 9.231201
548.7572, 15.02173
549.2393, 20.08154
549.7214, 22.69604
550.2036, 22.54858
550.6857, 20.46118
551.1678, 15.09155
551.6499, 9.218994
552.1320, 7.179199
552.6141, 9.645264
553.0963, 11.65698
553.5784, 11.94897
554.0605, 11.20850
554.5426, 11.31030
555.0247, 12.20459
555.5068, 12.80664
555.9890, 11.82690
556.4711, 10.31787
556.9532, 10.46240
557.4353, 12.31836
557.9174, 13.99365
558.3995, 13.57495
558.8817, 12.36938
559.3638, 11.72095
559.8459, 11.74805
560.3281, 12.74072
560.8102, 16.88989
561.2923, 21.62549
561.7744, 22.85767
562.2565, 15.00732
562.7386, 8.984619
563.2208, 8.579102
563.7029, 12.59937
564.1850, 11.88721
564.6671, 2.836914
565.1492, 4.460449
565.6313, 3.767090
566.1135, 5.827393
566.5956, 10.32935
567.0777, 8.761230
567.5598, 5.614990
568.0419, 5.115967
568.5240, 6.996338
569.0062, 10.50952
569.4883, 16.42358
569.9704, 21.55762
570.4525, 20.47070
570.9346, 15.22510
571.4167, 11.17212
571.8989, 11.27661
572.3810, 12.95972
572.8631, 15.66187
573.3452, 18.88354
573.8273, 19.79346
574.3094, 14.55200
574.7916, 8.885986
575.2737, 5.671875
575.7558, 5.259033
576.2379, 7.325928
576.7200, 14.85596
577.2021, 22.31787
577.6843, 24.15137
578.1664, 17.35547
578.6485, 13.97998
579.1306, 16.14893
579.6127, 21.26147
580.0948, 24.02466
580.5770, 24.70581
581.0591, 24.69873
581.5412, 24.49927
582.0233, 23.56519
582.5054, 20.84375
582.9875, 16.58545
583.4697, 12.40869
583.9518, 8.060059
584.4339, 5.169434
584.9160, 6.345459
585.3981, 12.38013
585.8802, 18.22412
586.3624, 22.47583
586.8445, 24.17847
587.3266, 22.84546
587.8087, 13.44336
588.2908, 7.821533
588.7729, 9.857178
589.2551, 15.70752
589.7372, 19.29810
590.2193, 20.61841
590.7014, 19.39917
591.1835, 13.74731
591.6656, 5.545410
592.1478, 6.448730
592.6299, 17.63379
593.1120, 28.02856
593.5941, 29.92651
594.0762, 25.08228
594.5583, 19.94067
595.0405, 14.97510
595.5226, 11.95166
596.0047, 13.88428
596.4868, 18.41748
596.9689, 21.50122
597.4510, 21.58130
597.9332, 21.71729
598.4153, 24.92114
598.8974, 29.03467
599.3795, 30.91577
599.8616, 27.29565
600.3438, 24.14600
600.8259, 21.76636
601.3080, 20.77686
601.7901, 24.23438
602.2722, 35.21875
602.7543, 45.37036
603.2365, 51.16138
603.7186, 52.60571
604.2007, 55.40137
604.6828, 59.19238
605.1649, 65.49854
605.6470, 77.78101
606.1292, 93.97583
606.6113, 105.5908
607.0934, 110.9973
607.5755, 114.5579
608.0576, 120.4592
608.5398, 127.5464
609.0219, 133.6997
609.5040, 137.9224
609.9861, 141.7712
610.4683, 144.8105
610.9504, 148.2048
611.4325, 154.5542
611.9146, 168.1060
612.3967, 181.0977
612.8788, 190.4729
613.3610, 196.6848
613.8431, 206.3164
614.3252, 221.9209
614.8073, 236.5449
615.2894, 244.4763
615.7715, 244.6802
616.2537, 259.3723
616.7358, 291.1787
617.2179, 324.4377
617.7000, 339.4102
618.1821, 341.9265
618.6642, 354.2380
619.1464, 383.1624
619.6285, 411.9380
620.1106, 427.2634
620.5927, 429.9358
621.0748, 421.6021
621.5569, 401.6560
622.0391, 371.9692
622.5212, 325.6401
623.0033, 268.9573
623.4854, 222.1731
623.9675, 193.2739
624.4496, 170.6716
624.9318, 150.9893
625.4139, 134.3401
625.8960, 124.7251
626.3781, 123.1392
626.8602, 126.4878
627.3423, 134.1702
627.8245, 146.0510
628.3066, 159.3904
628.7887, 175.4329
629.2708, 184.1909
629.7529, 171.8940
630.2350, 144.6799
630.7172, 114.9829
631.1993, 83.28027
631.6814, 55.74756
632.1635, 37.33618
632.6456, 26.48853
633.1277, 20.39868
633.6099, 21.59570
634.0920, 23.70947
634.5741, 25.49487
635.0562, 26.74927
635.5383, 26.89526
636.0204, 25.45532
636.5026, 23.74390
636.9847, 22.21899
637.4668, 20.97461
637.9489, 19.34155
638.4310, 17.23901
638.9131, 15.13013
639.3953, 13.23926
639.8774, 11.54712
640.3595, 10.02563
640.8416, 8.681152
641.3237, 7.214111
641.8058, 5.327148
642.2880, 3.141602
642.7701, 0.5610350
643.2522, 3.200928
643.7343, 5.375244
