##NAMES=Petersenite-(Ce)
##RRUFFID=R120035
##IDEAL CHEMISTRY=Na_4_Ce_2_(CO_3_)_5_
##LOCALITY=Mont Saint-Hilaire, Rouville RCM, Montérégie, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Pale yellow or pink (depending on light source) hexagonal prismatic crystals, associated with albite and aegirine.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120035
258.7509, 157.7606
259.2330, 158.9109
259.7151, 159.6111
260.1973, 159.5513
260.6794, 158.4728
261.1615, 157.8309
261.6436, 157.7812
262.1257, 158.0452
262.6078, 158.2438
263.0900, 158.5460
263.5721, 158.3876
264.0542, 157.3922
264.5363, 155.3215
265.0184, 154.0472
265.5005, 153.8763
265.9827, 154.1229
266.4648, 153.7859
266.9469, 152.7384
267.4290, 151.4885
267.9111, 150.1537
268.3932, 148.7375
268.8754, 147.2292
269.3575, 145.6190
269.8396, 143.9211
270.3217, 142.1703
270.8038, 140.3575
271.2859, 138.5234
271.7681, 136.7056
272.2502, 134.9057
272.7323, 132.9991
273.2144, 131.0390
273.6965, 128.9204
274.1786, 126.5704
274.6608, 123.9778
275.1429, 121.0733
275.6250, 117.7273
276.1071, 114.0383
276.5892, 110.6600
277.0714, 107.7594
277.5535, 104.8452
278.0356, 101.3018
278.5177, 97.02579
278.9998, 93.26697
279.4819, 90.37668
279.9641, 88.14745
280.4462, 85.89536
280.9283, 83.62918
281.4104, 81.25037
281.8925, 78.45793
282.3746, 75.24182
282.8568, 72.62268
283.3389, 70.96320
283.8210, 69.87769
284.3031, 68.23331
284.7852, 65.95979
285.2673, 63.66266
285.7495, 61.58362
286.2316, 59.75050
286.7137, 58.62448
287.1958, 58.43152
287.6779, 58.69164
288.1600, 58.34109
288.6422, 57.38518
289.1243, 56.44893
289.6064, 56.09509
290.0885, 56.15799
290.5706, 55.76584
291.0527, 54.74399
291.5349, 53.52423
292.0170, 52.75020
292.4991, 52.39601
292.9812, 52.24709
293.4633, 52.46715
293.9454, 52.85144
294.4276, 52.61835
294.9097, 51.65402
295.3918, 50.52855
295.8739, 50.01004
296.3560, 49.98775
296.8381, 49.91641
297.3203, 49.50911
297.8024, 48.89499
298.2845, 48.35938
298.7666, 47.92134
299.2487, 47.40697
299.7308, 46.52992
300.2130, 45.39818
300.6951, 44.34486
301.1772, 43.57722
301.6593, 42.94992
302.1414, 42.21225
302.6235, 41.37476
303.1057, 40.57214
303.5878, 40.08769
304.0699, 39.72078
304.5520, 39.10390
305.0341, 37.92300
305.5162, 36.62161
305.9984, 35.67239
306.4805, 35.04784
306.9626, 34.45064
307.4447, 33.60948
307.9268, 32.69882
308.4089, 31.97420
308.8911, 31.61591
309.3732, 31.30441
309.8553, 30.90889
310.3374, 30.38637
310.8195, 29.56624
311.3016, 27.73820
311.7838, 25.89220
312.2659, 25.05537
312.7480, 25.93492
313.2301, 26.65370
313.7122, 25.77231
314.1943, 23.91191
314.6765, 22.40837
315.1586, 22.36797
315.6407, 22.51231
316.1228, 21.91832
316.6049, 20.27391
317.0870, 18.77026
317.5692, 18.17294
318.0513, 17.99652
318.5334, 17.56857
319.0155, 16.49158
319.4976, 15.27698
319.9797, 14.10408
320.4619, 12.97879
320.9440, 11.98125
321.4261, 11.14403
321.9082, 10.45265
322.3903, 9.900314
322.8724, 9.694458
323.3546, 9.401398
323.8367, 8.885422
324.3188, 8.148880
324.8009, 7.372620
325.2830, 6.576950
325.7651, 5.778122
326.2473, 4.990646
326.7294, 4.050797
327.2115, 3.302734
327.6936, 2.967041
328.1757, 2.933517
328.6578, 2.584198
329.1400, 1.303421
329.6221, 0.2125090
330.1042, 0.1832730
330.5863, 0.8740230
331.0684, 1.368584
331.5505, 1.022568
332.0327, 0.1647950
332.5148, 0.4796680
332.9969, 0.8582840
333.4790, 1.096199
333.9611, 1.211563
334.4432, 1.145256
334.9254, 1.262550
335.4075, 1.672539
335.8896, 2.171066
336.3717, 2.473373
336.8538, 2.520332
337.3359, 2.495377
337.8180, 2.436409
338.3001, 2.343994
338.7823, 2.207283
339.2644, 1.976486
339.7465, 1.785179
340.2286, 1.803230
340.7107, 2.071922
341.1928, 2.265465
341.6750, 2.271858
342.1571, 2.166489
342.6392, 2.271477
343.1213, 2.644371
343.6034, 2.916847
344.0855, 2.672699
344.5677, 1.948387
345.0498, 1.697701
345.5319, 2.174438
346.0140, 2.933945
346.4961, 3.038399
346.9782, 2.515831
347.4604, 2.066162
347.9425, 2.261337
348.4246, 2.878922
348.9067, 3.073463
349.3888, 2.766106
349.8709, 2.198059
350.3531, 1.458900
350.8352, 0.6512220
351.3173, 0.1543430
351.7994, 0.3589020
352.2815, 0.9010620
352.7636, 1.204590
353.2458, 1.270546
353.7279, 1.192505
354.2100, 0.9606700
354.6921, 0.6536940
355.1742, 0.4094010
355.6563, 0.3104100
356.1385, 0.2466580
356.6206, 0.1425700
357.1027, 3.1890001E-03
357.5848, 0.2115480
358.0669, 0.6272580
358.5490, 1.047646
359.0312, 1.237411
359.5133, 1.014107
359.9954, 0.8632660
360.4775, 1.171280
360.9596, 1.759468
361.4417, 2.243690
361.9239, 2.376862
362.4060, 2.438202
362.8881, 2.612358
363.3702, 2.962555
363.8523, 3.190926
364.3344, 3.039398
364.8166, 2.770561
365.2987, 2.682098
365.7808, 3.119576
366.2629, 3.479027
366.7450, 3.558807
367.2271, 3.356049
367.7093, 3.190826
368.1914, 3.001900
368.6735, 2.919586
369.1556, 3.033272
369.6377, 3.584389
370.1198, 4.037949
370.6020, 4.370735
371.0841, 4.585915
371.5662, 4.693085
372.0483, 4.552231
372.5304, 4.476997
373.0125, 4.611961
373.4947, 5.046356
373.9768, 5.444183
374.4589, 5.807991
374.9410, 6.126854
375.4231, 6.396240
375.9052, 6.637901
376.3874, 6.782516
376.8695, 6.791512
377.3516, 6.666527
377.8337, 6.551674
378.3158, 6.448837
378.7979, 6.350296
379.2801, 6.204369
379.7622, 5.997818
380.2443, 5.978378
380.7264, 6.220024
381.2085, 6.656746
381.6906, 7.185471
382.1728, 7.809486
382.6549, 8.312180
383.1370, 8.390282
383.6191, 8.185982
384.1012, 8.364067
384.5833, 9.099091
385.0655, 9.844460
385.5476, 9.703262
386.0297, 8.900154
386.5118, 8.271492
386.9939, 8.330170
387.4760, 8.752052
387.9582, 9.108383
388.4403, 9.396904
388.9224, 9.612953
389.4045, 9.776161
389.8866, 9.863434
390.3687, 9.818466
390.8509, 9.422981
391.3330, 9.113823
391.8151, 9.305458
392.2972, 9.890617
392.7793, 10.40105
393.2614, 10.67471
393.7436, 10.72000
394.2257, 10.51015
394.7078, 9.919342
395.1899, 9.413933
395.6720, 9.213860
396.1541, 9.194939
396.6363, 9.157654
397.1184, 8.975838
397.6005, 8.847870
398.0826, 8.822891
398.5647, 8.892448
399.0468, 9.035515
399.5290, 9.512924
400.0111, 9.939041
400.4932, 9.978531
400.9753, 9.178261
401.4574, 8.573845
401.9395, 8.383469
402.4217, 8.538994
