##NAMES=Kamchatkite
##RRUFFID=R070039
##IDEAL CHEMISTRY=KCu_3_O(SO_4_)_2_Cl
##LOCALITY=Great Tolbachik Eruption (1975-6), Tolbachik Volcano, Kamchatka Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light apple green poorly formed crystals, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070039
596.6217, 178.6286
597.1038, 201.7714
597.5859, 230.5380
598.0681, 266.5941
598.5501, 308.9084
599.0322, 362.5244
599.5143, 422.7286
599.9965, 476.1321
600.4786, 512.4490
600.9607, 552.7628
601.4428, 603.9514
601.9249, 665.5344
602.4070, 727.7685
602.8892, 792.2443
603.3713, 853.6538
603.8534, 910.1085
604.3355, 961.1533
604.8176, 1000.320
605.2997, 1024.150
605.7819, 1048.800
606.2640, 1105.160
606.7461, 1178.728
607.2282, 1232.891
607.7103, 1239.415
608.1924, 1236.781
608.6746, 1260.339
609.1567, 1301.628
609.6388, 1332.539
610.1209, 1354.082
610.6030, 1352.450
611.0851, 1320.355
611.5673, 1255.402
612.0494, 1167.560
612.5315, 1033.521
613.0136, 900.3894
613.4957, 802.9745
613.9778, 751.1138
614.4600, 698.8337
614.9421, 643.2878
615.4242, 587.1815
615.9063, 534.3986
616.3884, 485.5357
616.8705, 443.3488
617.3527, 409.7331
617.8348, 381.8982
618.3169, 349.0251
618.7990, 315.0466
619.2811, 299.0612
619.7632, 328.1425
620.2454, 369.3201
620.7275, 395.1355
621.2096, 402.0694
621.6917, 407.3353
622.1738, 405.6354
622.6559, 410.9623
623.1381, 435.2084
623.6202, 506.3880
624.1023, 556.5706
624.5844, 577.1361
625.0665, 582.5767
625.5486, 594.6865
626.0308, 613.1382
626.5129, 640.4984
626.9950, 680.6186
627.4771, 728.1714
627.9592, 768.6437
628.4413, 801.9706
628.9235, 829.7104
629.4056, 844.2998
629.8877, 857.8095
630.3698, 894.1119
630.8519, 954.7609
631.3340, 1006.677
631.8162, 1023.093
632.2983, 1023.103
632.7804, 1023.428
633.2625, 1029.782
633.7446, 1031.820
634.2267, 1030.737
634.7089, 1024.455
635.1910, 1010.741
635.6731, 989.3190
636.1552, 959.2077
636.6373, 918.9227
637.1194, 869.6533
637.6016, 808.7343
638.0837, 734.1835
638.5658, 669.5566
639.0479, 633.3548
639.5300, 613.3502
640.0121, 577.4465
640.4943, 525.4609
640.9764, 472.0379
641.4585, 426.9248
641.9406, 387.8803
642.4227, 353.4072
642.9048, 323.1748
643.3870, 296.0957
643.8691, 272.4484
644.3512, 251.6466
644.8333, 232.5758
645.3154, 222.1289
645.7975, 203.2760
646.2797, 168.3806
646.7618, 125.5999
647.2439, 99.71872
647.7260, 92.97165
648.2081, 91.25397
648.6902, 92.27539
649.1724, 94.35483
649.6545, 90.28683
650.1366, 80.23410
650.6187, 64.27420
651.1008, 33.81937
651.5829, 0.7113340
652.0651, 15.58429
652.5472, 11.75058
653.0293, 2.139923
653.5114, 8.848663
653.9935, 19.42099
654.4756, 27.83237
654.9578, 32.56061
655.4399, 36.54672
655.9220, 38.54977
656.4041, 40.48474
656.8862, 44.65869
657.3683, 49.03604
657.8505, 66.51044
658.3326, 102.6029
658.8147, 147.3260
659.2968, 170.5624
659.7789, 173.3140
660.2610, 173.0493
660.7432, 177.3356
661.2253, 186.0878
661.7074, 202.3462
662.1895, 225.7773
662.6716, 244.3435
663.1537, 237.8723
663.6359, 231.5613
664.1180, 246.9371
664.6001, 293.2940
665.0822, 336.4556
665.5643, 374.0891
666.0464, 400.8887
666.5286, 410.4088
667.0107, 389.6885
667.4928, 377.5846
667.9749, 379.5720
668.4570, 391.1531
668.9391, 403.0789
669.4213, 415.1959
669.9034, 427.8153
670.3855, 443.3464
670.8676, 457.9092
671.3497, 462.4385
671.8318, 458.0009
672.3140, 449.8287
672.7961, 445.1320
673.2782, 435.4224
673.7603, 408.4677
674.2424, 361.7762
674.7245, 324.7374
675.2067, 306.5617
675.6888, 300.5414
676.1709, 305.4413
676.6530, 339.8066
677.1351, 338.4305
677.6172, 283.2901
678.0994, 214.8243
678.5815, 187.0196
679.0636, 201.8252
679.5457, 207.0960
680.0278, 190.5980
680.5099, 165.4258
680.9921, 152.9794
681.4742, 150.2040
681.9563, 146.2036
682.4384, 135.0932
682.9205, 122.3080
683.4026, 112.6934
683.8848, 105.1806
684.3669, 94.34125
684.8490, 72.24915
685.3311, 52.02710
685.8132, 40.03275
686.2953, 36.81808
686.7775, 34.07925
687.2596, 33.04913
687.7417, 30.33298
688.2238, 21.25217
688.7059, 5.455475
689.1880, 5.3252999E-02
689.6701, 6.712494
690.1522, 16.70471
690.6343, 18.94180
691.1165, 17.02942
691.5986, 18.94724
692.0807, 27.78256
692.5628, 37.79730
693.0449, 47.79578
693.5270, 55.59546
694.0092, 57.73538
694.4913, 53.21002
694.9734, 43.00049
695.4555, 19.82578
695.9376, 8.726288
696.4197, 19.64026
696.9019, 6.840637
697.3840, 8.911926
697.8661, 22.66132
698.3482, 33.49695
698.8303, 35.83881
699.3124, 29.83557
699.7946, 23.94693
700.2767, 26.27087
700.7588, 31.20911
701.2409, 26.98587
701.7230, 13.02823
