##NAMES=Herbertsmithite
##RRUFFID=R070099
##IDEAL CHEMISTRY=Cu_3_Zn(OH)_6_Cl_2_
##LOCALITY=San Francisco mine, Sierra Gorda, Antofagasta, Chile
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Blue-green crystals scattered on matrix, showing a range of habits from hexagonal plates to pseudo-octahedra
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070099
454.3976, 323.2964
454.8797, 335.7542
455.3618, 347.7910
455.8439, 370.4419
456.3260, 402.2085
456.8081, 435.9634
457.2903, 468.7139
457.7724, 502.9917
458.2545, 543.5503
458.7366, 589.8167
459.2187, 638.6782
459.7008, 688.3203
460.1830, 739.4229
460.6651, 792.6125
461.1472, 848.9209
461.6293, 904.5693
462.1114, 959.3445
462.5935, 1011.296
463.0757, 1056.933
463.5578, 1082.328
464.0399, 1112.422
464.5220, 1165.821
465.0041, 1247.047
465.4862, 1304.817
465.9684, 1311.537
466.4505, 1303.618
466.9326, 1309.801
467.4147, 1337.371
467.8968, 1369.193
468.3789, 1407.252
468.8611, 1448.596
469.3432, 1481.725
469.8253, 1500.451
470.3074, 1523.223
470.7895, 1561.207
471.2716, 1616.575
471.7538, 1662.219
472.2359, 1694.440
472.7180, 1725.616
473.2001, 1774.920
473.6822, 1841.545
474.1643, 1902.313
474.6465, 1948.566
475.1286, 1986.019
475.6107, 2027.655
476.0928, 2073.079
476.5749, 2115.394
477.0570, 2137.772
477.5392, 2156.892
478.0213, 2202.605
478.5034, 2284.999
478.9855, 2376.907
479.4676, 2452.124
479.9497, 2522.450
480.4319, 2609.522
480.9140, 2732.829
481.3961, 2866.536
481.8782, 2998.354
482.3603, 3127.806
482.8424, 3262.576
483.3246, 3400.585
483.8066, 3546.647
484.2888, 3702.164
484.7709, 3856.971
485.2530, 4036.031
485.7351, 4250.796
486.2172, 4488.112
486.6993, 4722.398
487.1815, 4941.506
487.6636, 5174.402
488.1457, 5430.739
488.6278, 5713.321
489.1099, 5995.953
489.5920, 6272.481
490.0742, 6557.684
490.5563, 6867.653
491.0384, 7201.188
491.5205, 7532.030
492.0026, 7850.919
492.4847, 8164.068
492.9669, 8474.472
493.4490, 8785.239
493.9311, 9097.592
494.4132, 9432.536
494.8953, 9766.086
495.3774, 10054.65
495.8596, 10290.66
496.3417, 10517.54
496.8238, 10791.06
497.3059, 11069.76
497.7880, 11290.57
498.2701, 11412.43
498.7523, 11491.90
499.2344, 11564.85
499.7165, 11621.97
500.1986, 11622.74
500.6807, 11548.44
501.1628, 11421.08
501.6450, 11249.78
502.1271, 11028.69
502.6092, 10770.34
503.0913, 10481.30
503.5734, 10159.26
504.0555, 9792.190
504.5377, 9357.629
505.0198, 8922.401
505.5019, 8500.207
505.9840, 8087.256
506.4661, 7682.139
506.9482, 7289.424
507.4304, 6899.837
507.9125, 6503.463
508.3946, 6100.167
508.8767, 5725.610
509.3588, 5383.103
509.8409, 5065.603
510.3231, 4765.537
510.8052, 4484.831
511.2873, 4220.425
511.7694, 3975.693
512.2515, 3744.069
512.7336, 3516.321
513.2158, 3293.876
513.6979, 3085.566
514.1800, 2895.007
514.6621, 2722.057
515.1442, 2565.159
515.6263, 2426.139
516.1085, 2297.591
516.5906, 2186.175
517.0727, 2081.470
517.5548, 1968.750
518.0369, 1828.815
518.5190, 1699.013
519.0012, 1584.737
519.4833, 1486.648
519.9654, 1400.739
520.4475, 1334.554
520.9296, 1269.720
521.4117, 1192.496
521.8939, 1096.403
522.3760, 1018.925
522.8581, 965.4897
523.3402, 923.5735
523.8223, 873.3296
524.3044, 815.6821
524.7866, 764.4709
525.2687, 727.0588
525.7508, 697.8481
526.2329, 663.1499
526.7150, 623.7261
527.1971, 586.7097
527.6793, 558.8901
528.1614, 535.2986
528.6435, 509.6743
529.1256, 480.2786
529.6077, 450.9421
530.0898, 425.2883
530.5720, 401.1731
531.0541, 375.6116
531.5362, 345.7395
532.0183, 315.9663
532.5004, 284.3137
532.9825, 252.0925
533.4646, 229.5803
533.9467, 228.7256
534.4288, 227.8545
534.9109, 216.1538
535.3931, 185.4077
535.8752, 167.8828
536.3573, 169.3406
536.8394, 177.1626
537.3215, 173.3079
537.8036, 155.8945
538.2858, 140.1021
538.7679, 130.8970
539.2500, 125.2668
539.7321, 113.8479
540.2142, 97.05615
540.6964, 82.80933
541.1785, 80.02490
541.6606, 82.77197
542.1427, 80.19385
542.6248, 71.02881
543.1069, 57.96948
543.5891, 37.12061
544.0712, 15.38550
544.5533, 2.151855
545.0354, 7.663818
545.5175, 14.86133
545.9996, 16.99341
546.4818, 15.17188
546.9639, 13.19629
547.4460, 12.00977
547.9281, 10.69141
548.4102, 9.118408
548.8923, 7.659180
549.3745, 4.100830
549.8566, 3.276611
550.3387, 10.88354
550.8208, 15.03564
551.3029, 14.68628
551.7850, 15.94336
552.2672, 20.43628
552.7493, 26.07959
553.2314, 27.99976
553.7135, 26.25635
554.1956, 23.51123
554.6777, 20.11987
555.1599, 16.82300
555.6420, 16.83057
556.1241, 20.06299
556.6062, 20.60840
557.0883, 8.475342
557.5704, 6.949951
558.0526, 12.76611
558.5347, 0.9404300
559.0168, 9.219238
559.4989, 4.019775
559.9810, 8.218018
560.4631, 13.27490
560.9453, 6.730225
561.4274, 19.79321
561.9095, 10.32178
562.3916, 19.54736
562.8737, 33.63745
563.3558, 21.50049
563.8380, 7.387207
564.3201, 6.630371
564.8022, 23.94092
565.2843, 30.43921
565.7664, 22.50366
566.2485, 10.29224
566.7307, 6.796387
567.2128, 11.60352
567.6949, 20.74438
568.1770, 36.69385
568.6591, 52.70557
569.1412, 54.49292
569.6234, 44.34766
570.1055, 32.17261
570.5876, 20.76978
571.0697, 12.10522
571.5518, 6.813477
572.0339, 5.183594
572.5161, 8.279541
572.9982, 18.98315
573.4803, 33.69873
573.9624, 49.02734
574.4445, 64.77954
574.9266, 80.52271
575.4088, 102.0618
575.8909, 122.3857
576.3730, 124.7749
576.8551, 97.95605
577.3372, 76.19482
577.8193, 71.23804
578.3015, 81.72314
578.7836, 89.43164
579.2657, 93.36987
579.7478, 97.66980
580.2299, 108.2380
580.7120, 122.4377
581.1942, 126.9597
581.6763, 119.2345
582.1584, 108.6230
582.6405, 105.4622
583.1226, 106.7490
583.6047, 106.5718
584.0869, 99.86389
584.5690, 93.27991
585.0511, 91.70398
585.5332, 94.27588
586.0153, 97.38550
586.4974, 100.2689
586.9796, 103.2651
587.4617, 106.2208
587.9438, 108.6561
588.4259, 113.1349
588.9080, 121.3760
589.3901, 129.2422
589.8723, 133.4790
590.3544, 133.8336
590.8365, 133.4810
591.3186, 132.2643
591.8007, 131.1074
592.2828, 132.1833
592.7650, 135.3494
593.2471, 138.1222
593.7292, 142.0292
594.2113, 143.3184
594.6934, 129.4032
595.1755, 103.3257
595.6577, 86.19165
596.1398, 104.4124
596.6219, 130.7048
597.1040, 138.4537
597.5861, 121.4818
598.0682, 101.7405
598.5503, 80.51501
599.0324, 64.18018
599.5145, 58.97314
599.9966, 81.06384
600.4788, 94.93066
600.9609, 93.60364
601.4430, 83.82520
601.9251, 82.01282
602.4072, 89.85461
602.8893, 101.0654
603.3715, 116.7523
603.8536, 134.2269
604.3357, 133.2544
604.8178, 112.6329
605.2999, 90.62622
605.7820, 79.74158
606.2642, 78.08362
606.7463, 83.96338
607.2284, 98.61230
607.7105, 111.0789
608.1926, 112.3589
608.6747, 106.2157
609.1569, 97.80688
609.6390, 83.90076
610.1211, 72.92004
610.6032, 72.11194
611.0853, 77.09045
611.5674, 74.82324
612.0496, 53.71631
612.5317, 36.12598
613.0138, 27.20850
613.4959, 26.65820
613.9780, 36.64905
614.4601, 63.76880
614.9423, 86.71680
615.4244, 85.01587
615.9065, 59.44788
616.3886, 45.14502
616.8707, 45.98242
617.3528, 51.84766
617.8350, 50.22461
618.3171, 43.21448
618.7992, 36.16333
619.2813, 31.44702
619.7634, 28.50720
620.2455, 26.83850
620.7277, 25.30554
621.2098, 23.52856
621.6919, 21.89722
622.1740, 19.53748
622.6561, 13.92017
623.1382, 4.291382
623.6204, 4.423706
624.1025, 27.01062
624.5846, 45.58630
625.0667, 42.72144
625.5488, 9.544189
626.0309, 5.639282
626.5131, 2.125732
626.9952, 16.66650
627.4773, 16.24390
627.9594, 3.035889
628.4415, 3.882935
628.9236, 2.573608
629.4058, 12.16687
629.8879, 10.73340
630.3700, 1.620605
630.8521, 6.354492
631.3342, 8.103638
631.8163, 8.237549
632.2985, 10.60828
632.7806, 14.85889
633.2627, 15.71008
633.7448, 5.226196
634.2269, 3.680908
634.7090, 3.823853
635.1912, 7.463013
635.6733, 18.60657
636.1554, 32.12268
636.6375, 41.96155
637.1196, 39.98987
637.6017, 25.10461
638.0839, 12.89893
638.5660, 5.494263
639.0481, 1.888062
639.5302, 1.885620
640.0123, 4.707520
640.4944, 7.375366
640.9766, 10.40552
641.4587, 11.21936
641.9408, 4.121582
642.4229, 8.324707
642.9050, 15.87219
643.3871, 10.33044
643.8693, 1.411133
644.3514, 6.588989
644.8335, 13.63391
645.3156, 18.16223
645.7977, 21.53430
646.2798, 21.22607
646.7620, 14.83374
647.2441, 0.5246580
647.7262, 13.60779
648.2083, 28.27173
648.6904, 40.09631
649.1725, 40.97632
649.6547, 32.81274
650.1368, 31.88257
650.6189, 46.79773
651.1010, 64.64868
651.5831, 64.26648
652.0652, 52.10144
652.5474, 46.67981
653.0295, 67.76404
653.5116, 89.22363
653.9937, 89.73889
654.4758, 70.96521
654.9579, 65.53784
655.4401, 95.82886
655.9222, 127.9117
656.4043, 144.9911
656.8864, 141.9984
657.3685, 147.0498
657.8506, 162.5481
658.3328, 182.1737
658.8149, 203.4006
659.2970, 226.0165
659.7791, 232.9457
660.2612, 217.0955
660.7433, 200.3889
661.2255, 219.9318
661.7076, 262.0656
662.1897, 291.9248
662.6718, 281.2461
663.1539, 269.6171
663.6360, 287.6687
664.1182, 327.1052
664.6002, 363.8391
665.0823, 393.0142
665.5645, 415.6580
666.0466, 425.9106
666.5287, 424.1577
667.0108, 442.7789
667.4929, 493.1587
667.9750, 543.9326
668.4572, 572.8315
668.9393, 578.9165
669.4214, 599.7737
669.9035, 637.4446
670.3856, 680.6571
670.8677, 718.8912
671.3499, 753.3962
671.8320, 788.3340
672.3141, 823.5403
672.7962, 862.2424
673.2783, 906.6949
673.7604, 956.1045
674.2426, 1009.254
674.7247, 1073.351
675.2068, 1131.997
675.6889, 1172.041
676.1710, 1202.797
676.6531, 1255.634
677.1353, 1343.653
677.6174, 1430.461
678.0995, 1504.812
678.5816, 1569.087
679.0637, 1635.769
679.5458, 1705.660
680.0280, 1778.105
680.5101, 1854.068
680.9922, 1932.404
681.4743, 2012.275
681.9564, 2093.015
682.4385, 2177.297
682.9207, 2259.982
683.4028, 2349.058
683.8849, 2453.381
684.3670, 2588.332
684.8491, 2711.600
685.3312, 2805.380
685.8134, 2885.038
686.2955, 2968.115
686.7776, 3054.721
687.2597, 3143.875
687.7418, 3236.497
688.2239, 3329.364
688.7061, 3417.500
689.1882, 3500.752
689.6703, 3578.700
690.1524, 3650.325
690.6345, 3717.847
691.1166, 3791.051
691.5988, 3867.443
692.0809, 3934.647
692.5630, 3971.287
693.0451, 4005.639
693.5272, 4063.309
694.0093, 4145.625
694.4915, 4213.909
694.9736, 4259.014
695.4557, 4290.824
695.9378, 4313.819
696.4199, 4326.843
696.9020, 4332.578
697.3842, 4328.990
697.8663, 4321.711
698.3484, 4322.287
698.8305, 4328.001
699.3126, 4308.950
699.7947, 4258.820
700.2769, 4193.347
700.7590, 4119.877
701.2411, 4045.856
701.7232, 3986.594
702.2053, 3965.939
702.6874, 3936.948
703.1696, 3873.913
703.6517, 3786.113
704.1338, 3693.655
704.6159, 3592.188
705.0980, 3496.656
705.5801, 3417.383
706.0623, 3347.100
706.5444, 3247.836
707.0265, 3113.692
707.5086, 2976.100
707.9907, 2848.741
708.4728, 2730.674
708.9550, 2623.120
709.4371, 2524.830
709.9192, 2428.069
710.4013, 2322.565
710.8834, 2215.734
711.3655, 2114.159
