##NAMES=Corundum
##RRUFFID=X080005
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted pink sapphire gemstone, 2.51 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080005
344.0019, 0.8523060
344.4840, 0.9396130
344.9662, 0.5533220
345.4483, 0.2630390
345.9304, 0.3182530
346.4125, 0.4923900
346.8946, 0.6569290
347.3767, 0.7898220
347.8589, 0.8824350
348.3410, 0.9339980
348.8231, 0.9497450
349.3052, 0.9399680
349.7873, 0.8942380
350.2694, 0.8147470
350.7516, 0.6678240
351.2337, 0.4796910
351.7158, 0.3596650
352.1979, 0.4153180
352.6800, 0.5906070
353.1621, 0.6998060
353.6443, 0.7342950
354.1264, 0.7453270
354.6085, 0.7602310
355.0906, 0.7741470
355.5727, 0.7764050
356.0548, 0.7513120
356.5370, 0.7281040
357.0191, 0.7950100
357.5012, 0.9734840
357.9833, 0.9936100
358.4654, 0.5395130
358.9475, 8.6249998E-03
359.4297, 0.1526640
359.9118, 0.2261240
360.3939, 0.6439290
360.8760, 0.6919020
361.3581, 0.4496080
361.8402, 0.3379860
362.3224, 0.5050050
362.8045, 0.7493740
363.2866, 0.8202970
363.7687, 0.7409550
364.2508, 0.7628670
364.7329, 1.128315
365.2151, 1.613335
365.6972, 1.829807
366.1793, 1.722992
366.6614, 1.485001
367.1435, 1.203594
367.6256, 0.9004750
368.1078, 0.6438450
368.5899, 0.4165310
369.0720, 0.2580680
369.5541, 0.1934780
370.0362, 0.2243580
370.5183, 0.3800930
371.0005, 0.7275240
371.4826, 1.162395
371.9647, 1.451504
372.4468, 1.568508
372.9289, 1.628452
373.4110, 1.611961
373.8932, 1.565079
374.3753, 1.589382
374.8574, 1.753517
375.3395, 2.028622
375.8216, 2.379536
376.3037, 2.820477
376.7859, 3.170494
377.2680, 3.250290
377.7501, 3.342846
378.2322, 3.806568
378.7143, 4.602020
379.1964, 5.274879
379.6786, 5.506939
380.1607, 5.302605
380.6428, 4.856972
381.1249, 3.957287
381.6070, 3.093399
382.0891, 2.396183
382.5713, 1.858936
383.0534, 1.499916
383.5355, 1.338356
384.0176, 1.256882
384.4997, 0.9878960
384.9818, 0.2178190
385.4640, 0.2143860
385.9461, 1.3138000E-02
386.4282, 0.3971750
386.9103, 0.4960590
