##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
582.6896, 1.063854
583.1717, 1.077969
583.6538, 1.135052
584.1359, 1.254993
584.6180, 1.270298
585.1002, 1.002750
585.5823, 0.8447910
586.0643, 1.019241
586.5464, 1.330502
587.0286, 1.504189
587.5107, 1.455925
587.9928, 1.372192
588.4749, 1.454540
588.9570, 1.654972
589.4391, 1.793854
589.9213, 1.861439
590.4034, 1.825634
590.8855, 1.670311
591.3676, 1.383427
591.8497, 0.9481930
592.3318, 0.1651540
592.8140, 0.4353260
593.2961, 0.5205380
593.7782, 0.4301870
594.2603, 0.6432690
594.7424, 1.142689
595.2245, 1.430622
595.7067, 1.055702
596.1888, 0.1752620
596.6709, 0.2929730
597.1530, 0.2036970
597.6351, 7.1548000E-02
598.1172, 0.7677760
598.5994, 1.385838
599.0815, 1.466682
599.5636, 1.075890
600.0457, 0.7121280
600.5278, 0.7973400
601.0099, 1.043694
601.4921, 0.8354530
601.9742, 0.1650730
602.4563, 0.4478030
602.9384, 0.8219490
603.4205, 1.051281
603.9026, 1.254047
604.3848, 1.430592
604.8669, 1.667858
605.3490, 2.119892
605.8311, 2.513298
606.3132, 2.552277
606.7953, 2.415104
607.2775, 2.511417
607.7596, 2.995636
608.2417, 3.587227
608.7238, 3.836823
609.2059, 3.670208
609.6880, 3.525063
610.1702, 3.193001
610.6523, 3.139679
611.1344, 3.841770
611.6165, 4.784477
612.0986, 5.195404
612.5807, 4.827641
613.0629, 4.318512
613.5450, 4.186687
614.0271, 4.385895
614.5092, 4.858276
614.9913, 5.657444
615.4734, 6.303459
615.9556, 6.418407
616.4377, 6.167271
616.9198, 6.131584
617.4019, 6.295284
617.8840, 6.681858
618.3661, 7.538994
618.8483, 8.423260
619.3304, 8.948734
619.8125, 9.179649
620.2946, 9.484764
620.7767, 10.12127
621.2589, 10.94752
621.7410, 11.49739
622.2231, 11.59861
622.7052, 11.93314
623.1873, 12.72787
623.6694, 13.66678
624.1516, 14.72756
624.6337, 15.79176
625.1158, 16.52602
625.5979, 16.63543
626.0800, 16.59700
626.5621, 16.94441
627.0443, 17.55466
627.5264, 18.05235
628.0085, 18.37240
628.4906, 18.35675
628.9727, 17.79022
629.4548, 16.67356
629.9370, 15.62970
630.4191, 14.76593
630.9012, 13.83498
631.3833, 12.66028
631.8654, 11.44797
632.3475, 10.42188
632.8297, 9.606346
633.3118, 8.864269
633.7939, 8.092197
634.2760, 7.295971
634.7581, 6.480038
635.2402, 5.585316
635.7224, 4.919945
636.2045, 4.722668
636.6866, 4.671482
637.1687, 4.434628
637.6508, 4.019726
638.1329, 3.596573
638.6151, 3.196510
639.0972, 2.830097
639.5793, 2.503826
640.0614, 2.218040
640.5435, 1.941525
641.0256, 1.664536
641.5078, 1.521385
641.9899, 1.752335
642.4720, 2.454121
642.9541, 2.742344
643.4362, 2.263748
643.9183, 1.759106
644.4005, 1.235268
644.8826, 0.8531490
645.3647, 0.8798260
645.8468, 1.335098
646.3289, 1.765087
646.8110, 1.751152
647.2932, 1.436497
647.7753, 1.148144
648.2574, 0.8947750
648.7395, 0.7506140
649.2216, 0.7804450
649.7037, 0.8960080
650.1859, 0.9253690
650.6680, 0.8082240
651.1501, 0.8094600
651.6322, 1.180187
652.1143, 1.449207
652.5964, 1.220207
653.0786, 0.7131810
653.5607, 0.3623200
654.0428, 0.3379330
654.5249, 0.4809720
655.0070, 0.6675990
655.4891, 0.9015460
655.9713, 0.9636230
656.4534, 0.7792930
656.9355, 0.5845870
657.4176, 0.5296170
657.8997, 0.5363850
658.3818, 0.4771690
658.8640, 0.3174400
659.3461, 0.1578870
659.8282, 1.3546000E-02
660.3103, 0.1237660
660.7924, 2.7952000E-02
661.2745, 0.3668140
661.7567, 0.5112550
662.2388, 0.2518710
662.7209, 0.1487500
663.2030, 0.1621320
663.6851, 0.4091380
664.1672, 0.7216740
664.6494, 0.5353200
665.1315, 0.3562720
665.6136, 0.3513720
666.0957, 0.4574680
666.5778, 0.5890100
667.0599, 0.7182240
667.5421, 0.7771640
668.0242, 0.6216220
668.5063, 0.3794270
668.9884, 0.4054790
669.4705, 0.7136650
669.9526, 0.8977070
670.4348, 0.6998040
670.9169, 0.3331170
671.3990, 0.2113460
671.8811, 0.4663280
672.3632, 0.6376360
