##NAMES=Graphite
##RRUFFID=R090047
##IDEAL CHEMISTRY=C
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Silver gray platelets associated with diopside, R090046
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090047
427.7455, 0.1230460
428.2276, 0.6247410
428.7097, 0.8972350
429.1918, 0.5194440
429.6739, 0.4873300
430.1560, 0.2002450
430.6382, 0.1172850
431.1203, 8.9015000E-02
431.6024, 0.6303330
432.0845, 5.4958001E-02
432.5666, 0.6664590
433.0487, 4.0010000E-03
433.5309, 0.3359720
434.0130, 0.2321460
434.4951, 0.1792960
434.9772, 0.1149270
435.4593, 3.0959999E-02
435.9414, 0.1285860
436.4236, 0.1498210
436.9057, 0.7394180
437.3878, 1.238200
437.8699, 1.339087
438.3520, 1.210437
438.8341, 1.089136
439.3163, 1.005265
439.7984, 0.8973560
440.2805, 0.6469990
440.7626, 0.3552510
441.2447, 0.1827990
441.7268, 0.3012170
442.2090, 0.4545900
442.6911, 0.5028300
443.1732, 0.4580390
443.6553, 0.4140300
444.1374, 0.3659070
444.6195, 0.3546980
445.1017, 0.4164350
445.5838, 0.6218490
446.0659, 0.7727330
446.5480, 0.8443250
447.0302, 0.8477070
447.5123, 0.7951430
447.9944, 0.5893370
448.4765, 0.4332630
448.9586, 0.4181630
449.4407, 0.5537820
449.9229, 0.4854150
450.4050, 5.4756001E-02
450.8871, 0.3507090
451.3692, 0.3952370
451.8513, 4.0622000E-02
452.3334, 0.2950980
452.8156, 0.2616760
453.2977, 7.5333998E-02
453.7798, 3.9049999E-03
454.2619, 5.1162001E-02
454.7440, 0.1015820
455.2261, 0.1121030
455.7083, 0.1027390
456.1904, 5.3098999E-02
456.6725, 5.7702001E-02
457.1546, 6.3881002E-02
457.6367, 0.3863850
458.1188, 1.090799
458.6010, 1.502902
459.0831, 1.418513
459.5652, 1.127804
460.0473, 0.8553710
460.5294, 0.6202960
461.0115, 0.4754780
461.4937, 0.5512980
461.9758, 0.6578900
462.4579, 0.6241640
462.9400, 0.4255210
463.4221, 0.2549160
463.9042, 0.1545300
464.3864, 0.1416030
464.8685, 0.2318050
465.3506, 0.6643240
465.8327, 0.9536910
466.3148, 0.9310850
466.7969, 0.6635390
467.2791, 0.4455400
467.7612, 0.3107070
468.2433, 0.2332160
468.7254, 0.2210150
469.2075, 0.1436116
469.6896, 0.2826490
470.1718, 0.1096580
470.6539, 8.0349997E-02
471.1360, 0.1371890
471.6181, 3.7046999E-02
472.1002, 0.1494730
472.5823, 0.4534480
473.0645, 0.8020520
473.5466, 0.9789830
474.0287, 0.9710480
474.5108, 0.9198420
474.9929, 0.8582220
475.4750, 0.8125990
475.9572, 0.9830040
476.4393, 1.414716
476.9214, 1.760243
477.4035, 1.504549
477.8856, 0.8920960
478.3677, 0.5066010
478.8499, 0.6383740
479.3320, 0.9404800
479.8141, 1.146696
480.2962, 1.248093
480.7783, 1.229934
481.2604, 0.9029140
481.7426, 0.5798290
482.2247, 0.5337410
482.7068, 0.8468530
483.1889, 1.100876
483.6710, 1.127232
484.1531, 1.032398
484.6353, 0.9228910
485.1174, 0.7362290
485.5995, 0.6621720
486.0816, 0.8828610
486.5637, 1.284513
487.0458, 1.474758
487.5280, 1.147257
488.0101, 0.8535880
488.4922, 0.9377490
488.9743, 1.483029
489.4564, 1.703551
489.9385, 1.466711
490.4207, 1.129124
490.9028, 1.092887
491.3849, 1.391616
491.8670, 1.588221
492.3491, 1.580285
492.8312, 1.444392
493.3134, 1.324133
493.7955, 1.218850
494.2776, 1.143258
494.7597, 1.129702
495.2418, 1.122163
495.7239, 0.9737760
496.2061, 0.6686370
496.6882, 0.4139910
497.1703, 0.3975790
497.6524, 0.5366840
498.1345, 0.7213960
498.6166, 0.9554190
499.0988, 1.142855
499.5809, 1.192692
500.0630, 1.184983
500.5451, 1.217201
501.0272, 1.391209
501.5093, 1.527587
501.9915, 1.561851
502.4736, 1.515710
502.9557, 1.474411
503.4378, 1.487101
503.9199, 1.451316
504.4020, 1.335927
504.8842, 1.070096
505.3663, 0.9106390
505.8484, 0.8537770
506.3305, 0.8300630
506.8126, 0.7276380
507.2947, 0.5123590
507.7769, 0.3695660
508.2590, 0.3885800
508.7411, 0.5136380
509.2232, 0.5783320
509.7053, 0.6131550
510.1874, 0.6548210
510.6696, 0.7638960
511.1517, 0.9009750
511.6338, 0.9531980
512.1159, 0.8993350
512.5980, 0.8485750
513.0801, 0.9791500
513.5623, 1.160532
514.0444, 1.211384
514.5265, 0.8856330
515.0086, 0.5910140
515.4907, 0.5629630
515.9728, 0.7438600
516.4550, 0.9823490
516.9371, 1.490019
517.4192, 1.859264
517.9013, 1.769624
518.3834, 0.8893370
518.8655, 0.2552990
519.3477, 9.2734002E-02
519.8298, 0.2177570
520.3119, 0.3894340
520.7940, 0.6224270
521.2761, 0.8402720
521.7582, 1.144378
522.2404, 1.502212
522.7225, 1.612204
523.2046, 1.371919
523.6867, 1.096619
524.1688, 0.9940950
524.6509, 1.061591
525.1331, 1.166860
525.6152, 1.296520
526.0973, 1.320491
526.5794, 1.046143
527.0615, 0.6067250
527.5436, 0.3050450
528.0258, 0.2056160
528.5079, 0.1885300
528.9900, 0.1692290
529.4721, 0.1547060
529.9542, 0.1376370
530.4363, 7.7638000E-02
530.9185, 3.2200001E-02
