##NAMES=Mimetite
##RRUFFID=R130731
##IDEAL CHEMISTRY=Pb^2+^_5_(As^5+^O_4_)_3_Cl
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Bob Downs
##DESCRIPTION=Pale yellow transparent hexagonal prisms, monoclinic polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130731
405.9716, 2181.910
406.4537, 2323.867
406.9359, 2450.866
407.4180, 2560.808
407.9001, 2654.900
408.3822, 2723.663
408.8643, 2762.997
409.3464, 2772.901
409.8285, 2753.746
410.3106, 2705.059
410.7928, 2631.239
411.2749, 2524.862
411.7570, 2392.492
412.2391, 2268.496
412.7212, 2168.064
413.2033, 2081.030
413.6855, 1988.837
414.1676, 1892.303
414.6497, 1804.223
415.1318, 1730.584
415.6139, 1674.241
416.0960, 1641.087
416.5782, 1635.271
417.0603, 1647.041
417.5424, 1673.115
418.0245, 1711.364
418.5066, 1755.517
418.9887, 1805.269
419.4709, 1858.260
419.9530, 1914.239
420.4351, 1973.412
420.9172, 2033.233
421.3993, 2103.115
421.8814, 2169.679
422.3636, 2215.888
422.8457, 2236.581
423.3278, 2238.632
423.8099, 2218.890
424.2920, 2176.737
424.7741, 2133.373
425.2563, 2104.204
425.7384, 2063.178
426.2205, 1993.855
426.7026, 1878.307
427.1847, 1765.664
427.6668, 1660.349
428.1490, 1560.113
428.6311, 1458.299
429.1132, 1350.956
429.5953, 1246.902
430.0774, 1150.547
430.5595, 1061.936
431.0417, 979.1836
431.5238, 903.1348
432.0059, 832.5013
432.4880, 763.9331
432.9701, 697.3564
433.4522, 641.8593
433.9344, 602.1938
434.4165, 574.0188
434.8986, 542.2397
435.3807, 507.0013
435.8628, 475.6956
436.3449, 455.0623
436.8271, 442.6058
437.3092, 433.7936
437.7913, 429.9614
438.2734, 424.4836
438.7555, 410.8643
439.2376, 390.1543
439.7197, 364.9637
440.2018, 332.1819
440.6840, 298.2184
441.1661, 268.1539
441.6482, 242.7822
442.1303, 219.2585
442.6124, 196.4644
443.0945, 174.6127
443.5767, 154.3406
444.0588, 133.6630
444.5409, 116.3687
445.0230, 107.1088
445.5051, 103.4380
445.9872, 93.33459
446.4694, 67.20068
446.9515, 40.60645
447.4336, 20.44397
447.9157, 8.824219
448.3978, 0.6553960
448.8799, 6.825562
449.3621, 11.37378
449.8442, 16.55579
450.3263, 22.61499
450.8084, 28.71790
451.2905, 35.13086
451.7726, 41.62427
452.2548, 46.08521
452.7369, 48.57007
453.2190, 48.98706
453.7011, 44.87415
454.1832, 36.21912
454.6653, 37.68152
455.1475, 56.53027
455.6296, 77.19934
456.1117, 66.75842
456.5938, 28.37927
457.0759, 9.086670
457.5580, 37.98096
458.0402, 53.27307
458.5223, 36.83142
459.0044, 13.64441
459.4865, 61.50195
459.9686, 72.38330
460.4507, 61.23230
460.9329, 51.72949
461.4150, 54.29944
461.8971, 57.94934
462.3792, 54.37683
462.8613, 45.57947
463.3434, 39.00269
463.8256, 39.81165
464.3077, 42.45520
464.7898, 44.19421
465.2719, 45.12842
465.7540, 43.40698
466.2361, 35.50110
466.7183, 25.84143
467.2004, 20.06104
467.6825, 20.01526
468.1646, 22.30896
468.6467, 28.25842
469.1288, 37.38531
469.6110, 41.57916
470.0930, 39.93567
470.5752, 35.00848
471.0573, 26.99200
471.5394, 13.87701
472.0215, 6.592346
472.5036, 7.296448
472.9857, 11.96130
473.4679, 13.57361
473.9500, 11.98199
474.4321, 9.062988
474.9142, 5.507446
475.3963, 1.123291
475.8784, 5.452271
476.3606, 14.32330
476.8427, 22.29950
477.3248, 25.61676
477.8069, 26.10999
478.2890, 27.87836
478.7711, 32.98511
479.2533, 37.30359
479.7354, 35.57281
480.2175, 29.87067
480.6996, 25.31146
481.1817, 24.95953
481.6638, 26.34613
482.1460, 27.55426
482.6281, 28.26685
483.1102, 30.97760
483.5923, 41.10132
484.0744, 51.15167
484.5565, 54.72620
485.0387, 40.58911
485.5208, 31.76562
486.0029, 33.85767
486.4850, 43.43933
486.9671, 50.36719
487.4492, 53.94189
487.9314, 55.74951
488.4135, 56.00952
488.8956, 54.42297
489.3777, 53.21857
489.8598, 51.64050
490.3419, 51.80933
490.8241, 57.50696
491.3062, 69.45105
491.7883, 77.67169
492.2704, 79.06641
492.7525, 76.48383
493.2346, 75.72784
493.7168, 76.92981
494.1989, 80.90405
494.6810, 92.33679
495.1631, 106.0446
495.6452, 110.6871
496.1273, 104.6572
496.6095, 96.21863
497.0916, 90.49561
497.5737, 87.82349
498.0558, 88.79663
498.5379, 97.73584
499.0201, 106.4411
499.5022, 110.4059
499.9843, 110.2874
500.4664, 108.6606
500.9485, 101.9247
501.4306, 97.53168
501.9127, 100.5410
502.3948, 115.4872
502.8770, 126.4349
503.3591, 130.1196
503.8412, 130.1462
