##NAMES=Fluorellestadite
##RRUFFID=R130124
##IDEAL CHEMISTRY=Ca_5_(SiO_4_)_1.5_(SO_4_)_1.5_F
##LOCALITY=Kopeisk, South Urals, Russia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Green to blue acicular or hexagonal prismatic crystals, associated with opaque nenadkevichite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130124
462.0378, 183.4814
462.5200, 180.1355
463.0021, 176.5332
463.4842, 172.6756
463.9663, 168.4165
464.4484, 164.0116
464.9305, 159.6741
465.4127, 155.4244
465.8948, 151.0427
466.3769, 146.2046
466.8590, 141.4244
467.3411, 137.0987
467.8232, 133.9556
468.3054, 130.2132
468.7875, 125.2583
469.2696, 119.8007
469.7517, 115.6957
470.2338, 113.7789
470.7159, 111.6969
471.1981, 108.4601
471.6802, 103.9969
472.1623, 100.3173
472.6444, 97.69693
473.1265, 95.22734
473.6086, 91.98560
474.0908, 87.98508
474.5729, 84.07150
475.0550, 80.37126
475.5371, 76.86899
476.0192, 73.60069
476.5013, 70.52725
476.9835, 67.48398
477.4656, 64.41655
477.9477, 61.27531
478.4298, 57.92545
478.9119, 54.35547
479.3940, 50.80959
479.8762, 47.22719
480.3583, 43.86234
480.8404, 41.08853
481.3225, 39.51456
481.8046, 37.83986
482.2867, 35.18437
482.7689, 31.90010
483.2510, 28.88803
483.7331, 26.63930
484.2152, 24.55669
484.6973, 22.32207
485.1794, 19.80006
485.6616, 17.65520
486.1437, 16.17580
486.6258, 14.95988
487.1079, 13.68144
487.5900, 12.17929
488.0721, 10.90605
488.5543, 10.03546
489.0364, 9.373932
489.5185, 8.304031
490.0006, 6.661621
490.4827, 5.146362
490.9648, 4.111008
491.4470, 3.527527
491.9291, 2.932587
492.4112, 2.306747
492.8933, 1.779465
493.3754, 1.554230
493.8575, 1.563629
494.3397, 1.536133
494.8218, 1.461884
495.3039, 1.238770
495.7860, 0.5030670
496.2681, 0.5538180
496.7502, 1.278549
497.2324, 0.9440770
497.7145, 0.3601070
498.1966, 0.3741300
498.6787, 1.033951
499.1608, 1.583313
499.6429, 1.548203
500.1251, 1.268433
500.6072, 1.040390
501.0893, 0.8961790
501.5714, 0.8657840
502.0535, 1.064575
502.5356, 1.379929
503.0178, 1.554672
503.4999, 1.505783
503.9820, 1.383850
504.4641, 1.219193
504.9462, 1.010788
505.4283, 0.7352450
505.9105, 0.3058930
506.3926, 5.9845001E-02
506.8747, 0.1241150
507.3568, 0.1937410
507.8389, 0.1952210
508.3210, 0.3016970
508.8032, 0.9356840
509.2853, 0.9431300
509.7674, 0.3709410
510.2495, 2.6016001E-02
510.7316, 0.3987430
511.2137, 1.145615
511.6959, 1.526321
512.1780, 1.556107
512.6601, 1.500031
513.1422, 1.391129
513.6243, 1.372025
514.1064, 1.653595
514.5886, 2.321091
515.0707, 3.112610
515.5528, 4.026093
516.0349, 4.921188
516.5170, 5.609131
516.9991, 5.841507
517.4813, 6.052475
517.9634, 6.452774
518.4455, 7.003296
518.9276, 7.353729
519.4097, 7.017761
519.8918, 6.869522
520.3740, 7.315857
520.8561, 8.611450
521.3382, 9.663330
521.8203, 10.35330
522.3024, 10.92201
522.7845, 11.64566
523.2667, 12.53432
523.7488, 13.58171
524.2309, 14.90425
524.7130, 16.23660
525.1951, 16.71983
525.6772, 16.38927
526.1594, 16.28632
526.6415, 17.31094
527.1236, 18.87331
527.6057, 19.59219
528.0878, 19.42110
528.5699, 19.08173
529.0521, 18.99576
529.5342, 19.23616
530.0163, 19.93497
530.4984, 21.49854
530.9805, 22.72116
531.4626, 22.47444
531.9448, 21.43127
532.4269, 20.91341
532.9090, 21.81120
533.3911, 22.83392
533.8732, 23.59079
534.3553, 24.05292
534.8375, 24.47923
535.3196, 24.90941
535.8017, 25.21107
536.2838, 25.35362
536.7659, 25.34125
537.2480, 25.13161
537.7302, 24.63547
538.2123, 23.94875
538.6944, 23.22804
539.1765, 22.48001
539.6586, 21.61557
540.1407, 20.57068
