##NAMES=Lanarkite
##RRUFFID=R080116
##IDEAL CHEMISTRY=Pb_2_O(SO_4_)
##LOCALITY=Leadhills, Lanarkshire,  Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Cream colored, elongated prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080116
375.3560, 84.68665
375.8381, 82.08850
376.3203, 79.47083
376.8024, 76.01245
377.2845, 69.50366
377.7666, 58.99939
378.2487, 50.88257
378.7308, 48.55542
379.2130, 50.78381
379.6951, 48.46436
380.1772, 41.00171
380.6593, 32.21875
381.1414, 25.88855
381.6235, 21.69287
382.1057, 16.48169
382.5878, 9.457275
383.0699, 1.302856
383.5520, 6.808472
384.0341, 14.92249
384.5162, 23.15149
384.9984, 32.32568
385.4805, 41.60706
385.9626, 48.89661
386.4447, 53.70532
386.9268, 58.04260
387.4089, 63.45447
387.8911, 69.94458
388.3732, 77.50928
388.8553, 87.23108
389.3374, 97.33801
389.8195, 106.1117
390.3016, 113.5183
390.7838, 120.3447
391.2659, 126.9773
391.7480, 133.2833
392.2301, 139.1403
392.7122, 144.6431
393.1943, 149.5463
393.6765, 152.9103
394.1586, 155.4991
394.6407, 159.4742
395.1228, 167.7319
395.6049, 175.9144
396.0870, 181.4376
396.5692, 182.6936
397.0513, 185.6235
397.5334, 192.2765
398.0155, 200.8977
398.4976, 209.2682
398.9797, 218.2870
399.4619, 225.7732
399.9440, 230.9491
400.4261, 233.8408
400.9082, 236.6665
401.3903, 238.3259
401.8724, 240.8817
402.3546, 245.9404
402.8367, 255.8300
403.3188, 262.7892
403.8009, 265.1678
404.2830, 264.9364
404.7651, 266.7358
405.2473, 270.3239
405.7294, 276.5753
406.2115, 285.0133
406.6936, 295.4641
407.1757, 312.2021
407.6578, 334.5054
408.1400, 365.2633
408.6221, 406.3951
409.1042, 458.0212
409.5863, 526.2461
410.0684, 618.1105
410.5505, 723.3312
411.0327, 826.7413
411.5148, 928.4047
411.9969, 1017.415
412.4790, 1084.725
412.9611, 1134.784
413.4432, 1175.548
413.9254, 1206.961
414.4075, 1235.247
414.8896, 1265.415
415.3717, 1297.669
415.8538, 1332.391
416.3359, 1366.819
416.8181, 1405.477
417.3002, 1452.114
417.7823, 1507.293
418.2644, 1567.531
418.7465, 1627.603
419.2286, 1694.308
419.7108, 1772.708
420.1929, 1857.430
420.6750, 1964.389
421.1571, 2092.779
421.6392, 2247.843
422.1213, 2440.434
422.6035, 2683.291
423.0856, 2954.551
423.5677, 3253.442
424.0498, 3587.377
424.5319, 3915.340
425.0140, 4237.215
425.4962, 4552.844
425.9783, 4866.736
426.4604, 5231.643
426.9425, 5523.413
427.4246, 5766.161
427.9067, 5937.499
428.3889, 5850.485
428.8710, 5427.428
429.3531, 4885.514
429.8352, 4300.224
430.3173, 3645.069
430.7994, 3125.341
431.2816, 2756.919
431.7637, 2509.306
432.2458, 2351.922
432.7279, 2286.745
433.2100, 2276.809
433.6921, 2312.939
