##NAMES=Salammoniac
##RRUFFID=R060521
##IDEAL CHEMISTRY=NH_4_Cl
##LOCALITY=Tien-Shan Mountains, Tadzhikistan, U.S.S.R
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White dendritic
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060521
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
286.888, 230.684
287.370, 218.587
287.852, 175.806
288.334, 157.088
288.816, 172.851
289.298, 206.699
289.781, 233.346
290.263, 252.818
290.745, 265.305
291.227, 265.787
291.709, 258.091
292.191, 258.646
292.673, 270.017
293.155, 286.528
293.638, 294.723
294.120, 297.161
294.602, 313.135
295.084, 303.494
295.566, 338.683
296.048, 362.904
296.530, 376.746
297.012, 349.313
297.494, 375.018
297.977, 379.332
298.459, 382.701
298.941, 415.687
299.423, 393.898
299.905, 426.271
300.387, 436.926
300.869, 457.419
301.351, 456.390
301.833, 461.918
302.316, 488.834
302.798, 503.733
303.280, 499.737
303.762, 520.124
304.244, 496.648
304.726, 511.789
305.208, 543.470
305.690, 539.959
306.173, 540.024
306.655, 529.832
307.137, 542.498
307.619, 563.941
308.101, 593.422
308.583, 612.905
309.065, 599.278
309.547, 570.471
310.030, 549.949
310.512, 551.273
310.994, 560.914
311.476, 572.144
311.958, 585.202
312.440, 593.708
312.922, 592.610
313.404, 585.883
313.886, 577.868
314.369, 561.641
314.851, 552.867
315.333, 565.240
315.815, 593.568
316.297, 613.605
316.779, 616.381
317.261, 608.873
317.743, 595.330
318.225, 567.624
318.708, 544.716
319.190, 535.157
319.672, 537.039
320.154, 542.294
320.636, 547.894
321.118, 554.635
321.600, 564.008
322.082, 584.450
322.565, 594.603
323.047, 581.417
323.529, 554.783
324.011, 537.836
324.493, 538.584
324.975, 547.475
325.457, 561.984
325.939, 587.522
326.422, 603.031
326.904, 601.781
327.386, 592.293
327.868, 588.608
328.350, 600.166
328.832, 605.645
329.314, 597.607
329.796, 570.987
330.278, 551.792
330.760, 540.682
331.243, 534.522
331.725, 530.452
332.207, 531.693
332.689, 534.191
333.171, 538.292
333.653, 543.841
334.135, 540.439
334.617, 522.017
335.100, 503.508
335.582, 501.479
336.064, 523.631
336.546, 539.578
337.028, 541.145
337.510, 531.217
337.992, 531.960
338.474, 548.147
338.957, 564.114
339.439, 563.291
339.921, 541.173
340.403, 528.920
340.885, 535.777
341.367, 554.258
341.849, 556.940
342.331, 541.507
342.813, 522.681
343.296, 506.800
343.778, 493.993
344.260, 492.347
344.742, 506.767
345.224, 527.301
345.706, 537.810
346.188, 538.473
346.670, 534.270
347.152, 530.670
347.635, 526.832
348.117, 515.488
348.599, 494.647
349.081, 472.814
349.563, 454.300
350.045, 441.492
350.527, 445.092
351.009, 490.827
351.491, 549.764
351.974, 570.984
352.456, 552.998
352.938, 523.133
353.420, 499.221
353.902, 482.279
354.384, 474.907
354.866, 484.781
355.349, 500.254
355.831, 514.527
356.313, 526.014
356.795, 524.069
357.277, 484.358
357.759, 433.973
358.241, 402.204
358.723, 408.228
359.205, 420.780
359.688, 423.653
360.170, 419.219
360.652, 414.467
361.134, 414.150
361.616, 413.352
362.098, 407.106
362.580, 389.714
363.062, 378.143
363.544, 386.829
364.027, 403.771
364.509, 405.899
364.991, 370.910
365.473, 334.669
365.955, 310.812
366.437, 301.919
366.919, 298.929
367.401, 310.233
367.884, 323.719
368.366, 325.180
368.848, 295.867
369.330, 274.603
369.812, 272.787
370.294, 292.491
370.776, 298.265
371.258, 279.469
371.741, 256.338
372.223, 245.203
372.705, 252.314
373.187, 259.393
373.669, 264.974
374.151, 268.704
374.633, 270.201
375.115, 271.097
375.597, 266.008
376.079, 248.251
376.562, 213.636
377.044, 190.551
377.526, 183.775
378.008, 186.357
378.490, 184.562
378.972, 177.919
379.454, 170.580
379.936, 165.363
380.419, 161.828
380.901, 153.818
381.383, 140.625
381.865, 126.425
382.347, 118.253
382.829, 114.888
383.311, 108.301
383.793, 91.717
384.276, 71.728
384.758, 64.385
385.240, 69.538
385.722, 72.956
386.204, 57.434
386.686, 31.955
387.168, 14.678
387.650, 10.980
388.132, 15.375
388.615, 25.667
389.097, 40.259
389.579, 52.886
390.061, 60.908
390.543, 64.522
391.025, 62.783
391.507, 53.394
391.989, 45.065
392.471, 46.900
392.954, 52.676
393.436, 51.484
393.918, 30.840
394.400, 9.643
394.882, 1.799
395.364, 1.153
395.846, 2.710
396.328, 16.470
396.810, 31.039
397.293, 35.524
397.775, 15.805
398.257, 0.597
398.739, 8.767
399.221, 8.706
399.703, 5.280
400.185, 10.584
400.668, 22.112
401.150, 18.283
401.632, 21.820
402.114, 37.241
402.596, 12.586
403.078, 33.368
403.560, 51.095
404.042, 28.179
404.524, 4.905
405.007, 2.317
405.489, 8.194
405.971, 18.769
406.453, 30.750
406.935, 40.123
407.417, 40.230
407.899, 30.727
408.381, 20.375
408.863, 10.454
409.346, 1.923
409.828, 0.159
410.310, 5.549
410.792, 10.003
411.274, 3.198
411.756, 10.590
412.238, 15.522
412.720, 3.319
413.203, 8.214
413.685, 10.944
414.167, 53.663
414.649, 90.410
415.131, 101.709
415.613, 98.830
416.095, 91.687
416.577, 79.929
417.060, 72.657
417.542, 82.426
418.024, 99.206
418.506, 108.640
418.988, 91.873
419.470, 77.629
419.952, 85.832
420.434, 114.598
420.916, 134.408
421.398, 124.886
421.881, 109.416
422.363, 104.198
422.845, 123.473
423.327, 139.135
423.809, 147.367
424.291, 149.368
424.773, 148.322
425.255, 137.450
425.738, 130.703
426.220, 133.334
426.702, 148.208
427.184, 162.969
427.666, 181.146
428.148, 196.400
428.630, 197.870
429.112, 176.167
429.595, 168.449
430.077, 189.031
430.559, 231.736
431.041, 253.005
431.523, 249.235
432.005, 239.280
432.487, 234.471
432.969, 234.971
433.451, 246.771
433.934, 274.629
434.416, 305.734
434.898, 315.562
435.380, 306.785
435.862, 298.974
436.344, 306.467
436.826, 320.875
437.308, 324.457
437.790, 316.041
438.273, 307.459
438.755, 309.256
439.237, 317.849
439.719, 327.555
440.201, 336.118
440.683, 345.476
441.165, 360.280
441.647, 378.066
442.129, 388.608
442.612, 381.795
443.094, 369.730
443.576, 358.225
444.058, 342.507
444.540, 339.720
445.022, 367.434
445.504, 408.652
445.987, 436.228
446.469, 433.550
446.951, 430.310
447.433, 435.629
447.915, 450.357
448.397, 457.021
448.879, 447.679
449.361, 437.736
449.843, 440.093
450.326, 462.509
450.808, 477.955
451.290, 481.412
451.772, 477.369
452.254, 479.774
452.736, 490.527
453.218, 498.862
453.700, 497.708
454.182, 486.727
454.665, 475.822
455.147, 465.562
455.629, 458.392
456.111, 453.643
456.593, 451.370
457.075, 456.240
457.557, 473.265
458.039, 494.481
458.522, 509.371
459.004, 519.209
459.486, 525.080
459.968, 522.994
460.450, 516.805
460.932, 510.053
461.414, 505.099
461.896, 500.820
462.379, 487.521
462.861, 473.237
463.343, 472.116
463.825, 509.881
464.307, 542.806
464.789, 547.995
465.271, 525.303
465.753, 509.055
466.235, 505.482
466.717, 510.823
467.200, 522.665
467.682, 551.637
468.164, 571.704
468.646, 577.128
469.128, 574.658
469.610, 580.611
470.092, 600.722
470.574, 617.932
471.057, 625.303
471.539, 622.866
472.021, 620.248
472.503, 616.547
472.985, 614.338
473.467, 619.507
473.949, 631.876
474.431, 633.628
474.914, 616.509
475.396, 592.640
475.878, 588.823
476.360, 603.073
476.842, 617.274
477.324, 617.430
477.806, 611.318
478.288, 610.298
478.770, 604.072
479.253, 617.846
479.735, 626.789
480.217, 631.162
480.699, 617.216
481.181, 626.961
481.663, 627.230
482.145, 627.126
482.627, 640.247
483.109, 629.049
483.592, 642.007
484.074, 645.353
484.556, 653.128
485.038, 649.404
485.520, 672.351
486.002, 660.259
486.484, 637.690
486.966, 635.743
487.448, 673.471
487.931, 700.637
488.413, 704.749
488.895, 688.420
489.377, 674.176
489.859, 661.177
490.341, 653.266
490.823, 656.215
491.306, 670.491
491.788, 678.154
492.270, 677.380
492.752, 671.525
493.234, 663.378
493.716, 653.683
494.198, 646.479
494.680, 644.305
495.162, 645.235
495.645, 648.941
496.127, 654.668
496.609, 654.773
497.091, 634.544
497.573, 609.506
498.055, 598.424
498.537, 608.327
499.019, 623.865
499.501, 640.021
499.984, 655.973
500.466, 670.641
500.948, 689.281
501.430, 701.171
501.912, 703.350
502.394, 695.598
502.876, 678.071
503.358, 630.218
503.841, 588.956
504.323, 576.688
504.805, 609.991
505.287, 639.458
505.769, 667.924
506.251, 688.690
506.733, 685.519
507.215, 651.824
507.698, 623.183
508.180, 613.715
508.662, 619.600
509.144, 621.162
509.626, 618.312
510.108, 612.763
510.590, 605.408
511.072, 596.670
511.554, 586.935
512.036, 575.198
512.519, 566.063
513.001, 567.463
513.483, 574.568
513.965, 580.399
514.447, 582.600
514.929, 582.546
515.411, 575.304
515.893, 562.884
516.375, 557.656
516.858, 572.135
517.340, 590.718
517.822, 597.312
518.304, 587.173
518.786, 573.012
519.268, 548.949
519.750, 524.797
520.232, 515.525
520.715, 533.724
521.197, 549.192
521.679, 552.016
522.161, 546.102
522.643, 542.370
523.125, 540.751
523.607, 539.335
524.089, 535.531
524.571, 529.703
525.054, 513.523
525.536, 477.724
526.018, 442.431
526.500, 438.232
526.982, 459.065
527.464, 482.418
527.946, 504.443
528.429, 519.331
528.911, 517.254
529.393, 500.627
529.875, 482.046
530.357, 466.944
530.839, 455.006
531.321, 445.812
531.803, 439.521
532.286, 432.741
532.768, 421.934
533.250, 410.364
533.732, 403.156
534.214, 403.582
534.696, 406.596
535.178, 418.338
535.660, 433.123
536.142, 418.308
536.625, 352.234
537.107, 296.704
537.589, 288.683
538.071, 335.558
538.553, 353.466
539.035, 336.856
539.517, 308.928
539.999, 296.820
540.481, 299.360
540.964, 302.986
541.446, 302.936
541.928, 301.140
542.410, 301.375
542.892, 303.385
543.374, 304.572
543.856, 302.542
544.338, 298.712
544.820, 295.308
545.303, 293.474
545.785, 288.685
546.267, 272.573
546.749, 255.021
547.231, 244.288
547.713, 249.606
548.195, 252.425
548.677, 250.924
549.159, 245.162
549.642, 235.095
550.124, 217.448
550.606, 200.863
551.088, 187.371
551.570, 177.031
552.052, 168.354
552.534, 161.138
553.016, 156.170
553.499, 155.243
553.981, 157.890
554.463, 158.595
554.945, 156.352
555.427, 153.644
555.909, 156.215
556.391, 161.346
556.873, 160.738
557.356, 145.639
557.838, 128.012
558.320, 120.854
558.802, 121.965
559.284, 120.925
559.766, 108.203
560.248, 94.989
560.730, 89.303
561.213, 94.801
561.695, 98.098
562.177, 98.132
562.659, 94.136
563.141, 84.956
563.623, 64.872
564.105, 49.142
564.587, 39.593
565.069, 35.179
565.552, 32.985
566.034, 32.779
566.516, 35.880
566.998, 45.763
567.480, 60.015
567.962, 62.096
568.444, 51.148
568.926, 41.715
569.408, 15.128
569.891, 3.899
570.373, 18.607
570.855, 6.127
571.337, 19.376
571.819, 21.759
572.301, 19.240
572.783, 4.258
573.265, 11.734
573.747, 20.148
574.230, 2.659
574.712, 32.122
575.194, 9.853
575.676, 10.391
576.158, 0.518
576.640, 13.242
577.122, 19.014
577.604, 2.222
578.086, 2.045
578.569, 13.359
579.051, 2.943
579.533, 38.720
580.015, 34.015
580.497, 11.864
580.979, 26.272
581.461, 15.592
581.943, 14.504
582.426, 56.926
582.908, 41.944
583.390, 32.871
583.872, 28.435
584.354, 28.514
584.836, 26.653
585.318, 17.234
585.800, 5.519
586.282, 5.578
586.765, 17.766
587.247, 22.370
587.729, 10.867
588.211, 7.026
588.693, 19.437
589.175, 24.540
589.657, 26.322
590.140, 23.117
590.622, 17.282
591.104, 18.029
591.586, 28.054
592.068, 34.341
592.550, 28.490
593.032, 13.143
593.514, 6.300
593.996, 8.255
594.479, 10.647
594.961, 4.778
595.443, 5.478
595.925, 13.475
596.407, 18.855
596.889, 18.796
597.371, 4.640
597.853, 14.693
598.335, 26.044
598.818, 16.767
599.300, 7.310
599.782, 5.931
600.264, 10.576
600.746, 10.677
601.228, 1.016
601.710, 9.198
602.192, 5.651
602.674, 11.546
603.157, 12.552
603.639, 8.331
604.121, 31.634
604.603, 39.461
605.085, 32.920
605.567, 29.796
606.049, 32.455
606.531, 37.878
607.013, 44.259
607.496, 50.381
607.978, 52.763
608.460, 47.527
608.942, 40.557
609.424, 35.871
609.906, 33.203
610.388, 31.492
610.870, 31.244
611.353, 31.045
611.835, 29.415
612.317, 25.537
612.799, 25.680
613.281, 33.824
613.763, 42.308
614.245, 45.660
614.727, 42.330
615.209, 38.581
615.692, 32.392
616.174, 30.118
616.656, 47.644
617.138, 82.771
617.620, 103.649
618.102, 97.608
618.584, 76.489
619.067, 51.359
619.549, 25.543
620.031, 11.118
620.513, 24.699
620.995, 45.010
621.477, 53.960
621.959, 50.686
622.441, 51.748
622.923, 67.881
623.406, 86.639
623.888, 100.650
624.370, 111.892
624.852, 111.827
625.334, 90.486
625.816, 66.930
626.298, 68.879
626.780, 104.149
627.263, 120.980
627.745, 103.517
628.227, 70.199
628.709, 63.746
629.191, 80.824
629.673, 101.028
630.155, 120.741
630.637, 134.649
631.119, 125.864
631.602, 97.442
632.084, 74.784
632.566, 71.284
633.048, 77.091
633.530, 81.558
634.012, 83.319
634.494, 86.189
634.976, 96.161
635.458, 106.478
635.941, 108.780
636.423, 94.622
636.905, 89.644
637.387, 95.413
637.869, 107.832
638.351, 115.538
638.833, 115.860
639.315, 118.002
639.797, 125.880
640.280, 131.948
640.762, 127.694
641.244, 114.852
641.726, 105.266
642.208, 115.546
642.690, 125.954
643.172, 113.872
643.654, 77.786
644.137, 51.518
644.619, 49.784
645.101, 60.890
645.583, 78.903
646.065, 117.150
646.547, 130.882
647.029, 103.766
647.511, 67.053
647.994, 62.017
648.476, 97.471
648.958, 116.361
649.440, 102.593
649.922, 74.489
650.404, 70.406
650.886, 87.959
651.368, 108.195
651.851, 127.534
652.333, 140.334
652.815, 133.039
653.297, 110.688
653.779, 98.700
654.261, 122.762
654.743, 151.566
655.225, 166.173
655.707, 163.027
656.190, 152.785
656.672, 125.679
657.154, 103.214
657.636, 101.098
658.118, 129.626
658.600, 144.959
659.082, 142.797
659.564, 134.671
660.046, 135.541
660.529, 144.061
661.011, 158.192
661.493, 183.864
661.975, 205.867
662.457, 196.181
662.939, 165.053
663.421, 140.594
663.903, 135.260
664.385, 141.987
664.868, 166.107
665.350, 203.067
665.832, 223.225
666.314, 208.301
666.796, 184.624
667.278, 159.522
667.760, 130.650
668.242, 118.693
668.724, 127.506
669.207, 145.281
669.689, 165.336
670.171, 187.026
670.653, 203.451
671.135, 214.110
671.617, 218.440
672.099, 214.954
672.581, 204.864
673.064, 190.255
673.546, 169.435
674.028, 148.712
674.510, 125.567
674.992, 106.296
675.474, 103.116
675.956, 142.214
676.438, 173.027
676.920, 176.741
677.403, 160.345
677.885, 155.022
678.367, 166.139
678.849, 176.774
679.331, 179.921
679.813, 176.190
680.295, 168.173
680.778, 155.252
681.260, 147.025
681.742, 154.438
682.224, 170.670
682.706, 185.375
683.188, 197.948
683.670, 203.511
684.152, 186.714
684.634, 167.357
685.117, 166.527
685.599, 207.887
686.081, 235.679
686.563, 231.723
687.045, 214.870
687.527, 208.242
688.009, 216.635
688.491, 217.210
688.973, 192.561
689.456, 224.575
689.938, 242.845
690.420, 248.121
690.902, 201.425
691.384, 221.870
691.866, 215.423
692.348, 207.886
692.830, 237.816
693.312, 198.741
693.795, 228.099
694.277, 230.157
694.759, 244.729
695.241, 232.252
695.723, 228.159
696.205, 251.161
696.687, 259.197
697.169, 229.928
697.652, 231.698
698.134, 231.569
698.616, 229.375
699.098, 226.047
699.580, 222.521
700.062, 218.802
700.544, 214.304
701.026, 208.758
701.508, 203.697
701.991, 199.556
702.473, 197.235
702.955, 198.407
703.437, 210.660
703.919, 217.740
704.401, 210.131
704.883, 193.187
705.365, 178.761
705.847, 163.771
706.330, 157.041
706.812, 162.583
707.294, 177.467
707.776, 191.987
708.258, 206.867
708.740, 214.192
709.222, 206.290
709.705, 189.377
710.187, 179.104
710.669, 174.853
711.151, 171.661
711.633, 165.843
712.115, 159.951
712.597, 155.887
713.079, 153.785
713.561, 154.042
714.044, 157.253
714.526, 162.578
715.008, 170.232
715.490, 183.818
715.972, 188.750
716.454, 183.079
716.936, 172.229
717.418, 156.255
717.901, 136.818
718.383, 140.708
718.865, 177.851
719.347, 218.467
719.829, 226.673
720.311, 213.258
720.793, 198.813
721.275, 191.736
721.757, 183.443
722.240, 160.797
722.722, 135.271
723.204, 130.417
723.686, 179.488
724.168, 209.341
724.650, 200.908
725.132, 166.138
725.614, 148.325
726.096, 149.261
726.579, 153.927
727.061, 157.604
727.543, 159.623
728.025, 156.548
728.507, 149.319
728.989, 144.407
729.471, 150.473
729.953, 157.317
730.435, 155.567
730.918, 144.619
731.400, 134.117
731.882, 125.454
732.364, 119.447
732.846, 117.241
733.328, 120.336
733.810, 118.818
734.292, 110.399
734.775, 102.707
735.257, 104.656
735.739, 114.332
736.221, 118.866
736.703, 116.627
737.185, 111.709
737.667, 105.911
738.149, 100.822
738.631, 98.817
739.114, 101.145
739.596, 105.354
740.078, 112.115
740.560, 119.767
741.042, 126.468
741.524, 136.873
742.006, 139.502
742.489, 128.630
742.971, 109.074
743.453, 99.034
743.935, 99.926
744.417, 98.937
744.899, 88.764
745.381, 79.431
745.863, 91.258
746.345, 117.197
746.828, 136.663
747.310, 139.517
747.792, 133.652
748.274, 116.416
748.756, 91.294
749.238, 77.073
749.720, 83.467
750.202, 92.583
750.684, 102.609
751.167, 111.806
751.649, 104.459
752.131, 78.443
752.613, 53.895
753.095, 45.201
753.577, 46.675
754.059, 41.124
754.541, 27.994
755.023, 19.389
755.506, 30.582
755.988, 45.872
756.470, 49.307
756.952, 34.620
757.434, 28.289
757.916, 43.496
758.398, 63.314
758.880, 75.741
759.362, 77.277
759.845, 73.187
760.327, 63.668
760.809, 53.633
761.291, 51.493
761.773, 52.943
762.255, 40.717
762.737, 9.792
763.219, 14.579
763.702, 4.140
764.184, 20.599
764.666, 36.635
765.148, 33.797
765.630, 32.289
766.112, 37.134
766.594, 42.802
767.076, 44.091
767.558, 40.341
768.041, 33.016
768.523, 19.845
769.005, 7.759
769.487, 10.470
769.969, 24.531
770.451, 35.551
770.933, 37.939
771.416, 37.471
771.898, 37.299
772.380, 37.869
772.862, 39.990
773.344, 48.159
773.826, 53.009
774.308, 53.154
774.790, 48.778
775.272, 37.803
775.755, 16.634
776.237, 4.412
776.719, 9.507
777.201, 25.202
777.683, 33.523
778.165, 33.958
778.647, 32.801
779.129, 31.199
779.612, 30.566
780.094, 35.687
780.576, 43.493
781.058, 42.893
781.540, 16.275
782.022, 3.375
782.504, 3.981
782.986, 10.896
783.468, 18.089
783.951, 15.899
784.433, 13.105
784.915, 14.053
785.397, 17.667
785.879, 18.589
786.361, 16.901
786.843, 18.846
787.325, 37.260
787.807, 54.510
788.290, 52.196
788.772, 30.435
789.254, 14.657
789.736, 17.171
790.218, 20.198
790.700, 15.571
791.182, 2.869
791.664, 2.725
792.146, 0.043
792.629, 3.789
793.111, 2.559
793.593, 1.116
794.075, 1.522
794.557, 1.495
795.039, 10.580
795.521, 40.561
796.003, 68.191
796.485, 70.377
796.968, 37.826
797.450, 21.060
797.932, 45.503
798.414, 63.820
798.896, 38.585
799.378, 39.318
799.860, 64.819
800.343, 30.479
800.825, 15.113
801.307, 27.689
801.789, 21.142
802.271, 23.513
802.753, 39.136
803.235, 49.692
803.717, 40.503
804.199, 23.994
804.682, 9.212
805.164, 4.437
805.646, 10.894
806.128, 6.665
806.610, 0.081
807.092, 1.470
807.574, 1.833
808.056, 3.166
808.539, 1.719
809.021, 0.076
809.503, 0.082
809.985, 1.872
810.467, 7.284
810.949, 19.178
811.431, 24.429
811.913, 6.721
812.395, 13.397
812.878, 16.314
813.360, 12.988
813.842, 22.801
814.324, 4.401
814.806, 16.504
815.288, 2.947
815.770, 36.299
816.252, 45.901
816.734, 14.058
817.217, 22.397
817.699, 28.791
818.181, 21.513
818.663, 20.500
819.145, 35.444
819.627, 45.961
820.109, 46.905
820.591, 42.804
