##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061122
358.2839, 0.2705080
358.7660, 15.82129
359.2481, 2.017090
359.7303, 13.82385
360.2124, 16.17224
360.6945, 24.66919
361.1766, 19.84314
361.6587, 19.12878
362.1408, 31.74304
362.6230, 37.00146
363.1051, 30.69714
363.5872, 39.59741
364.0693, 21.23157
364.5514, 29.03174
365.0335, 33.51660
365.5157, 38.67029
365.9978, 46.15271
366.4799, 51.93335
366.9620, 54.54102
367.4441, 50.68872
367.9262, 50.44031
368.4084, 59.55200
368.8905, 71.22253
369.3726, 74.75903
369.8547, 64.56189
370.3368, 53.00378
370.8189, 42.14111
371.3011, 31.28748
371.7832, 25.53174
372.2653, 26.21082
372.7474, 30.74133
373.2295, 37.72668
373.7116, 50.37292
374.1938, 57.36169
374.6759, 54.81213
375.1580, 43.99609
375.6401, 35.64722
376.1222, 29.24255
376.6043, 26.51184
377.0865, 30.49585
377.5686, 41.43640
378.0507, 48.08203
378.5328, 47.92529
379.0149, 44.25525
379.4970, 48.14307
379.9792, 60.43054
380.4613, 71.59656
380.9434, 73.96094
381.4255, 68.97388
381.9076, 65.36206
382.3897, 64.39124
382.8719, 63.63940
383.3540, 57.31714
383.8361, 47.11133
384.3182, 42.29492
384.8003, 50.54553
385.2824, 66.11365
385.7646, 81.45264
386.2467, 96.66626
386.7288, 105.7322
387.2109, 98.29822
387.6930, 81.51282
388.1751, 68.61011
388.6573, 66.30383
389.1394, 68.05896
389.6215, 69.19958
390.1036, 69.32288
390.5857, 69.12402
391.0678, 71.77014
391.5499, 73.48792
392.0320, 70.43298
392.5142, 56.05042
392.9963, 46.27649
393.4784, 54.00696
393.9605, 71.83191
394.4426, 81.05493
394.9247, 65.20361
395.4069, 47.61182
395.8890, 40.71130
396.3711, 51.34021
396.8532, 56.46240
397.3353, 45.60083
397.8174, 29.04541
398.2996, 13.78003
398.7817, 29.12183
399.2638, 37.90417
399.7459, 40.46265
400.2280, 17.58655
