##NAMES=Eglestonite
##RRUFFID=R060612
##IDEAL CHEMISTRY=Hg^1+^_6_OCl_3_(OH)
##LOCALITY=Cahill mine, Poverty Peak District, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown fragments
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060612
##MEASURED CHEMISTRY=Hg^1+^_6.00_OCl_3.00_(OH) ; O,H not measured but estimated by difference and stoichiometry
155.270, 2589.661
155.752, 2955.094
156.234, 3417.715
156.716, 3991.752
157.198, 4596.812
157.680, 5374.723
158.163, 6391.037
158.645, 7710.199
159.127, 9140.754
159.609, 10736.002
160.091, 12411.966
160.573, 13992.981
161.055, 15147.279
161.538, 16347.832
162.020, 17838.172
162.502, 19600.119
162.984, 21762.377
163.466, 24064.178
163.948, 26709.725
164.430, 30449.072
164.912, 36686.422
165.394, 43670.832
165.876, 50139.848
166.359, 59067.477
166.841, 64128.879
167.323, 59690.535
167.805, 46733.633
168.287, 33212.633
168.769, 22673.570
169.251, 14749.847
169.733, 8914.416
170.216, 5938.201
170.698, 4360.107
171.180, 3238.655
171.662, 2562.365
172.144, 2109.411
172.626, 1788.854
173.108, 1565.302
173.590, 1378.895
174.072, 1204.848
174.555, 1051.909
175.037, 930.342
175.519, 842.084
176.001, 772.421
176.483, 714.138
176.965, 664.760
177.447, 619.099
177.929, 574.916
178.412, 532.643
178.894, 493.351
179.376, 457.720
179.858, 424.333
180.340, 391.343
180.822, 359.332
181.304, 329.345
181.786, 303.399
182.268, 280.342
182.751, 257.216
183.233, 232.553
183.715, 210.424
184.197, 201.158
184.679, 203.461
185.161, 203.208
185.643, 186.350
186.125, 157.878
186.607, 135.485
187.090, 123.130
187.572, 117.741
188.054, 113.948
188.536, 111.786
189.018, 110.922
189.500, 112.498
189.982, 115.859
190.464, 116.330
190.947, 111.624
191.429, 103.947
191.911, 100.297
192.393, 101.088
192.875, 102.725
193.357, 101.036
193.839, 96.158
194.321, 93.483
194.803, 94.373
195.286, 98.547
195.768, 104.971
196.250, 113.890
196.732, 124.048
197.214, 134.511
197.696, 145.320
198.178, 155.954
198.661, 167.485
199.143, 179.367
199.625, 184.875
200.107, 182.393
200.589, 177.572
201.071, 177.969
201.553, 184.271
202.035, 191.343
202.517, 198.001
202.999, 204.293
203.482, 208.060
203.964, 209.174
204.446, 207.929
204.928, 204.560
205.410, 198.859
205.892, 191.785
206.374, 183.468
206.857, 173.699
207.339, 164.349
207.821, 155.866
208.303, 147.308
208.785, 136.514
209.267, 122.536
209.749, 109.061
210.231, 97.386
210.713, 87.682
211.195, 80.056
211.678, 76.154
212.160, 73.135
212.642, 63.459
213.124, 43.729
213.606, 25.497
214.088, 15.259
214.570, 16.224
215.052, 13.431
215.535, 4.249
216.017, 8.091
216.499, 13.287
216.981, 7.553
217.463, 2.289
217.945, 4.280
218.427, 16.904
218.909, 27.154
219.391, 34.905
219.874, 39.798
220.356, 39.782
220.838, 32.783
221.320, 24.323
221.802, 17.725
222.284, 13.804
222.766, 9.043
223.248, 0.909
223.731, 8.476
224.213, 7.275
224.695, 11.854
225.177, 30.845
225.659, 37.443
226.141, 24.593
226.623, 15.671
227.105, 15.008
227.587, 20.600
228.070, 19.251
228.552, 6.073
229.034, 7.587
229.516, 13.182
229.998, 5.523
230.480, 1.121
230.962, 3.212
231.444, 10.723
231.926, 14.971
232.409, 14.873
232.891, 12.760
233.373, 9.790
233.855, 3.940
234.337, 1.568
234.819, 5.049
235.301, 13.706
235.783, 18.118
236.266, 15.859
236.748, 12.147
237.230, 10.985
237.712, 13.194
238.194, 16.412
238.676, 20.738
239.158, 26.048
239.640, 30.578
240.122, 33.838
240.605, 36.870
241.087, 40.595
241.569, 45.730
242.051, 50.117
242.533, 52.266
243.015, 52.375
243.497, 57.686
243.980, 71.147
244.462, 86.627
244.944, 98.797
245.426, 105.757
245.908, 113.086
246.390, 121.912
246.872, 132.234
247.354, 141.154
247.836, 146.684
248.318, 152.982
248.801, 164.673
249.283, 186.962
249.765, 203.619
250.247, 209.094
250.729, 203.691
251.211, 207.344
251.693, 223.204
252.176, 244.217
252.658, 264.262
253.140, 282.642
253.622, 301.485
254.104, 319.772
254.586, 337.812
255.068, 364.650
255.550, 404.175
256.032, 447.309
256.514, 484.817
256.997, 511.833
257.479, 544.640
257.961, 585.126
258.443, 633.648
258.925, 693.500
259.407, 765.446
259.889, 847.340
260.371, 938.257
260.854, 1039.364
261.336, 1146.526
261.818, 1256.196
262.300, 1368.807
262.782, 1509.057
263.264, 1677.209
263.746, 1868.168
264.228, 2074.780
264.711, 2299.632
265.193, 2536.894
265.675, 2785.948
266.157, 3045.631
266.639, 3328.766
267.121, 3634.704
267.603, 3961.692
268.085, 4318.264
268.567, 4705.210
269.050, 5106.364
269.532, 5515.615
270.014, 5932.441
270.496, 6378.862
270.978, 6872.654
271.460, 7351.179
271.942, 7787.701
272.424, 8190.420
272.906, 8497.161
273.389, 8706.146
273.871, 8811.756
274.353, 8784.578
274.835, 8612.516
275.317, 8345.520
275.799, 8007.487
276.281, 7590.813
276.763, 7157.512
277.246, 6708.712
277.728, 6255.363
278.210, 5825.551
278.692, 5419.417
279.174, 5046.144
279.656, 4717.753
280.138, 4432.846
280.620, 4182.196
281.103, 3965.165
281.585, 3780.910
282.067, 3633.035
282.549, 3524.185
283.031, 3430.600
283.513, 3334.414
283.995, 3236.955
284.477, 3160.084
284.959, 3111.306
285.441, 3079.035
285.924, 3035.417
286.406, 2980.296
286.888, 2928.985
287.370, 2897.109
287.852, 2881.377
288.334, 2854.117
288.816, 2811.089
289.298, 2755.931
289.781, 2691.487
290.263, 2617.955
290.745, 2543.938
291.227, 2477.315
291.709, 2415.606
292.191, 2348.903
292.673, 2277.687
293.155, 2196.746
293.638, 2091.545
294.120, 1965.514
294.602, 1840.075
295.084, 1726.468
295.566, 1622.654
296.048, 1529.191
296.530, 1447.338
297.012, 1367.950
297.494, 1274.784
297.977, 1171.511
298.459, 1077.019
298.941, 1000.986
299.423, 939.902
299.905, 888.761
300.387, 847.916
300.869, 810.424
301.351, 768.618
301.833, 723.886
302.316, 680.936
302.798, 642.135
303.280, 605.581
303.762, 567.508
304.244, 527.284
304.726, 490.955
305.208, 466.120
305.690, 449.797
306.172, 435.413
306.655, 420.492
307.137, 405.543
307.619, 391.794
308.101, 379.389
308.583, 365.311
309.065, 345.142
309.547, 322.623
310.030, 303.632
310.512, 291.421
310.994, 282.231
311.476, 273.275
311.958, 265.032
312.440, 258.239
312.922, 256.135
313.404, 254.485
313.886, 248.947
314.369, 232.164
314.851, 216.559
315.333, 206.927
315.815, 203.579
316.297, 204.852
316.779, 215.966
317.261, 228.218
317.743, 234.776
318.225, 228.783
318.708, 222.195
319.190, 217.991
319.672, 216.135
320.154, 216.314
320.636, 222.905
321.118, 228.648
321.600, 229.062
322.082, 220.192
322.565, 210.409
323.047, 200.290
323.529, 190.204
324.011, 181.484
324.493, 175.374
324.975, 169.749
325.457, 163.915
325.939, 159.153
326.422, 151.809
326.904, 138.134
327.386, 121.780
327.868, 111.024
328.350, 112.181
328.832, 112.648
329.314, 108.291
329.796, 96.616
330.278, 86.903
330.760, 79.298
331.243, 73.669
331.725, 70.362
332.207, 73.433
332.689, 72.752
333.171, 63.985
333.653, 45.226
334.135, 33.030
334.617, 29.652
335.100, 30.682
335.582, 32.021
336.064, 34.880
336.546, 34.738
337.028, 29.519
337.510, 19.681
337.992, 12.727
338.474, 9.618
338.957, 7.440
339.439, 2.565
339.921, 5.960
340.403, 10.211
340.885, 7.565
341.367, 0.040
341.849, 5.164
342.331, 8.081
342.813, 8.695
343.296, 5.312
343.778, 1.790
344.260, 4.959
344.742, 2.751
345.224, 2.739
345.706, 9.701
346.188, 18.249
346.670, 25.743
347.152, 30.884
347.635, 33.755
348.117, 34.300
348.599, 32.402
349.081, 28.777
349.563, 23.373
350.045, 16.689
350.527, 10.843
351.009, 6.379
351.491, 3.668
351.974, 4.757
352.456, 10.145
352.938, 14.448
353.420, 9.496
353.902, 0.072
354.384, 5.066
354.866, 4.704
355.349, 17.128
355.831, 19.011
356.313, 10.915
356.795, 2.544
357.277, 1.629
357.759, 3.320
358.241, 1.976
358.723, 9.204
359.205, 18.467
359.688, 17.032
360.170, 7.046
360.652, 1.815
361.134, 6.018
361.616, 7.003
362.098, 5.648
362.580, 1.068
363.062, 3.979
363.544, 11.030
364.027, 17.980
364.509, 20.111
364.991, 10.162
365.473, 0.073
365.955, 4.839
366.437, 2.539
366.919, 0.813
367.401, 8.218
367.884, 15.307
368.366, 15.987
368.848, 1.535
369.330, 10.518
369.812, 16.895
370.294, 17.347
370.776, 13.483
371.258, 0.484
371.741, 14.095
372.223, 16.996
372.705, 3.039
373.187, 9.680
373.669, 19.284
374.151, 25.675
374.633, 27.301
375.115, 22.301
375.597, 16.163
376.079, 12.361
376.562, 10.809
377.044, 12.162
377.526, 17.635
378.008, 24.996
378.490, 28.046
378.972, 26.177
379.454, 24.623
379.936, 27.469
380.419, 33.969
380.901, 36.204
381.383, 33.112
381.865, 28.328
382.347, 26.190
382.829, 26.605
383.311, 29.117
383.793, 35.878
384.276, 44.020
384.758, 46.939
385.240, 44.500
385.722, 40.459
386.204, 36.941
386.686, 34.314
387.168, 33.479
387.650, 36.101
388.132, 39.111
388.615, 38.066
389.097, 33.978
389.579, 32.030
390.061, 39.375
390.543, 48.498
391.025, 51.599
391.507, 44.796
391.989, 36.862
392.471, 32.356
392.954, 30.138
393.436, 27.983
393.918, 21.775
394.400, 17.993
394.882, 21.970
395.364, 36.697
395.846, 46.221
396.328, 41.377
396.810, 31.528
397.293, 26.955
397.775, 36.673
398.257, 43.467
398.739, 42.919
399.221, 35.050
399.703, 28.966
400.185, 26.948
400.668, 24.978
401.150, 19.865
401.632, 4.623
402.114, 1.155
402.596, 8.380
403.078, 27.883
403.560, 40.349
404.042, 44.679
404.524, 44.044
405.007, 38.632
405.489, 27.291
405.971, 18.236
406.453, 11.343
406.935, 6.942
407.417, 5.774
407.899, 7.954
408.381, 12.222
408.863, 20.171
409.346, 29.837
409.828, 31.634
410.310, 25.061
410.792, 17.065
411.274, 14.367
411.756, 15.567
412.238, 15.827
412.720, 14.831
413.203, 12.816
413.685, 9.365
414.167, 5.111
414.649, 3.151
415.131, 7.438
415.613, 14.405
416.095, 19.712
416.577, 22.393
417.060, 22.245
417.542, 17.063
418.024, 10.550
418.506, 7.723
418.988, 13.157
419.470, 19.961
419.952, 24.838
420.434, 27.614
420.916, 28.361
421.398, 27.034
421.881, 23.638
422.363, 18.464
422.845, 7.647
423.327, 1.077
423.809, 1.113
424.291, 6.292
424.773, 11.598
425.255, 19.026
425.738, 23.865
426.220, 24.169
426.702, 18.071
427.184, 15.571
427.666, 17.310
428.148, 21.578
428.630, 26.929
429.112, 35.030
429.595, 37.486
430.077, 30.000
430.559, 15.205
431.041, 13.096
431.523, 26.618
432.005, 41.441
432.487, 43.575
432.969, 33.623
433.451, 27.745
433.934, 29.377
434.416, 34.824
434.898, 37.745
435.380, 38.634
435.862, 39.372
436.344, 39.517
436.826, 39.287
437.308, 39.508
437.790, 40.448
438.273, 41.687
438.755, 41.667
439.237, 41.456
439.719, 42.991
440.201, 49.578
440.683, 56.173
441.165, 58.604
441.647, 57.446
442.129, 56.363
442.612, 59.392
443.094, 61.848
443.576, 59.332
444.058, 45.355
444.540, 36.963
445.022, 44.908
445.504, 60.820
445.987, 68.495
446.469, 54.578
446.951, 42.231
447.433, 39.955
447.915, 50.028
448.397, 54.579
448.879, 50.246
449.361, 43.298
449.843, 39.259
450.326, 39.445
450.808, 39.148
451.290, 37.166
451.772, 34.435
452.254, 35.435
452.736, 41.589
453.218, 45.827
453.700, 41.067
454.182, 27.993
454.665, 26.256
455.147, 38.618
455.629, 54.991
456.111, 63.131
456.593, 63.734
457.075, 60.277
457.557, 51.436
458.039, 40.919
458.522, 34.098
459.004, 30.965
459.486, 32.146
459.968, 41.460
460.450, 54.517
460.932, 64.908
461.414, 71.246
461.896, 75.054
462.379, 76.717
462.861, 76.624
463.343, 75.474
463.825, 73.045
464.307, 69.988
464.789, 65.582
465.271, 59.495
465.753, 56.854
466.235, 63.422
466.717, 71.126
467.200, 73.746
467.682, 65.162
468.164, 58.983
468.646, 58.827
469.128, 61.659
469.610, 56.824
470.092, 39.300
470.574, 24.248
471.057, 17.711
471.539, 20.247
472.021, 28.520
472.503, 46.071
472.985, 62.028
473.467, 59.318
473.949, 37.850
474.431, 23.537
474.914, 25.030
475.396, 35.766
475.878, 41.768
476.360, 43.211
476.842, 41.579
477.324, 35.112
477.806, 26.848
478.288, 22.361
478.770, 22.567
479.253, 24.940
479.735, 27.730
480.217, 31.157
480.699, 35.537
481.181, 44.523
481.663, 51.437
482.145, 50.724
482.627, 43.427
483.109, 38.570
483.592, 42.902
484.074, 47.583
484.556, 47.516
485.038, 37.256
485.520, 31.049
486.002, 34.350
486.484, 41.166
486.966, 42.360
487.448, 33.693
487.931, 25.948
488.413, 21.287
488.895, 19.666
489.377, 21.657
489.859, 28.796
490.341, 35.899
490.823, 40.443
491.306, 42.585
491.788, 35.799
492.270, 16.843
492.752, 5.616
493.234, 17.971
493.716, 20.671
494.198, 17.892
494.680, 8.472
495.162, 4.158
495.645, 14.811
496.127, 23.518
496.609, 29.137
497.091, 29.365
497.573, 26.650
498.055, 24.032
498.537, 22.695
499.019, 20.749
499.501, 13.815
499.984, 5.746
500.466, 4.223
500.948, 24.186
501.430, 39.763
501.912, 38.125
502.394, 15.948
502.876, 0.368
503.358, 4.029
503.841, 3.100
504.323, 0.213
504.805, 6.845
505.287, 11.305
505.769, 11.332
506.251, 9.320
506.733, 11.345
507.215, 18.642
507.698, 25.180
508.180, 27.929
508.662, 27.586
509.144, 29.817
509.626, 34.862
510.108, 40.267
510.590, 44.958
511.072, 48.235
511.554, 46.696
512.036, 37.205
512.519, 28.193
513.001, 33.000
513.483, 46.357
513.965, 54.305
514.447, 43.998
514.929, 30.013
515.411, 22.571
515.893, 22.232
516.375, 23.539
516.858, 23.784
517.340, 25.136
517.822, 29.343
518.304, 41.109
518.786, 49.964
519.268, 53.854
519.750, 54.249
520.232, 53.916
520.715, 54.346
521.197, 51.405
521.679, 41.550
522.161, 24.809
522.643, 19.379
523.125, 28.657
523.607, 39.724
524.089, 42.282
524.571, 36.514
525.054, 26.234
525.536, 9.762
526.018, 5.852
526.500, 8.203
526.982, 0.491
527.464, 11.134
527.946, 21.288
528.429, 30.029
528.911, 36.626
529.393, 40.929
529.875, 42.075
530.357, 37.929
530.839, 31.222
531.321, 23.485
531.803, 12.263
532.286, 6.298
532.768, 14.108
533.250, 27.537
533.732, 34.353
534.214, 27.736
534.696, 19.930
535.178, 11.159
535.660, 2.103
536.142, 1.310
536.625, 14.073
537.107, 26.200
537.589, 29.260
538.071, 21.382
538.553, 16.302
539.035, 14.848
539.517, 13.962
539.999, 7.902
540.481, 2.293
540.964, 6.817
541.446, 0.420
541.928, 10.915
542.410, 16.316
542.892, 17.098
543.374, 19.454
543.856, 33.104
544.338, 46.841
544.820, 47.331
545.303, 31.457
545.785, 17.286
546.267, 15.016
546.749, 18.110
547.231, 19.873
547.713, 17.817
548.195, 15.510
548.677, 11.649
549.159, 7.857
549.642, 9.136
550.124, 19.387
550.606, 28.556
551.088, 32.438
551.570, 31.369
552.052, 34.714
552.534, 45.049
553.016, 54.201
553.499, 52.795
553.981, 41.673
554.463, 32.897
554.945, 28.310
555.427, 26.300
555.909, 24.825
556.391, 24.071
556.873, 24.662
557.356, 28.426
557.838, 32.661
558.320, 35.129
558.802, 35.787
559.284, 34.377
559.766, 27.193
560.248, 20.451
560.730, 19.200
561.213, 26.609
561.695, 31.135
562.177, 27.972
562.659, 22.825
563.141, 22.859
563.623, 34.421
564.105, 40.554
564.587, 36.255
565.069, 25.156
565.552, 20.968
566.034, 24.777
566.516, 31.656
566.998, 41.799
567.480, 54.058
567.962, 58.884
568.444, 55.986
568.926, 48.811
569.408, 37.903
569.891, 25.448
570.373, 16.107
570.855, 10.514
571.337, 8.970
571.819, 14.633
572.301, 24.232
572.783, 31.504
573.265, 31.883
573.747, 31.137
574.230, 32.997
574.712, 37.165
575.194, 37.249
575.676, 27.314
576.158, 17.113
576.640, 11.079
577.122, 9.566
577.604, 11.640
578.086, 19.073
578.569, 27.748
579.051, 33.790
579.533, 37.418
580.015, 35.136
580.497, 24.076
580.979, 9.463
581.461, 2.519
581.943, 2.718
582.426, 5.816
582.908, 12.771
583.390, 19.752
583.872, 19.946
584.354, 13.657
584.836, 8.000
585.318, 5.836
585.800, 6.102
586.282, 8.018
586.765, 12.068
587.247, 16.429
587.729, 22.355
588.211, 27.821
588.693, 29.728
589.175, 25.812
589.657, 21.333
590.140, 15.495
590.622, 9.688
591.104, 12.046
591.586, 25.555
592.068, 36.918
592.550, 38.723
593.032, 31.727
593.514, 22.648
593.996, 11.255
594.479, 0.897
594.961, 6.095
595.443, 9.658
595.925, 9.370
596.407, 4.514
596.889, 2.621
597.371, 14.669
597.853, 27.013
598.335, 31.491
598.818, 13.304
599.300, 0.808
599.782, 1.316
600.264, 17.712
600.746, 28.972
601.228, 32.781
601.710, 32.327
602.192, 27.004
602.674, 14.632
603.157, 12.540
603.639, 24.709
604.121, 38.608
604.603, 39.255
605.085, 27.450
605.567, 22.935
606.049, 30.523
606.531, 42.086
607.013, 46.843
607.496, 46.062
607.978, 43.377
608.460, 38.865
608.942, 34.371
609.424, 31.919
609.906, 30.970
610.388, 29.680
610.870, 28.081
611.353, 26.157
611.835, 23.592
612.317, 19.772
612.799, 17.796
613.281, 20.143
613.763, 22.234
614.245, 19.701
614.727, 10.165
615.209, 4.664
615.692, 5.416
616.174, 8.720
616.656, 7.734
617.138, 2.641
617.620, 2.153
618.102, 6.968
618.584, 9.061
619.067, 0.278
619.549, 18.334
620.031, 31.596
620.513, 27.614
620.995, 18.696
621.477, 15.310
621.959, 17.470
622.441, 17.881
622.923, 12.884
623.406, 6.632
623.888, 2.177
624.370, 0.021
624.852, 0.685
625.334, 0.971
625.816, 3.559
626.298, 4.842
626.780, 4.389
627.263, 5.020
627.745, 8.174
628.227, 12.076
628.709, 11.105
629.191, 5.846
629.673, 2.075
630.155, 3.192
630.637, 7.592
631.119, 14.375
631.602, 23.234
632.084, 30.406
632.566, 34.706
633.048, 35.607
633.530, 31.282
634.012, 17.279
634.494, 9.750
634.976, 18.781
635.458, 32.038
635.941, 36.748
636.423, 27.826
636.905, 20.872
637.387, 17.898
637.869, 17.540
638.351, 16.360
638.833, 14.203
639.315, 14.309
639.797, 18.482
640.280, 25.528
640.762, 34.758
641.244, 45.511
641.726, 52.176
642.208, 49.506
642.690, 42.053
643.172, 32.020
643.654, 18.968
644.137, 11.878
644.619, 18.940
645.101, 30.710
645.583, 39.977
646.065, 45.649
646.547, 49.102
647.029, 51.574
647.511, 50.907
647.994, 41.016
648.476, 17.997
648.958, 6.509
649.440, 15.318
649.922, 35.113
650.404, 45.348
650.886, 46.570
651.368, 43.453
651.851, 33.652
652.333, 23.591
652.815, 23.051
653.297, 31.086
653.779, 36.687
654.261, 31.029
654.743, 23.168
655.225, 19.269
655.707, 21.428
656.190, 22.494
656.672, 20.260
657.154, 17.539
657.636, 17.110
658.118, 21.032
658.600, 20.328
659.082, 12.487
659.564, 2.754
660.046, 0.603
660.529, 5.501
661.011, 10.731
661.493, 15.272
661.975, 17.770
662.457, 13.710
662.939, 5.347
663.421, 0.239
663.903, 5.347
664.385, 12.601
664.868, 18.371
665.350, 22.258
665.832, 21.554
666.314, 7.573
666.796, 4.210
667.278, 5.076
667.760, 8.520
668.242, 16.530
668.724, 17.017
669.207, 15.311
669.689, 16.744
670.171, 21.192
670.653, 23.599
671.135, 23.308
671.617, 20.925
672.099, 14.462
672.581, 6.610
673.064, 3.994
673.546, 13.081
674.028, 22.786
674.510, 23.866
674.992, 19.906
675.474, 19.399
675.956, 32.453
676.438, 41.125
676.920, 39.341
677.403, 27.822
677.885, 14.596
678.367, 5.074
678.849, 16.242
679.331, 7.472
679.813, 19.723
680.295, 37.300
680.778, 45.021
681.260, 47.165
681.742, 45.066
682.224, 40.469
682.706, 36.618
683.188, 33.962
683.670, 33.007
684.152, 35.082
684.634, 38.629
685.117, 41.982
685.599, 48.600
686.081, 50.055
686.563, 40.172
687.045, 26.575
687.527, 20.854
688.009, 26.221
688.491, 29.974
688.973, 28.712
689.456, 25.102
689.938, 28.826
690.420, 39.474
690.902, 46.203
691.384, 37.940
691.866, 25.029
692.348, 25.820
692.830, 38.112
693.312, 47.970
693.795, 44.902
694.277, 38.387
694.759, 34.639
695.241, 34.628
695.723, 35.126
696.205, 36.570
696.687, 37.824
697.169, 38.452
697.652, 38.991
698.134, 36.522
698.616, 29.950
699.098, 22.854
699.580, 20.506
700.062, 21.763
700.544, 19.341
701.026, 10.210
701.508, 1.603
701.991, 3.808
702.473, 11.903
702.955, 16.874
703.437, 11.412
703.919, 6.258
704.401, 7.128
704.883, 11.629
705.365, 12.346
705.847, 4.717
706.330, 0.772
706.812, 1.249
707.294, 2.581
707.776, 7.673
708.258, 14.479
708.740, 18.980
709.222, 16.694
709.705, 10.592
710.187, 10.560
710.669, 16.173
711.151, 20.300
711.633, 14.904
712.115, 7.484
712.597, 5.414
713.079, 10.585
713.561, 15.339
714.044, 17.666
714.526, 18.563
715.008, 18.747
715.490, 17.875
715.972, 17.091
716.454, 16.415
716.936, 15.793
717.418, 13.908
717.901, 11.071
718.383, 14.385
718.865, 27.818
719.347, 40.813
719.829, 36.932
720.311, 22.869
720.793, 12.617
721.275, 14.192
721.757, 18.623
722.240, 24.665
722.722, 30.430
723.204, 30.822
723.686, 17.927
724.168, 8.790
724.650, 7.978
725.132, 13.858
725.614, 16.722
726.096, 15.736
726.579, 14.232
727.061, 13.338
727.543, 13.302
728.025, 15.514
728.507, 19.734
728.989, 23.344
729.471, 23.923
729.953, 23.490
730.435, 22.762
730.918, 21.542
731.400, 24.188
731.882, 39.795
732.364, 53.355
732.846, 54.828
733.328, 38.263
733.810, 29.499
734.292, 30.728
734.775, 34.890
735.257, 34.628
735.739, 30.614
736.221, 27.760
736.703, 26.516
737.185, 26.836
737.667, 27.570
738.149, 28.320
738.631, 29.449
739.114, 32.948
739.596, 33.708
740.078, 26.977
740.560, 16.951
741.042, 10.858
741.524, 11.639
742.006, 11.725
742.489, 10.525
742.971, 7.764
743.453, 1.180
743.935, 9.401
744.417, 15.792
744.899, 13.739
745.381, 7.135
745.863, 1.285
746.345, 3.909
746.828, 8.669
747.310, 14.288
747.792, 18.506
748.274, 20.194
748.756, 19.303
749.238, 16.018
749.720, 5.795
750.202, 1.049
750.684, 0.779
751.167, 10.599
751.649, 12.358
752.131, 4.612
752.613, 2.362
753.095, 0.133
753.577, 7.701
754.059, 12.673
754.541, 14.464
755.023, 15.269
755.506, 16.074
755.988, 16.887
756.470, 17.984
756.952, 19.825
757.434, 20.011
757.916, 15.091
758.398, 10.984
758.880, 11.876
759.362, 19.175
759.845, 26.464
760.327, 34.801
760.809, 39.707
761.291, 32.446
761.773, 17.496
762.255, 10.605
762.737, 15.946
763.219, 23.346
763.702, 24.940
764.184, 23.145
764.666, 21.050
765.148, 16.264
765.630, 16.093
766.112, 27.015
766.594, 40.580
767.076, 45.127
767.558, 37.496
768.041, 32.099
768.523, 31.478
769.005, 33.601
769.487, 37.209
769.969, 41.493
770.451, 39.774
770.933, 24.114
771.416, 8.256
771.898, 4.196
772.380, 8.612
772.862, 14.582
773.344, 23.274
773.826, 28.544
774.308, 26.848
774.790, 20.662
775.272, 17.674
775.755, 19.228
776.237, 18.958
776.719, 13.251
777.201, 5.583
777.683, 5.811
778.165, 12.845
778.647, 18.968
779.129, 18.449
779.612, 16.254
780.094, 16.804
780.576, 19.677
781.058, 22.197
781.540, 23.995
782.022, 24.781
782.504, 24.287
782.986, 22.592
783.468, 20.757
783.951, 18.337
784.433, 17.506
784.915, 20.922
785.397, 26.824
785.879, 28.867
786.361, 27.232
786.843, 24.321
787.325, 21.169
787.807, 17.894
788.290, 13.987
788.772, 9.327
789.254, 7.095
789.736, 7.910
790.218, 11.654
790.700, 20.076
791.182, 34.466
791.664, 38.389
792.146, 29.776
792.629, 19.531
793.111, 16.785
793.593, 19.070
794.075, 19.781
794.557, 18.471
795.039, 16.406
795.521, 14.242
796.003, 11.852
796.485, 8.047
796.968, 0.576
797.450, 0.226
797.932, 14.034
798.414, 29.050
798.896, 35.666
799.378, 32.711
799.860, 31.624
800.343, 33.246
800.825, 33.885
801.307, 27.362
801.789, 17.093
802.271, 12.370
802.753, 16.110
