##NAMES=Cuprite
##RRUFFID=R140763
##IDEAL CHEMISTRY=Cu^1+^_2_O
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Semimetallic deep red, massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R140763
205.9733, 298.2143
206.4554, 306.1073
206.9376, 314.5708
207.4197, 323.5009
207.9018, 332.8322
208.3839, 342.4943
208.8660, 352.7980
209.3481, 364.0901
209.8303, 376.7892
210.3124, 389.0202
210.7945, 400.5139
211.2766, 411.2837
211.7587, 421.9407
212.2408, 432.5341
212.7230, 442.9592
213.2051, 453.2837
213.6872, 463.5569
214.1693, 473.8410
214.6514, 484.3258
215.1335, 494.7516
215.6157, 503.5853
216.0978, 510.7584
216.5799, 516.6475
217.0620, 521.8608
217.5441, 527.2798
218.0262, 529.1685
218.5084, 527.0327
218.9905, 521.0754
219.4726, 512.7527
219.9547, 502.3789
220.4368, 488.9791
220.9189, 471.8236
221.4011, 449.8006
221.8832, 426.4678
222.3653, 401.4077
222.8474, 375.2580
223.3295, 349.4593
223.8116, 324.2091
224.2938, 299.9026
224.7759, 276.6518
225.2580, 254.0670
225.7401, 233.9492
226.2222, 216.4957
226.7043, 201.5788
227.1865, 187.9476
227.6686, 175.9620
228.1507, 165.1166
228.6328, 155.3301
229.1149, 146.8382
229.5970, 138.9081
230.0792, 131.5916
230.5613, 124.8170
231.0434, 118.6080
231.5255, 113.3289
232.0076, 108.2077
232.4897, 102.8083
232.9719, 96.63785
233.4540, 91.36523
233.9361, 87.28369
234.4182, 84.10922
234.9003, 80.76523
235.3824, 77.07263
235.8646, 73.46394
236.3467, 70.16711
236.8288, 67.32455
237.3109, 64.45932
237.7930, 61.50763
238.2751, 58.51472
238.7573, 55.73349
239.2394, 53.26711
239.7215, 50.84544
240.2036, 48.29279
240.6857, 45.41855
241.1678, 42.84674
241.6500, 40.68480
242.1321, 38.80261
242.6142, 36.84819
243.0963, 34.87817
243.5784, 32.76204
244.0605, 30.41258
244.5427, 27.58601
245.0248, 25.12102
245.5069, 23.07002
245.9890, 21.35622
246.4711, 19.91357
246.9532, 19.06316
247.4354, 17.93301
247.9175, 16.07381
248.3996, 13.03535
248.8817, 10.73108
249.3638, 9.401474
249.8459, 8.673920
250.3281, 7.896667
250.8102, 7.125336
251.2923, 6.204834
251.7744, 4.974228
252.2565, 3.256424
252.7386, 2.096069
253.2208, 1.853653
253.7029, 1.904037
254.1850, 1.136795
254.6671, 1.080887
255.1492, 2.884903
255.6313, 3.584229
256.1135, 2.984711
256.5956, 2.605103
257.0777, 2.494720
257.5598, 2.567993
258.0419, 2.759720
258.5240, 3.201462
259.0062, 3.452271
259.4883, 3.261719
259.9704, 2.569183
260.4525, 2.480301
260.9346, 3.320724
261.4167, 4.359650
261.8989, 4.675186
262.3810, 3.925278
262.8631, 3.355240
263.3452, 3.321716
263.8273, 3.818771
264.3094, 4.070160
264.7916, 3.998184
265.2737, 3.804184
265.7558, 3.647110
266.2379, 3.484650
266.7200, 3.521103
267.2021, 3.937668
267.6843, 4.648544
268.1664, 4.785507
268.6485, 4.216339
269.1306, 3.353882
269.6127, 2.457367
270.0948, 1.449097
270.5770, 0.8069610
271.0591, 0.7326050
271.5412, 1.086090
272.0233, 1.150955
272.5054, 0.8300020
272.9875, 0.4878390
273.4697, 0.5068360
273.9518, 1.010651
274.4339, 1.025696
274.9160, 0.3018190
275.3981, 0.9149320
275.8802, 1.933990
276.3624, 2.741257
276.8445, 3.321518
277.3266, 3.537369
277.8087, 3.349960
278.2908, 3.514084
278.7729, 4.172638
279.2551, 5.095001
279.7372, 5.735840
280.2193, 6.076645
280.7014, 6.304779
281.1835, 6.458099
281.6656, 6.543106
282.1478, 6.798492
282.6299, 7.307526
283.1120, 7.946457
283.5941, 8.447342
284.0762, 8.798843
284.5583, 9.182297
285.0405, 9.707642
285.5226, 10.36121
286.0047, 10.97566
286.4868, 11.55086
286.9689, 12.13914
287.4510, 12.86417
287.9332, 13.71764
288.4153, 14.45256
288.8974, 14.97316
289.3795, 15.29630
289.8616, 15.36234
290.3438, 15.12634
290.8259, 14.97437
291.3080, 15.39482
291.7901, 16.29861
292.2722, 17.22722
292.7543, 18.08832
293.2365, 18.87909
293.7186, 19.27913
294.2007, 19.30098
294.6828, 19.45767
295.1649, 20.43037
295.6470, 21.93661
296.1292, 23.08878
296.6113, 23.55745
297.0934, 23.61789
297.5755, 23.69278
298.0576, 23.79646
298.5397, 23.94150
299.0219, 24.28082
299.5040, 24.66359
299.9861, 24.68105
300.4682, 24.08493
300.9503, 23.44945
301.4324, 23.50206
301.9146, 24.13995
302.3967, 24.92393
302.8788, 25.75726
303.3609, 26.51472
303.8430, 26.96127
304.3251, 27.01540
304.8073, 26.93710
305.2894, 27.09232
305.7715, 27.31485
306.2536, 27.21146
306.7357, 26.20732
307.2178, 24.95868
307.7000, 24.04958
308.1821, 23.50569
308.6642, 23.45303
309.1463, 24.50714
309.6284, 26.02467
310.1105, 27.02122
310.5927, 26.47200
311.0748, 25.67302
311.5569, 25.61609
312.0390, 26.31915
312.5211, 26.97412
313.0032, 27.11765
313.4854, 26.96774
313.9675, 26.78688
314.4496, 26.76558
314.9317, 26.58028
315.4138, 25.80194
315.8959, 24.57869
316.3781, 23.81052
316.8602, 24.72943
317.3423, 25.82605
317.8244, 25.95010
318.3065, 24.00423
318.7886, 22.10847
319.2708, 21.01169
319.7529, 20.55281
320.2350, 20.21986
320.7171, 19.84984
321.1992, 19.49829
321.6813, 19.19621
322.1635, 19.05521
322.6456, 18.78787
323.1277, 18.34859
