##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=WO_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
336.0367, 57.44183
336.5188, 57.14951
337.0009, 57.12494
337.4830, 58.45895
337.9651, 60.35397
338.4473, 61.20175
338.9294, 60.12241
339.4115, 59.08789
339.8936, 59.82379
340.3758, 62.13370
340.8579, 64.50708
341.3400, 66.30057
341.8221, 68.01187
342.3042, 70.33286
342.7863, 73.27985
343.2685, 76.66116
343.7506, 80.76608
344.2327, 85.22549
344.7148, 89.06912
345.1969, 91.95819
345.6790, 94.55588
346.1612, 97.37335
346.6433, 100.4052
347.1254, 104.2158
347.6075, 109.3616
348.0896, 115.1640
348.5717, 120.7757
349.0539, 126.1448
349.5360, 131.4421
350.0181, 136.9208
350.5002, 142.4479
350.9823, 147.5006
351.4644, 151.9556
351.9466, 155.9824
352.4287, 159.6206
352.9108, 162.8996
353.3929, 166.0326
353.8750, 169.1252
354.3571, 172.1019
354.8393, 174.8226
355.3214, 177.3917
355.8035, 179.5504
356.2856, 181.2490
356.7677, 182.4770
357.2498, 183.1880
357.7320, 183.3545
358.2141, 182.9905
358.6962, 181.9928
359.1783, 180.3360
359.6604, 178.2430
360.1425, 175.3810
360.6247, 172.3039
361.1068, 169.5051
361.5889, 166.9719
362.0710, 164.5082
362.5531, 162.0970
363.0352, 159.7503
363.5174, 156.8518
363.9995, 152.8661
364.4816, 149.0142
364.9637, 145.6834
365.4458, 142.8131
365.9279, 140.4099
366.4101, 138.5674
366.8922, 137.2670
367.3743, 136.3365
367.8564, 135.8863
368.3385, 135.6237
368.8206, 135.4685
369.3028, 135.4370
369.7849, 135.7881
370.2670, 136.5554
370.7491, 137.1060
