##NAMES=Greifensteinite
##RRUFFID=R070613
##IDEAL CHEMISTRY=Ca_2_Fe^2+^_5_Be_4_(PO_4_)_6_(OH)_4_&#183;6H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Dakota Matrix Minerals
##DESCRIPTION=Darker orange-brown blebs in pale salmon colored montgomeryite, associated with tiptopite (R070609)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070613
257.8894, 9.477943
258.3716, 9.233925
258.8537, 9.448601
259.3358, 9.833176
259.8179, 10.77910
260.3000, 11.66797
260.7821, 11.89681
261.2643, 11.37800
261.7464, 10.54772
262.2285, 9.838898
262.7106, 9.263519
263.1927, 8.823700
263.6748, 8.541412
264.1570, 8.381767
264.6391, 8.406967
265.1212, 8.602417
265.6033, 8.713799
266.0854, 8.468544
266.5675, 7.842827
267.0497, 7.320457
267.5318, 7.044113
268.0139, 6.785027
268.4960, 6.296722
268.9781, 5.583740
269.4602, 4.952019
269.9424, 4.680161
270.4245, 4.718239
270.9066, 4.605904
271.3887, 4.206879
271.8708, 3.749855
272.3529, 3.388611
272.8351, 3.123375
273.3172, 2.927826
273.7993, 2.797752
274.2814, 2.729836
274.7635, 2.699341
275.2456, 2.859688
275.7278, 2.887428
276.2099, 2.422768
276.6920, 1.533966
277.1741, 0.7890170
277.6562, 0.5044780
278.1383, 0.5139080
278.6204, 0.4266590
279.1025, 0.2044140
279.5847, 3.5339002E-02
280.0668, 0.2769470
280.5489, 0.4977950
281.0310, 0.5389250
281.5131, 0.2807620
281.9952, 0.1291810
282.4774, 0.4811780
282.9595, 0.7770230
283.4416, 1.009605
283.9237, 1.184425
284.4058, 1.295158
284.8879, 1.287064
285.3701, 1.049530
285.8522, 0.8263930
286.3343, 0.8968350
286.8164, 1.245316
287.2985, 1.602570
287.7806, 1.829193
288.2628, 1.951439
288.7449, 2.073128
289.2270, 2.292595
289.7091, 2.440285
290.1912, 2.237495
290.6733, 1.815231
291.1555, 1.658798
291.6376, 2.162720
292.1197, 3.070000
292.6018, 3.749786
293.0839, 4.088470
293.5660, 4.225380
294.0482, 4.262985
294.5303, 4.257034
295.0124, 4.238853
295.4945, 4.202568
295.9766, 4.125946
296.4587, 3.975555
296.9409, 3.741074
297.4230, 3.604797
297.9051, 3.662910
298.3872, 3.831825
298.8693, 4.081520
299.3514, 4.508667
299.8336, 4.810623
300.3157, 4.491135
300.7978, 3.454651
301.2799, 2.530655
301.7620, 2.067421
302.2441, 1.836563
302.7263, 1.663551
303.2084, 1.514099
303.6905, 1.418877
304.1726, 1.401817
304.6547, 1.464973
305.1368, 1.644867
305.6190, 2.234894
306.1011, 2.689781
306.5832, 2.461273
307.0653, 1.541229
307.5474, 0.6285930
308.0295, 0.3795850
308.5117, 0.7284010
308.9938, 0.8403850
309.4759, 0.3547060
309.9580, 7.6416001E-02
310.4401, 3.0974999E-02
310.9222, 0.5741270
311.4044, 1.145096
311.8865, 1.491714
312.3686, 1.653664
312.8507, 1.837288
313.3328, 2.158005
313.8149, 2.287590
314.2971, 1.846420
314.7792, 1.131226
315.2613, 0.6905750
315.7434, 0.8104400
316.2255, 1.332291
316.7076, 2.030708
317.1898, 3.112892
317.6719, 3.794205
318.1540, 3.301567
318.6361, 2.400757
319.1182, 1.933144
319.6003, 2.210815
320.0825, 2.813644
320.5646, 3.197838
321.0467, 3.335457
321.5288, 3.434097
322.0109, 3.603722
322.4930, 3.726379
322.9752, 3.608665
323.4573, 3.211617
323.9394, 2.945648
324.4215, 3.376526
324.9036, 4.481056
325.3857, 5.159821
325.8679, 4.890045
326.3500, 4.462296
326.8321, 4.459442
327.3142, 4.840057
327.7963, 5.252716
328.2784, 5.504921
328.7606, 5.603981
329.2427, 5.569641
329.7248, 5.336288
330.2069, 5.081383
330.6890, 4.875046
331.1711, 4.726929
331.6533, 4.672409
332.1354, 4.832634
332.6175, 5.043930
333.0996, 4.860489
333.5817, 4.072617
334.0638, 3.564758
334.5460, 4.109344
335.0281, 5.069420
335.5102, 5.771355
335.9923, 6.042175
336.4744, 6.026810
336.9565, 5.813232
337.4387, 5.378708
337.9208, 5.011421
338.4029, 4.929886
338.8850, 4.878822
339.3671, 4.565079
339.8492, 3.949699
340.3314, 3.387390
340.8135, 3.276123
341.2956, 3.513741
341.7777, 3.449242
342.2598, 2.842377
342.7419, 2.074318
343.2241, 1.388405
343.7062, 0.7981030
344.1883, 0.4257200
344.6704, 0.5587160
345.1525, 0.9135360
345.6346, 0.8013380
346.1168, 5.0140001E-02
346.5989, 0.7252040
347.0810, 0.9665680
347.5631, 0.9308400
348.0452, 1.077614
348.5273, 1.695839
349.0095, 2.390686
349.4916, 2.712784
349.9737, 2.654289
350.4558, 2.453827
350.9379, 2.151215
351.4200, 1.803253
351.9022, 1.495544
352.3843, 1.225281
352.8664, 1.015915
353.3485, 0.9619290
353.8306, 1.002899
354.3127, 0.8736800
354.7949, 0.4324420
355.2770, 9.0874001E-02
355.7591, 0.3580170
356.2412, 0.3720470
356.7233, 0.5037080
357.2054, 0.9160840
357.6876, 1.518356
358.1697, 2.219315
358.6518, 3.030388
359.1339, 3.772179
359.6160, 4.203545
360.0981, 4.401718
360.5803, 4.769440
361.0624, 5.488991
361.5445, 6.294113
362.0266, 6.954193
362.5087, 7.485573
362.9908, 8.037880
363.4730, 8.702133
363.9551, 9.441681
364.4372, 10.14802
364.9193, 10.76564
365.4014, 11.42618
365.8835, 12.17328
366.3657, 13.01363
366.8478, 13.94788
367.3299, 14.97717
367.8120, 16.02007
368.2941, 16.96756
368.7762, 17.75170
369.2584, 18.80087
369.7405, 20.52204
370.2226, 22.32462
370.7047, 23.56750
371.1868, 24.19885
371.6689, 24.66693
372.1511, 25.36343
372.6332, 26.30215
373.1153, 27.22371
373.5974, 27.98911
374.0795, 28.88827
374.5616, 30.19964
375.0438, 31.76508
375.5259, 33.19732
376.0080, 34.26922
376.4901, 35.07516
376.9722, 35.93866
377.4543, 36.91199
377.9365, 37.87077
378.4186, 38.86552
378.9007, 39.81101
379.3828, 40.45298
379.8649, 40.76488
380.3470, 41.22775
380.8292, 42.59349
381.3113, 45.43081
381.7934, 47.46548
382.2755, 48.13931
382.7576, 48.61102
383.2397, 49.58971
383.7219, 50.99196
384.2040, 52.25148
384.6861, 52.86229
385.1682, 52.89928
385.6503, 53.54306
386.1324, 55.29611
386.6146, 57.13683
387.0967, 59.11057
387.5788, 60.99307
388.0609, 62.43817
388.5430, 63.29785
389.0251, 63.92496
389.5073, 65.06534
389.9894, 67.02456
390.4715, 68.87609
390.9536, 70.45059
391.4357, 72.00463
391.9178, 73.66357
392.4000, 75.46095
392.8821, 77.42679
393.3642, 79.67440
393.8463, 82.22488
394.3284, 84.42057
394.8105, 85.91122
395.2927, 87.45747
395.7748, 89.42336
396.2569, 91.59552
396.7390, 93.59379
397.2211, 95.17717
397.7032, 96.58910
398.1854, 98.44619
398.6675, 101.0047
399.1496, 103.2504
