##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
420.5153, 250.6790
420.9974, 254.2341
421.4795, 256.4586
421.9616, 259.4772
422.4437, 265.7119
422.9258, 271.2869
423.4080, 274.1555
423.8901, 273.1281
424.3722, 272.9818
424.8543, 274.8717
425.3364, 277.5475
425.8185, 279.8207
426.3007, 281.2069
426.7828, 283.4760
427.2649, 286.9193
427.7470, 291.2789
428.2291, 295.6682
428.7112, 300.0336
429.1934, 304.2336
429.6755, 308.4781
430.1576, 312.9446
430.6397, 317.1268
431.1218, 320.8759
431.6039, 324.4563
432.0861, 328.4929
432.5682, 332.9631
433.0503, 336.5428
433.5324, 338.2901
434.0145, 339.1889
434.4966, 342.9250
434.9788, 349.5959
435.4609, 356.2268
435.9430, 360.2256
436.4251, 362.3610
436.9072, 364.9118
437.3893, 368.6332
437.8715, 372.0630
438.3536, 372.9890
438.8357, 372.1812
439.3178, 371.7865
439.7999, 373.6618
440.2820, 375.9719
440.7642, 377.1297
441.2463, 377.0461
441.7284, 376.1520
442.2105, 374.6359
442.6926, 372.4345
443.1747, 369.4638
443.6569, 365.0142
444.1390, 360.5892
444.6211, 357.6101
445.1032, 355.1316
445.5853, 350.5160
446.0674, 340.7347
446.5496, 330.9567
447.0317, 323.5619
447.5138, 320.0273
447.9959, 314.0956
448.4780, 304.5391
448.9601, 293.4359
449.4423, 282.4671
449.9244, 271.2372
450.4065, 261.3086
450.8886, 253.4199
451.3707, 247.0122
451.8528, 239.2760
452.3350, 229.7819
452.8171, 220.0838
453.2992, 210.7552
453.7813, 201.7524
454.2634, 193.0063
454.7455, 184.3310
455.2277, 176.2290
455.7098, 169.6606
456.1919, 164.4065
456.6740, 158.4638
457.1561, 150.9497
457.6382, 142.7168
458.1204, 135.0961
458.6025, 128.0868
459.0846, 122.1969
459.5667, 118.9720
460.0488, 116.5163
460.5309, 112.0106
461.0131, 104.6544
461.4952, 97.25555
461.9773, 92.00771
462.4594, 88.00926
462.9415, 83.86673
463.4236, 79.07016
463.9058, 74.08282
464.3879, 68.61613
464.8700, 62.89580
465.3521, 58.21339
465.8342, 55.19608
466.3163, 53.03671
466.7985, 51.31668
467.2806, 50.32005
467.7627, 49.40492
468.2448, 49.05638
468.7269, 48.41420
469.2090, 46.14331
469.6912, 40.72986
470.1733, 36.63226
470.6554, 35.30165
471.1375, 36.32532
471.6196, 36.02650
472.1017, 34.06271
472.5839, 31.96944
473.0660, 30.94284
473.5481, 31.00079
474.0302, 30.08850
474.5123, 27.74580
474.9944, 25.10020
475.4766, 23.96133
475.9587, 24.08488
476.4408, 24.19112
476.9229, 23.51082
477.4050, 22.94987
477.8871, 23.67618
478.3693, 25.53156
478.8514, 28.01518
479.3335, 32.20163
479.8156, 36.45970
480.2977, 38.29729
480.7798, 36.41702
481.2620, 34.72391
481.7441, 36.38408
482.2262, 39.43710
482.7083, 40.99101
483.1904, 37.84091
483.6725, 35.19832
484.1547, 35.30304
484.6368, 38.00246
485.1189, 40.54543
485.6010, 42.37225
486.0831, 44.09987
486.5652, 46.05472
487.0474, 48.52701
487.5295, 50.55460
488.0116, 51.56863
488.4937, 52.53778
488.9758, 54.97253
489.4579, 59.37697
489.9401, 63.78879
490.4222, 67.98871
490.9043, 71.81259
491.3864, 74.18591
491.8685, 74.82257
492.3506, 76.05692
492.8328, 80.20947
493.3149, 86.49115
493.7970, 91.17874
494.2791, 93.80414
494.7612, 95.85892
495.2433, 99.37025
495.7255, 103.6992
496.2076, 107.1895
496.6897, 108.3575
497.1718, 109.2972
497.6539, 112.2992
498.1360, 116.8740
498.6182, 121.1873
499.1003, 124.7988
499.5824, 127.4249
500.0645, 128.6021
500.5466, 128.0261
501.0287, 127.2859
501.5109, 126.9583
501.9930, 126.6318
502.4751, 125.9053
502.9572, 124.7187
503.4393, 123.1310
503.9214, 121.2277
504.4036, 118.9584
504.8857, 115.9907
505.3678, 111.8269
505.8499, 107.7725
506.3320, 104.5471
506.8141, 102.2723
507.2963, 98.84418
507.7784, 93.84183
508.2605, 88.67297
508.7426, 85.23138
509.2247, 83.31506
509.7068, 79.53014
510.1890, 72.61087
510.6711, 64.76799
511.1532, 60.25037
511.6353, 58.40561
512.1174, 56.23329
512.5995, 51.50227
513.0817, 45.90886
513.5638, 41.79227
514.0459, 39.11298
514.5280, 35.94620
515.0101, 29.61288
515.4922, 22.95393
515.9744, 18.89108
516.4565, 19.32147
516.9386, 19.73877
517.4207, 18.79807
517.9028, 16.89259
518.3849, 14.66580
518.8671, 11.45912
519.3492, 8.759033
519.8313, 6.758179
520.3134, 5.481201
520.7955, 5.165283
521.2776, 6.795792
521.7598, 7.924026
522.2419, 6.840164
522.7240, 2.893738
523.2061, 0.3136900
523.6882, 0.4782870
524.1703, 0.6938320
524.6525, 2.303223
525.1346, 5.169250
525.6167, 6.821136
526.0988, 6.155975
526.5809, 4.378769
527.0630, 3.666168
527.5452, 3.855148
528.0273, 4.008926
528.5094, 3.111908
528.9915, 2.121216
529.4736, 2.280045
529.9557, 3.717072
530.4379, 5.266815
530.9200, 6.603760
531.4021, 7.555695
531.8842, 7.958435
532.3663, 7.665604
532.8484, 6.979523
533.3306, 5.237259
533.8127, 3.194427
534.2948, 2.504501
534.7769, 5.226654
535.2590, 6.979568
535.7411, 6.506866
536.2233, 3.927841
536.7054, 2.370422
537.1875, 2.559647
537.6696, 2.321136
538.1517, 0.3713840
538.6339, 5.848816
539.1160, 8.925125
539.5981, 8.751617
540.0802, 7.724884
540.5623, 9.400711
541.0444, 13.25919
541.5266, 16.25528
542.0087, 16.93182
542.4908, 16.85130
542.9729, 18.26588
