##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
361.1924, 1.759949
361.6745, 1.826942
362.1566, 1.914883
362.6387, 1.927082
363.1208, 1.847439
363.6030, 1.860310
364.0851, 2.105637
364.5672, 2.361160
365.0493, 2.485386
365.5314, 2.486076
366.0135, 2.447861
366.4957, 2.402515
366.9778, 2.359470
367.4599, 2.371639
367.9420, 2.464050
368.4241, 2.571560
368.9063, 2.663624
369.3884, 2.723057
369.8705, 2.725449
370.3526, 2.614346
370.8347, 2.509754
371.3168, 2.635738
371.7990, 3.032879
372.2811, 3.344635
372.7632, 3.367840
373.2453, 3.252285
373.7274, 3.168812
374.2095, 3.136829
374.6917, 3.128487
375.1738, 3.112591
375.6559, 3.098957
376.1380, 3.152653
376.6201, 3.339802
377.1022, 3.511902
377.5844, 3.486656
378.0665, 3.287617
378.5486, 3.091999
379.0307, 2.929661
379.5128, 2.822708
379.9949, 2.837475
380.4771, 2.992008
380.9592, 3.129143
381.4413, 3.112904
381.9234, 2.983982
382.4055, 2.906410
382.8876, 2.918560
383.3698, 2.956860
383.8519, 2.984440
384.3340, 3.003475
384.8161, 3.017853
385.2982, 3.023453
385.7803, 3.034512
386.2624, 3.104137
386.7445, 3.283783
387.2267, 3.366627
387.7088, 3.197544
388.1909, 2.938705
388.6730, 2.835255
389.1551, 2.939270
389.6372, 3.072811
390.1194, 3.025501
390.6015, 2.752842
391.0836, 2.616978
391.5657, 2.717762
392.0478, 2.866470
392.5299, 3.014511
393.0121, 3.121716
393.4942, 3.071178
393.9763, 2.760120
394.4584, 2.261181
394.9405, 1.961113
395.4226, 2.004063
395.9048, 2.053097
396.3869, 2.062458
396.8690, 2.048988
397.3511, 2.027683
397.8332, 2.005287
398.3153, 1.992271
398.7975, 2.014309
399.2796, 2.124401
399.7617, 2.122681
400.2438, 1.970039
400.7259, 1.758675
401.2080, 1.504372
401.6902, 1.232861
402.1723, 0.9925880
402.6544, 0.8167190
403.1365, 0.7068440
403.6186, 0.6865730
404.1007, 0.9179230
404.5829, 1.044167
405.0650, 0.9437870
405.5471, 0.7286610
406.0292, 0.5159870
406.5113, 0.3517040
406.9934, 0.2412990
407.4756, 0.2064360
407.9577, 0.2871740
408.4398, 0.3216930
408.9219, 0.2726780
409.4040, 0.1908300
409.8861, 9.2078999E-02
410.3683, 1.7937001E-02
410.8504, 0.1316450
411.3325, 0.2642860
411.8146, 0.4040150
412.2967, 0.4401860
412.7788, 0.3015480
413.2610, 0.1781850
413.7431, 0.1732520
414.2252, 0.2255740
