##NAMES=Rudenkoite
##RRUFFID=R070048
##IDEAL CHEMISTRY=Sr_3_Al_3.5_Si_3.5_O_10_(OH,O)_8_Cl_2_&#183;H_2_O
##LOCALITY=80 km SEE of Aldan, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fragment embedded in epoxy, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070048
350.2592, 1792.165
350.7413, 1846.668
351.2234, 1902.605
351.7055, 1976.777
352.1876, 2057.169
352.6697, 2121.263
353.1519, 2160.175
353.6340, 2189.992
354.1161, 2225.386
354.5982, 2265.583
355.0803, 2306.791
355.5624, 2357.763
356.0446, 2403.935
356.5267, 2429.506
357.0088, 2430.301
357.4909, 2416.488
357.9730, 2397.728
358.4551, 2369.272
358.9373, 2322.000
359.4194, 2236.781
359.9015, 2142.591
360.3836, 2061.681
360.8657, 2002.623
361.3478, 1922.677
361.8300, 1786.282
362.3121, 1628.192
362.7942, 1491.898
363.2763, 1400.626
363.7584, 1316.056
364.2405, 1225.150
364.7227, 1124.363
365.2048, 1029.065
365.6869, 930.0469
366.1690, 840.2661
366.6511, 767.0190
367.1332, 725.1851
367.6154, 685.0376
368.0975, 644.7266
368.5796, 603.5620
369.0617, 559.1416
369.5438, 501.3076
370.0259, 449.4082
370.5081, 414.2109
370.9902, 409.9766
371.4723, 393.5518
371.9544, 357.2378
372.4365, 311.9268
372.9186, 287.3066
373.4008, 295.3032
373.8829, 299.9272
374.3650, 278.9233
374.8471, 236.3657
375.3292, 244.0986
375.8113, 244.0312
376.2935, 236.7480
376.7756, 191.5425
377.2577, 202.2642
377.7398, 194.8242
378.2220, 189.5527
378.7041, 185.0205
379.1862, 198.4717
379.6683, 205.1953
380.1504, 205.4834
380.6325, 193.5664
381.1147, 171.9619
381.5968, 163.3345
382.0789, 179.3799
382.5610, 207.6348
383.0431, 220.9712
383.5252, 219.7881
384.0074, 217.8110
384.4895, 229.1787
384.9716, 247.0830
385.4537, 256.4780
385.9358, 254.1597
386.4179, 243.4775
386.9001, 220.4424
387.3822, 190.5312
387.8643, 170.3931
388.3464, 176.3003
388.8285, 193.2378
389.3106, 208.2173
389.7928, 220.8262
390.2749, 226.6919
390.7570, 214.8013
391.2391, 196.0649
391.7212, 186.3853
392.2033, 199.1045
392.6855, 216.4766
393.1676, 231.2515
393.6497, 243.0503
394.1318, 251.2080
394.6139, 256.8789
395.0960, 258.1987
395.5782, 253.8184
396.0603, 236.4565
396.5424, 221.0713
397.0245, 211.4136
397.5066, 206.4736
397.9887, 200.6196
398.4709, 182.1509
398.9530, 171.8384
399.4351, 180.6221
399.9172, 230.9741
400.3993, 259.5659
400.8814, 259.1338
401.3636, 239.4302
401.8457, 217.2520
402.3278, 183.6196
402.8099, 164.0918
403.2920, 171.4834
403.7741, 209.2310
404.2563, 236.6904
404.7384, 252.7129
405.2205, 259.9199
405.7026, 259.7051
406.1847, 251.2983
406.6668, 239.9648
407.1490, 221.7261
407.6311, 203.1719
408.1132, 216.6221
408.5953, 265.5752
409.0774, 310.6465
409.5595, 315.8101
410.0417, 288.4419
410.5238, 262.0781
411.0059, 241.8203
411.4880, 224.4404
411.9701, 206.6953
412.4522, 187.8867
412.9344, 165.1582
413.4165, 130.0752
413.8986, 92.35303
414.3807, 68.51367
414.8628, 61.12451
415.3449, 55.15625
415.8271, 37.91211
416.3092, 14.26221
416.7913, 7.820801
417.2734, 24.73877
417.7555, 39.68555
418.2376, 74.46045
418.7198, 61.39258
419.2019, 58.64795
419.6840, 65.48877
420.1661, 121.0488
420.6482, 105.7622
421.1303, 114.0288
421.6125, 119.9507
422.0946, 84.81934
422.5767, 115.5151
423.0588, 74.06250
423.5409, 79.67041
424.0230, 78.92041
424.5052, 77.39697
424.9873, 75.36279
425.4694, 71.46240
425.9515, 65.09619
426.4336, 57.16357
426.9157, 49.87451
427.3979, 46.68164
427.8800, 36.21045
428.3621, 12.17773
428.8442, 23.23682
429.3263, 42.73047
429.8084, 38.10254
430.2906, 38.76416
430.7727, 73.42627
431.2548, 143.8184
431.7369, 202.1938
432.2190, 240.0630
432.7011, 267.8330
433.1833, 305.3799
433.6654, 352.7725
434.1475, 402.0688
434.6296, 446.9028
435.1117, 490.3828
435.5938, 542.0059
436.0760, 602.2529
436.5581, 669.2520
437.0402, 749.8472
437.5223, 835.5225
438.0045, 907.9282
438.4866, 942.5562
438.9687, 975.5835
439.4508, 1043.724
439.9329, 1141.692
440.4150, 1239.765
440.8972, 1328.808
441.3793, 1406.627
441.8614, 1469.177
442.3435, 1506.503
442.8256, 1548.679
443.3077, 1625.700
443.7899, 1713.150
444.2720, 1766.213
444.7541, 1732.764
445.2362, 1701.809
445.7183, 1716.867
446.2004, 1797.588
446.6826, 1821.017
447.1647, 1745.711
447.6468, 1639.014
448.1289, 1557.701
448.6110, 1535.596
449.0931, 1475.793
449.5753, 1354.437
450.0574, 1187.899
450.5395, 1044.506
451.0216, 930.9126
451.5037, 829.8325
451.9858, 730.5425
452.4680, 632.7515
452.9501, 553.9834
453.4322, 497.3447
453.9143, 454.8813
454.3964, 422.2559
454.8785, 398.3828
455.3607, 363.1943
455.8428, 301.5107
456.3249, 227.3052
456.8070, 170.4956
457.2891, 130.5552
457.7712, 105.1411
458.2534, 100.7612
458.7355, 107.4297
459.2176, 108.5796
459.6997, 97.71875
460.1818, 86.94141
460.6639, 83.95654
461.1461, 88.40967
461.6282, 99.70117
462.1103, 124.9507
462.5924, 150.9634
463.0745, 168.8374
463.5566, 176.4385
464.0388, 188.3789
464.5209, 204.1704
465.0030, 228.8472
465.4851, 266.7852
465.9672, 332.1328
466.4493, 395.9551
466.9315, 453.8960
467.4136, 507.2383
467.8957, 562.2461
468.3778, 612.2441
468.8599, 671.9546
469.3420, 751.7236
469.8242, 861.4492
470.3063, 949.8975
470.7884, 1008.266
471.2705, 1057.459
471.7526, 1127.124
472.2347, 1219.400
472.7169, 1312.811
473.1990, 1401.357
473.6811, 1486.270
474.1632, 1574.426
474.6453, 1664.957
475.1274, 1751.546
475.6096, 1829.057
476.0917, 1897.438
476.5738, 1962.296
477.0559, 2022.860
477.5380, 2080.731
478.0201, 2137.395
478.5023, 2194.136
478.9844, 2241.592
479.4665, 2273.425
479.9486, 2299.344
480.4307, 2321.739
480.9128, 2345.185
481.3950, 2359.062
481.8771, 2370.587
482.3592, 2366.035
482.8413, 2334.050
483.3234, 2255.013
483.8055, 2172.541
484.2877, 2093.024
484.7698, 2015.896
485.2519, 1940.850
485.7340, 1885.913
486.2161, 1814.053
486.6982, 1707.362
487.1804, 1557.652
487.6625, 1429.766
488.1446, 1329.305
488.6267, 1245.339
489.1088, 1171.407
489.5909, 1111.650
490.0731, 1040.692
490.5552, 953.3433
491.0373, 855.9600
491.5194, 761.7949
492.0015, 671.5342
492.4836, 589.4941
492.9658, 515.7998
493.4479, 452.6416
493.9300, 416.6396
494.4121, 411.0332
494.8942, 399.6006
495.3763, 332.5830
495.8585, 238.4473
496.3406, 167.5977
496.8227, 153.2754
497.3048, 148.4756
497.7869, 117.7139
498.2690, 67.45117
498.7512, 19.59766
499.2333, 29.58496
499.7154, 63.61230
500.1975, 67.47461
500.6797, 29.75684
501.1618, 6.4452998E-02
501.6439, 6.788086
502.1260, 3.584961
502.6081, 4.910156
503.0902, 18.82812
503.5724, 25.95801
504.0545, 18.52734
504.5366, 1.575195
505.0187, 1.069336
505.5008, 22.45801
505.9829, 48.37012
506.4651, 74.45020
506.9472, 102.1758
507.4293, 104.9619
507.9114, 76.11914
508.3935, 42.08105
508.8756, 40.91016
509.3578, 68.11816
509.8399, 89.61133
510.3220, 90.77246
510.8041, 84.63672
511.2862, 89.65332
511.7683, 105.4893
