##NAMES=Nepheline
##RRUFFID=R090059
##IDEAL CHEMISTRY=KNa_3_(AlSiO_4_)_4_
##LOCALITY=Lajuar Madan, Sar-e-Sang District, Badakhshan, Afghanistan
##OWNER=RRUFF
##SOURCE=Dudley Blauwet
##DESCRIPTION=Colorless blocky crystals coated with colorless sodalite with electric blue inclusions, on a marble matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090059
330.4749, 2.013081
330.9570, 2.602979
331.4391, 2.980499
331.9212, 3.192122
332.4034, 3.936144
332.8855, 6.016761
333.3676, 7.788361
333.8497, 8.586940
334.3318, 8.969701
334.8139, 9.799101
335.2961, 11.50922
335.7782, 13.74485
336.2603, 15.38547
336.7424, 15.78260
337.2245, 16.55343
337.7066, 17.69295
338.1888, 19.29165
338.6709, 21.51983
339.1530, 24.39507
339.6351, 27.61490
340.1172, 30.81989
340.5993, 34.23258
341.0815, 37.00288
341.5636, 38.47976
342.0457, 39.92547
342.5278, 41.96844
343.0099, 44.60296
343.4920, 47.58015
343.9742, 50.79642
344.4563, 54.30478
344.9384, 57.57019
345.4205, 60.60027
345.9026, 63.30523
346.3847, 65.57327
346.8669, 67.46436
347.3490, 69.20124
347.8311, 71.00303
348.3132, 72.65102
348.7953, 73.11252
349.2774, 71.84997
349.7596, 70.16129
350.2417, 68.23312
350.7238, 66.07063
351.2059, 63.66656
351.6880, 61.00991
352.1701, 58.13887
352.6523, 55.19587
353.1344, 52.30418
353.6165, 48.99114
354.0986, 44.53757
354.5807, 40.09460
355.0628, 36.47650
355.5450, 33.64549
356.0271, 30.89318
356.5092, 27.45051
356.9913, 23.29170
357.4734, 19.59659
357.9555, 16.24289
358.4377, 13.57166
358.9198, 11.96771
359.4019, 11.12457
359.8840, 10.44203
360.3661, 9.594877
360.8482, 8.630501
361.3304, 7.666698
361.8125, 6.536226
362.2946, 5.675022
362.7767, 5.445196
363.2588, 5.587013
363.7409, 5.870039
364.2231, 6.216702
364.7052, 6.488573
365.1873, 6.632973
365.6694, 6.751421
366.1515, 7.117348
366.6336, 7.549831
367.1158, 8.358091
367.5979, 9.876621
368.0800, 12.12763
368.5621, 14.69003
369.0442, 17.33236
369.5263, 20.01338
370.0085, 22.51186
370.4906, 24.67769
370.9727, 26.89089
371.4548, 29.49565
371.9369, 32.32258
372.4190, 35.01672
372.9012, 36.96964
373.3833, 39.01645
373.8654, 42.73512
