##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=Cu^2+^_3_CO_3_(OH)_4_&#183;4H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
398.5647, 74.77692
399.0468, 76.87317
399.5290, 82.12378
400.0111, 88.37952
400.4932, 93.97760
400.9753, 100.0914
401.4574, 103.8572
401.9395, 103.2202
402.4217, 99.64423
402.9038, 100.2843
403.3859, 107.3522
403.8680, 115.4194
404.3501, 122.0414
404.8322, 126.9359
405.3144, 130.8733
405.7965, 133.0654
406.2786, 135.1857
406.7607, 140.3531
407.2428, 149.2087
407.7249, 157.5524
408.2071, 163.5753
408.6892, 167.7791
409.1713, 173.5698
409.6534, 181.3091
410.1355, 188.6504
410.6176, 192.2905
411.0998, 193.1412
411.5819, 196.7665
412.0640, 205.0436
412.5461, 215.2245
413.0282, 223.5729
413.5103, 230.1077
413.9925, 235.2119
414.4746, 237.6421
414.9567, 239.3302
415.4388, 243.9143
415.9209, 252.1449
416.4030, 259.7746
416.8852, 262.4440
417.3673, 262.2716
417.8494, 262.7793
418.3315, 267.6423
418.8136, 271.7374
419.2957, 270.8850
419.7779, 265.8608
420.2600, 261.5435
420.7421, 261.0608
421.2242, 261.3805
421.7063, 260.4528
422.1884, 257.7272
422.6706, 254.6987
423.1527, 251.1141
423.6348, 247.4911
424.1169, 244.7387
424.5990, 245.1749
425.0811, 244.0873
425.5633, 239.3652
426.0454, 230.2142
426.5275, 222.8819
427.0096, 218.2070
427.4917, 215.0846
427.9738, 212.4641
428.4560, 210.8129
428.9381, 208.0921
429.4202, 203.6048
429.9023, 198.0558
430.3844, 194.1710
430.8665, 193.0256
431.3487, 190.8251
431.8308, 184.0453
432.3129, 172.0308
432.7950, 165.4008
433.2771, 165.7800
433.7592, 168.4642
434.2414, 167.2020
434.7235, 162.2147
435.2056, 156.3168
435.6877, 149.4721
436.1698, 142.8795
436.6519, 139.9488
437.1341, 140.5245
437.6162, 140.8904
438.0983, 137.3876
438.5804, 131.9479
439.0625, 127.9996
439.5446, 126.3301
440.0268, 125.3250
440.5089, 123.3697
440.9910, 121.0619
441.4731, 119.5535
441.9552, 121.3019
442.4373, 122.4444
442.9195, 119.3692
443.4016, 112.1409
443.8837, 106.6813
444.3658, 106.5842
444.8479, 108.5740
445.3300, 110.0899
445.8122, 110.1608
446.2943, 110.3245
446.7764, 111.2690
447.2585, 112.5051
447.7406, 112.7803
448.2227, 109.7993
448.7049, 108.0720
449.1870, 109.2877
449.6691, 114.0839
450.1512, 118.0978
450.6333, 121.7563
451.1154, 124.1554
451.5976, 123.7703
452.0797, 119.0810
452.5618, 116.9796
453.0439, 119.4568
453.5260, 124.7387
454.0081, 126.9002
454.4903, 125.3566
454.9724, 124.5934
455.4545, 128.1876
455.9366, 135.2593
456.4187, 139.1689
456.9008, 139.1902
457.3830, 138.7208
457.8651, 141.5353
458.3472, 147.0815
458.8293, 153.6979
459.3114, 162.1403
459.7935, 170.0765
460.2757, 174.0658
460.7578, 174.6925
461.2399, 175.0826
461.7220, 177.0591
462.2041, 179.7708
462.6862, 182.4742
463.1684, 185.0856
463.6505, 187.5865
464.1326, 189.8350
464.6147, 191.9987
465.0968, 194.3201
465.5789, 196.8407
466.0611, 199.5402
466.5432, 202.4686
467.0253, 205.6196
467.5074, 208.9036
467.9895, 211.7596
468.4716, 215.2165
468.9538, 219.7159
469.4359, 225.1989
469.9180, 231.8424
470.4001, 240.6006
470.8822, 249.9010
471.3643, 256.9919
471.8465, 260.4938
472.3286, 265.8022
472.8107, 274.6871
473.2928, 286.4694
473.7749, 298.4043
474.2570, 310.6414
474.7392, 321.8667
475.2213, 330.2712
475.7034, 336.4072
476.1855, 343.9829
476.6676, 353.3801
477.1497, 364.3715
477.6319, 377.3469
478.1140, 391.7534
478.5961, 405.6066
479.0782, 417.2285
479.5603, 428.3638
480.0424, 441.2473
480.5246, 455.7339
481.0067, 470.1941
481.4888, 482.8806
481.9709, 495.4686
482.4530, 509.7013
482.9352, 526.9177
483.4173, 543.2267
483.8994, 555.9497
484.3815, 567.0796
484.8636, 579.5342
485.3457, 596.7337
485.8279, 612.4341
486.3100, 624.2560
486.7921, 632.1950
487.2742, 641.3018
487.7563, 653.5774
488.2384, 665.1243
488.7206, 673.4875
489.2027, 677.1720
489.6848, 681.8649
490.1669, 688.3113
490.6490, 695.0914
491.1311, 699.9753
491.6133, 702.7637
492.0954, 704.9393
492.5775, 707.4443
493.0596, 709.5181
493.5417, 707.8455
494.0238, 702.3860
494.5060, 695.9445
494.9881, 690.8643
495.4702, 686.3863
495.9523, 680.4542
496.4344, 672.7700
496.9165, 663.8493
497.3987, 653.6299
497.8808, 642.5541
498.3629, 631.6947
498.8450, 623.3026
499.3271, 613.7394
499.8092, 600.2914
500.2914, 583.3193
500.7735, 566.1186
501.2556, 548.7372
501.7377, 532.0453
502.2198, 516.7043
502.7019, 502.9596
503.1841, 489.6296
503.6662, 478.0723
504.1483, 466.2064
504.6304, 451.5675
505.1125, 431.4038
505.5946, 413.1516
506.0768, 397.9471
506.5589, 385.7145
507.0410, 375.2745
507.5231, 367.3630
508.0052, 358.8049
508.4873, 346.6646
508.9695, 331.0117
509.4516, 319.4605
509.9337, 312.7452
510.4158, 307.1658
510.8979, 297.7224
511.3800, 285.4096
511.8622, 275.4062
512.3443, 269.8526
512.8264, 266.1287
513.3085, 260.1836
513.7906, 252.8674
514.2728, 247.0501
514.7549, 246.0158
515.2370, 245.9214
515.7191, 243.0311
516.2012, 236.9593
516.6833, 231.9681
517.1655, 231.0195
517.6476, 231.1768
518.1297, 229.9865
518.6118, 225.2633
519.0939, 221.3959
519.5760, 218.8788
520.0582, 217.7164
520.5403, 217.7650
521.0224, 220.4990
521.5045, 222.4261
521.9866, 222.1292
522.4688, 219.5613
522.9509, 218.7139
523.4330, 220.2232
523.9151, 221.9717
524.3972, 221.9335
524.8793, 220.0826
525.3615, 220.0283
525.8436, 222.4674
526.3257, 225.5205
526.8078, 226.5786
527.2899, 225.8181
527.7720, 224.0575
528.2542, 220.9232
528.7363, 217.6424
529.2184, 216.2305
529.7005, 216.4229
530.1826, 216.2591
530.6647, 214.0063
531.1469, 210.9605
531.6290, 208.1632
532.1111, 205.8600
532.5932, 203.6938
533.0753, 202.0114
533.5574, 200.1938
534.0396, 197.6669
534.5217, 193.4009
535.0038, 189.4888
535.4859, 186.6870
535.9680, 184.4602
536.4501, 180.9142
536.9323, 175.2600
537.4144, 169.6540
537.8965, 164.8372
538.3786, 160.8330
538.8607, 157.5840
539.3428, 155.4184
539.8250, 153.1052
540.3071, 149.3836
540.7892, 144.4614
541.2713, 139.3334
541.7534, 133.9007
542.2355, 129.1297
542.7177, 127.2280
543.1998, 127.2574
543.6819, 126.3409
544.1640, 122.3961
544.6461, 117.4968
545.1282, 113.5494
545.6104, 110.4189
546.0925, 107.0676
546.5746, 102.8336
547.0567, 98.31302
547.5388, 93.75223
548.0209, 89.08728
548.5031, 84.81360
548.9852, 81.26712
549.4673, 78.00046
549.9494, 74.53955
550.4315, 70.89774
550.9136, 67.06396
551.3958, 63.29474
551.8779, 59.23245
552.3600, 53.61041
552.8421, 45.72327
553.3242, 38.59152
553.8063, 33.65390
554.2885, 30.65778
554.7706, 27.81018
555.2527, 25.15771
555.7348, 22.18396
556.2169, 17.73862
556.6990, 12.67276
557.1812, 9.312561
557.6633, 8.422180
558.1454, 7.750671
558.6275, 4.675079
559.1096, 0.3843990
559.5917, 3.147736
560.0739, 4.631958
560.5560, 5.547913
561.0381, 6.582428
561.5202, 7.641724
562.0023, 8.411438
562.4844, 7.800415
562.9666, 7.768951
563.4487, 9.540405
563.9308, 13.70547
564.4129, 16.68359
564.8950, 18.29657
565.3771, 18.92969
565.8593, 18.82816
566.3414, 17.85455
566.8235, 16.73712
567.3056, 15.50192
567.7877, 14.24213
568.2698, 13.04672
568.7520, 11.93466
569.2341, 11.12549
569.7162, 10.66089
570.1983, 10.57816
570.6804, 11.31735
571.1625, 12.71161
571.6447, 13.70673
572.1268, 13.01556
572.6089, 11.93604
573.0910, 11.98853
573.5731, 13.58694
574.0552, 14.48096
574.5374, 13.11069
575.0195, 10.84760
575.5016, 8.980103
575.9837, 8.101685
576.4658, 7.205719
576.9479, 6.182922
577.4301, 5.107269
577.9122, 4.166901
578.3943, 3.621643
578.8764, 2.713348
579.3585, 1.129089
579.8406, 1.006378
580.3228, 2.974518
580.8049, 4.829498
581.2870, 6.198730
581.7691, 6.451782
582.2512, 5.946198
582.7333, 6.006134
583.2155, 6.692169
583.6975, 8.184326
584.1796, 11.58209
584.6617, 15.67813
585.1439, 18.49451
585.6260, 19.41226
586.1081, 19.08032
586.5902, 16.11511
587.0723, 12.35852
587.5544, 11.41763
588.0366, 17.00790
588.5187, 22.76468
589.0008, 26.67474
589.4829, 28.74588
589.9650, 30.69171
590.4471, 32.17789
590.9293, 33.99625
591.4114, 36.58966
591.8935, 40.07999
592.3756, 43.64905
592.8577, 47.59045
593.3398, 50.74466
593.8220, 51.15417
594.3041, 49.30621
594.7862, 49.06256
595.2683, 51.37567
595.7504, 54.83722
596.2325, 58.05838
596.7147, 61.01871
597.1968, 63.61304
597.6789, 65.36130
598.1610, 67.10675
598.6431, 69.70499
599.1252, 72.91498
599.6074, 75.64352
600.0895, 77.36057
600.5716, 78.66162
601.0537, 79.80185
601.5358, 80.79813
602.0179, 81.50027
602.5001, 80.94800
602.9822, 81.06198
603.4643, 83.82812
603.9464, 90.66589
604.4285, 94.21146
604.9106, 92.91464
605.3928, 90.20020
605.8749, 91.95383
606.3570, 97.78989
606.8391, 102.4322
607.3212, 103.9282
607.8033, 103.8292
608.2855, 104.2435
608.7676, 105.0811
609.2497, 105.9622
609.7318, 106.2609
610.2139, 106.7708
610.6960, 108.5241
611.1782, 111.4914
611.6603, 113.7334
612.1424, 113.7471
612.6245, 113.4409
613.1066, 114.1092
613.5887, 116.7370
614.0709, 118.1955
614.5530, 117.8289
615.0351, 116.9089
615.5172, 116.9201
615.9993, 118.2608
616.4814, 118.5366
616.9636, 117.0602
617.4457, 114.8670
617.9278, 114.3190
618.4099, 115.1935
618.8920, 115.3057
619.3741, 112.9620
619.8563, 109.8882
620.3384, 109.1919
620.8205, 110.3744
621.3026, 110.8671
621.7847, 108.0490
622.2668, 104.5354
622.7490, 102.6437
623.2311, 102.8169
623.7132, 102.4933
624.1953, 101.4472
624.6774, 99.43216
625.1595, 96.13702
625.6417, 89.83759
626.1238, 85.87115
626.6059, 85.19763
627.0880, 85.81657
627.5701, 84.88876
628.0522, 82.10574
628.5344, 80.28854
629.0165, 80.58632
629.4986, 81.44641
629.9807, 79.07896
630.4628, 74.04683
630.9449, 69.86795
631.4271, 69.29288
631.9092, 69.77594
632.3913, 68.40427
632.8734, 65.47549
633.3555, 62.90588
633.8376, 61.88770
634.3198, 61.36734
634.8019, 60.69408
635.2840, 59.75208
635.7661, 58.43469
636.2482, 56.14980
636.7303, 54.16626
637.2125, 53.44719
637.6946, 54.60083
638.1767, 55.00261
638.6588, 54.19046
639.1409, 52.95468
639.6230, 52.75293
640.1052, 53.46411
640.5873, 53.21014
641.0694, 51.33075
641.5515, 49.00439
642.0336, 47.52988
642.5157, 46.65030
642.9979, 46.23424
643.4800, 46.87013
643.9621, 47.61316
644.4442, 47.35791
644.9263, 46.08987
645.4084, 44.89110
645.8906, 44.13258
646.3727, 44.05637
646.8548, 45.23193
647.3369, 48.04982
647.8190, 48.68639
648.3011, 46.20987
648.7833, 43.07889
649.2654, 40.73708
649.7475, 38.98798
650.2296, 38.79611
650.7117, 40.69298
651.1938, 43.18959
651.6760, 44.15329
652.1581, 43.96838
652.6402, 44.29730
653.1223, 46.06721
653.6044, 47.58765
654.0865, 47.02905
654.5687, 45.28943
655.0508, 43.91943
655.5329, 43.18744
656.0150, 43.05147
656.4971, 44.26460
656.9792, 46.39581
657.4614, 47.05841
657.9435, 44.83878
658.4256, 42.90096
658.9077, 42.46811
659.3898, 43.46124
659.8719, 43.92474
660.3541, 43.84003
660.8362, 43.10843
661.3183, 40.92178
661.8004, 37.96838
662.2825, 37.14056
662.7646, 38.70395
663.2468, 40.65752
663.7289, 41.24014
664.2110, 41.10353
664.6931, 41.32603
665.1752, 42.71452
665.6573, 43.04318
666.1395, 39.98779
666.6216, 35.75893
667.1037, 32.94228
667.5858, 33.00652
668.0679, 33.14445
668.5500, 33.24835
669.0322, 33.26277
669.5143, 32.97455
669.9964, 32.26814
670.4785, 31.84889
670.9606, 32.08041
671.4427, 32.63893
671.9249, 32.57907
672.4070, 31.96100
672.8891, 31.26289
673.3712, 31.05157
673.8533, 30.74426
674.3354, 29.34261
674.8176, 26.96924
675.2997, 25.09259
675.7818, 24.76949
676.2639, 24.94876
676.7460, 25.16714
677.2281, 25.58502
677.7103, 25.05516
678.1924, 22.64822
678.6745, 20.20612
679.1566, 19.18085
679.6387, 19.93813
680.1208, 20.34496
680.6030, 20.22246
681.0851, 19.94247
681.5672, 20.21255
682.0493, 20.79755
682.5314, 20.63200
683.0135, 19.23438
683.4957, 17.52635
683.9778, 16.18454
684.4599, 15.26802
684.9420, 14.91273
685.4241, 16.49072
685.9063, 17.23442
686.3884, 15.14088
686.8705, 11.25546
687.3526, 9.278412
687.8347, 10.89098
688.3168, 12.19566
688.7990, 11.94756
689.2811, 10.47432
689.7632, 10.17006
690.2453, 11.28006
690.7274, 11.88013
691.2095, 10.10066
691.6917, 6.996826
692.1738, 6.168411
692.6559, 7.542007
693.1380, 8.540680
693.6201, 6.595428
694.1022, 3.756470
694.5844, 1.874146
695.0665, 1.221161
695.5486, 1.439972
696.0307, 3.364899
696.5128, 5.480194
696.9949, 6.656494
697.4771, 6.970520
697.9592, 5.973450
698.4413, 2.701202
698.9234, 0.6462710
699.4055, 0.7332760
699.8876, 2.534546
700.3698, 3.875397
700.8519, 1.858978
701.3340, 0.9899290
701.8161, 0.7788090
702.2982, 1.412201
702.7803, 2.872589
703.2625, 2.326904
703.7446, 1.063110
704.2267, 0.2507630
704.7088, 1.634674
705.1909, 3.135162
705.6730, 6.137848
706.1552, 7.679932
706.6373, 6.183838
707.1194, 2.562439
707.6015, 1.292389
708.0836, 3.236542
708.5657, 4.888428
709.0479, 4.635895
709.5300, 2.983978
710.0121, 1.781586
710.4942, 1.041199
710.9763, 1.165894
711.4584, 3.436829
711.9406, 6.189423
712.4227, 7.039124
712.9048, 5.923767
713.3869, 5.042633
713.8690, 5.912506
714.3511, 7.037140
714.8333, 7.341339
715.3154, 6.314026
715.7975, 5.834625
716.2796, 6.293976
716.7617, 6.800415
717.2438, 6.498199
717.7260, 5.271240
718.2081, 4.560944
718.6902, 4.473053
719.1723, 4.875275
719.6544, 6.401520
720.1365, 8.259430
720.6187, 8.087311
721.1008, 4.537659
721.5829, 1.397644
722.0650, 2.853638
722.5471, 5.977753
723.0292, 6.842194
723.5114, 1.669708
723.9935, 2.521698
724.4756, 3.873718
724.9577, 3.890594
725.4398, 5.182922
725.9219, 8.091492
726.4041, 11.34293
726.8862, 15.05438
727.3683, 18.52597
727.8504, 19.40689
728.3325, 18.07370
728.8146, 17.05185
729.2968, 17.48880
729.7789, 18.79260
730.2610, 20.29156
730.7431, 22.08710
731.2252, 24.52161
731.7073, 29.10281
732.1895, 33.02600
732.6716, 34.57169
733.1537, 33.91537
733.6358, 34.34317
734.1179, 36.65521
734.6000, 38.76212
735.0822, 39.82944
735.5643, 39.91257
736.0464, 39.13962
736.5285, 37.43481
737.0106, 36.30124
737.4927, 37.67032
737.9749, 40.02649
738.4570, 40.59033
738.9391, 39.25494
739.4212, 37.85867
739.9033, 36.98523
740.3854, 36.79858
740.8676, 37.96548
741.3497, 41.56781
741.8318, 42.11221
742.3139, 36.90228
742.7960, 31.35159
743.2781, 29.27536
743.7603, 31.16367
744.2424, 33.00540
744.7245, 34.76764
745.2066, 36.00378
745.6887, 35.86240
746.1708, 34.96167
746.6530, 35.02988
747.1351, 36.50104
747.6172, 38.04880
748.0993, 39.06635
748.5814, 39.47906
749.0635, 39.06461
