##NAMES=Simonkolleite
##RRUFFID=R130616
##IDEAL CHEMISTRY=Zn_5_(OH)_8_Cl_2_&#183;H_2_O
##LOCALITY=Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless tabular crystals, associated with the blue platy crystals with the chemistry CuZnCl(OH)3.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130616
243.4266, 37.01486
243.9087, 40.52804
244.3908, 43.93946
244.8729, 47.59993
245.3550, 51.55564
245.8372, 55.78588
246.3193, 60.32339
246.8014, 65.20322
247.2835, 70.30128
247.7656, 75.39297
248.2477, 80.22916
248.7299, 85.67377
249.2120, 92.00593
249.6941, 98.81242
250.1762, 105.9793
250.6583, 113.4533
251.1404, 120.8226
251.6226, 127.4226
252.1047, 132.9027
252.5868, 138.2976
253.0689, 143.8756
253.5510, 149.3166
254.0331, 154.7070
254.5153, 159.9581
254.9974, 164.5099
255.4795, 167.4650
255.9616, 168.4062
256.4437, 168.4589
256.9258, 167.6716
257.4080, 166.2346
257.8901, 164.0147
258.3722, 161.0855
258.8543, 157.9065
259.3364, 155.0901
259.8185, 152.7714
260.3007, 150.4956
260.7828, 148.0128
261.2649, 145.7269
261.7470, 143.8440
262.2291, 142.4210
262.7112, 141.4620
263.1934, 140.9890
263.6755, 141.1642
264.1576, 141.2957
264.6397, 141.4279
265.1218, 141.5066
265.6039, 141.6266
266.0861, 141.7071
266.5682, 141.4744
267.0503, 140.6700
267.5324, 139.2913
268.0145, 137.2450
268.4966, 134.5772
268.9788, 131.3612
269.4609, 127.5417
269.9430, 123.1878
270.4251, 118.4638
270.9072, 113.4609
271.3893, 108.2024
271.8715, 102.9222
272.3536, 97.50623
272.8357, 92.19676
273.3178, 87.16158
273.7999, 82.33871
274.2820, 77.55803
274.7642, 72.68520
275.2463, 67.74381
275.7284, 63.12814
276.2105, 58.77089
276.6926, 54.69967
277.1747, 50.91112
277.6568, 47.36801
278.1389, 43.99304
278.6211, 40.74167
279.1032, 37.64204
279.5853, 34.86425
280.0674, 32.52620
280.5495, 30.32311
281.0316, 28.18474
281.5138, 26.13121
281.9959, 24.20467
282.4780, 22.44533
282.9601, 20.80249
283.4422, 19.13256
283.9243, 17.29251
284.4065, 15.65055
284.8886, 14.32215
285.3707, 13.23863
285.8528, 12.33944
286.3349, 11.62173
286.8170, 10.96854
287.2992, 10.15112
287.7813, 9.101388
288.2634, 8.146881
288.7455, 7.380764
289.2276, 6.725748
289.7097, 6.113249
290.1919, 5.529191
290.6740, 4.949601
291.1561, 4.317742
291.6382, 3.619547
292.1203, 3.009917
292.6024, 2.494317
293.0846, 2.082683
293.5667, 1.819935
294.0488, 1.706072
294.5309, 1.625793
295.0130, 1.473288
295.4951, 1.245179
295.9773, 1.032357
296.4594, 0.8837970
296.9415, 0.7224290
297.4236, 0.4717120
297.9057, 0.1370720
298.3878, 0.2225530
298.8700, 0.6203790
299.3521, 1.000096
299.8342, 1.121494
300.3163, 0.7926550
300.7984, 0.3849390
301.2805, 6.4650998E-02
301.7627, 0.1640580
302.2448, 0.2954880
302.7269, 0.3203270
303.2090, 0.2429560
303.6911, 7.4937001E-02
304.1732, 0.3355510
304.6554, 0.5927280
305.1375, 0.4234440
305.6196, 4.0511999E-02
306.1017, 0.4809680
306.5838, 0.8061320
307.0659, 1.001216
307.5481, 0.9883840
308.0302, 0.7078340
308.5123, 0.5015930
308.9944, 0.5715580
309.4765, 0.7691760
309.9586, 0.8448300
310.4408, 0.7332950
310.9229, 0.5009840
311.4050, 0.1919980
311.8871, 0.2028010
312.3692, 0.5187290
312.8513, 0.6291830
313.3335, 0.6876750
313.8156, 0.9031570
314.2977, 1.309763
314.7798, 1.747620
315.2619, 1.855171
315.7440, 1.521565
316.2262, 1.289503
316.7083, 1.298255
317.1904, 1.310502
317.6725, 1.105660
318.1546, 0.6879840
318.6367, 0.2252860
319.1188, 0.2349260
319.6010, 0.6322030
320.0831, 0.7794540
320.5652, 0.4342540
321.0473, 8.9328997E-02
321.5294, 7.7788003E-02
322.0115, 0.3075980
322.4937, 0.4376890
322.9758, 0.2729130
323.4579, 4.5942001E-02
323.9400, 0.1528040
324.4221, 2.2274001E-02
324.9042, 0.2105260
325.3864, 0.3508370
325.8685, 0.4358870
326.3506, 0.4398120
326.8327, 0.3432420
327.3148, 0.2037770
327.7969, 0.1013770
328.2791, 3.0159000E-02
328.7612, 8.2240002E-03
329.2433, 6.5738998E-02
329.7254, 0.1619970
330.2075, 0.2736620
330.6896, 0.3968860
331.1718, 0.4702360
331.6539, 0.4241010
332.1360, 0.2459230
332.6181, 5.3872000E-02
333.1002, 0.1382120
333.5823, 0.3507690
334.0645, 0.6692630
334.5466, 0.2424210
335.0287, 5.4173999E-02
335.5108, 4.0380000E-03
335.9929, 0.3510980
336.4750, 0.4763060
336.9572, 0.1663660
337.4393, 0.1112340
337.9214, 7.6109998E-02
338.4035, 0.1450210
338.8856, 0.2232240
339.3677, 1.6758000E-02
339.8499, 0.4374920
340.3320, 0.6548570
340.8141, 0.5259060
341.2962, 0.4840270
341.7783, 0.6915650
342.2604, 1.002113
342.7426, 1.225775
343.2247, 1.308031
