##NAMES=Gadolinium gallium garnet
##RRUFFID=X090007
##IDEAL CHEMISTRY=Gd_3_Ga_2_(GaO_4_)_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless gemstone, 1.70 ct
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090007
453.4823, 15.45740
453.9644, 14.20380
454.4465, 12.71039
454.9286, 11.88434
455.4108, 12.09253
455.8929, 11.77026
456.3750, 10.56580
456.8571, 8.654053
457.3392, 5.859863
457.8214, 2.303955
458.3035, 0.9554440
458.7856, 2.841980
459.2677, 3.332153
459.7498, 4.976013
460.2319, 8.226807
460.7141, 11.90503
461.1962, 15.87805
461.6783, 20.01953
462.1604, 24.17426
462.6425, 28.28442
463.1246, 32.38354
463.6068, 36.53156
464.0889, 40.70667
464.5710, 44.94147
465.0531, 49.18097
465.5352, 53.51776
466.0173, 57.92114
466.4995, 62.47058
466.9816, 67.39789
467.4637, 72.98914
467.9458, 78.91864
468.4279, 84.21130
468.9100, 88.89270
469.3922, 92.90015
469.8743, 95.69135
470.3564, 98.14209
470.8385, 101.0507
471.3206, 104.5223
471.8027, 107.7545
472.2849, 109.9250
472.7670, 111.3146
473.2491, 113.0125
473.7312, 115.2175
474.2133, 117.4136
474.6954, 118.7808
475.1776, 119.8840
475.6597, 122.1214
476.1418, 126.1541
476.6239, 130.8196
477.1060, 135.6909
477.5881, 140.5639
478.0703, 144.8513
478.5524, 148.2580
479.0345, 151.2916
479.5166, 154.6169
479.9987, 158.3072
480.4808, 162.1312
480.9630, 166.1730
481.4451, 170.2764
481.9272, 174.8301
482.4093, 179.3868
482.8914, 182.5522
483.3735, 183.3703
483.8557, 182.5623
484.3378, 182.7653
484.8199, 185.7556
485.3020, 187.0322
485.7841, 185.9662
486.2662, 183.4683
486.7484, 179.9705
487.2305, 175.6982
487.7126, 171.1122
488.1947, 166.7329
488.6768, 162.4722
489.1589, 156.7377
489.6411, 148.4724
490.1232, 140.3979
490.6053, 133.1160
491.0874, 126.4925
491.5695, 120.5168
492.0516, 115.2148
492.5338, 110.1340
493.0159, 105.0742
493.4980, 99.99731
493.9801, 94.42926
494.4622, 87.84369
494.9443, 81.73315
495.4265, 77.74036
495.9086, 75.23334
496.3907, 72.61963
496.8728, 69.39050
497.3549, 66.01904
497.8370, 62.64734
498.3192, 59.42139
498.8013, 57.01617
499.2834, 55.84070
499.7655, 55.18958
500.2476, 53.84467
500.7297, 51.47101
501.2119, 49.60236
501.6940, 48.29907
502.1761, 47.55219
502.6582, 47.76575
503.1403, 48.58405
503.6224, 48.94159
504.1045, 48.13031
504.5866, 46.50433
505.0688, 45.32452
505.5509, 44.72540
506.0330, 44.38678
506.5151, 44.01605
506.9972, 43.82178
507.4793, 44.04401
507.9615, 44.56537
508.4436, 44.99878
508.9257, 45.09705
509.4078, 44.99274
509.8899, 44.87775
510.3720, 44.49689
510.8542, 44.71088
511.3363, 46.04974
511.8184, 48.08685
512.3005, 50.52704
512.7827, 53.30597
513.2648, 56.02710
513.7469, 58.22253
514.2290, 60.25037
514.7111, 62.99426
515.1932, 66.56372
515.6754, 71.22180
516.1575, 77.27863
516.6396, 84.50452
517.1217, 92.01770
517.6038, 99.74603
518.0859, 107.7823
518.5681, 116.2629
519.0502, 125.0585
519.5323, 133.8778
520.0144, 142.6808
520.4965, 151.7646
520.9786, 161.6567
521.4608, 172.7129
521.9429, 182.4290
522.4250, 191.8862
522.9071, 199.1884
523.3892, 203.8565
523.8713, 205.8555
524.3535, 204.8271
524.8356, 200.6676
525.3177, 194.5129
525.7998, 188.5327
526.2819, 183.2656
526.7640, 175.4758
527.2462, 163.1171
527.7283, 150.0891
528.2104, 137.8082
528.6925, 126.3578
529.1746, 115.7710
529.6567, 106.4262
530.1389, 97.37848
530.6210, 86.97321
531.1031, 75.35760
531.5852, 65.16052
532.0673, 57.29755
532.5494, 50.90253
533.0316, 45.20825
533.5137, 40.19550
533.9958, 35.09625
534.4779, 29.48407
534.9600, 23.96948
535.4421, 18.83142
535.9243, 14.15820
536.4064, 10.01782
536.8885, 6.467163
537.3706, 3.477173
537.8527, 1.043335
538.3348, 0.7296750
538.8170, 2.139557
539.2991, 2.707489
539.7812, 3.363708
540.2633, 4.886597
540.7454, 6.977539
541.2275, 8.818268
541.7097, 9.930756
542.1918, 10.41299
542.6739, 10.40988
543.1560, 9.700165
543.6381, 9.222626
544.1202, 9.680145
544.6024, 9.990662
545.0845, 9.230865
545.5666, 7.583893
546.0487, 6.179352
546.5308, 5.847260
547.0129, 5.988647
547.4951, 5.740784
547.9772, 5.106232
548.4593, 4.131287
548.9414, 2.789490
549.4235, 1.173187
549.9056, 0.5270690
550.3878, 2.238739
550.8699, 4.306030
551.3520, 7.500458
551.8341, 10.52103
552.3162, 11.79785
552.7983, 11.80402
553.2805, 12.50775
553.7626, 15.11786
554.2447, 18.95850
554.7268, 22.03604
555.2089, 23.51602
555.6910, 25.71777
556.1732, 29.17120
556.6553, 32.87042
557.1374, 36.23425
557.6195, 39.30270
558.1016, 42.36099
558.5837, 45.53830
559.0659, 48.91788
559.5480, 52.88272
560.0301, 57.59891
560.5122, 61.79904
560.9943, 64.84149
561.4764, 67.45822
561.9586, 70.36212
562.4407, 73.53503
562.9228, 76.70465
563.4049, 79.76013
563.8870, 82.77573
564.3691, 85.94659
564.8513, 89.18784
565.3334, 92.00854
565.8155, 94.13751
566.2976, 95.88403
566.7797, 97.87537
567.2618, 100.4421
567.7440, 102.4326
568.2261, 103.4670
568.7082, 104.2693
569.1903, 105.6847
569.6724, 107.1855
570.1545, 107.2513
570.6367, 104.9619
571.1188, 101.7985
571.6009, 101.2490
572.0830, 104.3011
572.5651, 106.1333
573.0472, 105.3067
573.5294, 104.0161
574.0115, 103.1312
574.4936, 102.7316
574.9757, 102.9102
575.4578, 103.7958
575.9399, 105.1491
576.4221, 106.9602
576.9042, 109.0926
577.3863, 110.6356
577.8684, 111.1199
578.3505, 111.5688
578.8326, 113.3120
579.3148, 116.4796
579.7969, 119.0627
580.2790, 121.0600
580.7611, 122.4103
581.2432, 122.8734
581.7253, 122.7388
582.2075, 122.5077
582.6896, 122.3452
583.1717, 121.9616
583.6538, 120.9007
584.1359, 119.0502
584.6180, 117.3416
585.1002, 116.0137
585.5823, 114.5099
586.0643, 112.2953
586.5464, 109.9492
587.0286, 108.1813
587.5107, 107.1776
587.9928, 106.8365
588.4749, 106.9316
588.9570, 107.5835
589.4391, 109.4424
589.9213, 112.7764
590.4034, 116.4065
590.8855, 119.4006
591.3676, 122.1173
591.8497, 125.8313
592.3318, 131.3934
592.8140, 136.5435
593.2961, 139.6909
593.7782, 142.5554
594.2603, 147.4505
594.7424, 154.2948
595.2245, 161.0339
595.7067, 165.9750
596.1888, 169.2988
596.6709, 172.1461
597.1530, 174.7306
597.6351, 176.5930
598.1172, 177.3578
598.5994, 177.5947
599.0815, 177.9668
599.5636, 178.3792
600.0457, 177.9929
600.5278, 175.9291
601.0099, 173.0083
601.4921, 170.5976
601.9742, 168.6378
602.4563, 166.9630
602.9384, 165.4454
603.4205, 164.4895
603.9026, 164.8715
604.3848, 166.5614
604.8669, 167.8019
605.3490, 167.9818
605.8311, 168.0753
606.3132, 168.6624
606.7953, 169.6949
607.2775, 171.1093
607.7596, 172.8599
608.2417, 174.4767
608.7238, 175.2350
609.2059, 174.9523
609.6880, 174.7095
610.1702, 174.7276
610.6523, 174.5013
611.1344, 174.1194
611.6165, 173.3069
612.0986, 171.6342
612.5807, 168.9511
613.0629, 165.7723
613.5450, 162.5750
614.0271, 159.2815
614.5092, 155.3822
614.9913, 150.6854
615.4734, 146.4523
615.9556, 143.7181
616.4377, 141.9538
616.9198, 139.2502
617.4019, 135.2728
617.8840, 131.1055
618.3661, 126.7281
618.8483, 122.3981
619.3304, 118.2792
619.8125, 114.4374
620.2946, 110.9959
620.7767, 108.0653
621.2589, 105.4984
621.7410, 102.9891
622.2231, 100.7414
622.7052, 97.93964
623.1873, 93.79141
623.6694, 89.67609
624.1516, 86.35382
624.6337, 83.73331
625.1158, 81.46979
625.5979, 79.48041
626.0800, 77.73895
626.5621, 76.41266
627.0443, 75.34979
627.5264, 73.92383
628.0085, 71.90594
628.4906, 70.09003
628.9727, 69.35742
629.4548, 69.71759
629.9370, 69.43823
630.4191, 67.87527
630.9012, 66.58948
631.3833, 66.17926
631.8654, 66.05347
632.3475, 65.51318
632.8297, 64.51355
633.3118, 63.58530
633.7939, 63.22330
634.2760, 63.29095
634.7581, 63.22647
635.2402, 62.96973
635.7224, 62.80032
636.2045, 62.54028
636.6866, 62.66821
637.1687, 64.05640
637.6508, 66.59357
638.1329, 68.18304
638.6151, 67.70032
639.0972, 66.58411
639.5793, 65.81570
640.0614, 65.26254
640.5435, 64.65387
