##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
400.0723, 27.08557
400.5544, 31.80347
401.0365, 34.89673
401.5186, 37.25745
402.0008, 39.46558
402.4829, 40.98645
402.9650, 43.38733
403.4471, 47.18774
403.9292, 51.99548
404.4113, 56.24158
404.8935, 60.20178
405.3756, 63.05505
405.8577, 63.71472
406.3398, 61.57825
406.8219, 61.92505
407.3040, 65.25647
407.7862, 70.29138
408.2683, 75.13013
408.7504, 79.74939
409.2325, 85.57788
409.7146, 93.47241
410.1967, 102.8535
410.6789, 112.2911
411.1610, 121.7952
411.6431, 131.7126
412.1252, 142.3304
412.6073, 153.5427
413.0894, 165.0022
413.5716, 176.4142
414.0537, 187.9717
414.5358, 200.1722
415.0179, 212.6251
415.5000, 224.5227
415.9821, 237.3080
416.4643, 248.0796
416.9464, 253.3827
417.4285, 252.7220
417.9106, 249.1167
418.3927, 243.8920
418.8748, 236.9897
419.3570, 228.4503
419.8391, 215.1237
420.3212, 203.1339
420.8033, 195.3918
421.2854, 191.3094
421.7675, 187.8560
422.2497, 183.0371
422.7318, 179.4380
423.2139, 178.6837
423.6960, 182.1989
424.1781, 185.8950
424.6602, 189.4539
425.1424, 192.9563
425.6245, 196.3944
426.1066, 197.9323
426.5887, 201.7079
427.0709, 209.2461
427.5530, 220.5381
428.0351, 230.7126
428.5172, 239.6527
428.9993, 247.7466
429.4814, 255.1881
429.9636, 261.8094
430.4457, 268.4911
430.9278, 275.6726
431.4099, 282.5685
431.8920, 287.4053
432.3741, 290.1095
432.8563, 291.6213
433.3384, 292.4196
433.8205, 292.4194
434.3026, 291.3220
434.7847, 289.2321
435.2668, 285.2719
435.7490, 277.5658
436.2311, 267.0063
436.7132, 257.1876
437.1953, 249.7161
437.6774, 242.4432
438.1595, 232.2378
438.6417, 219.5157
439.1238, 205.9794
439.6059, 191.6333
440.0880, 177.5369
440.5701, 165.0397
441.0522, 154.4288
441.5344, 144.1165
442.0165, 132.9635
442.4986, 121.5669
442.9807, 110.7097
443.4628, 100.7603
443.9449, 91.28564
444.4271, 82.19446
444.9092, 73.45361
445.3913, 64.85901
445.8734, 55.01074
446.3555, 46.55774
446.8376, 41.07666
447.3198, 40.73645
447.8019, 39.09583
448.2840, 35.33118
448.7661, 30.62939
449.2482, 26.52673
449.7303, 22.42908
450.2125, 19.79810
450.6946, 19.40857
451.1767, 21.08374
451.6588, 21.65283
452.1409, 21.08044
452.6230, 19.41431
453.1052, 15.89502
453.5873, 10.11731
454.0694, 7.253662
454.5515, 8.476318
455.0337, 11.27966
455.5158, 11.17847
455.9979, 8.403442
456.4800, 6.071899
456.9621, 5.690186
457.4442, 6.211060
457.9264, 5.496338
458.4085, 3.755615
458.8906, 2.486694
459.3727, 3.502319
459.8548, 5.514771
460.3369, 6.389526
460.8191, 5.240356
461.3012, 3.744873
461.7833, 3.477661
462.2654, 4.203247
462.7475, 5.282227
463.2296, 5.953979
463.7118, 6.587769
464.1939, 7.411987
464.6760, 8.477417
465.1581, 9.846191
465.6402, 11.55676
466.1223, 13.56433
466.6045, 15.81201
467.0866, 18.62769
467.5687, 21.33081
468.0508, 24.13696
468.5329, 26.52222
469.0150, 27.68469
469.4972, 26.23535
469.9793, 26.00854
470.4614, 28.98145
470.9435, 35.48010
471.4256, 38.44031
471.9077, 36.76123
472.3899, 33.79773
472.8720, 32.37976
473.3541, 32.58960
473.8362, 33.55151
474.3183, 35.34985
474.8004, 37.47156
475.2826, 39.23926
475.7647, 40.61829
476.2468, 41.15051
476.7289, 39.00244
477.2110, 36.11743
477.6931, 37.85986
478.1753, 44.23669
478.6574, 50.28357
479.1395, 51.04504
479.6216, 49.10364
480.1037, 48.49658
480.5858, 51.39062
481.0680, 53.72498
481.5501, 51.90967
482.0322, 47.54443
482.5143, 43.96228
482.9964, 43.35840
483.4786, 43.10669
483.9607, 42.09814
484.4428, 40.25464
484.9249, 37.88721
485.4070, 34.72693
485.8892, 31.30774
486.3713, 27.98462
486.8534, 24.55164
487.3355, 21.53943
487.8176, 18.56531
488.2997, 16.15027
488.7819, 15.62915
489.2640, 18.05017
489.7461, 19.95300
490.2282, 20.15686
490.7103, 18.73071
491.1924, 16.83936
491.6746, 14.27197
492.1567, 11.99329
492.6388, 11.16870
493.1209, 11.57678
493.6030, 11.33179
494.0851, 9.980713
494.5673, 8.401245
495.0494, 7.713745
495.5315, 7.847046
496.0136, 8.581055
496.4957, 10.59485
496.9778, 12.70044
497.4600, 13.54980
497.9421, 13.21777
498.4242, 12.50452
498.9063, 11.99414
499.3884, 11.26917
499.8705, 9.657104
500.3527, 6.141846
500.8348, 4.010864
501.3169, 6.456909
501.7990, 10.48242
502.2811, 11.86475
502.7632, 6.887451
503.2454, 2.391968
503.7275, 0.1130370
504.2096, 0.7498780
504.6917, 0.9202880
