##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
387.4760, 1591.227
387.9582, 1549.141
388.4403, 1459.703
388.9224, 1358.148
389.4045, 1277.914
389.8866, 1204.617
390.3687, 1115.250
390.8509, 979.4766
391.3330, 853.5938
391.8151, 791.6406
392.2972, 778.9141
392.7793, 752.5391
393.2614, 660.5000
393.7436, 556.6719
394.2257, 478.0625
394.7078, 437.2266
395.1899, 406.7812
395.6720, 375.4375
396.1541, 348.2891
396.6363, 332.8047
397.1184, 330.3438
397.6005, 337.7188
398.0826, 361.0078
398.5647, 404.2266
399.0468, 426.4922
399.5290, 400.0391
400.0111, 362.9922
400.4932, 347.1719
400.9753, 377.7578
401.4574, 398.6094
401.9395, 399.2266
402.4217, 384.8750
402.9038, 381.6094
403.3859, 399.7344
403.8680, 421.0078
404.3501, 435.6328
404.8322, 439.9609
405.3144, 449.6016
405.7965, 462.3750
406.2786, 477.6797
406.7607, 502.5000
407.2428, 542.6641
407.7249, 574.5078
408.2071, 585.2266
408.6892, 579.3672
409.1713, 579.0312
409.6534, 581.8047
410.1355, 591.2266
410.6176, 616.6719
411.0998, 654.4062
411.5819, 680.0156
412.0640, 682.0625
412.5461, 678.2344
413.0282, 714.4062
413.5103, 780.9531
413.9925, 816.7734
414.4746, 754.6953
414.9567, 649.9453
415.4388, 595.7812
415.9209, 603.5469
416.4030, 613.1328
416.8852, 576.1562
417.3673, 507.1172
417.8494, 429.7812
418.3315, 344.0703
418.8136, 264.2266
419.2957, 195.6328
419.7779, 141.9922
420.2600, 100.1484
420.7421, 83.60938
421.2242, 71.88281
421.7063, 45.80469
422.1884, 19.86719
422.6706, 57.71875
423.1527, 23.19531
423.6348, 47.08594
424.1169, 83.83594
424.5990, 40.42188
425.0811, 3.656250
425.5633, 29.41406
426.0454, 38.37500
426.5275, 24.82031
427.0096, 26.07812
427.4917, 85.45312
427.9738, 128.1953
428.4560, 141.4531
428.9381, 164.2656
429.4202, 212.3594
429.9023, 269.2266
430.3844, 277.3594
430.8665, 224.0938
431.3487, 157.2266
431.8308, 89.00781
432.3129, 17.55469
432.7950, 2.562500
433.2771, 59.78125
433.7592, 135.1328
434.2414, 157.0625
434.7235, 129.9297
435.2056, 100.1250
435.6877, 79.27344
436.1698, 68.28125
436.6519, 73.03906
437.1341, 93.14062
437.6162, 113.1797
438.0983, 122.6562
438.5804, 124.9297
439.0625, 123.8438
439.5446, 118.2891
440.0268, 116.0703
440.5089, 121.7500
440.9910, 135.7734
441.4731, 158.6562
441.9552, 216.5391
442.4373, 262.2578
442.9195, 253.2891
443.4016, 189.6953
443.8837, 137.9219
444.3658, 125.3359
444.8479, 133.6406
445.3300, 148.6641
445.8122, 174.5781
446.2943, 196.1641
446.7764, 211.7500
447.2585, 220.7812
447.7406, 222.6406
448.2227, 217.9141
448.7049, 205.2812
449.1870, 180.7578
449.6691, 140.8203
450.1512, 116.4844
450.6333, 119.2969
451.1154, 127.2109
451.5976, 119.5078
452.0797, 93.87500
452.5618, 64.03906
453.0439, 30.00781
453.5260, 4.062500
454.0081, 27.60156
454.4903, 39.46875
454.9724, 45.96094
455.4545, 53.25000
455.9366, 59.88281
456.4187, 54.18750
456.9008, 36.32031
457.3830, 7.773438
457.8651, 36.83594
458.3472, 90.78906
458.8293, 131.2188
459.3114, 145.3125
459.7935, 146.2344
460.2757, 150.8438
460.7578, 156.7266
461.2399, 155.7344
461.7220, 138.7500
462.2041, 114.4766
462.6862, 88.17188
463.1684, 58.23438
463.6505, 40.87500
464.1326, 68.09375
464.6147, 107.4531
465.0968, 117.2109
465.5789, 49.45312
466.0611, 11.57812
466.5432, 34.17188
467.0253, 20.85938
467.5074, 15.22656
467.9895, 33.96875
468.4716, 51.08594
468.9538, 54.64062
469.4359, 41.64844
469.9180, 21.34375
470.4001, 15.77344
470.8822, 52.43750
471.3643, 59.17969
471.8465, 21.65625
472.3286, 7.335938
472.8107, 13.53906
473.2928, 0.8046880
473.7749, 15.96094
474.2570, 39.14062
474.7392, 49.99219
475.2213, 16.78125
475.7034, 49.36719
476.1855, 61.89062
476.6676, 0.7109380
477.1497, 77.85938
477.6319, 79.51562
478.1140, 26.19531
478.5961, 16.87500
479.0782, 15.28906
479.5603, 8.226563
480.0424, 32.34375
480.5246, 55.96094
481.0067, 71.15625
481.4888, 55.82031
481.9709, 34.92969
482.4530, 35.75781
482.9352, 73.65625
483.4173, 101.8281
483.8994, 91.75000
484.3815, 63.71875
484.8636, 48.67188
485.3457, 58.12500
485.8279, 71.00000
486.3100, 86.28125
486.7921, 104.0469
487.2742, 108.1094
487.7563, 82.64062
488.2384, 61.99219
488.7206, 69.81250
489.2027, 127.9531
489.6848, 155.9062
490.1669, 138.7891
490.6490, 107.0625
491.1311, 116.5938
491.6133, 173.7656
492.0954, 219.4609
492.5775, 228.4453
493.0596, 213.2188
493.5417, 222.8125
494.0238, 256.4844
494.5060, 296.5547
494.9881, 336.6641
495.4702, 370.8203
495.9523, 383.7500
496.4344, 369.3672
496.9165, 346.6094
497.3987, 329.9219
497.8808, 318.6016
498.3629, 312.1016
498.8450, 315.3516
499.3271, 319.5859
499.8092, 323.3281
500.2914, 325.6484
500.7735, 318.7500
501.2556, 296.2344
501.7377, 268.1875
502.2198, 240.1562
502.7019, 211.3359
503.1841, 189.0859
503.6662, 179.9062
504.1483, 176.7344
504.6304, 170.6328
505.1125, 154.4766
505.5946, 147.0859
506.0768, 152.4297
506.5589, 168.2422
507.0410, 188.3047
507.5231, 217.5859
508.0052, 234.6562
508.4873, 216.5938
508.9695, 162.4453
509.4516, 148.4922
509.9337, 180.8984
510.4158, 226.2109
510.8979, 248.9922
511.3800, 251.1094
511.8622, 243.9297
512.3443, 230.6719
512.8264, 211.0234
513.3085, 177.0781
513.7906, 134.4141
514.2728, 103.0078
514.7549, 115.1172
515.2370, 132.0000
515.7191, 112.4688
516.2012, 50.98438
516.6833, 1.078125
517.1655, 15.17969
517.6476, 11.03125
518.1297, 5.273438
518.6118, 2.117188
519.0939, 4.164063
519.5760, 20.20312
520.0582, 39.77344
520.5403, 47.32031
521.0224, 19.91406
521.5045, 11.88281
521.9866, 40.92188
522.4688, 106.7891
522.9509, 174.9141
523.4330, 250.4062
523.9151, 314.2188
524.3972, 345.6328
524.8793, 344.8672
525.3615, 352.4062
525.8436, 369.0859
526.3257, 396.0156
526.8078, 451.2344
527.2899, 525.1484
527.7720, 566.7656
528.2542, 533.8516
528.7363, 473.0000
529.2184, 449.4141
529.7005, 457.3438
530.1826, 464.1328
530.6647, 437.5156
531.1469, 410.8281
531.6290, 418.9922
532.1111, 477.3438
532.5932, 522.2656
533.0753, 515.7578
533.5574, 488.1250
534.0396, 474.9297
534.5217, 508.1641
535.0038, 531.8750
535.4859, 529.5781
535.9680, 512.7891
536.4501, 516.6797
536.9323, 550.9453
537.4144, 592.3750
537.8965, 633.7500
538.3786, 674.7891
538.8607, 704.6562
539.3428, 717.7266
539.8250, 733.6250
540.3071, 773.0625
540.7892, 832.6406
541.2713, 889.3984
541.7534, 938.3594
542.2355, 985.3281
542.7177, 1037.195
543.1998, 1093.992
543.6819, 1154.500
544.1640, 1232.500
544.6461, 1303.320
545.1282, 1331.016
545.6104, 1324.188
546.0925, 1336.273
546.5746, 1417.625
547.0567, 1511.711
547.5388, 1587.078
548.0209, 1644.625
548.5031, 1663.367
548.9852, 1602.820
549.4673, 1518.383
549.9494, 1471.172
550.4315, 1521.961
550.9136, 1512.961
551.3958, 1402.625
551.8779, 1226.953
552.3600, 1095.922
552.8421, 1016.203
553.3242, 954.3281
553.8063, 904.7734
554.2885, 863.8672
554.7706, 794.5703
555.2527, 694.0703
555.7348, 598.2734
556.2169, 545.2109
556.6990, 521.6641
557.1812, 490.1797
557.6633, 442.8359
558.1454, 397.8203
558.6275, 374.5625
559.1096, 366.3203
559.5917, 360.3203
560.0739, 341.9375
560.5560, 334.2734
561.0381, 360.8047
561.5202, 411.4453
562.0023, 442.9219
562.4844, 431.6953
562.9666, 408.7031
563.4487, 381.4219
563.9308, 343.6328
564.4129, 332.4531
564.8950, 362.4609
565.3771, 402.1719
565.8593, 423.9375
566.3414, 421.5625
566.8235, 428.2500
567.3056, 451.0312
567.7877, 478.3516
568.2698, 489.1328
568.7520, 484.8516
569.2341, 477.0703
569.7162, 468.2031
570.1983, 462.6484
570.6804, 476.4219
571.1625, 506.7344
571.6447, 528.8594
572.1268, 503.6328
572.6089, 476.6562
573.0910, 499.5000
573.5731, 584.3203
574.0552, 667.9297
574.5374, 721.0859
575.0195, 761.9766
575.5016, 807.1016
575.9837, 846.0859
576.4658, 902.6094
576.9479, 997.7188
577.4301, 1105.469
577.9122, 1172.055
578.3943, 1167.344
578.8764, 1178.398
579.3585, 1234.875
579.8406, 1327.047
580.3228, 1396.172
580.8049, 1442.367
581.2870, 1462.867
581.7691, 1446.656
582.2512, 1403.023
582.7333, 1375.375
583.2155, 1370.883
583.6975, 1347.844
584.1796, 1232.430
