##NAMES=Abelsonite
##RRUFFID=R070007
##IDEAL CHEMISTRY=Ni^2+^C_31_H_32_N_4_
##LOCALITY=Green River Formation, Utah, USA
##OWNER=RRUFF
##SOURCE=Geophysical Laboratory, Carnegie Institution of Washington
##DESCRIPTION=Purple platy crystals embedded in drill core
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070007
##MEASURED CHEMISTRY=(Ni_0.92_Fe^2+^_0.05_Cr_0.02_)C_31_H_32_N_4_ ; C, H and N not measured but estimated by stoichiometry
653.9935, 407.9805
654.4756, 416.0049
654.9578, 408.7266
655.4399, 379.5801
655.9220, 334.8926
656.4041, 266.8301
656.8862, 178.2393
657.3683, 123.0674
657.8505, 114.4668
658.3326, 110.2197
658.8147, 81.36523
659.2968, 30.33496
659.7789, 4.208984
660.2610, 21.13281
660.7432, 25.74023
661.2253, 13.95508
661.7074, 4.487305
662.1895, 10.05469
662.6716, 5.114258
663.1537, 22.58203
663.6359, 34.67285
664.1180, 40.09180
664.6001, 36.99805
665.0822, 11.32031
665.5643, 7.546875
666.0464, 13.70215
666.5286, 8.645508
667.0107, 7.391602
667.4928, 46.64453
667.9749, 69.67285
668.4570, 55.86719
668.9391, 13.35938
669.4213, 0.4257810
669.9034, 18.67383
670.3855, 29.97754
670.8676, 3.492188
671.3497, 60.45312
671.8318, 95.82520
672.3140, 106.2705
672.7961, 110.9678
673.2782, 128.5000
673.7603, 144.7246
674.2424, 143.7822
674.7245, 108.4473
675.2067, 84.46582
675.6888, 86.11328
676.1709, 102.8467
676.6530, 123.0693
677.1351, 157.2627
677.6172, 170.3682
678.0994, 149.9219
678.5815, 111.8516
679.0636, 95.18750
679.5457, 100.2246
680.0278, 108.5078
680.5099, 117.5498
680.9921, 121.4404
681.4742, 105.0254
681.9563, 73.52441
682.4384, 47.75488
682.9205, 39.66699
683.4026, 41.50781
683.8848, 50.95508
684.3669, 69.42188
684.8490, 86.37891
685.3311, 101.0977
685.8132, 110.9229
686.2953, 115.2900
686.7775, 115.9834
687.2596, 104.9668
687.7417, 74.17969
688.2238, 44.37988
688.7059, 41.79590
689.1880, 65.04199
689.6702, 92.19531
690.1523, 121.8711
690.6344, 150.3359
691.1165, 166.0264
691.5986, 176.2998
692.0807, 197.4658
692.5629, 252.5986
693.0450, 303.2305
693.5271, 314.2275
694.0092, 301.3486
694.4913, 311.3037
694.9734, 375.3906
695.4556, 445.3193
695.9377, 512.5469
696.4198, 575.2314
696.9019, 616.3633
697.3840, 626.5527
697.8661, 643.2793
698.3483, 694.5635
698.8304, 773.7461
699.3125, 834.4854
699.7946, 876.6758
700.2767, 907.1436
700.7589, 934.0605
701.2410, 952.4189
701.7231, 946.1777
702.2052, 902.8682
702.6873, 886.1992
703.1694, 960.0312
703.6515, 1060.267
704.1336, 1123.514
704.6157, 1112.944
705.0978, 1101.366
705.5800, 1086.322
706.0621, 1073.453
706.5442, 1076.029
707.0263, 1099.071
707.5084, 1101.949
707.9905, 1064.253
708.4727, 1017.443
708.9548, 1033.658
709.4369, 1098.749
709.9190, 1151.327
710.4011, 1150.243
710.8832, 1131.537
711.3654, 1117.302
711.8475, 1110.217
712.3296, 1120.695
712.8117, 1176.613
713.2938, 1228.868
713.7759, 1252.309
714.2581, 1246.048
714.7402, 1247.495
715.2223, 1261.622
715.7044, 1274.587
716.1865, 1276.820
716.6686, 1268.632
717.1508, 1266.593
717.6329, 1270.851
718.1150, 1276.805
718.5971, 1285.062
719.0792, 1291.929
719.5613, 1289.688
720.0435, 1275.861
720.5256, 1254.970
721.0077, 1218.410
721.4898, 1181.467
721.9719, 1160.168
722.4540, 1206.205
722.9362, 1203.572
723.4183, 1123.490
723.9004, 1005.941
724.3825, 914.8828
724.8646, 856.8965
725.3467, 781.9658
725.8289, 670.3447
726.3110, 551.9219
726.7931, 498.4326
727.2752, 495.6094
727.7573, 481.2793
728.2394, 407.6826
