##NAMES=Wermlandite
##RRUFFID=R100051
##IDEAL CHEMISTRY=Mg_8_Al_2_(OH)_18_(SO_4_)_2_&#183;12H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Pale bluish-green massive associated with calcite and magnetite. Can't verify it, so we made it non-public.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R100051
704.7857, 1.080357
705.2678, 1.668072
705.7499, 2.344559
706.2321, 2.926731
706.7142, 3.350914
707.1963, 3.383533
707.6784, 2.872086
708.1605, 2.122562
708.6426, 1.710800
709.1248, 1.654728
709.6069, 1.878757
710.0890, 2.813602
710.5711, 3.529850
711.0532, 3.569874
711.5353, 3.271149
712.0175, 3.064499
712.4996, 3.019379
712.9817, 3.024071
713.4638, 3.038967
713.9459, 3.039810
714.4280, 3.042961
714.9102, 3.015778
715.3923, 2.773151
715.8744, 2.268963
716.3565, 1.614513
716.8386, 1.092384
717.3207, 0.7096060
717.8029, 0.5363660
718.2850, 0.8651240
718.7671, 1.045902
719.2492, 0.6746520
719.7313, 0.2362560
720.2134, 0.3559650
720.6956, 1.041107
721.1777, 1.583614
721.6598, 1.462620
722.1419, 1.058594
722.6240, 0.8907090
723.1061, 0.8569600
723.5883, 0.5228580
724.0704, 0.2444530
724.5525, 0.7997820
725.0346, 0.3853760
725.5167, 0.9682120
725.9988, 1.831970
726.4810, 1.839157
726.9631, 1.873589
727.4452, 2.316494
727.9273, 2.605259
728.4094, 2.066383
728.8915, 0.9502940
729.3737, 0.2528950
729.8558, 0.6585810
730.3379, 1.341431
730.8200, 1.374744
731.3021, 0.9856910
731.7842, 0.8393940
732.2664, 1.048397
732.7485, 1.193539
733.2306, 0.8718220
733.7127, 0.3373570
734.1948, 0.6548540
734.6769, 2.743793
735.1591, 4.001068
735.6412, 3.982624
736.1233, 3.567974
736.6054, 2.855770
737.0875, 2.143890
737.5696, 2.012455
738.0518, 2.753300
738.5339, 3.421654
739.0160, 3.053982
739.4981, 2.183880
739.9802, 1.817062
740.4623, 1.977314
740.9445, 2.157063
741.4266, 2.093781
741.9087, 1.957897
742.3908, 2.060673
742.8729, 2.454052
743.3550, 2.867813
743.8372, 3.586700
744.3193, 3.970222
744.8014, 3.393333
745.2835, 2.659828
745.7656, 2.750690
746.2477, 3.760109
746.7299, 4.780235
747.2120, 5.372963
747.6941, 5.678001
748.1762, 5.843231
748.6583, 5.852776
749.1404, 5.561642
749.6226, 4.937080
750.1047, 4.359272
750.5868, 4.270973
751.0689, 4.595581
751.5510, 4.419758
752.0331, 3.159977
752.5153, 2.529285
752.9974, 3.469975
753.4795, 4.535892
753.9616, 4.732800
754.4437, 4.285473
754.9258, 4.047768
755.4080, 4.442074
755.8901, 4.782326
756.3722, 4.255646
756.8543, 3.545486
757.3364, 4.045147
757.8185, 5.589355
758.3007, 6.444000
758.7828, 5.499630
