##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
450.814, 1794.569
451.296, 1867.940
451.778, 1929.600
452.260, 1947.528
452.742, 1931.536
453.224, 1920.424
453.706, 1912.000
454.189, 1923.755
454.671, 1985.379
455.153, 2085.712
455.635, 2175.484
456.117, 2232.735
456.599, 2269.855
457.081, 2311.366
457.563, 2362.864
458.045, 2407.682
458.528, 2448.419
459.010, 2479.584
459.492, 2496.748
459.974, 2500.344
460.456, 2492.905
460.938, 2475.408
461.420, 2449.270
461.902, 2421.969
462.384, 2396.778
462.867, 2362.956
463.349, 2317.654
463.831, 2263.690
464.313, 2203.516
464.795, 2137.579
465.277, 2063.493
465.759, 1972.425
466.241, 1872.985
466.724, 1789.726
467.206, 1726.295
467.688, 1665.762
468.170, 1597.249
468.652, 1523.126
469.134, 1451.721
469.616, 1379.004
470.098, 1315.337
470.581, 1275.560
471.063, 1242.039
471.545, 1181.629
472.027, 1090.797
472.509, 1007.814
472.991, 978.541
473.473, 1008.516
473.955, 1012.659
474.437, 962.582
474.919, 916.224
475.402, 894.424
475.884, 880.703
476.366, 849.971
476.848, 792.897
477.330, 732.822
477.812, 700.017
478.294, 693.119
478.776, 685.901
479.259, 676.812
479.741, 664.351
480.223, 641.979
480.705, 614.605
481.187, 597.792
481.669, 601.136
482.151, 610.039
482.633, 617.871
483.116, 623.812
483.598, 624.212
484.080, 617.439
484.562, 610.535
485.044, 615.131
485.526, 638.135
486.008, 646.946
486.490, 623.398
486.972, 605.966
487.455, 619.295
487.937, 649.312
488.419, 669.036
488.901, 664.961
489.383, 646.792
489.865, 626.543
490.347, 601.721
490.829, 596.748
491.311, 631.033
491.794, 668.449
492.276, 679.292
492.758, 668.323
493.240, 657.833
493.722, 656.972
494.204, 658.158
494.686, 653.146
495.168, 643.699
495.651, 636.812
496.133, 635.112
496.615, 637.953
497.097, 644.762
497.579, 658.708
498.061, 668.645
498.543, 673.098
499.025, 675.292
499.508, 673.364
499.990, 670.844
500.472, 673.982
500.954, 685.930
501.436, 706.335
501.918, 738.930
502.400, 788.464
502.882, 823.265
503.364, 825.503
503.846, 823.530
504.329, 836.816
504.811, 864.700
505.293, 901.542
505.775, 954.392
506.257, 1008.760
506.739, 1047.864
507.221, 1074.908
507.703, 1103.431
508.186, 1137.850
508.668, 1180.307
509.150, 1235.012
509.632, 1308.726
510.114, 1378.606
510.596, 1436.556
511.078, 1498.441
511.560, 1573.786
512.042, 1659.888
512.525, 1748.447
513.007, 1834.214
513.489, 1922.918
513.971, 2031.070
514.453, 2163.569
514.935, 2272.927
515.417, 2318.611
515.899, 2376.212
516.382, 2523.622
516.864, 2738.971
517.346, 2925.855
517.828, 3019.707
518.310, 3102.057
518.792, 3249.463
519.274, 3442.117
