##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
358.5826, 280.3359
359.0647, 263.5547
359.5468, 246.9951
360.0289, 234.0820
360.5110, 223.8799
360.9931, 214.4727
361.4753, 209.9541
361.9574, 202.6074
362.4395, 187.8975
362.9216, 164.5527
363.4037, 139.3330
363.8858, 112.6680
364.3680, 85.62891
364.8501, 59.11523
365.3322, 37.95508
365.8143, 13.06836
366.2964, 18.08789
366.7785, 55.84473
367.2607, 96.45410
367.7428, 139.3984
368.2249, 185.8750
368.7070, 237.0195
369.1891, 295.9434
369.6712, 354.3389
370.1534, 409.7852
370.6355, 464.7227
371.1176, 526.8516
371.5997, 597.7217
372.0818, 673.5254
372.5639, 753.8574
373.0461, 840.4678
373.5282, 926.9414
374.0103, 1012.999
374.4924, 1101.091
374.9745, 1193.631
375.4566, 1292.158
375.9388, 1392.536
376.4209, 1490.745
376.9030, 1589.219
377.3851, 1697.377
377.8672, 1817.541
378.3493, 1946.096
378.8315, 2078.140
379.3136, 2215.227
379.7957, 2357.036
380.2778, 2505.860
380.7599, 2659.253
381.2420, 2815.144
381.7242, 2970.476
382.2063, 3135.139
382.6884, 3313.776
383.1705, 3505.819
383.6526, 3703.520
384.1347, 3905.538
384.6169, 4112.658
385.0990, 4315.892
385.5811, 4520.209
386.0632, 4731.913
386.5453, 4955.392
387.0274, 5188.122
387.5096, 5421.973
387.9917, 5655.827
388.4738, 5898.927
388.9559, 6156.273
389.4380, 6421.326
389.9201, 6687.971
390.4023, 6951.657
390.8844, 7216.168
391.3665, 7482.510
391.8486, 7753.104
392.3307, 8026.146
392.8128, 8304.300
393.2950, 8582.086
393.7771, 8857.176
394.2592, 9123.137
394.7413, 9399.226
395.2234, 9699.612
395.7055, 10009.61
396.1877, 10306.76
396.6698, 10578.33
397.1519, 10843.24
397.6340, 11110.39
398.1161, 11381.19
398.5982, 11643.77
399.0804, 11899.47
399.5625, 12145.55
400.0446, 12379.83
400.5267, 12599.97
401.0088, 12814.00
401.4909, 13019.88
401.9731, 13219.82
402.4552, 13418.02
402.9373, 13618.93
403.4194, 13810.58
403.9015, 13986.41
404.3836, 14143.52
404.8658, 14296.93
405.3479, 14447.18
405.8300, 14591.38
406.3121, 14724.33
406.7942, 14843.59
407.2763, 14961.30
407.7585, 15085.30
408.2406, 15212.71
408.7227, 15317.59
409.2048, 15396.87
409.6869, 15471.61
410.1690, 15561.13
410.6512, 15661.31
411.1333, 15759.79
411.6154, 15855.46
412.0975, 15947.75
412.5796, 16036.37
413.0617, 16122.38
413.5439, 16211.24
414.0260, 16312.25
414.5081, 16416.80
414.9902, 16509.81
415.4723, 16590.78
415.9544, 16671.22
416.4366, 16762.17
416.9187, 16857.98
417.4008, 16948.91
417.8829, 17036.44
418.3650, 17114.27
418.8471, 17177.34
419.3293, 17226.27
419.8114, 17273.13
420.2935, 17326.53
420.7756, 17378.06
421.2577, 17420.51
421.7398, 17456.83
422.2220, 17479.23
422.7041, 17488.88
423.1862, 17483.18
423.6683, 17458.46
424.1504, 17407.18
424.6325, 17342.37
425.1147, 17268.67
425.5968, 17186.05
426.0789, 17089.30
426.5610, 16968.90
427.0431, 16843.00
427.5252, 16728.19
428.0074, 16631.89
428.4895, 16528.42
428.9716, 16412.90
429.4537, 16289.86
429.9358, 16175.05
430.4179, 16069.52
430.9001, 15968.58
431.3822, 15870.79
431.8643, 15776.14
432.3464, 15681.99
432.8285, 15585.02
433.3106, 15499.52
433.7928, 15449.28
434.2749, 15430.69
434.7570, 15413.64
435.2391, 15390.67
435.7212, 15362.33
436.2033, 15334.28
436.6855, 15305.29
437.1676, 15260.54
437.6497, 15194.53
438.1318, 15104.86
438.6139, 14988.78
439.0960, 14847.07
439.5782, 14674.85
440.0603, 14470.99
440.5424, 14232.53
441.0245, 13957.54
441.5066, 13635.22
441.9887, 13281.79
442.4709, 12914.79
442.9530, 12532.95
443.4351, 12097.56
443.9172, 11572.23
444.3993, 11002.61
444.8814, 10428.75
445.3636, 9855.970
445.8457, 9274.811
446.3278, 8672.924
446.8099, 8064.441
447.2920, 7468.311
447.7741, 6879.966
448.2563, 6305.776
448.7384, 5757.239
449.2205, 5229.392
449.7026, 4723.551
450.1847, 4241.840
450.6668, 3786.889
451.1490, 3362.051
451.6311, 2964.699
452.1132, 2604.107
452.5953, 2278.217
453.0774, 1989.849
453.5595, 1729.641
454.0417, 1496.242
454.5238, 1295.449
455.0059, 1128.666
455.4880, 996.1592
455.9701, 893.5020
