##NAMES=Lefontite
##RRUFFID=R140074
##IDEAL CHEMISTRY=Fe^2+^_2_Al_2_Be(PO_4_)_2_(OH)_6_
##LOCALITY=Galiléia, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Reddish brown elongated crystals (to be named as lefontite, with the ideal formula Fe2Al2Be(PO4)2.(OH)6). Associated with ushkovite (R060954), atencioite, rockbridgeite, and albite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140074
##MEASURED CHEMISTRY=(Fe_1.02_Mn_0.81_Ca_0.13_Mg_0.04_)_Σ=2.00_Al_1.99_(Be_1.02_Li_0.08_)(P_0.99_O_4_)_2_(OH)_6_. The BeO and Li2O contents were taken from R140428, which were determined by ICP-MS.
594.5594, 136.2251
595.0415, 135.4282
595.5236, 135.1847
596.0057, 135.3470
596.4879, 136.1400
596.9700, 137.1901
597.4521, 137.6413
597.9342, 136.6947
598.4163, 135.5379
598.8984, 134.8506
599.3806, 134.5667
599.8627, 134.1796
600.3448, 133.3629
600.8269, 132.5685
601.3090, 132.1310
601.7911, 132.3441
602.2733, 131.6589
602.7554, 129.8273
603.2375, 127.4771
603.7196, 125.0507
604.2017, 122.4824
604.6838, 120.7281
605.1660, 119.9235
605.6481, 119.4598
606.1302, 118.5663
606.6123, 117.2203
607.0944, 115.2728
607.5765, 112.1964
608.0587, 108.9406
608.5408, 106.7378
609.0229, 105.3201
609.5050, 103.6379
609.9871, 100.8647
610.4692, 97.90576
610.9514, 95.32288
611.4335, 93.14478
611.9156, 90.94812
612.3977, 88.55627
612.8798, 86.18243
613.3619, 84.04413
613.8441, 82.45734
614.3262, 80.22070
614.8083, 77.09497
615.2904, 73.63940
615.7725, 70.54279
616.2546, 67.81451
616.7368, 65.37415
617.2189, 63.13837
617.7010, 61.25085
618.1831, 60.27130
618.6652, 59.96429
619.1473, 59.36536
619.6295, 57.60895
620.1116, 55.61823
620.5937, 54.49487
621.0758, 54.05481
621.5579, 53.31787
622.0400, 51.19238
622.5222, 49.14172
623.0043, 48.18323
623.4864, 48.67841
623.9685, 48.67749
624.4506, 47.24744
624.9327, 45.87805
625.4149, 45.66760
625.8970, 47.24023
626.3791, 48.05365
626.8612, 47.83917
627.3433, 47.15826
627.8254, 46.68243
628.3076, 46.41589
628.7897, 46.52838
629.2718, 47.28687
629.7539, 48.07684
630.2360, 47.57471
630.7181, 46.21722
631.2003, 45.39911
631.6824, 46.33405
632.1645, 47.68121
632.6466, 48.40399
633.1287, 48.58112
633.6108, 48.84473
634.0930, 49.46240
634.5751, 50.17828
635.0572, 50.78204
635.5393, 51.13922
636.0214, 52.12885
636.5035, 54.47809
636.9857, 56.56567
637.4678, 56.89618
637.9499, 55.12689
638.4320, 54.12274
638.9141, 54.17371
639.3962, 54.71979
639.8784, 55.17224
640.3605, 55.51660
640.8426, 55.60004
641.3247, 55.12860
641.8068, 54.86261
642.2889, 55.94141
642.7711, 57.85681
643.2532, 59.46057
643.7353, 60.24438
644.2174, 60.59869
644.6995, 60.42596
645.1816, 59.86066
645.6638, 59.72290
646.1459, 60.70972
646.6280, 61.55780
647.1101, 61.83881
647.5922, 61.53149
648.0743, 60.99194
648.5565, 60.10553
649.0386, 59.28583
649.5207, 58.92291
650.0028, 58.96289
650.4849, 58.99896
650.9670, 59.00598
651.4492, 58.99524
651.9313, 59.25934
652.4134, 59.46771
652.8955, 58.93079
653.3776, 57.13434
653.8597, 55.29578
654.3419, 54.28302
654.8240, 53.69629
655.3061, 52.95251
655.7882, 51.86249
656.2703, 50.65704
656.7524, 49.24188
657.2346, 47.76013
657.7167, 46.65601
658.1988, 46.10333
658.6809, 45.54767
659.1630, 44.77789
659.6451, 43.84595
660.1273, 43.08984
660.6094, 42.48682
661.0915, 41.87622
661.5736, 41.09973
662.0557, 40.22107
662.5378, 39.36652
663.0200, 38.53705
663.5021, 37.69696
663.9842, 36.90649
664.4663, 36.04114
664.9484, 34.94189
665.4305, 33.45471
665.9127, 32.10376
666.3948, 31.07788
666.8769, 30.23975
667.3590, 29.43805
667.8411, 28.71997
668.3232, 27.99304
668.8054, 27.31665
669.2875, 26.58405
669.7696, 25.56238
670.2517, 24.24628
670.7338, 22.96045
671.2159, 21.80621
671.6981, 20.73730
672.1802, 19.57672
