##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=CdAg_5.5_Pb_12_Sb_21.5_S_48_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
393.8567, 6.200202
394.3388, 5.542912
394.8209, 4.801745
395.3030, 4.326097
395.7851, 4.240343
396.2672, 4.478477
396.7494, 4.968436
397.2315, 5.923442
397.7136, 6.607567
398.1957, 6.805892
398.6778, 6.849051
399.1599, 7.047935
399.6420, 7.408102
400.1241, 7.680088
400.6063, 7.619380
401.0884, 7.210199
401.5705, 6.989655
402.0526, 7.095017
402.5347, 7.207424
403.0168, 7.203045
403.4990, 7.146810
403.9811, 7.160955
404.4632, 7.305311
404.9453, 7.525263
405.4274, 7.700807
405.9095, 7.921900
406.3917, 7.926429
406.8738, 7.335169
407.3559, 6.815390
407.8380, 6.983590
408.3201, 7.817346
408.8022, 8.711476
409.2844, 9.029780
409.7665, 8.719942
410.2486, 8.610076
410.7307, 8.858809
411.2128, 9.153066
411.6949, 9.554578
412.1771, 9.909877
412.6592, 9.909065
413.1413, 9.329006
413.6234, 8.548559
414.1055, 8.431734
414.5876, 9.316409
415.0698, 9.887549
415.5519, 9.355661
416.0340, 8.699272
416.5161, 8.761751
416.9982, 9.590590
417.4803, 10.26466
417.9625, 9.721335
418.4446, 8.179937
418.9267, 7.319653
419.4088, 7.622130
419.8909, 8.049685
420.3730, 7.934187
420.8552, 7.465147
421.3373, 6.980393
421.8194, 6.566430
422.3015, 6.179259
422.7836, 5.632771
423.2657, 4.923817
423.7479, 4.624924
424.2300, 5.251379
424.7121, 6.283412
425.1942, 6.849334
425.6763, 6.879174
426.1584, 6.775197
426.6406, 6.751523
427.1227, 6.669475
427.6048, 6.155585
428.0869, 5.112416
428.5690, 4.245340
429.0511, 4.385370
429.5333, 5.506239
430.0154, 5.751972
430.4975, 4.218548
430.9796, 2.696271
431.4617, 2.247375
431.9438, 2.565848
432.4260, 2.905559
432.9081, 2.920307
433.3902, 2.742540
433.8723, 2.673193
434.3544, 2.741896
434.8365, 2.824889
435.3187, 2.861496
435.8008, 2.943095
436.2829, 3.179523
436.7650, 3.549111
437.2471, 3.932493
437.7292, 4.253353
438.2114, 4.531025
438.6935, 4.485633
439.1756, 3.278380
439.6577, 2.649505
