##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCuSiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
211.6788, 874.6033
212.1609, 859.2933
212.6430, 857.4517
213.1251, 873.5760
213.6072, 896.6477
214.0894, 914.7109
214.5715, 924.3796
215.0536, 938.3323
215.5357, 958.3950
216.0178, 984.4380
216.4999, 1020.833
216.9820, 1070.316
217.4642, 1126.248
217.9463, 1182.480
218.4284, 1239.905
218.9105, 1294.212
219.3926, 1347.897
219.8747, 1403.070
220.3569, 1434.318
220.8390, 1438.574
221.3211, 1421.545
221.8032, 1391.278
222.2853, 1351.040
222.7674, 1291.337
223.2496, 1206.465
223.7317, 1090.335
224.2138, 976.7635
224.6959, 856.7288
225.1780, 745.5068
225.6601, 664.7063
226.1423, 626.9812
226.6244, 597.7124
227.1065, 564.8138
227.5886, 522.8643
228.0707, 499.0129
228.5528, 497.6838
229.0350, 511.3293
229.5171, 527.3754
229.9992, 546.4827
230.4813, 564.0430
230.9634, 575.6731
231.4455, 573.5574
231.9276, 595.0879
232.4098, 649.7003
232.8919, 723.7828
233.3740, 789.2421
233.8561, 845.0532
234.3382, 893.8452
234.8203, 934.2572
235.3025, 958.8848
235.7846, 995.9780
236.2667, 1048.134
236.7488, 1111.825
237.2309, 1179.444
237.7130, 1252.207
238.1952, 1325.970
238.6773, 1400.214
239.1594, 1478.443
239.6415, 1547.851
240.1236, 1609.866
240.6057, 1663.108
241.0879, 1706.293
241.5700, 1744.362
242.0521, 1764.318
242.5342, 1759.624
243.0163, 1723.175
243.4984, 1678.523
243.9806, 1621.956
244.4627, 1556.682
244.9448, 1492.012
245.4269, 1427.831
245.9090, 1365.141
246.3911, 1303.256
246.8732, 1239.255
247.3554, 1185.954
247.8375, 1148.887
248.3196, 1120.834
248.8017, 1083.785
249.2838, 1029.491
249.7659, 979.6592
250.2481, 944.8406
250.7302, 934.6731
251.2123, 915.9199
251.6944, 884.6179
252.1765, 846.3804
252.6586, 814.1763
253.1408, 790.3647
253.6229, 768.9502
254.1050, 748.3429
254.5871, 732.4468
255.0692, 706.3844
255.5513, 661.0957
256.0334, 609.2197
256.5156, 581.7896
256.9977, 587.2876
257.4798, 602.4990
257.9619, 617.6067
258.4440, 631.8119
258.9261, 648.8870
259.4083, 671.2837
259.8904, 695.4669
260.3725, 711.1038
260.8546, 712.1326
261.3367, 716.5825
261.8188, 735.5266
262.3010, 778.5710
262.7831, 804.3481
263.2652, 807.7036
263.7473, 796.6210
264.2294, 789.5216
264.7115, 788.7773
265.1937, 786.7600
265.6758, 780.0701
266.1579, 768.2693
266.6400, 753.2205
267.1221, 732.2151
267.6042, 710.2920
268.0864, 698.5693
268.5685, 698.4062
269.0506, 704.6143
269.5327, 715.1089
270.0148, 729.8486
270.4969, 751.5249
270.9791, 785.8138
271.4612, 821.3190
271.9433, 834.2897
272.4254, 821.6849
272.9075, 797.8427
273.3896, 766.3958
273.8718, 726.3757
274.3539, 690.1486
274.8360, 659.9463
275.3181, 629.9884
275.8002, 589.6230
276.2823, 537.8750
276.7645, 480.5126
277.2466, 414.3550
277.7287, 337.9274
278.2108, 281.2831
278.6929, 249.3356
279.1750, 227.2271
279.6572, 188.4958
280.1393, 130.3276
280.6214, 79.05859
281.1035, 48.20789
281.5856, 28.76678
282.0677, 29.35047
282.5499, 26.37634
283.0320, 20.09274
283.5141, -2.390294
283.9962, -1.681823
284.4783, -8.878387
284.9604, -15.44757
285.4425, -8.639126
285.9247, -23.66261
286.4068, -15.06642
286.8889, -14.51075
287.3710, -8.829236
287.8531, -11.10747
288.3352, -9.628767
288.8174, 1.797207
289.2995, 9.255985
289.7816, 9.915009
290.2637, 21.81116
290.7458, 16.39453
291.2279, 28.03257
291.7101, 47.59469
292.1922, 74.43530
292.6743, 106.3198
293.1564, 133.6973
293.6385, 148.5626
294.1206, 149.8308
294.6028, 151.7328
295.0849, 168.3600
295.5670, 197.4771
296.0491, 231.2311
296.5312, 270.1659
297.0133, 310.1840
297.4955, 343.7970
297.9776, 370.5220
298.4597, 392.5933
298.9418, 407.4658
299.4239, 418.6753
299.9060, 434.5531
300.3882, 457.6771
300.8703, 486.5245
301.3524, 520.9648
301.8345, 560.3573
302.3166, 598.3315
302.7987, 630.6438
303.2809, 658.2542
303.7630, 684.3967
304.2451, 713.7446
304.7272, 736.4891
305.2093, 739.0815
305.6914, 723.7725
306.1736, 703.3799
306.6557, 693.6400
307.1378, 680.8499
307.6199, 645.0815
308.1020, 570.0996
308.5841, 491.2339
309.0663, 435.2126
309.5484, 398.2363
310.0305, 370.1340
310.5126, 354.5435
310.9947, 339.9176
311.4768, 313.7805
311.9590, 267.4945
312.4411, 224.3513
312.9232, 202.1642
313.4053, 194.3696
313.8874, 185.7482
314.3695, 164.5295
314.8517, 143.1178
315.3337, 130.9012
315.8159, 132.0487
316.2980, 133.4318
316.7801, 130.4121
317.2622, 123.7444
317.7443, 114.7147
318.2264, 98.97705
318.7086, 84.97644
319.1907, 76.98694
319.6728, 76.16052
320.1549, 77.91516
320.6370, 81.92896
321.1191, 87.51685
321.6013, 93.82275
322.0834, 98.69080
322.5655, 105.9341
323.0476, 117.3414
323.5297, 133.4460
324.0118, 149.7839
324.4940, 169.3402
324.9761, 187.1948
325.4582, 198.6702
325.9403, 195.6047
326.4224, 194.0389
326.9045, 197.9208
327.3867, 207.5883
327.8688, 215.1824
328.3509, 215.6899
328.8330, 217.0122
329.3151, 225.2683
329.7972, 258.0638
330.2794, 274.1018
330.7615, 259.6774
331.2436, 220.0763
331.7257, 201.3226
332.2078, 214.8445
332.6899, 236.7217
333.1721, 253.1791
333.6542, 261.8646
334.1363, 269.7119
334.6184, 277.0555
335.1005, 283.8890
