##NAMES=Romerite
##RRUFFID=R060820
##IDEAL CHEMISTRY=Fe^2+^Fe^3+^_2_(SO_4_)_4_&#183;14H_2_O
##LOCALITY=Alcaparrosa mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Reddish-brown isolated grains associated with copiapite, R060821
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060820
508.1800, 1382.086
508.6620, 1321.094
509.1440, 1253.101
509.6260, 1178.647
510.1080, 1104.366
510.5910, 1030.699
511.0730, 960.1851
511.5550, 903.6235
512.0370, 862.1719
512.5190, 817.7271
513.0010, 741.7822
513.4830, 654.5601
513.9660, 588.4473
514.4480, 564.4639
514.9300, 547.4048
515.4120, 515.3345
515.8940, 472.6182
516.3760, 431.9482
516.8580, 398.5493
517.3400, 366.8438
517.8220, 333.7490
518.3050, 298.0483
518.7870, 265.7847
519.2690, 232.2578
519.7510, 205.7285
520.2330, 194.8774
520.7150, 218.4370
521.1970, 222.2939
521.6790, 193.9209
522.1610, 145.7188
522.6440, 94.72998
523.1260, 118.2075
523.6080, 123.5762
524.0900, 111.8115
524.5720, 31.67529
525.0540, 39.76855
525.5360, 12.44629
526.0180, 16.34131
526.5000, 4.067383
526.9830, 66.29102
527.4650, 46.74512
527.9470, 63.14893
528.4290, 63.18408
528.9110, 106.1953
529.3930, 85.29980
529.8750, 64.78906
530.3570, 54.86816
530.8390, 52.92676
531.3220, 57.83545
531.8040, 69.43164
532.2860, 86.90576
532.7680, 119.8774
533.2500, 152.4683
533.7320, 172.6377
534.2140, 170.2798
534.6960, 167.5664
535.1790, 166.2783
535.6610, 164.6948
536.1430, 158.3091
536.6250, 140.7886
537.1070, 132.5127
537.5890, 143.7056
538.0710, 171.2031
538.5530, 182.2515
539.0360, 174.1299
539.5180, 161.2383
540.0000, 155.6177
540.4820, 155.4961
540.9640, 151.2939
541.4460, 141.9707
541.9280, 129.1221
542.4100, 111.7930
542.8920, 92.43115
543.3750, 77.07422
543.8570, 69.29541
544.3390, 65.91309
544.8210, 67.63965
545.3030, 72.95654
545.7850, 73.12524
546.2670, 53.52148
546.7490, 35.11377
547.2310, 33.69702
547.7140, 60.46802
548.1960, 76.13574
548.6780, 70.72168
549.1600, 53.86963
549.6420, 34.64526
550.1240, 2.077393
550.6060, 13.10791
551.0880, 0.8803710
551.5700, 30.63574
552.0530, 53.04712
552.5350, 67.03223
553.0170, 70.23047
553.4990, 56.34326
553.9810, 27.98730
554.4630, 9.108154
554.9450, 0.2636720
555.4270, 3.798828
555.9090, 5.793213
556.3920, 7.271973
556.8740, 12.92822
557.3560, 26.73486
557.8380, 39.23071
558.3200, 36.12964
558.8020, 25.12183
559.2840, 23.59668
559.7660, 48.31543
560.2490, 76.20605
560.7310, 97.93896
561.2130, 112.9534
561.6950, 120.5054
562.1770, 104.3059
562.6590, 92.61060
563.1410, 103.6274
563.6230, 157.7581
564.1060, 190.3625
564.5880, 187.4202
565.0700, 175.0947
565.5520, 193.8428
566.0340, 250.6345
566.5160, 306.3582
566.9980, 357.4526
567.4800, 397.6296
567.9630, 401.8025
568.4450, 370.8662
568.9270, 336.8374
569.4090, 318.3142
569.8910, 310.7532
570.3730, 304.0232
570.8550, 297.1614
571.3370, 297.6753
571.8190, 317.8728
572.3020, 346.2188
572.7840, 368.4807
573.2660, 375.4248
573.7480, 383.5840
574.2300, 398.3242
574.7120, 418.7092
575.1940, 442.6460
575.6760, 482.1895
576.1580, 511.9036
576.6410, 521.3469
577.1230, 510.8320
577.6050, 510.8904
578.0870, 523.0935
578.5690, 543.0950
579.0510, 572.2327
579.5330, 611.6675
580.0150, 635.1296
580.4970, 636.5994
580.9800, 635.8423
581.4620, 662.4907
581.9440, 710.6895
582.4260, 756.1726
582.9080, 789.5708
583.3900, 817.3083
583.8720, 845.1233
584.3540, 873.4426
584.8360, 901.2119
