##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
309.8888, 8458.854
310.3709, 8335.183
310.8530, 8147.604
311.3351, 7924.816
311.8173, 7683.398
312.2994, 7411.141
312.7815, 7152.650
313.2636, 6927.502
313.7457, 6736.055
314.2278, 6578.092
314.7100, 6457.459
315.1921, 6370.039
315.6742, 6310.779
316.1563, 6277.229
316.6384, 6285.525
317.1205, 6358.988
317.6027, 6474.226
318.0848, 6601.398
318.5669, 6759.555
319.0490, 6902.558
319.5311, 7005.266
320.0132, 7065.040
320.4954, 7126.097
320.9775, 7228.344
321.4596, 7323.368
321.9417, 7368.256
322.4238, 7361.544
322.9059, 7296.389
323.3881, 7169.164
323.8702, 6981.359
324.3523, 6739.854
324.8344, 6409.936
325.3165, 6050.648
325.7986, 5694.084
326.2808, 5344.826
326.7629, 4996.434
327.2450, 4640.201
327.7271, 4282.632
328.2092, 3947.875
328.6913, 3626.384
329.1735, 3336.834
329.6556, 3080.948
330.1377, 2854.299
330.6198, 2669.685
331.1019, 2533.032
331.5840, 2436.818
332.0662, 2363.882
332.5483, 2307.979
333.0304, 2283.936
333.5125, 2298.879
333.9946, 2356.651
334.4767, 2431.741
334.9589, 2523.290
335.4410, 2631.807
335.9231, 2757.725
336.4052, 2898.680
336.8873, 3061.557
337.3694, 3252.734
337.8516, 3469.603
338.3336, 3676.864
338.8158, 3869.445
339.2979, 4064.918
339.7800, 4286.607
340.2621, 4537.635
340.7442, 4782.426
341.2263, 5006.311
341.7085, 5220.879
342.1906, 5455.772
342.6727, 5715.851
343.1548, 5978.600
343.6369, 6238.953
344.1190, 6493.583
344.6012, 6723.697
345.0833, 6922.766
345.5654, 7101.213
346.0475, 7274.572
346.5296, 7442.117
347.0117, 7606.455
347.4939, 7779.982
347.9760, 7950.293
348.4581, 8079.012
348.9402, 8161.773
349.4223, 8213.992
349.9044, 8252.009
350.3866, 8274.986
350.8687, 8281.399
351.3508, 8273.034
351.8329, 8246.061
352.3150, 8190.532
352.7971, 8107.430
353.2793, 8016.511
353.7614, 7931.652
354.2435, 7846.232
354.7256, 7748.914
355.2077, 7631.619
355.6898, 7509.334
356.1720, 7395.740
356.6541, 7286.277
357.1362, 7167.187
357.6183, 7013.828
358.1004, 6856.048
358.5826, 6720.391
359.0647, 6614.178
359.5468, 6521.003
360.0289, 6443.332
360.5110, 6372.736
360.9931, 6291.762
361.4753, 6180.211
361.9574, 6068.860
362.4395, 5972.315
362.9216, 5891.759
363.4037, 5819.816
363.8858, 5761.981
364.3680, 5708.778
364.8501, 5650.180
365.3322, 5582.703
365.8143, 5513.590
366.2964, 5451.487
366.7785, 5396.078
367.2607, 5318.468
367.7428, 5193.151
368.2249, 5056.887
368.7070, 4933.490
369.1891, 4847.103
369.6712, 4746.745
370.1534, 4625.688
370.6355, 4487.587
371.1176, 4346.471
371.5997, 4201.971
372.0818, 4053.906
372.5639, 3899.734
373.0461, 3734.826
373.5282, 3574.501
374.0103, 3419.047
374.4924, 3263.650
374.9745, 3101.916
375.4566, 2928.480
375.9388, 2761.730
376.4209, 2609.147
376.9030, 2468.350
377.3851, 2334.127
377.8672, 2203.647
378.3493, 2083.491
378.8315, 1983.535
379.3136, 1903.229
379.7957, 1830.646
380.2778, 1763.419
380.7599, 1701.980
381.2420, 1641.291
381.7242, 1582.707
382.2063, 1536.231
382.6884, 1513.701
383.1705, 1509.486
383.6526, 1504.497
384.1347, 1494.836
384.6169, 1491.318
385.0990, 1513.878
385.5811, 1555.595
386.0632, 1594.625
386.5453, 1620.552
387.0274, 1637.974
387.5096, 1650.019
387.9917, 1657.021
388.4738, 1667.028
388.9559, 1694.590
389.4380, 1727.151
389.9201, 1747.896
390.4023, 1748.640
390.8844, 1739.798
391.3665, 1727.593
391.8486, 1711.344
392.3307, 1689.649
392.8128, 1659.200
393.2950, 1624.582
393.7771, 1587.924
394.2592, 1549.274
394.7413, 1509.323
395.2234, 1470.656
395.7055, 1430.555
396.1877, 1384.892
396.6698, 1324.711
397.1519, 1266.455
397.6340, 1216.363
398.1161, 1176.132
398.5982, 1131.284
399.0804, 1080.920
399.5625, 1025.939
400.0446, 967.0039
400.5267, 901.9883
401.0088, 836.4355
401.4909, 771.8818
401.9731, 707.8691
402.4552, 643.7959
402.9373, 579.8252
403.4194, 515.6387
403.9015, 449.6660
404.3836, 379.0342
404.8658, 318.4521
405.3479, 271.8350
405.8300, 230.7734
