##NAMES=Kosmochlor
##RRUFFID=R120015
##IDEAL CHEMISTRY=NaCrSi_2_O_6_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=George Harlow
##DESCRIPTION=Green fragments. Sample was synthesized by Harlow (1997) and used in the Origlieri et al (2003) study
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R120015
##MEASURED CHEMISTRY=Na_1.00_(Cr_0.99_Fe^3+^_0.01_)Si_2.00_O_6_ ;after normalization to four total cations, using data of Harlow (1997).
384.5833, 17.91679
385.0655, 16.47379
385.5476, 14.53564
386.0297, 12.32750
386.5118, 10.75112
386.9939, 10.55099
387.4760, 11.05517
387.9582, 11.31876
388.4403, 11.36624
388.9224, 11.48560
389.4045, 11.77848
389.8866, 12.27624
390.3687, 13.05059
390.8509, 13.99306
391.3330, 15.37979
391.8151, 17.53835
392.2972, 20.35250
392.7793, 23.39120
393.2614, 26.46082
393.7436, 29.66390
394.2257, 33.15512
394.7078, 37.03455
395.1899, 40.89637
395.6720, 44.42944
396.1541, 47.88771
396.6363, 51.67200
397.1184, 55.80975
397.6005, 60.35373
398.0826, 65.39360
398.5647, 70.98428
399.0468, 76.85838
399.5290, 82.65758
400.0111, 88.84753
400.4932, 95.82920
400.9753, 103.5648
401.4574, 112.2155
401.9395, 121.8121
402.4217, 132.2943
402.9038, 143.2450
403.3859, 154.6196
403.8680, 166.5051
404.3501, 179.0334
404.8322, 192.1601
405.3144, 205.8749
405.7965, 220.3700
406.2786, 235.0262
406.7607, 249.2138
407.2428, 263.2714
407.7249, 275.1771
408.2071, 284.7757
408.6892, 291.7189
409.1713, 292.8642
409.6534, 287.7713
410.1355, 279.3424
410.6176, 268.3966
411.0998, 255.7011
411.5819, 245.9219
412.0640, 239.9692
412.5461, 237.4239
413.0282, 237.9745
413.5103, 241.4816
413.9925, 246.8249
414.4746, 254.6535
414.9567, 263.5172
415.4388, 271.4841
415.9209, 278.5992
416.4030, 283.6677
416.8852, 287.4676
417.3673, 288.3229
417.8494, 283.5991
418.3315, 270.4065
418.8136, 252.8776
419.2957, 231.9671
419.7779, 208.3526
420.2600, 184.9851
420.7421, 162.2625
421.2242, 140.9856
421.7063, 122.2949
422.1884, 106.2244
422.6706, 92.33170
423.1527, 80.81965
423.6348, 71.27081
424.1169, 62.82432
424.5990, 55.47492
425.0811, 48.98200
425.5633, 43.30801
426.0454, 38.45091
426.5275, 34.31124
427.0096, 31.16018
427.4917, 28.46542
427.9738, 25.76024
428.4560, 22.85229
428.9381, 20.35703
429.4202, 18.43684
429.9023, 16.98716
430.3844, 15.54905
430.8665, 14.10130
431.3487, 12.75287
431.8308, 11.61288
432.3129, 10.70363
432.7950, 9.591003
433.2771, 8.179337
433.7592, 6.825089
434.2414, 6.105988
434.7235, 5.959953
435.2056, 5.604038
435.6877, 4.621655
436.1698, 3.396713
436.6519, 2.779938
437.1341, 2.748734
437.6162, 2.850994
438.0983, 2.912140
438.5804, 2.842613
439.0625, 2.400646
439.5446, 1.425694
440.0268, 0.4881900
440.5089, 0.1593020
440.9910, 0.2398830
441.4731, 0.3277020
441.9552, 0.2682720
442.4373, 0.1340180
442.9195, 0.1006240
443.4016, 0.4272460
443.8837, 0.6028370
444.3658, 0.2829970
444.8479, 9.0365998E-02
445.3300, 0.1600380
445.8122, 0.5182570
446.2943, 1.015335
446.7764, 1.067924
447.2585, 0.8267970
447.7406, 0.6768650
448.2227, 0.7126580
448.7049, 0.7739260
449.1870, 0.8039700
449.6691, 0.7807310
450.1512, 0.8661800
450.6333, 1.166199
451.1154, 1.456558
451.5976, 1.502949
452.0797, 1.227074
452.5618, 0.9602550
453.0439, 0.7477230
453.5260, 0.5782780
454.0081, 0.3474920
454.4903, 1.1395000E-02
454.9724, 0.1004070
455.4545, 0.4007840
455.9366, 1.379494
456.4187, 1.820328
456.9008, 1.620731
457.3830, 1.259289
457.8651, 1.329643
458.3472, 1.707420
458.8293, 1.991028
459.3114, 2.075508
459.7935, 1.981098
460.2757, 1.625862
460.7578, 1.069485
461.2399, 0.6053960
461.7220, 0.4766650
462.2041, 0.4915050
462.6862, 0.4557080
463.1684, 0.3130040
463.6505, 0.2439730
464.1326, 0.4704250
464.6147, 0.7855030
465.0968, 0.9247860
465.5789, 0.6341130
466.0611, 0.3288840
466.5432, 0.1554180
467.0253, 9.8880999E-02
467.5074, 3.7765998E-02
467.9895, 0.5648610
468.4716, 0.9436800
468.9538, 0.8260190
469.4359, 0.4278790
469.9180, 0.7159310
470.4001, 0.5346530
470.8822, 2.353630
471.3643, 3.238110
471.8465, 2.874760
472.3286, 2.476719
472.8107, 2.327000
473.2928, 2.397377
473.7749, 2.529995
474.2570, 2.726364
474.7392, 2.972965
475.2213, 3.251156
475.7034, 3.566589
476.1855, 3.982674
476.6676, 4.532757
477.1497, 5.096085
477.6319, 5.375431
478.1140, 5.501385
478.5961, 5.900303
479.0782, 7.084969
479.5603, 8.437981
480.0424, 9.173714
480.5246, 9.360764
481.0067, 9.533951
481.4888, 9.979111
481.9709, 10.58713
482.4530, 11.29280
482.9352, 12.16270
483.4173, 12.92772
483.8994, 13.44769
484.3815, 13.80452
484.8636, 14.11817
485.3457, 14.84100
485.8279, 15.08863
486.3100, 14.35456
486.7921, 12.63398
487.2742, 11.45297
487.7563, 11.19707
488.2384, 11.07917
488.7206, 10.63851
489.2027, 9.661587
489.6848, 8.960804
490.1669, 8.624481
490.6490, 8.483170
491.1311, 8.281605
491.6133, 8.020359
492.0954, 7.686615
492.5775, 7.166264
493.0596, 6.599514
493.5417, 6.610191
494.0238, 7.205303
494.5060, 7.825859
494.9881, 7.970482
495.4702, 7.823662
495.9523, 7.855457
496.4344, 8.139572
496.9165, 8.539177
497.3987, 8.985279
497.8808, 9.444416
498.3629, 9.843441
498.8450, 10.06603
499.3271, 10.29580
499.8092, 10.58089
500.2914, 10.94727
500.7735, 11.50805
501.2556, 12.43446
501.7377, 13.48859
502.2198, 14.52552
502.7019, 15.42056
503.1841, 16.59791
503.6662, 18.25822
504.1483, 20.12159
504.6304, 21.83020
505.1125, 22.98479
505.5946, 24.64193
506.0768, 27.07804
506.5589, 30.14980
507.0410, 33.16066
507.5231, 36.00687
508.0052, 39.07280
508.4873, 42.63761
508.9695, 46.65932
509.4516, 50.83856
509.9337, 55.22068
510.4158, 59.65955
510.8979, 63.60287
511.3800, 67.35341
511.8622, 72.18463
512.3443, 78.72892
512.8264, 86.09325
513.3085, 93.04040
513.7906, 99.77686
514.2728, 107.1858
514.7549, 115.9788
515.2370, 125.5763
515.7191, 135.3764
516.2012, 145.3369
516.6833, 155.9764
517.1655, 167.8630
517.6476, 180.4933
518.1297, 193.4524
518.6118, 207.0443
519.0939, 220.4993
519.5760, 234.8924
520.0582, 248.8955
520.5403, 260.0537
521.0224, 269.2181
521.5045, 274.2081
521.9866, 274.3948
522.4688, 269.7399
522.9509, 260.7243
523.4330, 246.7909
523.9151, 229.7956
524.3972, 210.0228
524.8793, 187.4550
525.3615, 166.5576
525.8436, 147.5036
526.3257, 130.4526
526.8078, 116.1366
527.2899, 104.2257
527.7720, 93.78903
528.2542, 84.76460
528.7363, 77.01823
529.2184, 70.51229
529.7005, 65.19492
530.1826, 60.45941
530.6647, 55.81612
531.1469, 51.69198
531.6290, 48.37394
532.1111, 45.93390
532.5932, 44.27624
533.0753, 43.79561
533.5574, 43.88766
534.0396, 43.93334
534.5217, 43.15274
535.0038, 43.10927
535.4859, 44.00333
535.9680, 45.78251
536.4501, 48.37164
536.9323, 52.03111
537.4144, 56.03693
537.8965, 59.99395
538.3786, 63.86519
538.8607, 68.77729
539.3428, 74.84666
539.8250, 81.46369
540.3071, 87.80283
540.7892, 93.90963
541.2713, 101.1394
541.7534, 109.7190
542.2355, 119.2752
542.7177, 129.1890
543.1998, 139.6708
543.6819, 151.1406
544.1640, 164.4234
544.6461, 178.1675
545.1282, 190.9547
545.6104, 202.9655
546.0925, 215.6522
546.5746, 230.4812
547.0567, 245.6859
547.5388, 259.5359
548.0209, 270.2636
548.5031, 284.7879
548.9852, 306.6316
549.4673, 332.0815
549.9494, 357.3857
550.4315, 384.1353
550.9136, 408.2784
551.3958, 430.5344
551.8779, 449.6914
552.3600, 462.1926
552.8421, 468.3880
553.3242, 467.0628
553.8063, 457.2499
554.2885, 439.3068
554.7706, 414.8235
555.2527, 383.4184
555.7348, 349.5920
556.2169, 314.3525
556.6990, 279.9595
557.1812, 251.6507
557.6633, 230.7336
558.1454, 214.1917
558.6275, 200.2404
559.1096, 188.5226
559.5917, 178.1013
560.0739, 168.4977
560.5560, 160.3651
561.0381, 154.1747
561.5202, 149.8279
562.0023, 146.6192
562.4844, 145.5353
562.9666, 144.5444
563.4487, 142.9060
563.9308, 140.7112
564.4129, 137.4885
564.8950, 133.4494
565.3771, 128.1436
565.8593, 120.9357
566.3414, 111.3739
566.8235, 101.6341
567.3056, 91.67432
567.7877, 81.85436
568.2698, 72.60069
568.7520, 63.86707
569.2341, 56.02411
569.7162, 49.10279
570.1983, 43.14906
570.6804, 38.23114
571.1625, 34.31420
571.6447, 30.98618
572.1268, 28.20242
572.6089, 25.76548
573.0910, 23.53201
573.5731, 21.45470
574.0552, 19.59171
574.5374, 17.96666
575.0195, 16.55198
575.5016, 15.31223
575.9837, 14.30234
576.4658, 13.35692
576.9479, 12.47532
577.4301, 11.63920
577.9122, 10.80185
578.3943, 9.932640
578.8764, 9.092064
579.3585, 8.283737
579.8406, 7.514824
580.3228, 6.881805
580.8049, 6.429749
581.2870, 5.915207
581.7691, 4.916756
582.2512, 3.636993
582.7333, 3.097549
583.2155, 3.430092
583.6975, 3.929527
584.1796, 4.066437
584.6617, 3.879173
585.1439, 3.386497
585.6260, 2.367683
586.1081, 1.451614
586.5902, 1.116646
587.0723, 1.149200
587.5544, 1.139648
588.0366, 0.9228060
588.5187, 0.6877140
589.0008, 0.4259720
589.4829, 0.1545180
589.9650, 0.1231310
590.4471, 0.5124630
590.9293, 0.9057960
591.4114, 1.122440
591.8935, 1.159966
592.3756, 0.9953990
592.8577, 0.5513500
593.3398, 0.1116640
593.8220, 5.7510000E-02
594.3041, 0.3232230
594.7862, 0.3348010
595.2683, 0.1116710
595.7504, 0.5770760
596.2325, 0.4370730
596.7147, 0.1435090
597.1968, 0.7302700
597.6789, 1.365620
598.1610, 1.748699
598.6431, 1.420078
599.1252, 0.5647770
599.6074, 3.2226998E-02
600.0895, 0.3035090
600.5716, 0.8110960
601.0537, 1.326149
601.5358, 1.845177
602.0179, 2.277664
602.5001, 2.596828
602.9822, 2.855877
603.4643, 3.060894
603.9464, 3.151405
604.4285, 3.436771
604.9106, 3.956139
605.3928, 4.640831
605.8749, 5.475674
606.3570, 6.442543
606.8391, 7.235733
607.3212, 7.636406
607.8033, 7.974556
608.2855, 8.810215
608.7676, 10.03712
609.2497, 11.29529
609.7318, 12.41979
610.2139, 13.45901
610.6960, 14.44394
611.1782, 15.37463
611.6603, 16.20953
612.1424, 17.01562
612.6245, 17.67060
613.1066, 18.11141
613.5887, 18.37878
614.0709, 18.33382
614.5530, 18.00076
615.0351, 17.33241
615.5172, 16.23412
615.9993, 14.62258
616.4814, 12.86947
616.9636, 10.93638
617.4457, 9.028793
617.9278, 7.481300
618.4099, 6.291580
618.8920, 5.426193
619.3741, 5.052872
619.8563, 4.846691
620.3384, 4.243130
620.8205, 3.339077
621.3026, 2.622017
621.7847, 2.576382
622.2668, 2.676323
622.7490, 2.559174
623.2311, 2.182526
623.7132, 1.684780
624.1953, 0.8136860
624.6774, 3.4214001E-02
625.1595, 0.3149410
625.6417, 3.6228001E-02
626.1238, 0.2998430
626.6059, 0.4740030
627.0880, 0.5636940
627.5701, 0.5831300
628.0522, 0.5382270
628.5344, 0.3566970
629.0165, 1.3512000E-02
629.4986, 0.4735680
629.9807, 0.8737030
630.4628, 1.208015
630.9449, 1.431168
631.4271, 1.443783
631.9092, 1.389725
632.3913, 1.471577
632.8734, 1.655891
633.3555, 1.721153
633.8376, 1.434067
634.3198, 1.093140
634.8019, 0.8836820
635.2840, 0.8510280
635.7661, 0.8060070
636.2482, 0.7084200
636.7303, 0.6086880
637.2125, 0.5272750
637.6946, 0.4244840
638.1767, 0.5001340
638.6588, 0.8700450
639.1409, 1.230373
639.6230, 1.046280
640.1052, 0.3593640
640.5873, 0.1924550
641.0694, 0.4361650
641.5515, 0.4836850
642.0336, 0.4158020
642.5157, 0.2775800
642.9979, 0.1985860
643.4800, 0.2699550
643.9621, 0.4018400
644.4442, 0.5700570
644.9263, 0.7584610
645.4084, 0.8821490
645.8906, 0.7633900
646.3727, 0.7046130
646.8548, 0.8977390
647.3369, 1.393787
647.8190, 1.734299
648.3011, 1.876076
648.7833, 1.923756
649.2654, 1.970455
649.7475, 2.027122
650.2296, 1.871456
650.7117, 1.427563
651.1938, 1.018806
651.6760, 0.8726960
652.1581, 1.070435
652.6402, 2.042980
653.1223, 4.422707
653.6044, 6.493446
654.0865, 6.361530
654.5687, 4.891598
655.0508, 3.744953
655.5329, 3.753555
656.0150, 3.965557
656.4971, 4.005402
656.9792, 3.937153
657.4614, 4.146172
657.9435, 4.959023
658.4256, 5.610653
658.9077, 5.790363
659.3898, 5.533054
659.8719, 5.502483
660.3541, 5.691097
660.8362, 6.039894
661.3183, 6.591503
661.8004, 7.272835
662.2825, 7.802135
662.7646, 8.161427
663.2468, 8.464012
663.7289, 8.632160
664.2110, 8.873699
664.6931, 9.520412
665.1752, 10.83742
665.6573, 12.07763
666.1395, 12.76249
666.6216, 13.23867
667.1037, 13.93254
667.5858, 14.90702
668.0679, 16.14577
668.5500, 17.82937
669.0322, 19.73199
669.5143, 21.21700
669.9964, 22.15061
670.4785, 23.30434
670.9606, 24.95434
671.4427, 26.96659
671.9249, 28.92467
672.4070, 30.84436
672.8891, 32.86279
673.3712, 35.08631
673.8533, 37.42368
674.3354, 39.59508
674.8176, 41.66061
675.2997, 44.16978
675.7818, 47.77290
676.2639, 51.59185
