##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
676.2639, 44.19741
676.7460, 41.03116
677.2281, 38.07834
677.7103, 35.36788
678.1924, 32.89582
678.6745, 30.66524
679.1566, 28.66796
679.6387, 26.92653
680.1208, 25.28213
680.6030, 23.70074
681.0851, 22.23603
681.5672, 20.96941
682.0493, 19.86449
682.5314, 18.65377
683.0135, 17.19321
683.4957, 15.82814
683.9778, 15.07889
684.4599, 14.67759
684.9420, 14.15090
685.4241, 13.07928
685.9063, 12.08523
686.3884, 11.45683
686.8705, 11.10052
687.3526, 10.67272
687.8347, 10.04517
688.3168, 9.493147
688.7990, 9.123908
689.2811, 8.903996
689.7632, 8.560451
690.2453, 8.082419
690.7274, 7.594349
691.2095, 7.120552
691.6917, 6.692492
692.1738, 6.444686
692.6559, 6.374916
693.1380, 6.294999
693.6201, 6.085192
694.1022, 5.790446
694.5844, 5.405754
695.0665, 4.897668
695.5486, 4.521030
696.0307, 4.497664
696.5128, 4.561172
696.9949, 4.494353
697.4771, 4.214317
697.9592, 3.966762
698.4413, 3.745578
698.9234, 3.567487
699.4055, 3.485105
699.8876, 3.502273
700.3698, 3.443835
700.8519, 3.280482
701.3340, 3.049725
701.8161, 2.750621
702.2982, 2.419959
702.7803, 2.158529
703.2625, 2.024166
703.7446, 1.960211
704.2267, 2.000697
704.7088, 2.080635
705.1909, 2.056225
705.6730, 1.767282
706.1552, 1.506597
706.6373, 1.346699
707.1194, 1.271634
707.6015, 1.210567
708.0836, 1.167480
708.5657, 1.121445
709.0479, 1.059968
709.5300, 0.9920560
710.0121, 0.9561520
710.4942, 0.9508810
710.9763, 0.9586110
711.4584, 0.9994200
711.9406, 1.029557
