##NAMES=Ottoite
##RRUFFID=R130126
##IDEAL CHEMISTRY=Pb_2_TeO_5_
##LOCALITY=Grand Central mine, Tombstone, Cochise County, Arizona
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Clusters of pale yellow-green spear-shaped crystals, in subparallel to divergent intergrowths.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130126
493.7667, 1.434982
494.2488, 1.630753
494.7310, 1.630264
495.2131, 1.455414
495.6952, 1.432663
496.1773, 1.985107
496.6594, 2.845306
497.1415, 3.198563
497.6237, 2.913330
498.1058, 2.677933
498.5879, 3.018967
499.0700, 3.588440
499.5521, 3.672272
500.0342, 2.991257
500.5164, 2.421097
500.9985, 2.503983
501.4806, 2.958420
501.9627, 3.298080
502.4448, 3.423950
502.9269, 3.448547
503.4091, 3.451477
503.8912, 3.430939
504.3733, 3.538605
504.8554, 3.945084
505.3375, 4.275299
505.8196, 4.333771
506.3018, 4.249268
506.7839, 4.198318
507.2660, 4.249008
507.7481, 4.400101
508.2302, 4.663635
508.7123, 5.079819
509.1945, 5.462921
509.6766, 5.877701
510.1587, 6.192825
510.6408, 6.273987
511.1229, 6.229507
511.6050, 6.276276
512.0872, 6.541748
512.5693, 6.885117
513.0514, 7.040085
513.5335, 6.982315
514.0156, 6.920364
514.4977, 6.849655
514.9799, 6.842499
515.4620, 7.000107
515.9441, 7.300903
516.4262, 7.544907
516.9083, 7.602295
517.3904, 7.566544
517.8726, 7.564575
518.3547, 7.606216
518.8368, 7.650650
519.3189, 7.647659
519.8010, 7.658676
520.2831, 7.878159
520.7653, 8.374283
521.2474, 8.834457
521.7295, 9.127335
522.2116, 9.380676
522.6937, 9.867508
523.1758, 10.51436
523.6580, 10.84547
524.1401, 10.47958
524.6222, 9.606796
525.1043, 9.200958
525.5864, 9.605927
526.0685, 9.947968
526.5507, 10.13742
527.0328, 10.23872
527.5149, 10.24869
527.9970, 10.22427
528.4791, 10.32506
528.9612, 10.73303
529.4434, 11.34192
529.9255, 11.66911
530.4076, 11.62808
530.8897, 11.62442
531.3718, 11.85872
531.8539, 12.18240
532.3361, 12.45161
532.8182, 12.63751
533.3003, 12.81915
533.7824, 13.05849
534.2645, 13.31493
534.7466, 13.48260
535.2288, 13.55574
535.7109, 13.81119
536.1930, 14.52908
536.6751, 15.57021
537.1572, 16.14767
537.6393, 15.86014
538.1215, 15.59505
538.6036, 15.80499
539.0857, 16.18193
539.5678, 16.21672
540.0499, 15.83281
540.5320, 15.47017
541.0142, 15.64922
541.4963, 16.39790
541.9784, 16.67212
542.4604, 15.85201
542.9426, 15.20404
543.4247, 15.08269
543.9068, 15.29031
544.3889, 15.65906
544.8710, 16.11858
545.3531, 16.49724
545.8353, 16.52162
546.3174, 16.23454
546.7995, 16.13771
547.2816, 16.35832
547.7637, 16.54362
548.2458, 16.35236
548.7280, 15.99826
549.2101, 15.83127
549.6922, 15.93312
550.1743, 16.18517
550.6564, 16.51447
551.1385, 16.93759
551.6207, 17.62209
552.1028, 18.61571
552.5849, 19.37881
553.0670, 19.31914
553.5491, 18.43530
554.0313, 17.98499
554.5134, 18.46704
554.9955, 18.72089
555.4776, 18.06967
555.9597, 17.15562
556.4418, 16.89195
556.9240, 17.45451
557.4061, 18.16101
