##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
302.0488, 168.2325
302.5309, 179.3984
303.0130, 194.3575
303.4951, 219.5082
303.9772, 250.2242
304.4594, 276.6615
304.9415, 291.8163
305.4236, 302.5206
305.9057, 316.0846
306.3878, 332.5429
306.8699, 348.8352
307.3521, 365.9011
307.8342, 380.8389
308.3163, 389.6848
308.7984, 384.9055
309.2805, 377.5229
309.7626, 374.9414
310.2448, 377.2684
310.7269, 382.8022
311.2090, 393.7426
311.6911, 406.2849
312.1732, 416.0310
312.6553, 412.9672
313.1375, 413.9413
313.6196, 431.9593
314.1017, 465.2844
314.5838, 494.8317
315.0659, 510.1662
315.5480, 518.8676
316.0302, 527.5472
316.5123, 533.4791
316.9944, 544.1451
317.4765, 564.4074
317.9586, 592.9157
318.4407, 621.0324
318.9229, 649.3606
319.4050, 674.5289
319.8871, 694.2064
320.3692, 704.1636
320.8513, 713.0597
321.3334, 726.8995
321.8156, 742.3896
322.2977, 746.3853
322.7798, 732.9713
323.2619, 709.6495
323.7440, 680.0984
324.2261, 645.7040
324.7083, 603.6908
325.1904, 550.5362
325.6725, 489.1791
326.1546, 427.8358
326.6367, 361.7321
327.1188, 300.8215
327.6009, 248.7192
328.0830, 206.9089
328.5652, 171.3291
329.0473, 143.0299
329.5294, 120.5763
330.0115, 101.2504
330.4936, 86.93317
330.9757, 73.48480
331.4579, 59.75586
331.9400, 46.37897
332.4221, 29.70074
332.9042, 4.136414
333.3863, 20.95807
333.8684, 28.85468
334.3506, 8.232361
334.8327, 6.769775
335.3148, 3.576599
335.7969, 20.21277
336.2790, 34.77368
336.7611, 38.76807
337.2433, 35.35126
337.7254, 26.11523
338.2075, 8.122009
338.6896, 4.242310
339.1717, 5.721680
339.6538, 2.449158
340.1360, 7.633850
340.6181, 10.02368
341.1002, 8.693542
341.5823, 0.8148190
342.0644, 14.04266
342.5465, 25.87195
343.0287, 31.13269
343.5108, 32.30280
343.9929, 36.72998
344.4750, 44.34155
344.9571, 55.58551
345.4392, 71.24835
345.9214, 90.93085
346.4035, 113.2751
346.8856, 138.2397
347.3677, 164.6945
347.8498, 189.9816
348.3319, 214.3078
348.8141, 241.1641
349.2962, 272.8064
349.7783, 308.9487
350.2604, 349.0818
350.7425, 392.9922
351.2246, 441.2477
351.7067, 491.6886
352.1888, 546.2268
352.6710, 611.2930
353.1531, 698.7138
353.6352, 796.0452
354.1173, 890.3027
354.5994, 980.0728
355.0815, 1061.894
355.5637, 1126.046
356.0458, 1180.918
356.5279, 1243.253
357.0100, 1320.564
357.4921, 1408.281
357.9742, 1504.919
358.4564, 1609.817
358.9385, 1718.815
359.4206, 1826.068
359.9027, 1937.267
360.3848, 2058.994
360.8669, 2203.024
361.3491, 2349.224
361.8312, 2486.750
362.3133, 2616.726
362.7954, 2753.916
363.2775, 2919.778
363.7596, 3086.208
364.2418, 3232.454
364.7239, 3330.812
365.2060, 3434.908
365.6881, 3568.017
366.1702, 3721.896
366.6523, 3841.635
367.1345, 3913.667
367.6166, 3959.235
368.0987, 3989.203
368.5808, 4029.814
369.0629, 4016.773
369.5450, 3935.478
370.0272, 3801.985
370.5093, 3654.936
370.9914, 3496.204
371.4735, 3322.991
371.9556, 3123.706
372.4377, 2873.802
372.9199, 2685.287
373.4020, 2574.916
373.8841, 2508.675
374.3662, 2434.602
374.8483, 2344.957
375.3304, 2272.652
375.8126, 2231.154
376.2947, 2219.354
376.7768, 2214.576
377.2589, 2220.258
377.7410, 2223.626
378.2231, 2215.129
378.7052, 2195.057
379.1873, 2152.476
379.6695, 2084.702
380.1516, 1992.499
380.6337, 1868.547
381.1158, 1712.706
381.5979, 1549.572
382.0800, 1394.096
382.5622, 1246.462
383.0443, 1116.556
383.5264, 1005.457
384.0085, 911.8972
384.4906, 838.2904
384.9727, 782.6503
385.4549, 738.9802
385.9370, 709.2148
386.4191, 687.1366
386.9012, 662.5839
387.3833, 633.2071
387.8654, 607.3156
388.3476, 594.3188
388.8297, 590.7825
389.3118, 588.7303
389.7939, 581.5630
390.2760, 575.5599
390.7581, 576.8066
391.2403, 585.4445
391.7224, 595.3030
392.2045, 606.8123
392.6866, 616.6401
393.1687, 622.3167
393.6508, 613.2892
394.1330, 609.0586
394.6151, 618.7217
395.0972, 640.3576
395.5793, 661.1214
396.0614, 688.0582
396.5435, 706.9478
397.0257, 709.6939
397.5078, 692.5032
397.9899, 663.1091
398.4720, 612.3915
398.9541, 548.8592
399.4362, 495.8496
399.9184, 461.3799
400.4005, 428.9916
