##NAMES=Dmisteinbergite
##RRUFFID=R130087
##IDEAL CHEMISTRY=CaAl_2_Si_2_O_8_
##LOCALITY=Katashina Village, Gunma Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless platelets with pearly luster. Associated with prehnite and wairakite, R061075
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R130087
330.8680, 2275.298
331.3501, 1876.331
331.8322, 1551.037
332.3143, 1327.243
332.7964, 1155.156
333.2785, 1008.057
333.7606, 876.7671
334.2427, 755.9014
334.7249, 635.0664
335.2070, 509.4907
335.6891, 418.6660
336.1712, 391.8813
336.6533, 372.2485
337.1354, 337.1934
337.6176, 293.0781
338.0997, 256.5244
338.5818, 240.5591
339.0639, 236.1304
339.5460, 216.1465
340.0281, 172.4531
340.5103, 136.6689
340.9924, 126.2847
341.4745, 127.8857
341.9566, 128.7119
342.4387, 125.5757
342.9208, 121.7412
343.4030, 122.8843
343.8851, 128.0674
344.3672, 126.7349
344.8493, 116.8174
345.3314, 99.23633
345.8135, 69.91992
346.2957, 28.39453
346.7778, 3.755371
347.2599, 17.15527
347.7420, 16.17236
348.2241, 2.878418
348.7062, 22.34717
349.1884, 45.06152
349.6705, 54.34619
350.1526, 49.90820
350.6347, 41.22900
351.1168, 20.87402
351.5989, 3.420898
352.0811, 3.691406
352.5632, 2.079590
353.0453, 6.324219
353.5274, 21.67188
354.0095, 37.06543
354.4916, 35.64355
354.9738, 6.589844
355.4559, 34.35303
355.9380, 39.85742
356.4201, 35.59180
356.9022, 28.18604
357.3843, 20.78613
357.8665, 19.13379
358.3486, 32.55029
358.8307, 65.86719
359.3128, 79.48975
359.7949, 48.87354
360.2770, 22.55957
360.7592, 20.01709
361.2413, 32.88867
361.7234, 43.92334
362.2055, 43.71533
362.6876, 35.19775
363.1697, 24.98096
363.6519, 11.28662
364.1340, 0.8193360
364.6161, 3.362793
365.0982, 4.134277
365.5803, 1.851563
366.0624, 3.603516
366.5446, 6.282715
367.0267, 4.973145
367.5088, 25.91260
367.9909, 28.92578
368.4730, 0.8872070
368.9551, 28.99219
369.4373, 31.43945
369.9194, 12.60498
370.4015, 4.407715
370.8836, 10.85254
371.3657, 14.12061
371.8478, 26.22168
372.3300, 45.65332
372.8121, 51.41309
373.2942, 25.03564
373.7763, 19.61328
374.2584, 31.87549
374.7405, 10.12695
375.2227, 46.86426
375.7048, 62.17334
376.1869, 64.18408
376.6690, 60.46045
377.1511, 53.61621
377.6332, 49.67090
378.1154, 58.41357
378.5975, 88.95605
379.0796, 98.32227
379.5617, 67.73486
380.0438, 37.47607
380.5259, 28.34033
381.0081, 35.45410
381.4902, 42.52832
381.9723, 38.34863
382.4544, 27.24463
382.9365, 27.61035
383.4186, 47.00146
383.9008, 64.01611
384.3829, 73.52441
384.8650, 79.53662
385.3471, 85.38135
385.8292, 91.86670
386.3113, 97.94727
386.7935, 102.0986
387.2756, 104.5215
387.7577, 108.0312
388.2398, 113.7090
388.7219, 119.4102
389.2040, 123.5869
389.6862, 126.5640
390.1683, 129.1396
390.6504, 135.6343
391.1325, 139.3823
391.6146, 126.9849
392.0967, 100.3813
392.5789, 85.23926
393.0610, 97.18848
393.5431, 125.7085
394.0252, 144.3086
394.5073, 152.7852
394.9894, 154.1699
395.4716, 137.8833
395.9537, 120.2017
396.4358, 125.7695
396.9179, 157.5483
397.4000, 191.4746
397.8821, 201.3198
398.3643, 183.3511
398.8464, 170.4727
399.3285, 161.8970
399.8106, 158.2681
400.2927, 158.9302
400.7748, 164.8628
401.2570, 181.5493
401.7391, 212.8667
402.2212, 245.6597
402.7033, 246.0859
403.1854, 196.6460
403.6675, 162.6094
404.1497, 162.4438
404.6317, 172.5283
405.1139, 180.3027
405.5960, 185.9678
406.0781, 196.9614
406.5602, 223.9849
407.0423, 259.6841
407.5244, 279.9692
408.0066, 279.5034
408.4887, 278.9678
408.9708, 289.1714
409.4529, 308.0811
409.9350, 333.1362
410.4171, 370.1270
410.8993, 405.4897
411.3814, 424.5508
411.8635, 434.8652
412.3456, 457.0376
412.8277, 498.1323
413.3098, 544.1680
413.7920, 579.9839
414.2741, 603.2144
414.7562, 624.9180
415.2383, 642.3901
415.7204, 660.3564
416.2025, 675.8193
416.6847, 691.8271
417.1668, 722.2729
417.6489, 779.8403
418.1310, 855.3647
418.6131, 910.4805
419.0952, 924.2954
419.5774, 949.8618
420.0595, 993.6694
420.5416, 1051.174
421.0237, 1121.619
421.5058, 1203.266
421.9879, 1287.926
422.4701, 1368.339
422.9522, 1444.827
423.4343, 1518.752
423.9164, 1582.443
424.3985, 1658.487
424.8806, 1766.192
425.3628, 1893.174
425.8449, 2019.318
426.3270, 2136.419
426.8091, 2255.946
427.2912, 2393.386
427.7733, 2544.496
428.2555, 2687.426
428.7376, 2812.463
429.2197, 2939.539
429.7018, 3100.956
430.1839, 3305.524
430.6660, 3498.984
431.1482, 3658.482
431.6303, 3821.668
432.1124, 4018.425
432.5945, 4243.946
433.0766, 4478.016
433.5587, 4711.491
434.0409, 4939.823
434.5230, 5145.118
435.0051, 5298.137
435.4872, 5474.414
435.9693, 5706.797
436.4514, 5946.060
436.9336, 6157.378
437.4157, 6335.186
437.8978, 6486.921
438.3799, 6621.762
438.8620, 6738.469
439.3441, 6826.661
439.8263, 6891.916
440.3084, 6916.966
440.7905, 6883.601
441.2726, 6807.380
441.7547, 6705.905
442.2368, 6586.253
442.7190, 6434.126
443.2011, 6226.350
443.6832, 5977.938
444.1653, 5726.632
444.6474, 5481.101
445.1295, 5239.812
445.6117, 4998.879
446.0938, 4758.189
446.5759, 4524.795
447.0580, 4301.524
447.5401, 4085.026
448.0222, 3877.306
448.5044, 3675.199
448.9865, 3466.462
449.4686, 3244.514
449.9507, 3024.337
450.4328, 2841.035
450.9149, 2703.394
451.3971, 2584.155
451.8792, 2498.126
452.3613, 2414.764
452.8434, 2317.574
453.3255, 2207.109
453.8076, 2092.929
454.2898, 1977.077
454.7719, 1863.206
455.2540, 1757.359
455.7361, 1657.786
456.2182, 1577.380
456.7003, 1534.885
457.1825, 1505.402
457.6646, 1452.515
458.1467, 1372.469
458.6288, 1283.634
459.1109, 1175.814
459.5930, 1071.458
460.0752, 1007.938
460.5573, 986.7061
461.0394, 973.9180
461.5215, 945.1865
462.0036, 901.5386
462.4857, 851.7729
462.9679, 772.4961
463.4500, 715.8306
463.9321, 708.8267
464.4142, 719.3311
464.8963, 714.4580
465.3784, 686.1602
465.8606, 646.8564
466.3427, 607.7256
466.8248, 568.5117
467.3069, 537.9819
467.7890, 519.3882
468.2711, 504.8462
468.7533, 495.5039
469.2354, 486.1636
469.7175, 466.9253
470.1996, 430.3472
470.6817, 395.1235
471.1638, 381.1499
471.6460, 382.9062
472.1281, 379.0073
472.6102, 362.5322
473.0923, 350.8237
473.5744, 366.5405
474.0565, 410.9102
474.5387, 427.6870
475.0208, 398.6211
475.5029, 363.2690
475.9850, 337.8052
476.4671, 322.2285
476.9492, 317.3228
477.4313, 323.5366
477.9135, 333.3779
478.3956, 336.7124
478.8777, 330.8003
479.3598, 326.5522
479.8419, 319.2959
480.3240, 318.5894
480.8062, 330.3618
481.2883, 352.1299
481.7704, 377.9575
482.2525, 407.4092
482.7346, 438.4370
483.2167, 469.7524
483.6989, 499.7739
484.1810, 519.8125
484.6631, 524.3989
485.1452, 524.9819
485.6273, 538.8042
486.1094, 565.9819
486.5916, 586.7158
487.0737, 588.8613
487.5558, 591.0181
488.0379, 616.4478
488.5200, 654.2471
489.0021, 671.6436
489.4843, 652.4219
489.9664, 606.4014
490.4485, 551.0874
490.9306, 466.9780
491.4127, 407.8906
491.8948, 388.4326
492.3770, 378.8364
492.8591, 366.5869
493.3412, 349.9077
493.8233, 328.0308
494.3054, 296.4126
494.7875, 264.5615
495.2697, 253.1353
495.7518, 263.0093
496.2339, 282.3535
496.7160, 319.9253
497.1981, 352.9707
497.6802, 343.6655
498.1624, 288.6978
498.6445, 255.4087
499.1266, 272.3057
499.6087, 311.1997
500.0908, 351.1089
500.5729, 390.3188
501.0551, 431.5713
501.5372, 477.2324
502.0193, 521.4351
502.5014, 546.3779
502.9835, 540.6108
503.4656, 534.7715
503.9478, 524.8110
504.4299, 519.0200
504.9120, 532.2915
505.3941, 555.7515
505.8762, 561.5889
506.3583, 528.4541
506.8405, 470.4272
507.3226, 417.8320
507.8047, 371.6216
508.2868, 323.9204
508.7689, 271.7334
509.2510, 217.8140
509.7332, 160.0239
510.2153, 98.89648
510.6974, 62.46191
511.1795, 72.95361
511.6616, 94.29297
512.1437, 101.2139
512.6259, 94.07861
513.1080, 76.72656
513.5901, 49.29443
514.0722, 19.51611
514.5543, 7.449707
515.0364, 29.70508
515.5186, 37.23096
516.0007, 18.45020
516.4828, 3.206543
516.9649, 18.10938
517.4470, 25.69092
