##NAMES=Diamond
##RRUFFID=R050207
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal,  type I
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050207
373.0460, 11.85193
373.5281, 12.89316
374.0102, 11.89303
374.4923, 9.886589
374.9745, 8.295757
375.4566, 6.827820
375.9387, 6.110088
376.4208, 6.704166
376.9029, 8.460903
377.3850, 8.643387
377.8672, 6.713867
378.3493, 4.833298
378.8314, 5.678688
379.3135, 9.332153
379.7956, 11.35157
380.2777, 10.43151
380.7599, 7.885201
381.2420, 7.079491
381.7241, 8.012306
382.2062, 9.210693
382.6883, 9.912682
383.1704, 10.10069
383.6525, 9.609795
384.1346, 8.674850
384.6168, 7.700188
385.0989, 6.965244
385.5810, 6.302280
386.0631, 5.951973
386.5452, 6.385117
387.0273, 6.943970
387.5095, 6.330402
387.9916, 4.543087
388.4737, 3.428146
388.9558, 5.617107
389.4379, 8.991703
389.9200, 10.66488
390.4022, 8.412094
390.8843, 5.704205
391.3664, 4.793869
391.8485, 5.356583
392.3306, 6.121407
392.8127, 5.541283
393.2949, 5.413399
393.7770, 7.486389
394.2591, 13.45657
394.7412, 18.18758
395.2233, 19.44394
395.7054, 18.41035
396.1876, 16.97511
396.6697, 15.26097
397.1518, 13.47802
397.6339, 11.54889
398.1160, 9.372276
398.5981, 7.829025
399.0803, 7.037880
399.5624, 6.855888
400.0445, 7.212074
400.5266, 8.982231
401.0087, 10.00191
401.4908, 9.549652
401.9730, 8.040787
402.4551, 7.786301
402.9372, 9.951843
403.4193, 12.05488
403.9014, 13.15974
404.3835, 13.55830
404.8657, 11.21519
405.3478, 4.473755
405.8299, 2.860100
406.3120, 4.178543
406.7941, 1.444572
407.2762, 6.282791
407.7584, 7.539223
408.2405, 5.919998
408.7226, 5.414246
409.2047, 6.170929
409.6868, 6.967964
410.1689, 6.231239
410.6511, 4.408516
411.1332, 4.032249
411.6153, 6.066704
412.0974, 8.813301
412.5795, 8.981339
413.0616, 7.185555
413.5438, 6.455627
414.0259, 10.91894
414.5080, 16.58382
414.9901, 16.72731
415.4722, 10.27900
415.9543, 4.159805
416.4365, 5.177773
416.9186, 9.942856
417.4007, 13.24236
417.8828, 12.40232
418.3649, 10.21260
418.8470, 7.826225
419.3292, 5.335121
419.8113, 3.360130
420.2934, 1.772163
420.7755, 1.023232
421.2576, 1.591820
421.7397, 4.602531
422.2219, 6.910492
422.7040, 7.790833
423.1861, 7.560448
423.6682, 6.798073
424.1503, 3.458359
424.6324, 1.706810
425.1146, 3.930046
425.5967, 11.12296
426.0788, 13.75730
426.5609, 8.491615
427.0430, 1.887199
427.5251, 0.6530610
428.0073, 2.790993
428.4894, 5.952065
428.9715, 8.398796
429.4536, 10.00549
429.9357, 10.03340
430.4178, 7.834442
430.9000, 6.242645
431.3821, 7.235779
431.8642, 10.87988
432.3463, 12.93983
432.8284, 13.29350
433.3105, 12.43456
433.7927, 10.51919
434.2748, 7.711739
434.7569, 5.392365
435.2390, 3.893860
435.7211, 3.215317
436.2032, 3.757004
436.6854, 5.405792
437.1675, 6.881920
437.6496, 6.788757
438.1317, 6.097054
438.6138, 6.686493
439.0959, 9.404282
439.5781, 11.39201
440.0602, 9.678879
440.5423, 5.620865
441.0244, 1.709335
441.5065, 2.481049
441.9886, 4.932468
442.4708, 3.640549
442.9529, 1.274399
443.4350, 5.933548
443.9171, 10.16559
444.3992, 12.81788
444.8813, 12.94850
445.3635, 6.391266
445.8456, 2.742722
446.3277, 5.864960
446.8098, 12.74696
447.2919, 15.91038
447.7740, 12.15204
448.2562, 8.343178
448.7383, 6.407585
449.2204, 6.571251
449.7025, 7.167213
450.1846, 8.747269
450.6667, 10.06053
451.1489, 9.675453
451.6310, 6.844398
452.1131, 5.484566
452.5952, 6.742905
453.0773, 9.308044
453.5594, 9.046387
454.0416, 5.686485
454.5237, 2.645630
455.0058, 1.693077
455.4879, 2.581505
