##NAMES=Lavendulan
##RRUFFID=R060716
##IDEAL CHEMISTRY=NaCaCu^2+^_5_(As^5+^O_4_)_4_Cl&#183;5H_2_O
##LOCALITY=Guanaco, Antofagasta Province, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Rosettes of blue platy crystals associated with dark green lammerite, R060715
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060716
515.4120, 766.0764
515.8940, 800.6074
516.3760, 843.8647
516.8580, 904.8494
517.3400, 972.6121
517.8220, 1043.600
518.3050, 1117.674
518.7870, 1193.798
519.2690, 1264.125
519.7510, 1340.198
520.2330, 1434.928
520.7150, 1557.501
521.1970, 1678.903
521.6790, 1792.127
522.1610, 1902.362
522.6440, 2026.610
523.1260, 2166.269
523.6080, 2310.193
524.0900, 2447.096
524.5720, 2579.702
525.0540, 2744.589
525.5360, 2944.853
526.0180, 3158.486
526.5000, 3362.915
526.9830, 3562.044
527.4650, 3774.187
527.9470, 4008.529
528.4290, 4248.892
528.9110, 4477.753
529.3930, 4702.161
529.8750, 4946.454
530.3570, 5227.687
530.8390, 5528.180
531.3220, 5846.533
531.8040, 6181.462
532.2860, 6510.923
532.7680, 6822.119
533.2500, 7129.168
533.7320, 7437.743
534.2140, 7741.100
534.6960, 8060.709
535.1790, 8411.122
535.6610, 8776.026
536.1430, 9126.872
536.6250, 9460.489
537.1070, 9786.182
537.5890, 10105.85
538.0710, 10417.54
538.5530, 10715.70
539.0360, 10999.80
539.5180, 11264.43
540.0000, 11516.41
540.4820, 11748.20
540.9640, 11934.31
541.4460, 12070.72
541.9280, 12169.68
542.4100, 12248.46
542.8920, 12302.13
543.3750, 12319.40
543.8570, 12296.10
544.3390, 12232.77
544.8210, 12128.19
545.3030, 11982.49
545.7850, 11801.58
546.2670, 11585.93
546.7490, 11337.49
547.2310, 11052.47
547.7140, 10715.40
548.1960, 10385.94
548.6780, 10097.66
549.1600, 9803.315
549.6420, 9447.968
550.1240, 8980.821
550.6060, 8542.076
551.0880, 8158.768
551.5700, 7815.650
552.0530, 7460.447
552.5350, 7084.431
553.0170, 6721.877
553.4990, 6395.718
553.9810, 6101.758
554.4630, 5796.048
554.9450, 5476.275
555.4270, 5163.908
555.9090, 4891.367
556.3920, 4646.749
556.8740, 4407.168
557.3560, 4162.621
557.8380, 3929.809
558.3200, 3730.741
558.8020, 3555.811
559.2840, 3383.429
559.7660, 3190.219
560.2490, 3008.177
560.7310, 2858.354
561.2130, 2740.831
561.6950, 2624.564
562.1770, 2503.526
562.6590, 2380.393
563.1410, 2253.883
563.6230, 2115.389
564.1060, 1997.884
564.5880, 1908.431
565.0700, 1833.892
565.5520, 1753.622
566.0340, 1665.287
566.5160, 1581.436
566.9980, 1504.522
567.4800, 1433.820
567.9630, 1364.681
568.4450, 1296.774
568.9270, 1237.597
569.4090, 1198.545
569.8910, 1169.205
570.3730, 1127.832
570.8550, 1072.565
571.3370, 1015.840
571.8190, 967.1223
572.3020, 922.2976
572.7840, 877.2712
573.2660, 829.2800
573.7480, 782.5898
574.2300, 737.3782
574.7120, 694.3779
575.1940, 654.6333
575.6760, 617.6875
576.1580, 584.9749
576.6410, 558.5090
577.1230, 538.0259
577.6050, 514.0085
578.0870, 483.1873
578.5690, 454.7400
579.0510, 438.0862
579.5330, 435.0913
580.0150, 419.9001
580.4970, 388.8325
580.9800, 353.2361
581.4620, 328.2432
581.9440, 311.9590
582.4260, 295.3806
582.9080, 274.2471
583.3900, 253.6409
583.8720, 242.0361
584.3540, 236.8064
584.8360, 229.0537
585.3190, 210.9768
585.8010, 190.9736
586.2830, 173.6973
586.7650, 159.3923
587.2470, 149.1162
587.7290, 146.4753
588.2110, 145.6858
588.6930, 142.6824
589.1760, 137.8254
589.6580, 129.8005
590.1400, 116.8645
590.6220, 101.9465
591.1040, 90.30835
591.5860, 82.44385
592.0680, 75.11646
592.5500, 67.05640
593.0320, 59.15332
593.5150, 55.58496
593.9970, 56.17651
594.4790, 54.77490
594.9610, 44.55151
595.4430, 30.68628
595.9250, 22.84180
596.4070, 21.93628
596.8900, 20.93848
597.3720, 13.48022
597.8540, 3.850098
598.3360, 3.484863
598.8180, 7.526611
599.3000, 8.757080
599.7820, 3.871582
600.2640, 3.259277
600.7460, 5.197021
601.2290, 3.095947
601.7110, 10.70215
602.1930, 15.76929
602.6750, 18.30640
603.1570, 18.77124
603.6390, 16.00073
604.1210, 14.68042
604.6030, 19.86572
605.0850, 30.62622
605.5680, 32.99878
606.0500, 25.84229
606.5320, 16.59302
607.0140, 10.61719
607.4960, 8.526611
607.9780, 12.80469
608.4600, 27.30054
608.9420, 41.13867
609.4240, 46.17871
609.9070, 44.29883
610.3890, 38.82104
610.8710, 26.99731
611.3530, 15.74048
611.8350, 8.631104
612.3170, 5.197266
612.7990, 1.144287
613.2810, 15.47461
613.7630, 27.29517
614.2460, 31.24170
614.7280, 25.81641
615.2100, 22.75781
615.6920, 22.48413
616.1740, 23.65747
616.6560, 25.96875
617.1380, 29.08521
617.6200, 29.18359
618.1030, 24.62061
618.5850, 19.27832
619.0670, 15.96582
619.5490, 15.69702
620.0310, 21.05688
620.5130, 40.69189
620.9950, 60.01416
621.4770, 66.14087
621.9590, 61.93604
622.4420, 61.68579
622.9240, 78.52930
623.4060, 93.13550
623.8880, 93.34570
624.3700, 73.04517
624.8520, 67.94360
625.3340, 89.86841
625.8160, 113.3503
626.2990, 114.9329
626.7810, 88.99756
627.2630, 77.27832
627.7450, 86.41064
628.2270, 103.1313
628.7090, 106.1794
629.1910, 98.12695
629.6730, 93.92456
630.1560, 101.9668
630.6380, 112.3674
631.1200, 111.0686
631.6020, 101.6465
632.0840, 95.62964
632.5660, 101.8748
633.0480, 110.8496
633.5300, 117.6667
634.0120, 121.9160
634.4950, 123.9990
634.9770, 114.5312
635.4590, 110.6294
635.9410, 124.3950
636.4230, 170.0701
636.9050, 191.6101
637.3870, 180.0959
637.8690, 156.9778
638.3510, 146.9138
638.8340, 150.0332
639.3160, 154.2490
639.7980, 156.5999
640.2800, 160.1772
640.7620, 173.5151
641.2440, 193.1741
641.7260, 207.5447
642.2080, 206.3630
642.6900, 200.8813
643.1730, 200.2861
643.6550, 203.9685
644.1370, 207.6233
644.6190, 209.4705
645.1010, 210.8464
645.5830, 211.6775
646.0650, 210.8694
646.5470, 214.9871
647.0290, 227.7349
647.5120, 241.5535
647.9940, 249.1345
648.4760, 248.1780
648.9580, 253.5452
649.4400, 268.8550
649.9220, 284.5610
650.4040, 282.3857
650.8860, 266.5100
651.3690, 258.9531
651.8510, 269.0344
652.3330, 287.3953
652.8150, 308.5483
653.2970, 329.1790
653.7790, 341.1948
654.2610, 331.9597
654.7430, 320.8750
655.2260, 318.5742
655.7080, 325.3027
656.1900, 331.5288
656.6720, 332.1064
657.1540, 335.2927
657.6360, 346.3582
658.1180, 367.9937
658.6000, 380.4563
659.0830, 380.8408
659.5650, 378.3105
660.0470, 382.4700
660.5290, 392.3286
661.0110, 400.2891
661.4930, 405.7560
661.9750, 409.7974
662.4570, 408.1133
662.9390, 405.0979
663.4220, 411.6909
663.9040, 443.9958
664.3860, 475.0612
664.8680, 486.7651
665.3500, 485.2979
665.8320, 486.2799
666.3140, 502.1293
666.7960, 508.9144
667.2780, 493.0400
667.7610, 457.4912
668.2430, 449.8007
668.7250, 480.8025
669.2070, 516.3247
669.6890, 536.9570
670.1710, 543.0618
670.6530, 542.7045
671.1350, 535.4395
671.6170, 532.4009
672.1000, 550.0715
672.5820, 576.7214
673.0640, 590.8026
673.5460, 585.5042
674.0280, 579.7073
674.5100, 590.8118
674.9920, 606.0372
675.4740, 609.5515
675.9560, 580.3855
676.4390, 560.1023
676.9210, 557.8090
677.4030, 568.2439
677.8850, 581.7594
678.3670, 600.0728
678.8490, 617.0779
679.3310, 631.2913
679.8130, 642.7808
680.2960, 652.9568
680.7780, 661.5486
681.2600, 665.5955
681.7420, 662.8997
682.2240, 653.9448
682.7060, 636.1610
683.1880, 610.9570
683.6700, 595.7837
684.1530, 609.6044
684.6350, 629.1265
685.1170, 635.9523
685.5990, 622.8563
686.0810, 613.2815
686.5630, 615.8516
687.0450, 619.1702
687.5270, 613.7065
688.0100, 596.6548
688.4920, 581.2830
688.9740, 568.3606
689.4560, 557.9781
689.9380, 550.5032
690.4200, 545.6792
690.9020, 542.2024
691.3840, 541.2845
691.8660, 539.5430
692.3490, 533.7239
692.8310, 523.4457
693.3130, 508.0486
693.7950, 472.7426
694.2770, 445.8055
694.7590, 450.5925
695.2410, 482.5322
695.7230, 498.6387
696.2050, 481.8638
696.6880, 460.1196
697.1700, 442.5433
697.6520, 429.4019
698.1340, 413.8916
698.6160, 394.7858
699.0980, 378.0400
699.5800, 369.9752
700.0620, 368.5314
700.5440, 363.7399
701.0270, 354.5352
701.5090, 345.7148
701.9910, 342.4644
702.4730, 341.9105
702.9550, 340.9939
703.4370, 341.3186
703.9190, 335.7024
704.4010, 314.8141
704.8830, 288.6223
705.3660, 271.0703
705.8480, 268.2207
706.3300, 265.5476
706.8120, 261.3330
707.2940, 256.6055
707.7760, 255.2560
708.2580, 258.0483
708.7400, 255.0275
709.2220, 239.6854
709.7050, 219.3146
710.1870, 208.6855
710.6690, 206.5343
711.1510, 206.5334
711.6330, 210.0122
712.1150, 210.5829
712.5970, 200.5852
713.0800, 180.8590
713.5620, 164.5503
714.0440, 157.8165
714.5260, 153.5051
715.0080, 148.3882
