##NAMES=Munakataite
##RRUFFID=R110005
##IDEAL CHEMISTRY=Pb_2_Cu_2_(Se^4+^O_3_)SO_4_(OH)_4_
##LOCALITY=Tonopah-Belmont mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue acicular to prismatic crystals with tapering terminations, associated with brochantite and cerussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110005
401.0365, 4.272043
401.5186, 3.598500
402.0008, 2.961157
402.4829, 2.282403
402.9650, 1.780838
403.4471, 1.505654
403.9292, 1.424981
404.4113, 1.423607
404.8935, 1.532663
405.3756, 1.649175
405.8577, 1.701612
406.3398, 1.668833
406.8219, 1.779600
407.3040, 2.136803
407.7862, 2.445971
408.2683, 2.110713
408.7504, 1.102023
409.2325, 0.4304590
409.7146, 0.5645170
410.1967, 1.266863
410.6789, 1.889551
411.1610, 2.444385
411.6431, 2.634682
412.1252, 1.761119
412.6073, 0.2857180
413.0894, 0.3294550
413.5716, 0.5041750
414.0537, 1.636436
414.5358, 1.571571
415.0179, 0.5978340
415.5000, 0.3462060
415.9821, 0.8620960
416.4643, 1.020261
416.9464, 0.7569230
417.4285, 3.7994999E-02
417.9106, 0.6028490
418.3927, 0.6683110
418.8748, 0.5108730
419.3570, 0.5475430
419.8391, 1.390045
420.3212, 1.999706
420.8033, 1.810652
421.2854, 0.9677690
421.7675, 0.1596740
422.2497, 0.5354600
422.7318, 1.043211
423.2139, 1.298283
423.6960, 1.198902
424.1781, 1.056292
424.6602, 0.8530880
425.1424, 0.6379260
425.6245, 0.4944330
426.1066, 0.6875260
426.5887, 0.6104100
427.0709, 1.4426000E-02
427.5530, 1.186550
428.0351, 1.872646
428.5172, 1.802287
428.9993, 1.625941
429.4814, 1.808599
429.9636, 2.417530
430.4457, 3.193886
430.9278, 4.299239
431.4099, 5.380171
431.8920, 5.441901
432.3741, 4.319480
432.8563, 3.468483
433.3384, 3.714128
433.8205, 4.874952
434.3026, 5.703355
434.7847, 6.181996
435.2668, 6.506889
435.7490, 6.753460
436.2311, 6.989361
436.7132, 7.463773
437.1953, 8.320956
437.6774, 9.343244
438.1595, 10.31973
438.6417, 11.25158
439.1238, 12.13067
439.6059, 13.20308
440.0880, 14.09258
440.5701, 14.41300
441.0522, 14.11317
441.5344, 13.30005
442.0165, 11.65661
442.4986, 9.663351
442.9807, 7.920063
443.4628, 6.580763
443.9449, 5.570200
444.4271, 5.078682
444.9092, 4.986440
445.3913, 4.623285
445.8734, 3.360216
446.3555, 2.150242
446.8376, 1.480190
447.3198, 1.595827
447.8019, 1.845921
448.2840, 2.331426
448.7661, 2.888857
