##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
339.4056, 0.9323730
339.8878, 2.640686
340.3699, 3.171997
340.8520, 2.172852
341.3341, 0.6513670
341.8162, 0.1389770
342.2983, 0.1450810
342.7805, 0.1357420
343.2626, 0.7054440
343.7447, 1.465027
344.2268, 1.680603
344.7089, 1.252563
345.1910, 0.9685670
345.6732, 2.143860
346.1553, 4.488281
346.6374, 5.199463
347.1195, 3.035706
347.6016, 0.2503660
348.0837, 0.7006840
348.5659, 1.510986
349.0480, 3.626465
349.5301, 3.074219
350.0122, 0.9717410
350.4944, 0.3823240
350.9765, 1.947754
351.4586, 4.128052
351.9407, 5.313416
352.4228, 5.581055
352.9049, 5.197388
353.3871, 3.717285
353.8692, 1.911377
354.3513, 0.8411250
354.8334, 0.5841060
355.3155, 0.5790410
355.7976, 0.2017820
356.2798, 0.1811520
356.7619, 1.8738000E-02
357.2440, 2.631104
357.7261, 4.666504
358.2082, 2.630859
358.6903, 2.721985
359.1725, 6.214233
359.6546, 2.457581
360.1367, 3.145508
360.6188, 5.632996
361.1009, 1.849731
361.5830, 2.158264
362.0652, 4.010742
362.5473, 4.166199
363.0294, 3.750732
363.5115, 2.302795
363.9936, 1.039429
364.4757, 0.7485350
364.9579, 1.947327
365.4400, 2.718018
365.9221, 2.221985
366.4042, 1.242493
366.8863, 0.7718510
367.3684, 0.6934810
367.8506, 1.399902
368.3327, 3.700684
368.8148, 7.862000
369.2969, 9.962830
369.7790, 8.200867
370.2611, 5.650757
370.7433, 4.373718
371.2254, 4.349182
371.7075, 5.716125
372.1896, 9.419373
372.6717, 14.62421
373.1538, 17.66180
373.6360, 17.44904
374.1181, 16.81061
374.6002, 17.00366
375.0823, 18.13324
375.5645, 19.86273
376.0466, 22.62799
376.5287, 25.48169
377.0108, 26.34967
377.4929, 24.55200
377.9750, 23.99536
378.4572, 26.39172
378.9393, 31.40265
379.4214, 35.90344
379.9035, 39.91736
380.3856, 43.18103
380.8677, 44.97534
381.3499, 45.43408
381.8320, 46.26459
382.3141, 47.76062
382.7962, 49.91687
383.2783, 53.19708
383.7604, 57.49603
384.2426, 61.40405
384.7247, 63.22852
385.2068, 64.03040
385.6889, 66.61218
386.1710, 71.53076
386.6531, 77.10059
387.1353, 81.68530
387.6174, 85.53430
388.0995, 89.33752
388.5816, 93.19531
389.0637, 97.32532
389.5458, 102.1443
390.0280, 107.7394
390.5101, 113.5193
390.9922, 119.6406
391.4743, 125.5399
391.9564, 130.6122
392.4385, 134.0796
392.9207, 137.3542
393.4028, 141.2791
393.8849, 145.6091
394.3670, 149.5764
394.8491, 151.6507
395.3312, 154.1265
395.8134, 158.3843
396.2955, 165.0714
396.7776, 172.1203
397.2597, 179.9564
397.7418, 187.5294
398.2239, 193.5985
398.7061, 196.5983
399.1882, 199.6483
399.6703, 203.6277
400.1524, 208.5789
400.6346, 212.6593
401.1167, 215.7755
401.5988, 218.0208
402.0809, 219.2865
402.5630, 218.3217
403.0451, 218.9885
403.5273, 221.9253
404.0094, 226.3386
404.4915, 230.4020
404.9736, 234.4859
405.4557, 237.9407
405.9378, 240.0055
406.4200, 240.3392
406.9021, 241.4836
407.3842, 243.8591
407.8663, 246.6429
408.3484, 248.3176
408.8305, 248.7416
409.3127, 249.7375
409.7948, 251.9106
410.2769, 255.1164
410.7590, 259.0883
411.2411, 263.9291
411.7232, 268.8004
412.2054, 272.5546
412.6875, 275.8211
413.1696, 280.4814
413.6517, 287.1826
414.1338, 294.3801
414.6159, 299.9306
415.0981, 304.2702
415.5802, 308.9557
416.0623, 315.0183
416.5444, 322.0646
417.0265, 328.9902
417.5086, 335.7396
417.9908, 343.5062
418.4729, 354.9319
418.9550, 367.5002
419.4371, 377.7363
419.9192, 382.3331
420.4013, 387.2435
420.8835, 394.9643
421.3656, 404.9341
421.8477, 415.6948
422.3298, 428.6860
422.8119, 440.7678
423.2940, 449.9308
423.7762, 454.0591
424.2583, 460.9397
424.7404, 473.9001
425.2225, 488.9581
425.7047, 501.8506
426.1868, 509.8111
426.6689, 519.1330
427.1510, 531.3672
427.6331, 546.1725
428.1152, 560.1478
428.5974, 573.4518
429.0795, 585.9559
429.5616, 597.2903
430.0437, 606.6351
430.5258, 618.4714
431.0079, 634.0328
431.4901, 650.7087
431.9722, 663.0793
432.4543, 670.5529
432.9364, 679.2891
433.4185, 692.1442
433.9006, 708.1091
434.3828, 722.5137
434.8649, 735.3210
435.3470, 747.0805
