##NAMES=Quartz
##RRUFFID=X080016
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted citrine gemstone, 10.23 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080016
497.4322, 113.9798
497.9143, 109.5105
498.3964, 105.2787
498.8785, 101.2032
499.3606, 97.27670
499.8427, 93.48172
500.3249, 89.95412
500.8070, 86.94896
501.2891, 84.00429
501.7712, 80.84736
502.2533, 77.24464
502.7354, 74.00343
503.2176, 71.59253
503.6997, 69.40565
504.1818, 66.76123
504.6639, 63.09750
505.1460, 59.96223
505.6281, 57.71602
506.1103, 56.17828
506.5924, 54.70206
507.0745, 53.34253
507.5566, 51.79073
508.0387, 49.71274
508.5208, 47.12607
509.0030, 44.92995
509.4851, 43.14764
509.9672, 41.71750
510.4493, 40.85031
510.9314, 40.33179
511.4135, 39.30585
511.8957, 37.23521
512.3778, 35.18219
512.8599, 34.72018
513.3420, 35.36716
513.8242, 35.69398
514.3063, 34.65027
514.7884, 33.15182
515.2705, 31.88515
515.7526, 30.93878
516.2347, 30.14903
516.7169, 29.36683
517.1990, 28.70067
517.6811, 28.25527
518.1632, 28.43510
518.6453, 28.29726
519.1274, 27.73005
519.6096, 26.80865
520.0917, 25.58430
520.5738, 23.55681
521.0559, 22.03316
521.5380, 21.55019
522.0201, 22.03107
522.5023, 21.95186
522.9844, 21.18262
523.4665, 20.18969
523.9486, 19.25980
524.4307, 18.39599
524.9128, 17.59986
525.3950, 16.83531
525.8771, 16.27794
526.3592, 16.41515
526.8413, 17.02410
527.3234, 17.21875
527.8055, 16.30271
528.2877, 15.15635
528.7698, 14.95724
529.2519, 15.47971
529.7340, 15.74466
530.2161, 14.82974
530.6982, 13.69968
531.1804, 13.09733
531.6625, 13.21085
532.1446, 13.35039
532.6267, 13.29926
533.1088, 13.17244
533.5909, 13.08155
534.0731, 13.10417
534.5552, 13.07895
535.0373, 12.89886
535.5194, 12.67844
536.0015, 12.73986
536.4836, 13.34925
536.9658, 13.68694
537.4479, 13.33083
537.9300, 12.33191
538.4121, 11.81823
538.8942, 11.84374
539.3763, 12.15384
539.8585, 12.63924
540.3406, 13.25881
540.8227, 13.69821
541.3048, 13.83980
541.7869, 14.08291
542.2690, 15.49813
542.7512, 17.43526
543.2333, 18.24948
543.7154, 16.23217
544.1975, 13.67262
544.6796, 12.51371
545.1617, 12.46608
545.6439, 12.31844
546.1260, 11.26248
546.6081, 10.13641
547.0902, 9.445175
547.5723, 9.345917
548.0544, 9.287888
548.5366, 9.430244
549.0187, 9.440887
549.5008, 9.017365
549.9829, 7.906769
550.4650, 6.797165
550.9471, 5.624123
551.4293, 4.553665
551.9114, 4.068161
552.3935, 4.326591
552.8756, 4.358551
553.3577, 3.586319
553.8398, 2.293800
554.3220, 1.994202
554.8041, 2.724617
555.2862, 3.301910
555.7683, 2.538261
556.2504, 1.007301
556.7325, 0.1772000
557.2147, 0.8516270
557.6968, 1.276070
558.1789, 1.609299
558.6610, 1.849804
559.1431, 1.992146
559.6252, 1.896568
560.1074, 1.842396
560.5895, 2.017368
561.0716, 2.341503
561.5537, 2.532330
562.0358, 2.261295
562.5179, 2.113869
563.0001, 2.358242
563.4822, 3.046413
563.9643, 3.548332
564.4464, 3.902447
564.9285, 4.017776
565.4106, 3.756195
565.8928, 3.036385
566.3749, 2.465919
566.8570, 2.096352
567.3391, 1.878624
567.8212, 1.754436
568.3033, 1.716568
568.7855, 1.737514
569.2676, 1.826740
569.7497, 1.956432
570.2318, 2.182045
570.7139, 2.441246
571.1960, 2.509315
571.6782, 1.947983
572.1603, 1.350597
572.6424, 1.298325
573.1245, 1.878136
573.6066, 2.293457
574.0887, 2.180943
574.5709, 1.826202
575.0530, 1.452843
575.5351, 0.9518550
576.0172, 0.6360050
576.4993, 0.6384620
576.9814, 0.7643240
577.4636, 0.6773910
577.9457, 0.2752610
578.4278, 6.3721001E-02
578.9099, 0.2166560
579.3920, 0.2490960
579.8741, 0.4416080
580.3563, 0.8109400
580.8384, 1.149918
581.3205, 1.156654
581.8026, 1.037857
582.2847, 1.597382
582.7668, 2.877426
583.2490, 3.979679
583.7311, 3.836582
584.2131, 3.183182
584.6953, 3.016819
585.1774, 3.786083
585.6595, 4.561626
586.1416, 4.795536
586.6237, 4.741463
587.1058, 4.785782
587.5880, 5.115047
588.0701, 5.448452
588.5522, 5.422581
589.0343, 5.263542
589.5164, 6.226543
589.9985, 9.334679
590.4807, 11.82853
590.9628, 12.46535
591.4449, 11.21126
591.9270, 9.865570
592.4091, 8.355675
592.8912, 7.068436
593.3734, 6.446465
593.8555, 6.367519
594.3376, 6.313168
594.8197, 6.221935
595.3018, 6.118324
595.7839, 5.905308
596.2661, 5.716183
596.7482, 5.811489
597.2303, 6.610764
597.7124, 7.376812
598.1945, 7.714596
598.6766, 7.697536
599.1588, 7.516472
599.6409, 7.006077
600.1230, 6.534126
600.6051, 6.263515
601.0872, 6.213478
601.5693, 6.169979
602.0515, 6.182137
602.5336, 6.144028
603.0157, 5.942825
603.4978, 5.512047
603.9799, 5.270172
604.4620, 5.262386
604.9442, 5.369934
605.4263, 5.460732
605.9084, 5.529888
606.3905, 5.588024
606.8726, 5.628712
607.3547, 5.663929
607.8369, 5.755604
608.3190, 5.865631
608.8011, 5.884361
609.2832, 5.460888
609.7653, 5.186512
610.2474, 5.636028
610.7296, 6.683537
611.2117, 7.341537
611.6938, 6.887596
612.1759, 6.372730
612.6580, 6.382835
613.1401, 7.125622
613.6223, 7.457550
614.1044, 7.132118
614.5865, 6.721909
615.0686, 6.806828
615.5507, 7.483456
616.0328, 7.773212
616.5150, 7.508301
616.9971, 7.020756
617.4792, 6.754181
617.9613, 6.691246
618.4434, 6.767803
618.9255, 7.082031
619.4077, 7.375000
619.8898, 7.313614
620.3719, 6.984535
620.8540, 6.659836
621.3361, 6.486992
621.8182, 6.322395
622.3004, 6.104435
622.7825, 5.843102
623.2646, 5.556610
623.7467, 5.118011
624.2288, 4.805012
624.7109, 4.801216
625.1931, 5.286598
625.6752, 5.375648
626.1573, 4.899296
626.6394, 4.291855
627.1215, 4.041294
627.6036, 4.151661
628.0858, 4.111427
628.5679, 3.777107
629.0500, 3.438919
629.5321, 3.744804
630.0142, 4.470371
630.4963, 4.837677
630.9785, 4.184273
631.4606, 3.352856
631.9427, 3.091377
632.4248, 3.300629
632.9069, 3.617012
633.3890, 4.111824
633.8712, 4.478817
634.3533, 4.543739
634.8354, 4.273621
635.3175, 3.936066
635.7996, 3.438728
636.2817, 3.031319
636.7639, 2.879990
637.2460, 3.068291
637.7281, 2.988964
638.2102, 2.534180
638.6923, 2.136627
639.1744, 2.408634
639.6566, 3.208729
640.1387, 3.741653
640.6208, 3.812912
641.1029, 3.714226
641.5850, 3.863876
642.0671, 4.079109
642.5493, 4.017097
643.0314, 3.112503
643.5135, 2.329288
643.9956, 2.231918
644.4777, 2.665279
644.9598, 3.134979
645.4420, 3.935337
645.9241, 4.315887
646.4062, 3.830235
646.8883, 2.542992
647.3704, 1.954994
647.8525, 2.319992
648.3347, 2.837906
648.8168, 3.073864
649.2989, 3.035625
649.7810, 2.808491
650.2631, 2.358871
650.7452, 2.012165
651.2274, 2.285641
651.7095, 2.863060
652.1916, 3.071869
652.6737, 2.731190
653.1558, 2.220791
653.6379, 1.584908
654.1201, 1.017998
654.6022, 0.7748990
655.0843, 1.416977
655.5664, 1.829063
656.0485, 1.517616
656.5306, 0.8282320
657.0128, 0.5589640
657.4949, 0.9417110
657.9770, 1.314678
658.4591, 1.547531
658.9412, 1.640709
659.4233, 1.502655
659.9055, 1.097141
660.3876, 0.8704910
660.8697, 1.356770
661.3518, 2.140270
661.8339, 2.059464
662.3160, 1.167553
662.7982, 0.3054620
663.2803, 2.4048001E-02
663.7624, 8.6856999E-02
664.2445, 0.3539890
664.7266, 0.8666190
665.2087, 1.197479
665.6909, 1.076271
666.1730, 0.7910420
666.6551, 0.5683480
667.1372, 0.2815090
667.6193, 0.3001440
668.1014, 0.8075450
668.5836, 1.469238
669.0657, 1.772808
669.5478, 1.666199
670.0299, 1.604279
670.5120, 1.687489
670.9941, 1.876591
671.4763, 2.099785
671.9584, 2.343590
672.4405, 2.588032
672.9226, 2.772713
673.4047, 3.019238
673.8868, 3.423115
674.3690, 3.961319
674.8511, 4.577507
675.3332, 5.566208
675.8153, 6.342518
676.2974, 6.501286
676.7795, 6.008389
677.2617, 5.978718
677.7438, 6.535339
678.2259, 7.357166
678.7080, 8.327358
679.1901, 9.465034
679.6722, 10.61652
680.1544, 11.81263
