##NAMES=Pseudobrookite
##RRUFFID=R120173
##IDEAL CHEMISTRY=(Fe^3+^_2_Ti)O_5_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark brown tabular, associated with R120174 enstatite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120173
381.4638, 74.39685
381.9459, 70.02594
382.4280, 64.82593
382.9102, 59.43390
383.3923, 55.44183
383.8744, 52.67566
384.3565, 49.82062
384.8386, 45.55591
385.3207, 40.67279
385.8029, 37.12103
386.2850, 35.22217
386.7671, 33.72833
387.2492, 31.49469
387.7313, 28.66809
388.2134, 25.63031
388.6956, 22.16919
389.1777, 18.89026
389.6598, 16.55939
390.1419, 15.14471
390.6240, 13.58722
391.1061, 11.07294
391.5883, 8.146851
392.0704, 5.335938
392.5525, 2.555359
393.0346, 0.2686770
393.5167, 1.256470
393.9988, 2.143677
394.4810, 2.782593
394.9631, 2.579163
395.4452, 2.727417
395.9273, 4.163513
396.4094, 7.798157
396.8915, 10.14899
397.3737, 9.787292
397.8558, 8.077148
398.3379, 6.700745
398.8200, 6.116333
399.3021, 5.595825
399.7842, 4.977905
400.2664, 4.272888
400.7485, 3.813293
401.2306, 3.910278
401.7127, 3.969788
402.1948, 3.585022
402.6769, 2.490295
403.1591, 1.570251
403.6412, 1.006226
404.1233, 0.5906980
404.6054, 0.2673340
405.0875, 1.769226
405.5696, 3.134827
406.0518, 4.023987
406.5339, 4.433105
407.0160, 4.758362
407.4981, 4.953979
407.9802, 5.263367
408.4623, 6.087036
408.9445, 7.423462
409.4266, 8.572571
409.9087, 9.132202
410.3908, 9.595215
410.8729, 11.35492
411.3550, 14.38531
411.8372, 17.45959
412.3193, 19.64087
412.8014, 21.23358
413.2835, 22.92175
413.7656, 24.77679
414.2477, 26.79919
414.7299, 28.78058
415.2120, 30.89795
415.6941, 33.56293
416.1762, 37.93030
416.6583, 42.28827
417.1404, 44.62067
417.6226, 44.98456
418.1047, 45.82928
418.5868, 49.03381
419.0689, 53.16400
419.5510, 56.89246
420.0331, 59.70496
420.5153, 62.24316
420.9974, 64.59583
421.4795, 66.84283
421.9616, 69.13617
422.4437, 71.74365
422.9258, 74.25610
423.4080, 76.53156
423.8901, 78.59290
424.3722, 80.42297
424.8543, 81.97083
425.3364, 83.34454
425.8185, 84.61182
426.3007, 85.30164
426.7828, 86.61487
427.2649, 88.98944
427.7470, 92.21027
428.2291, 94.92926
428.7112, 97.05835
429.1934, 98.79541
429.6755, 100.2633
430.1576, 101.4741
430.6397, 102.0967
431.1218, 101.7360
431.6039, 101.3905
432.0861, 103.1324
432.5682, 107.1557
433.0503, 110.2450
433.5324, 110.7968
434.0145, 109.6760
434.4966, 109.9732
434.9788, 111.7429
435.4609, 113.8848
435.9430, 115.6721
436.4251, 117.1219
436.9072, 118.2300
437.3893, 118.9219
437.8715, 119.5412
438.3536, 120.3060
438.8357, 121.2534
439.3178, 122.4936
439.7999, 124.5308
440.2820, 126.6085
440.7642, 128.0671
441.2463, 128.8682
441.7284, 129.2409
442.2105, 128.8956
442.6926, 128.2874
443.1747, 127.8345
443.6569, 127.7656
444.1390, 127.8229
444.6211, 128.0697
445.1032, 128.3718
445.5853, 128.4187
446.0674, 128.3187
446.5496, 127.8599
447.0317, 126.8763
447.5138, 125.1153
447.9959, 123.7503
448.4780, 123.2303
448.9601, 122.7943
449.4423, 121.5804
449.9244, 119.1373
450.4065, 117.1337
450.8886, 116.0025
451.3707, 115.4046
451.8528, 113.9427
452.3350, 111.3275
452.8171, 108.8300
453.2992, 107.2445
453.7813, 106.5182
454.2634, 104.9418
454.7455, 102.3193
455.2277, 99.32806
455.7098, 96.50519
456.1919, 93.92090
456.6740, 91.89294
457.1561, 91.04077
457.6382, 90.49066
458.1204, 88.61481
458.6025, 85.51672
459.0846, 82.29553
459.5667, 79.58691
460.0488, 77.26202
460.5309, 75.25842
461.0131, 73.71368
461.4952, 71.98315
461.9773, 69.15155
462.4594, 65.91815
462.9415, 63.24860
463.4236, 62.24017
463.9058, 61.33105
464.3879, 59.65051
464.8700, 57.29437
465.3521, 55.17157
465.8342, 53.66901
466.3163, 52.35516
466.7985, 50.97174
467.2806, 49.35956
467.7627, 47.97815
468.2448, 47.21149
468.7269, 46.49597
469.2090, 44.99573
469.6912, 42.24146
470.1733, 39.54620
470.6554, 37.23352
471.1375, 35.26666
471.6196, 33.11823
472.1017, 30.62366
472.5839, 28.39923
473.0660, 26.88379
473.5481, 26.07910
474.0302, 25.14648
474.5123, 24.02307
474.9944, 22.77094
475.4766, 21.54266
475.9587, 20.32306
476.4408, 18.88446
476.9229, 16.97632
477.4050, 14.95258
477.8871, 13.43127
478.3693, 12.37946
478.8514, 11.47241
479.3335, 10.27405
479.8156, 9.149170
480.2977, 8.682434
480.7798, 9.190063
481.2620, 9.663940
481.7441, 9.470825
482.2262, 8.875671
482.7083, 8.261169
483.1904, 7.351318
483.6725, 6.750854
484.1547, 6.933167
484.6368, 7.841187
485.1189, 8.419128
485.6010, 8.509583
486.0831, 8.169495
486.5652, 7.386169
487.0474, 5.672302
487.5295, 4.628174
488.0116, 4.648987
488.4937, 5.029663
488.9758, 4.713684
489.4579, 3.401367
489.9401, 2.385193
490.4222, 2.059204
490.9043, 2.252136
491.3864, 2.034119
491.8685, 1.334839
492.3506, 0.6392820
492.8328, 0.3284300
493.3149, 0.3066410
493.7970, 0.2207030
494.2791, 7.4157998E-02
494.7612, 0.1912840
495.2433, 0.9247440
495.7255, 1.899353
496.2076, 2.509399
496.6897, 2.284851
497.1718, 1.827271
497.6539, 1.603882
498.1360, 1.598877
498.6182, 1.781311
499.1003, 2.447937
499.5824, 3.062256
500.0645, 3.104309
500.5466, 2.360718
501.0287, 1.937500
501.5109, 2.552063
501.9930, 3.463196
502.4751, 3.916626
502.9572, 3.331726
503.4393, 2.875000
503.9214, 2.682312
504.4036, 2.703247
504.8857, 2.805725
505.3678, 3.090454
505.8499, 3.293152
506.3320, 3.230713
506.8141, 2.859680
507.2963, 2.946350
507.7784, 3.710815
508.2605, 4.364807
508.7426, 3.887756
509.2247, 2.375610
509.7068, 1.336182
510.1890, 1.150208
510.6711, 1.370483
511.1532, 1.328552
511.6353, 1.052429
512.1174, 0.6492310
512.5995, 8.9417003E-02
513.0817, 0.5098880
513.5638, 1.047546
514.0459, 1.515076
514.5280, 1.833130
515.0101, 1.669861
515.4922, 1.482239
515.9744, 1.758911
516.4565, 2.916138
516.9386, 3.926147
517.4207, 4.687317
517.9028, 5.052551
518.3849, 4.776917
518.8671, 2.728149
519.3492, 1.217224
519.8313, 0.9304200
520.3134, 1.774536
520.7955, 2.235046
521.2776, 1.937622
521.7598, 1.796631
522.2419, 2.451843
522.7240, 4.139221
523.2061, 5.325745
523.6882, 5.927551
524.1703, 6.153748
524.6525, 6.069092
525.1346, 5.718079
525.6167, 5.896606
526.0988, 7.074585
526.5809, 8.621887
527.0630, 9.480164
527.5452, 9.689331
528.0273, 9.482727
528.5094, 8.753784
528.9915, 7.816040
529.4736, 6.871338
529.9557, 5.915161
530.4379, 5.393127
530.9200, 5.721008
531.4021, 6.521118
531.8842, 7.441772
532.3663, 8.641479
532.8484, 9.582031
533.3306, 10.07806
533.8127, 10.21594
534.2948, 10.17035
534.7769, 9.694580
535.2590, 9.331177
535.7411, 9.149597
536.2233, 9.158875
536.7054, 9.622559
537.1875, 10.81165
537.6696, 11.95294
538.1517, 12.54260
538.6339, 12.55151
539.1160, 12.34229
539.5981, 11.80786
540.0802, 11.43402
540.5623, 12.17023
541.0444, 13.77039
541.5266, 14.79095
542.0087, 14.41113
542.4908, 13.64874
542.9729, 14.17407
543.4550, 15.66315
543.9371, 16.84528
544.4193, 16.39447
544.9014, 15.73804
545.3835, 16.27197
545.8656, 18.17883
546.3477, 19.79303
546.8298, 20.26007
547.3120, 20.25195
547.7941, 20.30908
548.2762, 20.26337
548.7583, 20.62817
549.2404, 21.40802
549.7225, 22.60046
550.2047, 24.44470
550.6868, 28.15222
551.1689, 30.10309
551.6510, 28.73657
552.1331, 24.72650
552.6152, 22.61725
553.0974, 22.64240
553.5795, 23.24109
554.0616, 23.54974
