##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
322.3466, 520.5808
322.8287, 516.4851
323.3108, 512.4932
323.7929, 508.6367
324.2751, 505.0781
324.7572, 502.0886
325.2393, 498.8445
325.7214, 495.3992
326.2035, 491.5815
326.6856, 486.9167
327.1678, 481.5452
327.6499, 476.2515
328.1320, 471.8242
328.6141, 468.2793
329.0962, 465.6558
329.5783, 465.8242
330.0605, 465.0996
330.5426, 461.9497
331.0247, 456.4482
331.5068, 449.1687
331.9889, 440.2812
332.4710, 430.0713
332.9532, 422.3157
333.4353, 419.6414
333.9174, 416.4524
334.3995, 411.5723
334.8816, 405.6499
335.3637, 399.6426
335.8459, 394.1067
336.3280, 388.8696
336.8101, 383.6858
337.2922, 378.2029
337.7743, 373.3149
338.2564, 370.6523
338.7386, 367.6733
339.2206, 361.2959
339.7028, 350.9622
340.1849, 339.8882
340.6670, 333.5425
341.1491, 335.6084
341.6312, 333.1526
342.1133, 322.6323
342.5955, 311.2104
343.0776, 302.5876
343.5597, 296.9346
344.0418, 292.5564
344.5239, 288.2031
345.0060, 283.9922
345.4882, 278.3284
345.9703, 269.4185
346.4524, 260.6782
346.9345, 252.4626
347.4166, 244.9773
347.8987, 238.6733
348.3809, 234.1274
348.8630, 230.9070
349.3451, 226.9866
349.8272, 222.2810
350.3093, 216.3738
350.7914, 208.4734
351.2736, 200.0400
351.7557, 192.3870
352.2378, 185.8604
352.7199, 180.2998
353.2020, 176.0010
353.6841, 173.9407
354.1663, 169.9939
354.6484, 161.9080
355.1305, 153.4326
355.6126, 146.4934
356.0947, 141.2747
356.5768, 137.0649
357.0590, 133.6404
357.5411, 131.1487
358.0232, 127.4189
358.5053, 121.8745
358.9874, 115.8589
359.4695, 109.2119
359.9517, 102.5879
360.4338, 97.39600
360.9159, 94.94116
361.3980, 93.94946
361.8801, 90.29639
362.3622, 82.95825
362.8444, 75.79688
363.3265, 69.69092
363.8086, 64.33594
364.2907, 59.83936
364.7728, 56.39331
365.2549, 53.31958
365.7371, 49.54980
366.2192, 44.84888
366.7013, 40.36401
367.1834, 36.01978
367.6655, 32.32666
368.1476, 29.77979
368.6298, 28.32971
369.1119, 27.40283
369.5940, 27.67651
370.0761, 28.46045
370.5582, 26.01245
371.0403, 17.98877
371.5225, 10.35889
372.0046, 8.038208
372.4867, 9.423340
372.9688, 10.44373
373.4509, 9.429077
373.9330, 7.119385
374.4152, 4.191650
374.8973, 0.5345460
375.3794, 2.477051
375.8615, 4.187988
376.3436, 4.618286
376.8257, 3.669434
377.3079, 0.6781010
377.7900, 2.008911
378.2721, 2.330322
378.7542, 0.7880860
379.2363, 0.2458500
379.7184, 0.1105960
380.2006, 0.7224120
380.6827, 4.2969000E-02
381.1648, 1.848511
381.6469, 3.904907
382.1290, 6.430176
382.6111, 8.696655
383.0933, 9.487549
383.5754, 8.654541
384.0575, 7.099243
384.5396, 5.280884
385.0217, 3.336670
385.5038, 2.155762
385.9860, 1.819214
386.4681, 2.107300
386.9502, 3.581177
387.4323, 5.703735
387.9144, 6.603394
388.3965, 5.082275
388.8787, 2.209839
389.3608, 0.9649660
389.8429, 2.442627
390.3250, 3.004883
390.8071, 1.097046
391.2892, 1.760498
391.7714, 3.753418
392.2535, 4.476929
392.7356, 4.613770
393.2177, 4.994751
393.6998, 5.743530
394.1819, 5.981812
394.6641, 4.608521
395.1462, 3.718506
395.6283, 5.211060
396.1104, 8.337280
396.5925, 10.75488
397.0746, 10.83386
397.5568, 9.076782
398.0389, 8.092529
398.5210, 8.424805
399.0031, 8.968506
399.4852, 10.16052
399.9673, 11.25012
400.4495, 11.32458
400.9316, 10.13660
401.4137, 8.207886
401.8958, 6.248901
402.3779, 4.057129
402.8600, 2.426270
403.3422, 0.8665770
403.8243, 0.1562500
404.3064, 1.601318
404.7885, 4.391113
405.2706, 6.192139
405.7527, 5.052734
406.2349, 1.378784
406.7170, 1.274536
407.1991, 1.764160
407.6812, 2.812622
408.1633, 5.709229
408.6454, 9.163818
409.1276, 11.77112
409.6097, 13.00244
410.0918, 13.35095
410.5739, 13.31482
411.0560, 12.65234
411.5381, 12.80090
412.0203, 14.95227
412.5024, 17.14392
412.9845, 18.26660
413.4666, 18.34656
413.9487, 17.99353
414.4308, 17.19751
414.9130, 16.23694
415.3951, 16.31470
415.8772, 17.83313
416.3593, 19.40674
416.8414, 21.00293
417.3235, 22.00684
417.8057, 21.13025
418.2878, 17.18835
418.7699, 13.07751
419.2520, 12.19189
419.7341, 14.14050
420.2162, 14.91162
420.6984, 12.58032
421.1805, 9.516235
421.6626, 9.057373
422.1447, 11.22705
422.6268, 12.83447
423.1089, 12.45483
423.5911, 10.98193
424.0732, 9.515869
424.5553, 8.166748
425.0374, 6.948120
425.5195, 5.801636
426.0016, 4.796997
426.4838, 4.237793
426.9659, 5.733887
427.4480, 5.981445
427.9301, 1.827759
428.4122, 4.557373
428.8943, 8.301880
429.3765, 7.421265
429.8586, 4.238403
430.3407, 2.683228
430.8228, 3.176880
431.3049, 4.740967
431.7870, 8.424561
432.2692, 12.40674
432.7513, 15.36804
433.2334, 17.27319
433.7155, 18.87317
434.1976, 20.81323
434.6797, 23.04895
435.1619, 24.71790
435.6440, 24.67493
436.1261, 25.32300
436.6082, 27.33191
437.0903, 30.10510
437.5724, 32.92383
438.0546, 35.53809
438.5367, 38.25098
439.0188, 41.78406
439.5009, 46.80017
439.9830, 50.38745
440.4651, 51.12952
440.9473, 51.65173
441.4294, 52.65540
441.9115, 54.45081
442.3936, 57.61401
442.8757, 63.10547
443.3578, 69.86877
443.8400, 73.87756
444.3221, 73.73779
444.8042, 74.31653
445.2863, 78.33777
445.7684, 83.37769
446.2505, 87.06128
446.7327, 88.83582
447.2148, 90.68164
447.6969, 94.67029
448.1790, 100.3674
448.6611, 105.2905
449.1432, 108.8167
449.6254, 111.9303
450.1075, 115.4241
450.5896, 119.2079
451.0717, 123.0908
451.5538, 127.5620
452.0359, 131.7128
452.5181, 134.2410
453.0002, 135.4033
453.4823, 137.0120
453.9644, 139.9585
454.4465, 143.7509
454.9286, 147.2975
455.4108, 150.4243
455.8929, 153.8005
456.3750, 157.5332
456.8571, 161.6084
457.3392, 166.1287
457.8214, 171.0657
458.3035, 176.1587
458.7856, 181.2220
459.2677, 186.2531
459.7498, 191.1621
460.2319, 196.1732
460.7141, 200.7615
461.1962, 204.1490
461.6783, 207.2450
462.1604, 211.7155
462.6425, 218.1455
463.1246, 224.9974
463.6068, 229.3392
464.0889, 229.3533
464.5710, 231.1705
465.0531, 236.2279
465.5352, 241.8047
466.0173, 246.8453
466.4995, 251.2131
466.9816, 254.9888
467.4637, 258.0950
467.9458, 260.9833
468.4279, 265.1984
468.9100, 271.5796
469.3922, 277.2413
469.8743, 280.6394
470.3564, 283.2565
470.8385, 285.9399
471.3206, 288.9126
471.8027, 292.9944
472.2849, 299.4711
472.7670, 307.7107
473.2491, 314.8763
473.7312, 320.2129
474.2133, 325.5713
474.6954, 332.3971
475.1776, 340.3005
475.6597, 348.4335
476.1418, 357.0984
476.6239, 365.7618
477.1060, 373.2488
477.5881, 379.9354
478.0703, 387.7463
478.5524, 397.3738
479.0345, 408.7080
479.5166, 421.5459
479.9987, 436.2390
480.4808, 450.2131
480.9630, 462.9353
481.4451, 475.4993
481.9272, 487.9705
482.4093, 500.7599
482.8914, 514.8925
483.3735, 531.1345
483.8557, 549.0215
484.3378, 566.9713
484.8199, 583.4867
485.3020, 602.0769
485.7841, 624.2722
486.2662, 648.1504
486.7484, 671.9514
487.2305, 695.3440
487.7126, 718.9377
488.1947, 743.8334
488.6768, 770.0730
489.1589, 796.3154
489.6411, 821.7178
490.1232, 848.9637
490.6053, 879.6089
491.0874, 911.8994
491.5695, 943.6311
492.0516, 974.1013
492.5338, 1004.959
493.0159, 1038.054
493.4980, 1073.154
493.9801, 1107.210
494.4622, 1138.912
494.9443, 1171.321
495.4265, 1207.466
495.9086, 1246.315
496.3907, 1284.708
496.8728, 1321.164
497.3549, 1357.705
497.8370, 1396.654
498.3192, 1437.013
498.8013, 1475.059
499.2834, 1508.862
499.7655, 1540.924
500.2476, 1575.899
500.7297, 1615.270
501.2119, 1652.259
501.6940, 1685.557
502.1761, 1716.928
502.6582, 1747.473
503.1403, 1777.290
503.6224, 1806.644
504.1045, 1835.753
504.5866, 1864.298
505.0688, 1891.454
505.5509, 1919.000
506.0330, 1942.149
506.5151, 1958.823
506.9972, 1972.923
507.4793, 1987.563
507.9615, 2002.758
508.4436, 2016.390
508.9257, 2027.028
509.4078, 2034.631
509.8899, 2038.545
510.3720, 2038.632
510.8542, 2035.266
511.3363, 2026.954
511.8184, 2016.174
512.3005, 2006.310
512.7827, 1998.386
513.2648, 1986.183
513.7469, 1963.028
514.2290, 1931.940
514.7111, 1902.457
515.1932, 1876.887
515.6754, 1847.221
516.1575, 1806.291
516.6396, 1755.591
517.1217, 1704.628
517.6038, 1656.257
518.0859, 1604.906
518.5681, 1546.147
519.0502, 1483.238
519.5323, 1422.095
520.0144, 1364.087
520.4965, 1306.316
520.9786, 1244.847
521.4608, 1178.561
521.9429, 1115.135
522.4250, 1055.700
522.9071, 996.5930
523.3892, 935.1166
523.8713, 873.6918
524.3535, 816.0787
524.8356, 764.1617
525.3177, 716.0906
525.7998, 670.0774
526.2819, 626.5090
526.7640, 583.3242
527.2462, 538.8801
527.7283, 496.8457
528.2104, 458.5367
528.6925, 423.9761
529.1746, 393.1172
529.6567, 366.8982
530.1389, 342.8663
530.6210, 317.5994
531.1031, 291.2789
531.5852, 267.1160
532.0673, 246.3738
532.5494, 227.6605
533.0316, 208.8972
533.5137, 190.1874
533.9958, 173.6732
534.4779, 160.7811
534.9600, 149.4525
535.4421, 138.4952
535.9243, 127.6899
536.4064, 115.8531
536.8885, 102.1722
537.3706, 88.77087
537.8527, 80.54724
538.3348, 81.79578
538.8170, 79.53003
539.2991, 69.80457
539.7812, 60.40332
540.2633, 56.63269
540.7454, 57.07629
541.2275, 56.79651
541.7097, 52.62231
542.1918, 46.35352
542.6739, 42.93701
543.1560, 43.43005
543.6381, 43.33252
544.1202, 40.66174
544.6024, 38.06677
545.0845, 37.73279
545.5666, 39.24634
546.0487, 40.06384
546.5308, 37.61401
547.0129, 34.29199
547.4951, 34.12830
547.9772, 37.05432
548.4593, 40.58606
548.9414, 44.01685
549.4235, 47.11548
549.9056, 49.07385
550.3878, 49.52246
550.8699, 51.09705
551.3520, 55.72351
551.8341, 60.55884
552.3162, 62.53284
552.7983, 62.38611
553.2805, 63.70984
553.7626, 68.84326
554.2447, 75.84363
554.7268, 78.89282
555.2089, 74.59851
555.6910, 72.31946
556.1732, 73.75183
556.6553, 75.75037
557.1374, 76.48523
557.6195, 76.03027
558.1016, 75.31421
558.5837, 74.87488
559.0659, 74.60059
559.5480, 74.35632
560.0301, 74.24792
560.5122, 73.56116
560.9943, 72.09094
561.4764, 69.92883
561.9586, 67.12219
562.4407, 63.71301
562.9228, 60.21509
563.4049, 56.58167
563.8870, 53.11646
564.3691, 50.44019
564.8513, 48.36560
565.3334, 45.86584
565.8155, 42.44836
566.2976, 38.45496
566.7797, 34.38696
567.2618, 29.76501
567.7440, 26.36646
568.2261, 25.55298
568.7082, 24.73840
569.1903, 22.72253
569.6724, 19.45032
570.1545, 14.61523
570.6367, 7.924683
571.1188, 1.073730
571.6009, 1.809814
572.0830, 0.5190430
572.5651, 1.868774
573.0472, 0.7725830
573.5294, 0.6805420
574.0115, 1.238647
574.4936, 1.242798
574.9757, 1.733398
575.4578, 3.410645
575.9399, 5.387695
576.4221, 6.931030
576.9042, 7.957886
577.3863, 7.751465
577.8684, 5.712769
578.3505, 3.539429
578.8326, 3.478882
579.3148, 5.741455
579.7969, 6.723999
580.2790, 5.330444
580.7611, 3.661133
581.2432, 2.745605
581.7253, 2.235229
582.2075, 1.574829
582.6896, 0.5424800
583.1717, 0.8763430
583.6538, 2.824097
584.1359, 5.454468
584.6180, 7.503662
585.1002, 8.443115
585.5823, 9.393066
586.0643, 9.869141
586.5464, 10.88220
587.0286, 14.31445
587.5107, 20.90063
587.9928, 27.26538
588.4749, 29.86584
588.9570, 29.49670
589.4391, 29.07617
589.9213, 28.83276
590.4034, 29.21936
590.8855, 30.52893
591.3676, 32.69873
591.8497, 35.26379
592.3318, 38.59302
592.8140, 41.81323
593.2961, 45.11548
593.7782, 47.83813
594.2603, 48.90149
594.7424, 48.42920
595.2245, 47.63330
595.7067, 47.43420
596.1888, 47.97168
596.6709, 49.83130
597.1530, 53.76660
597.6351, 57.96338
598.1172, 63.19629
598.5994, 67.77966
599.0815, 70.13550
599.5636, 70.46924
600.0457, 70.25488
600.5278, 69.54041
601.0099, 69.44116
601.4921, 73.13562
601.9742, 80.61414
602.4563, 85.49976
602.9384, 84.44165
603.4205, 81.44202
603.9026, 82.84253
604.3848, 88.92725
604.8669, 92.88428
605.3490, 91.83960
605.8311, 90.13208
606.3132, 90.29944
606.7953, 91.86670
607.2775, 93.63916
607.7596, 95.21509
608.2417, 96.31506
608.7238, 96.23315
609.2059, 94.53040
609.6880, 93.95715
610.1702, 95.56738
610.6523, 96.83704
611.1344, 96.73950
611.6165, 95.96277
612.0986, 95.55005
612.5807, 95.77759
613.0629, 95.80530
613.5450, 94.67407
614.0271, 92.80518
614.5092, 91.59290
614.9913, 91.29724
615.4734, 90.63574
615.9556, 88.34375
616.4377, 85.13049
616.9198, 83.45044
617.4019, 83.88379
617.8840, 84.39429
618.3661, 85.47607
618.8483, 85.83105
619.3304, 83.60095
619.8125, 79.43164
620.2946, 75.87476
620.7767, 74.44812
621.2589, 74.46777
621.7410, 74.97314
622.2231, 76.65723
622.7052, 77.76929
623.1873, 77.82800
623.6694, 77.08264
624.1516, 75.53625
624.6337, 73.34888
625.1158, 70.95190
625.5979, 68.65234
626.0800, 66.10889
626.5621, 62.71960
627.0443, 58.86353
627.5264, 55.98828
628.0085, 54.39600
628.4906, 53.00549
628.9727, 50.58521
629.4548, 47.17517
629.9370, 45.72705
630.4191, 49.00220
630.9012, 50.52234
631.3833, 47.86487
631.8654, 43.24231
632.3475, 38.12939
632.8297, 33.29309
633.3118, 30.19189
633.7939, 30.83521
634.2760, 33.95032
634.7581, 33.85938
635.2402, 29.54968
635.7224, 26.17639
636.2045, 26.13098
636.6866, 26.99976
637.1687, 26.24011
637.6508, 23.92725
638.1329, 21.59680
638.6151, 19.90125
639.0972, 18.23938
639.5793, 15.65912
640.0614, 12.73938
640.5435, 11.09338
641.0256, 11.31689
641.5078, 12.50793
641.9899, 13.73932
642.4720, 15.25885
642.9541, 14.75543
643.4362, 9.463013
643.9183, 5.338379
644.4005, 4.390503
644.8826, 4.931335
645.3647, 5.406128
645.8468, 5.404358
646.3289, 4.609863
646.8110, 1.830017
647.2932, 1.723145
647.7753, 2.416748
648.2574, 2.1118000E-02
648.7395, 1.558777
649.2216, 0.2726440
649.7037, 2.367859
650.1859, 3.632202
650.6680, 3.232849
651.1501, 2.952332
651.6322, 3.507080
652.1143, 3.670715
652.5964, 1.992981
653.0786, 0.4307860
653.5607, 1.545349
654.0428, 0.5974120
654.5249, 1.494812
655.0070, 3.943054
655.4891, 6.827026
655.9713, 7.603149
656.4534, 4.813232
656.9355, 2.744202
657.4176, 4.334900
657.8997, 7.353760
658.3818, 9.501221
658.8640, 10.61017
659.3461, 10.43640
659.8282, 7.793396
660.3103, 4.516357
660.7924, 2.278503
661.2745, 1.288757
661.7567, 2.061096
662.2388, 5.022278
662.7209, 8.694458
663.2030, 10.25116
663.6851, 9.127014
664.1672, 7.782959
664.6494, 5.243042
665.1315, 3.561646
665.6136, 3.828613
666.0957, 5.227356
666.5778, 6.914734
667.0599, 8.722656
667.5421, 9.604431
668.0242, 7.784058
668.5063, 4.527161
668.9884, 3.256409
669.4705, 4.214844
669.9526, 4.954895
670.4348, 4.054443
670.9169, 2.263733
671.3990, 1.184082
671.8811, 1.107422
672.3632, 1.072937
672.8453, 1.210144
673.3275, 1.234680
673.8096, 1.094177
674.2917, 0.6864620
674.7738, 0.2124630
675.2559, 1.692383
675.7380, 3.293091
676.2202, 4.709839
676.7023, 5.857605
677.1844, 5.395508
677.6665, 2.401489
678.1486, 0.8839110
678.6307, 4.362793
679.1129, 9.742188
679.5950, 10.68915
680.0771, 5.823364
680.5592, 2.758850
681.0413, 4.197083
681.5234, 7.371826
682.0056, 10.87134
682.4877, 14.29175
682.9698, 17.38513
683.4519, 20.02496
683.9340, 21.65961
684.4161, 20.79077
684.8983, 16.98181
685.3804, 16.15338
685.8625, 19.90698
686.3446, 23.85760
686.8267, 26.55676
687.3088, 28.21820
687.7910, 28.58368
688.2731, 27.45715
688.7552, 27.19855
689.2373, 29.14307
689.7194, 32.24689
690.2015, 35.89575
690.6837, 39.76929
691.1658, 43.17743
691.6479, 45.84692
692.1300, 47.61578
692.6121, 48.03265
693.0942, 46.77441
693.5764, 46.51166
694.0585, 47.07324
694.5406, 48.96405
695.0227, 53.95166
695.5048, 59.30157
695.9869, 61.50122
696.4691, 60.19958
696.9512, 59.61414
697.4333, 63.13080
697.9154, 68.20508
698.3975, 71.65045
698.8796, 73.54126
699.3618, 74.49347
699.8439, 74.62952
700.3260, 74.75031
700.8081, 75.90588
701.2902, 78.15198
701.7723, 80.91364
702.2545, 84.50360
702.7366, 88.23883
703.2187, 92.64703
703.7008, 96.71460
704.1829, 99.13861
704.6650, 100.0020
705.1472, 100.9389
705.6293, 103.7778
706.1114, 107.0546
706.5935, 107.4572
707.0756, 105.5329
707.5577, 105.5162
708.0399, 108.9537
708.5220, 113.4758
709.0041, 116.6150
709.4862, 118.3320
709.9683, 119.5065
710.4504, 118.8206
710.9326, 119.5494
711.4147, 123.3150
711.8968, 127.7505
712.3789, 131.0226
712.8610, 132.9220
713.3431, 133.8099
713.8253, 133.6946
714.3074, 133.5822
714.7895, 134.6888
715.2716, 136.7313
715.7537, 139.1468
716.2358, 141.9748
716.7180, 144.7740
717.2001, 147.3054
717.6822, 149.6746
718.1643, 151.5984
718.6464, 151.6738
719.1285, 153.0800
719.6107, 157.7964
720.0928, 162.1833
720.5749, 162.7513
721.0570, 160.9103
721.5391, 160.9109
722.0212, 165.0242
722.5034, 170.4603
722.9855, 173.4364
723.4676, 174.1287
723.9497, 173.8708
724.4318, 172.5806
724.9139, 171.7596
725.3961, 172.5464
725.8782, 174.5873
726.3603, 176.5964
