##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,SO_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
476.7445, 2829.326
477.2266, 2876.752
477.7087, 2922.210
478.1908, 2966.385
478.6729, 3009.446
479.1551, 3051.132
479.6372, 3089.240
480.1193, 3131.702
480.6014, 3182.838
481.0835, 3233.307
481.5656, 3278.410
482.0478, 3318.461
482.5299, 3355.192
483.0120, 3389.062
483.4941, 3421.566
483.9762, 3457.060
484.4583, 3498.755
484.9405, 3537.802
485.4226, 3572.694
485.9047, 3604.186
486.3868, 3632.837
486.8689, 3658.739
487.3510, 3680.286
487.8332, 3697.349
488.3153, 3709.326
488.7974, 3713.693
489.2795, 3711.028
489.7616, 3698.071
490.2437, 3670.575
490.7259, 3631.943
491.2080, 3585.600
491.6901, 3532.230
492.1722, 3470.485
492.6543, 3399.794
493.1364, 3320.521
493.6186, 3232.562
494.1007, 3134.413
494.5828, 3030.308
495.0649, 2925.175
495.5470, 2819.231
496.0291, 2706.976
496.5113, 2584.297
496.9934, 2457.694
497.4755, 2328.432
497.9576, 2198.602
498.4397, 2072.138
498.9218, 1951.640
499.4040, 1834.788
499.8861, 1717.496
500.3682, 1594.432
500.8503, 1483.562
501.3324, 1387.181
501.8145, 1298.444
502.2967, 1214.121
502.7788, 1133.498
503.2609, 1055.688
503.7430, 979.2930
504.2251, 905.5039
504.7072, 840.0830
505.1894, 785.3350
505.6715, 733.1113
506.1536, 680.3027
506.6357, 629.6523
507.1178, 582.7676
507.5999, 540.0879
508.0821, 503.4766
508.5642, 475.0098
509.0463, 453.7207
509.5284, 436.7207
510.0105, 423.9072
510.4926, 415.4932
510.9748, 412.5186
511.4569, 414.0723
511.9390, 417.2832
512.4211, 420.4971
512.9032, 428.0137
513.3853, 440.9287
513.8674, 459.7412
514.3495, 485.6641
514.8317, 519.2158
515.3138, 557.7930
515.7959, 599.1299
516.2780, 643.4736
516.7601, 689.3486
517.2422, 733.5723
517.7244, 782.8232
518.2065, 839.0527
518.6886, 901.8398
519.1707, 970.2549
519.6528, 1043.857
520.1349, 1123.729
520.6171, 1211.312
521.0992, 1307.597
521.5813, 1407.823
522.0634, 1513.311
522.5455, 1621.940
523.0276, 1730.982
523.5098, 1843.181
523.9919, 1962.674
524.4740, 2092.175
524.9561, 2228.854
525.4382, 2371.973
525.9203, 2520.763
526.4025, 2671.211
526.8846, 2820.846
527.3667, 2972.413
527.8488, 3127.643
528.3309, 3286.646
528.8130, 3457.125
529.2952, 3647.036
529.7773, 3844.595
530.2594, 4037.897
530.7415, 4229.006
531.2236, 4430.560
531.7057, 4649.088
532.1879, 4878.254
532.6700, 5104.929
533.1521, 5323.631
533.6342, 5556.987
534.1163, 5810.375
534.5984, 6073.138
535.0806, 6341.161
535.5627, 6612.339
536.0448, 6882.445
536.5269, 7146.495
537.0090, 7411.912
537.4911, 7698.764
537.9733, 8022.191
538.4554, 8339.405
538.9375, 8637.540
539.4196, 8934.570
539.9017, 9247.980
540.3839, 9573.996
540.8660, 9890.263
541.3481, 10181.46
541.8302, 10454.39
542.3123, 10725.77
542.7944, 10996.69
543.2766, 11253.40
543.7587, 11485.73
544.2408, 11703.39
544.7229, 11921.52
545.2050, 12141.39
545.6871, 12352.68
546.1693, 12550.77
546.6514, 12738.22
547.1335, 12914.83
547.6156, 13082.35
548.0977, 13254.18
548.5798, 13439.62
549.0620, 13633.11
549.5441, 13814.64
550.0262, 13970.04
550.5083, 14131.79
550.9904, 14309.54
551.4725, 14486.92
551.9547, 14658.46
552.4368, 14818.22
552.9189, 14956.49
553.4010, 15065.13
553.8831, 15146.40
554.3652, 15209.44
554.8474, 15259.22
555.3295, 15279.49
555.8116, 15262.26
556.2937, 15214.83
556.7758, 15138.51
557.2579, 15034.54
557.7401, 14907.82
558.2222, 14755.15
558.7043, 14584.43
559.1864, 14405.71
559.6685, 14219.98
560.1506, 14023.05
560.6328, 13809.66
561.1149, 13589.49
561.5970, 13379.32
562.0791, 13179.93
562.5612, 12987.28
563.0433, 12798.07
563.5255, 12617.31
564.0076, 12450.42
564.4897, 12295.88
564.9718, 12143.94
565.4539, 11988.39
565.9360, 11831.19
566.4182, 11679.88
566.9003, 11532.81
567.3824, 11393.32
567.8645, 11263.37
568.3466, 11138.42
568.8287, 11018.08
569.3109, 10900.33
569.7930, 10784.18
570.2751, 10669.53
570.7572, 10554.09
571.2393, 10434.71
571.7214, 10312.19
572.2036, 10181.97
572.6857, 10043.68
573.1678, 9897.354
573.6499, 9740.625
574.1320, 9574.515
574.6141, 9406.997
575.0963, 9245.670
575.5784, 9080.210
576.0605, 8903.934
576.5426, 8716.387
577.0247, 8514.584
577.5068, 8297.409
577.9890, 8069.111
578.4711, 7837.229
578.9532, 7600.497
579.4353, 7363.553
579.9174, 7121.562
580.3995, 6883.927
580.8817, 6657.495
581.3638, 6439.224
581.8459, 6223.084
582.3280, 6005.494
582.8101, 5791.636
583.2922, 5588.332
583.7744, 5396.518
584.2565, 5208.446
584.7386, 5019.101
585.2207, 4836.338
585.7029, 4670.084
586.1850, 4513.784
586.6671, 4349.893
587.1492, 4163.199
587.6313, 3981.122
588.1135, 3825.370
588.5956, 3688.975
589.0777, 3556.853
589.5598, 3425.571
590.0419, 3295.281
590.5240, 3166.993
591.0062, 3041.408
591.4883, 2915.584
591.9704, 2790.208
592.4525, 2663.533
592.9346, 2534.602
593.4167, 2404.446
593.8989, 2272.797
594.3810, 2140.526
594.8631, 2008.083
595.3452, 1875.155
595.8273, 1742.400
596.3094, 1614.376
596.7916, 1491.879
597.2737, 1371.430
597.7558, 1249.278
598.2379, 1128.928
598.7200, 1013.512
599.2021, 903.1392
599.6843, 799.3408
600.1664, 701.9844
600.6485, 611.4351
601.1306, 527.2017
601.6127, 449.8872
602.0948, 381.2905
602.5770, 323.0928
603.0591, 273.0410
603.5412, 225.2202
604.0233, 176.6001
604.5054, 136.0693
604.9875, 108.9141
605.4697, 84.80127
605.9518, 56.48291
606.4339, 25.40967
606.9160, 2.130371
607.3981, 21.90283
607.8802, 37.57666
608.3624, 58.31592
608.8445, 85.68457
609.3266, 105.5312
609.8087, 113.3735
610.2908, 116.2363
610.7729, 116.2021
611.2551, 115.2583
611.7372, 120.4355
612.2193, 139.0732
612.7014, 157.4634
613.1835, 165.6069
613.6656, 166.4404
614.1478, 166.1685
614.6299, 166.0146
615.1120, 164.5498
615.5941, 160.9888
616.0762, 155.8501
616.5583, 147.4082
617.0405, 129.6172
617.5226, 115.5791
618.0047, 110.4683
618.4868, 108.3110
618.9689, 104.3262
619.4510, 97.13672
619.9332, 86.23291
620.4153, 69.68066
620.8974, 49.23975
621.3795, 31.55664
621.8616, 17.13086
622.3438, 3.601563
622.8259, 8.372070
623.3080, 21.70410
623.7901, 41.95801
624.2722, 69.85449
624.7543, 92.32275
625.2365, 102.7524
625.7186, 109.0098
626.2007, 116.9932
