##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
560.8718, 0.4519040
561.3539, 0.5226440
561.8360, 0.5029910
562.3181, 0.4275510
562.8002, 0.2467040
563.2823, 0.1684880
563.7645, 0.6443180
564.2466, 0.9340210
564.7287, 1.088074
565.2108, 0.9022520
565.6929, 6.8572998E-02
566.1750, 1.105316
566.6572, 0.9681090
567.1393, 0.6973570
567.6214, 2.076630
568.1035, 1.692902
568.5856, 8.3740003E-02
569.0677, 0.6078490
569.5499, 0.2702640
570.0320, 0.3505550
570.5141, 0.5836790
570.9962, 0.6234740
571.4783, 0.8258670
571.9604, 1.433777
572.4426, 1.899994
572.9247, 1.700195
573.4068, 1.145966
573.8889, 0.7918700
574.3710, 1.101135
574.8531, 1.365906
575.3353, 1.346436
575.8174, 1.053619
576.2995, 0.7051700
576.7816, 9.5734000E-02
577.2637, 0.3127750
577.7458, 0.2602230
578.2280, 0.3840330
578.7101, 0.8493650
579.1922, 1.137543
579.6743, 1.239166
580.1564, 0.9539490
580.6385, 0.4282230
581.1207, 0.2140500
581.6028, 0.4475400
582.0849, 0.8346250
582.5670, 0.8338930
583.0491, 0.5906370
583.5313, 0.5838320
584.0134, 1.344391
584.4955, 2.223328
584.9776, 2.483032
585.4597, 2.255341
585.9418, 2.294373
586.4240, 3.675385
586.9061, 4.869965
587.3882, 4.726532
587.8703, 2.589630
588.3524, 1.308319
588.8345, 1.656860
589.3167, 2.621552
589.7988, 3.501770
590.2809, 4.479584
590.7630, 4.903351
591.2451, 4.531067
591.7272, 3.789490
592.2094, 3.561066
592.6915, 3.891785
593.1736, 4.001312
593.6557, 3.418823
594.1378, 2.586029
594.6199, 2.669373
595.1021, 3.583130
595.5842, 4.602173
596.0663, 5.437073
596.5484, 6.022461
597.0305, 6.191711
597.5126, 5.917358
597.9948, 5.684174
598.4769, 5.740448
598.9590, 5.971558
599.4411, 6.306335
599.9232, 6.972382
600.4053, 7.347687
600.8875, 7.257233
601.3696, 6.819153
601.8517, 6.172943
602.3338, 5.052399
602.8159, 4.376312
603.2980, 4.453278
603.7802, 5.026672
604.2623, 5.241364
604.7444, 5.034149
605.2265, 4.974518
605.7086, 5.612366
606.1907, 6.629883
606.6729, 6.711182
607.1550, 5.874847
607.6371, 5.233551
608.1192, 5.891296
608.6013, 7.192780
609.0834, 8.313385
609.5656, 9.129211
610.0477, 9.738220
610.5298, 10.11743
611.0119, 10.36374
611.4940, 10.59119
611.9761, 10.92068
612.4583, 11.12582
612.9404, 10.84647
613.4225, 10.48172
613.9046, 11.02597
614.3867, 13.05545
614.8688, 14.74069
615.3510, 15.39023
615.8331, 15.23612
