##NAMES=Cerianite-(Ce)
##RRUFFID=R050379
##IDEAL CHEMISTRY=CeO_2_
##LOCALITY=Sierra de Bermejillo, Durango, Mexico
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Black crystals or grains, exhibiting a greasy luster
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050379
409.1042, 84.91852
409.5863, 83.82291
410.0684, 82.80838
410.5505, 81.66331
411.0327, 79.53891
411.5148, 76.46553
411.9969, 73.66200
412.4790, 72.08748
412.9611, 71.39587
413.4432, 70.88431
413.9254, 70.53716
414.4075, 70.03436
414.8896, 68.76196
415.3717, 67.05170
415.8538, 65.69261
416.3359, 65.34525
416.8181, 65.34430
417.3002, 65.09210
417.7823, 64.57878
418.2644, 64.11508
418.7465, 63.83490
419.2286, 63.69888
419.7108, 63.66951
420.1929, 63.70737
420.6750, 63.88217
421.1571, 64.35512
421.6392, 64.99503
422.1213, 65.45216
422.6035, 65.38782
423.0856, 65.33224
423.5677, 65.49489
424.0498, 65.91597
424.5319, 66.47699
425.0140, 67.24236
425.4962, 68.12065
425.9783, 69.01974
426.4604, 69.89589
426.9425, 70.85646
427.4246, 71.82625
427.9067, 72.86885
428.3889, 74.40176
428.8710, 76.62090
429.3531, 78.97725
429.8352, 81.16370
430.3173, 83.06865
430.7994, 85.24890
431.2816, 87.79053
431.7637, 90.48126
432.2458, 92.87575
432.7279, 94.94482
433.2100, 97.14632
433.6921, 99.57234
434.1743, 102.2715
434.6564, 105.4756
435.1385, 109.2376
435.6206, 113.0453
436.1027, 116.2293
436.5848, 119.1177
437.0670, 122.6269
437.5491, 127.0117
438.0312, 131.8902
438.5133, 137.0955
438.9954, 142.5231
439.4775, 147.8775
439.9597, 152.8398
440.4418, 157.7750
440.9239, 163.0333
441.4060, 168.6383
441.8881, 174.3697
442.3702, 179.9699
442.8524, 185.6310
443.3345, 191.5834
443.8166, 198.0130
444.2987, 204.5862
444.7808, 211.2338
445.2629, 217.9472
445.7451, 224.7613
446.2272, 231.6575
446.7093, 238.5081
447.1914, 245.2487
447.6735, 251.8899
448.1556, 258.5636
448.6378, 264.9842
449.1199, 271.5005
449.6020, 278.5615
450.0841, 286.5080
450.5662, 294.0975
451.0483, 301.0975
451.5305, 307.6176
452.0126, 314.0454
452.4947, 320.5024
452.9768, 326.6394
453.4589, 332.2662
453.9410, 337.4106
454.4232, 342.5252
454.9053, 347.8493
455.3874, 352.6049
455.8695, 355.7500
456.3516, 357.3803
456.8337, 358.3177
457.3159, 358.8910
457.7980, 358.9315
458.2801, 358.1102
458.7622, 356.4528
459.2443, 354.0547
459.7264, 351.1966
460.2086, 347.5728
460.6907, 342.6294
461.1728, 336.0997
461.6549, 329.2021
462.1370, 323.5373
462.6191, 318.0698
463.1013, 311.3928
463.5834, 301.8632
464.0655, 291.9325
464.5476, 282.5333
465.0297, 273.7546
465.5118, 265.5206
465.9940, 258.3363
466.4761, 251.4086
466.9582, 244.4036
467.4403, 237.3794
467.9224, 230.0269
468.4045, 222.0277
468.8867, 213.8588
469.3688, 206.0809
469.8509, 198.9999
470.3330, 191.9932
470.8151, 184.7074
471.2972, 177.2757
471.7794, 171.3238
472.2615, 167.2731
472.7436, 163.3950
473.2257, 158.2771
473.7078, 151.8672
474.1899, 146.1525
474.6721, 141.3363
475.1542, 136.9880
475.6363, 132.5471
476.1184, 128.0265
476.6005, 123.5064
477.0826, 118.9226
477.5648, 114.4230
478.0469, 110.1754
478.5290, 106.1695
479.0111, 102.3108
479.4932, 98.55394
479.9753, 94.89841
480.4575, 91.36490
480.9396, 87.99002
481.4217, 84.59590
481.9038, 80.93272
482.3859, 77.27116
482.8680, 74.06248
483.3502, 72.05557
483.8323, 69.93993
484.3144, 67.15021
484.7965, 63.74323
485.2786, 60.37073
485.7607, 56.79951
486.2429, 53.59175
486.7250, 51.07782
487.2071, 49.81784
487.6892, 48.10153
488.1713, 45.70256
488.6534, 43.01210
489.1356, 40.52893
489.6177, 38.24095
490.0998, 36.19011
490.5819, 34.45595
491.0640, 32.92696
491.5461, 31.01793
492.0283, 28.66393
492.5104, 26.34166
492.9925, 24.39737
493.4746, 22.76616
493.9567, 21.31020
494.4388, 20.00659
494.9210, 18.79088
495.4031, 17.64998
495.8852, 16.52745
496.3673, 15.22897
496.8494, 13.50322
497.3315, 11.75558
497.8137, 10.41313
498.2958, 9.389435
498.7779, 8.405899
499.2600, 7.251785
499.7421, 6.109169
500.2242, 5.092918
500.7064, 4.201027
501.1885, 3.452278
501.6706, 2.949425
502.1527, 2.558174
502.6348, 2.157585
503.1169, 1.914543
503.5991, 1.443031
504.0812, 0.5931020
