##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu_5_(PO_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
356.7619, 977.1865
357.2440, 1023.832
357.7261, 1071.359
358.2082, 1121.889
358.6903, 1175.153
359.1725, 1229.440
359.6546, 1284.517
360.1367, 1339.918
360.6188, 1394.753
361.1009, 1447.786
361.5830, 1500.836
362.0652, 1556.575
362.5473, 1612.982
363.0294, 1665.078
363.5115, 1711.967
363.9936, 1753.737
364.4757, 1790.078
364.9579, 1821.510
365.4400, 1847.098
365.9221, 1868.976
366.4042, 1884.527
366.8863, 1890.423
367.3684, 1887.974
367.8506, 1874.176
368.3327, 1846.702
368.8148, 1804.903
369.2969, 1758.029
369.7790, 1705.653
370.2611, 1648.448
370.7433, 1586.375
371.2254, 1517.292
371.7075, 1447.620
372.1896, 1376.880
372.6717, 1305.506
373.1538, 1236.631
373.6360, 1169.914
374.1181, 1106.237
374.6002, 1047.083
375.0823, 993.0563
375.5645, 939.5476
376.0466, 885.7957
376.5287, 834.1703
377.0108, 789.2677
377.4929, 752.8344
377.9750, 718.1173
378.4572, 683.1441
378.9393, 648.1392
379.4214, 616.3862
379.9035, 588.1623
380.3856, 562.3564
380.8677, 539.0095
381.3499, 517.9904
381.8320, 496.8674
382.3141, 474.6202
382.7962, 452.5641
383.2783, 433.7487
383.7604, 417.8840
384.2426, 401.4021
384.7247, 380.6280
385.2068, 357.7206
385.6889, 337.0803
386.1710, 319.6393
386.6531, 302.5834
387.1353, 282.2312
387.6174, 259.9117
388.0995, 238.5447
388.5816, 220.1056
389.0637, 202.6655
389.5458, 183.9811
390.0280, 163.8387
390.5101, 143.4933
390.9922, 122.5226
391.4743, 102.3017
391.9564, 84.33374
392.4385, 70.40607
392.9207, 57.60785
393.4028, 43.85193
393.8849, 29.86957
394.3670, 18.11859
394.8491, 11.54767
395.3312, 6.162598
395.8134, 0.6414790
396.2955, 10.44373
396.7776, 18.29779
397.2597, 21.89929
397.7418, 23.30963
398.2239, 25.23047
398.7061, 28.91211
399.1882, 32.18237
399.6703, 34.57446
400.1524, 36.07458
400.6346, 37.01587
401.1167, 37.45447
401.5988, 37.28650
402.0809, 36.44611
402.5630, 34.94202
403.0451, 32.71307
403.5273, 29.61157
404.0094, 25.85791
404.4915, 22.21558
404.9736, 18.98926
405.4557, 15.12329
405.9378, 10.05267
406.4200, 3.705505
406.9021, 3.099121
407.3842, 10.41150
407.8663, 17.88550
408.3484, 24.93579
408.8305, 31.59052
409.3127, 38.61432
409.7948, 46.35071
410.2769, 54.54236
410.7590, 62.06262
411.2411, 68.95502
411.7232, 76.50592
412.2054, 85.81934
412.6875, 96.73346
413.1696, 108.7114
413.6517, 122.2651
414.1338, 135.5364
414.6159, 145.2051
415.0981, 152.5829
415.5802, 161.1745
416.0623, 173.8804
416.5444, 187.9672
417.0265, 200.0922
417.5086, 210.2733
417.9908, 220.6451
418.4729, 232.0411
418.9550, 244.4646
419.4371, 257.7197
419.9192, 272.1097
420.4013, 287.1160
420.8835, 301.9177
421.3656, 317.0135
421.8477, 334.2560
422.3298, 354.2711
422.8119, 376.2637
423.2940, 400.3881
423.7762, 427.0554
424.2583, 453.9717
424.7404, 479.1808
425.2225, 504.8683
425.7047, 534.3129
426.1868, 570.3889
426.6689, 605.9341
427.1510, 639.2361
427.6331, 670.6354
428.1152, 705.5568
428.5974, 745.4336
429.0795, 787.3994
429.5616, 830.6371
430.0437, 875.4760
430.5258, 919.6458
431.0079, 962.9641
431.4901, 1005.200
431.9722, 1045.440
432.4543, 1083.257
432.9364, 1122.060
433.4185, 1164.126
433.9006, 1207.858
434.3828, 1245.779
434.8649, 1277.938
435.3470, 1303.761
435.8291, 1321.924
436.3112, 1333.299
436.7933, 1340.370
437.2755, 1343.785
437.7576, 1343.103
438.2397, 1338.371
438.7218, 1329.204
439.2039, 1314.233
439.6860, 1289.595
440.1682, 1260.306
440.6503, 1231.907
441.1324, 1204.528
441.6145, 1176.796
442.0966, 1145.933
442.5787, 1114.993
443.0609, 1087.261
443.5430, 1063.994
444.0251, 1043.739
444.5072, 1026.378
444.9893, 1011.721
445.4714, 998.8557
445.9536, 986.9066
446.4357, 977.1417
446.9178, 970.4781
447.3999, 968.2178
447.8820, 965.7643
448.3641, 963.1927
448.8463, 960.3456
449.3284, 957.3959
449.8105, 957.0919
450.2926, 951.6554
450.7747, 938.3022
451.2569, 918.3608
451.7390, 901.3451
452.2211, 889.3235
452.7032, 874.4617
453.1853, 850.2506
453.6674, 815.5982
454.1496, 786.1165
454.6317, 763.3179
455.1138, 742.9232
455.5959, 717.9835
456.0780, 688.8682
456.5602, 662.4838
457.0423, 642.4332
457.5244, 626.0674
458.0065, 606.4583
458.4886, 584.3479
458.9707, 565.6666
459.4529, 557.2723
459.9350, 554.5648
460.4171, 550.4510
460.8992, 543.0007
461.3813, 537.0942
461.8634, 536.2741
462.3456, 539.5428
462.8277, 545.2001
463.3098, 551.6783
463.7919, 561.2556
464.2740, 575.1800
464.7561, 593.3055
465.2383, 614.3656
465.7204, 637.5143
466.2025, 663.8005
466.6846, 693.7797
467.1667, 728.9462
467.6488, 765.2926
468.1310, 801.8503
468.6131, 839.7799
469.0952, 881.8931
469.5773, 928.8480
470.0594, 978.7823
470.5415, 1032.408
471.0237, 1089.385
471.5058, 1145.557
471.9879, 1199.654
472.4700, 1256.052
472.9521, 1318.256
473.4342, 1386.849
473.9164, 1454.435
474.3985, 1520.822
474.8806, 1586.458
475.3627, 1653.670
475.8448, 1722.026
476.3270, 1787.304
476.8091, 1847.378
477.2912, 1902.721
477.7733, 1954.725
478.2554, 2003.167
478.7375, 2044.621
479.2197, 2078.469
479.7018, 2103.155
480.1839, 2116.423
480.6660, 2118.042
481.1481, 2107.840
481.6302, 2084.836
482.1124, 2050.038
482.5945, 2005.154
483.0766, 1947.779
483.5587, 1882.977
484.0408, 1811.864
484.5229, 1735.001
485.0051, 1656.126
485.4872, 1574.799
485.9693, 1492.199
486.4514, 1409.532
486.9335, 1323.505
487.4156, 1242.284
487.8978, 1165.788
488.3799, 1094.475
488.8620, 1026.850
489.3441, 963.4039
489.8262, 902.0280
490.3083, 840.8832
490.7905, 780.3913
491.2726, 726.9745
491.7547, 680.9632
492.2368, 638.4749
492.7189, 598.2439
493.2010, 559.8878
493.6832, 523.3092
494.1653, 487.8735
494.6474, 453.9385
495.1295, 420.7302
495.6116, 389.3481
496.0938, 362.1324
496.5759, 341.2565
497.0580, 323.6002
497.5401, 306.6559
498.0222, 290.2986
498.5044, 275.0944
498.9865, 260.8373
499.4686, 248.1127
499.9507, 237.4493
500.4328, 229.1656
500.9149, 221.3157
501.3971, 212.6653
501.8792, 204.4534
502.3613, 198.0079
502.8434, 194.1049
503.3255, 191.1862
503.8076, 189.6479
504.2898, 189.0643
504.7719, 187.2230
505.2540, 182.4378
505.7361, 178.8878
506.2182, 178.5989
506.7003, 182.1403
507.1825, 184.6849
507.6646, 186.0535
508.1467, 186.9685
508.6288, 187.7823
509.1109, 188.5334
509.5930, 191.1334
510.0752, 196.7600
510.5573, 203.2953
511.0394, 206.4634
511.5215, 206.6804
512.0037, 206.5247
512.4858, 207.7902
512.9679, 209.3910
513.4500, 209.2745
513.9321, 207.4123
514.4142, 206.2904
514.8964, 209.8586
515.3785, 214.0798
515.8606, 214.2634
516.3427, 206.5680
516.8248, 199.5437
517.3069, 198.2021
517.7891, 199.5759
518.2712, 198.1536
518.7533, 191.0129
519.2354, 182.7102
519.7175, 173.8723
520.1996, 164.5063
520.6818, 157.0859
521.1639, 153.3813
521.6460, 149.4100
522.1281, 142.5300
522.6102, 131.4364
523.0923, 122.4557
523.5745, 116.1360
524.0566, 111.2009
524.5387, 105.6549
525.0208, 99.46503
525.5029, 94.21033
525.9850, 90.59271
526.4672, 87.98273
526.9493, 84.61743
527.4314, 80.62183
527.9135, 77.53040
528.3956, 76.68042
528.8777, 77.01404
529.3599, 76.89734
529.8420, 76.08997
530.3241, 76.18933
530.8062, 79.36108
531.2883, 83.55688
531.7704, 86.42401
532.2526, 86.10413
532.7347, 86.02032
533.2168, 87.12360
533.6989, 89.21735
534.1810, 91.81335
534.6631, 95.71313
535.1453, 99.23279
535.6274, 102.1185
536.1095, 104.4042
536.5916, 105.4050
