##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
300.6021, 379.6267
301.0842, 378.8723
301.5663, 400.4556
302.0485, 438.1704
302.5306, 478.0974
303.0127, 516.9734
303.4948, 553.9155
303.9769, 586.8616
304.4590, 616.1367
304.9412, 643.7087
305.4233, 667.0532
305.9054, 690.4922
306.3875, 720.5352
306.8696, 765.8337
307.3517, 814.9563
307.8339, 858.7666
308.3160, 897.8745
308.7981, 936.0510
309.2802, 973.6455
309.7623, 1011.769
310.2444, 1051.081
310.7266, 1091.515
311.2087, 1133.273
311.6908, 1175.911
312.1729, 1220.126
312.6550, 1268.931
313.1371, 1334.369
313.6193, 1400.897
314.1014, 1453.949
314.5835, 1479.297
315.0656, 1499.605
315.5477, 1521.280
316.0298, 1544.887
316.5120, 1573.735
316.9941, 1613.050
317.4762, 1656.321
317.9583, 1699.901
318.4404, 1748.232
318.9225, 1789.629
319.4047, 1815.697
319.8868, 1830.365
320.3689, 1849.253
320.8510, 1887.117
321.3331, 1922.862
321.8152, 1944.438
322.2974, 1940.290
322.7795, 1936.448
323.2616, 1937.194
323.7437, 1941.486
324.2258, 1946.043
324.7079, 1956.207
325.1901, 1961.999
325.6721, 1958.739
326.1543, 1940.429
326.6364, 1922.794
327.1185, 1912.010
327.6006, 1901.617
328.0827, 1879.004
328.5648, 1827.593
329.0470, 1781.491
329.5291, 1752.023
330.0112, 1745.802
330.4933, 1736.172
330.9754, 1727.338
331.4576, 1713.843
331.9397, 1686.062
332.4218, 1634.270
332.9039, 1583.458
333.3860, 1542.159
333.8681, 1512.415
334.3503, 1475.504
334.8324, 1426.758
335.3145, 1376.307
335.7966, 1336.836
336.2787, 1313.130
336.7608, 1287.851
337.2430, 1256.216
337.7251, 1218.821
338.2072, 1181.178
338.6893, 1141.387
339.1714, 1106.026
339.6535, 1087.135
340.1357, 1088.575
340.6178, 1073.282
341.0999, 1027.046
341.5820, 959.3606
342.0641, 908.8066
342.5462, 877.5400
343.0284, 853.4622
343.5105, 829.6233
343.9926, 805.4316
344.4747, 774.7852
344.9568, 733.1719
345.4389, 688.0298
345.9211, 657.2178
