##NAMES=Variscite
##RRUFFID=R100222
##IDEAL CHEMISTRY=AlPO_4_&#183;2H_2_O
##LOCALITY=Canarana, Mato Grosso, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Green blocky, combination of pseudo-octahedral and pseudo-cubes on quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100222
468.5847, 77.81677
469.0668, 74.99670
469.5489, 74.05371
470.0310, 74.88513
470.5132, 76.72180
470.9953, 79.26477
471.4774, 82.34460
471.9595, 85.75781
472.4416, 89.82910
472.9237, 93.02271
473.4059, 93.87219
473.8880, 94.13098
474.3701, 95.55798
474.8522, 98.38574
475.3343, 101.0066
475.8164, 101.9366
476.2986, 101.9224
476.7807, 102.7501
477.2628, 104.6129
477.7449, 107.3524
478.2270, 111.4169
478.7091, 116.3151
479.1913, 119.9969
479.6734, 122.0105
480.1555, 123.1628
480.6376, 123.9536
481.1197, 124.1599
481.6018, 123.2449
482.0839, 121.0094
482.5660, 117.9164
483.0482, 114.7355
483.5303, 111.9789
484.0124, 106.8372
484.4945, 96.97791
484.9766, 87.09229
485.4587, 80.40845
485.9409, 75.71777
486.4230, 69.47314
486.9051, 59.51233
487.3872, 47.54004
487.8693, 38.64453
488.3514, 34.17480
488.8336, 30.26294
489.3157, 27.04346
489.7978, 23.88147
490.2799, 20.52930
490.7620, 16.87854
491.2441, 12.71301
491.7263, 7.416626
492.2084, 1.507446
492.6905, 2.421387
493.1726, 3.872681
493.6547, 4.501343
494.1368, 4.110596
494.6190, 3.638428
495.1011, 4.312378
495.5832, 6.520264
496.0653, 8.481812
496.5474, 8.177246
497.0295, 6.528442
497.5117, 6.774780
497.9938, 9.937134
498.4759, 12.69629
498.9580, 11.64844
499.4401, 7.664551
499.9222, 5.568359
500.4044, 7.484741
500.8865, 9.460083
501.3686, 9.222290
501.8507, 7.605835
502.3328, 6.365479
502.8149, 6.101318
503.2971, 6.195313
503.7792, 5.699707
504.2613, 4.202148
504.7434, 3.652710
505.2255, 5.069580
505.7076, 6.305176
506.1898, 6.348145
506.6719, 5.411621
507.1540, 4.114136
507.6361, 2.787842
508.1182, 1.189453
508.6003, 1.523926
509.0825, 6.441772
509.5646, 9.556152
510.0467, 8.199097
510.5288, 6.882690
511.0109, 8.284912
511.4930, 12.01550
511.9752, 15.94202
512.4573, 18.62573
512.9394, 20.68921
513.4215, 23.81531
513.9036, 28.28394
514.3857, 32.07410
514.8679, 34.19580
515.3500, 35.38013
515.8321, 36.17310
516.3142, 36.37549
516.7963, 38.10730
517.2784, 43.92773
517.7606, 51.05286
518.2427, 55.41028
518.7248, 56.72632
519.2069, 57.30298
519.6890, 58.54504
520.1711, 60.33447
520.6533, 62.06470
521.1354, 62.89233
521.6175, 64.77722
522.0996, 68.09192
522.5817, 72.57104
523.0638, 78.48254
523.5460, 85.53455
524.0281, 92.29712
524.5102, 97.09412
524.9923, 100.0186
525.4744, 105.3713
525.9565, 116.9277
526.4387, 125.8638
526.9208, 128.7380
527.4029, 129.1571
527.8850, 131.0219
528.3671, 135.2753
528.8492, 139.7484
529.3314, 141.7495
529.8135, 141.6266
530.2956, 143.4390
530.7777, 149.3284
531.2598, 153.1526
531.7419, 147.7316
532.2241, 138.4332
532.7062, 134.3392
533.1883, 139.3807
533.6704, 145.2057
534.1525, 145.5963
534.6346, 142.5604
535.1168, 140.9408
535.5989, 141.9069
536.0810, 143.5020
536.5631, 143.8617
537.0452, 142.9104
537.5273, 141.6112
538.0095, 138.9966
