##NAMES=Diamond
##RRUFFID=R050205
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050205
857.6510, 25.08228
858.9240, 6.950195
860.1970, 6.778564
861.4700, 46.60156
862.7420, 30.15845
864.0150, 20.23218
865.2870, 39.04492
866.5590, 31.85376
867.8300, 44.63916
869.1020, 18.44165
870.3730, 52.23267
871.6440, 59.02954
872.9150, 22.17676
874.1850, 65.60181
875.4560, 69.38232
876.7260, 34.07837
877.9960, 78.86230
879.2660, 60.64746
880.5360, 3.571533
881.8050, 60.20239
883.0740, 6.977051
884.3430, 44.74658
885.6120, 34.46387
886.8810, 55.11914
888.1490, 11.87695
889.4180, 42.63135
890.6860, 31.38159
891.9530, 85.12720
893.2210, 29.83740
894.4880, 78.57861
895.7560, 2.195557
897.0230, 29.92749
898.2900, 58.65967
899.5560, 56.27759
900.8230, 57.96289
902.0890, 10.66528
903.3550, 56.37598
904.6210, 47.07910
905.8860, 32.26807
907.1520, 58.42798
908.4170, 11.96948
909.6820, 80.52539
910.9470, 81.20825
912.2110, 34.77710
913.4760, 60.40137
914.7400, 68.07739
916.0040, 67.66748
917.2680, 69.34155
918.5310, 19.98340
919.7950, 72.86841
921.0580, 131.5291
922.3210, 45.17969
923.5840, 93.83301
924.8460, 35.38818
926.1090, 61.03174
927.3710, 62.63037
928.6330, 64.92847
929.8950, 93.49683
931.1560, 17.99780
932.4180, 70.61255
933.6790, 35.96899
934.9400, 22.46899
936.2010, 67.02686
937.4610, 55.51733
938.7220, 72.00708
939.9820, 51.60181
941.2420, 37.16187
942.5020, 61.74707
943.7610, 90.28418
945.0210, 51.86011
946.2800, 78.43115
947.5390, 60.88672
948.7980, 98.44873
950.0560, 86.05542
951.3150, 38.44727
952.5730, 66.91260
953.8310, 104.4695
955.0890, 1.990967
956.3460, 54.64453
957.6040, 62.10840
958.8610, 105.8730
960.1180, 111.0178
961.3750, 15.98828
962.6310, 94.61523
963.8880, 91.00732
965.1440, 39.42334
966.4000, 71.27783
967.6560, 62.73999
968.9110, 93.34351
970.1670, 83.11816
971.4220, 19.60645
972.6770, 65.97070
973.9320, 78.78320
975.1860, 60.52563
976.4410, 158.2114
977.6950, 7.795166
978.9490, 59.33154
980.2030, 13.84033
981.4560, 60.31934
982.7100, 127.8115
983.9630, 41.38721
985.2160, 54.45288
986.4690, 76.43677
987.7210, 116.0034
988.9740, 139.5493
990.2260, 14.05396
991.4780, 105.5229
992.7300, 77.39282
993.9820, 77.75708
995.2330, 150.1755
996.4840, 116.4966
997.7350, 32.97949
998.9860, 133.3838
1000.237, 8.884277
1001.487, 69.17041
1002.738, 118.0815
1003.988, 96.62646
1005.237, 126.0322
1006.487, 55.44653
